Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,111.845533486,23.5078679841,2.26768578258,17.7527910251,4.12243109448,15.9888894789,100.835888958,97.8441585401,2.97173041782,0.02
 01/02  02:00:00,100.610735207,19.5898899867,1.55034590602,15.8043210124,4.12243109448,15.9888894789,86.3289511203,83.3372207024,2.97173041782,0.02
 01/02  03:00:00,118.902159599,24.4873624834,1.30707082236,21.7432370841,4.12243109448,15.9888894789,108.738901402,105.747170984,2.97173041782,0.02
 01/02  04:00:00,101.922135097,19.5898899867,0.575881002529,18.015211629,4.12243109448,15.9888894789,88.199177593,85.2074471751,2.97173041782,0.02
 01/02  05:00:00,145.864921671,28.9471566547,0.188222941359,20.6123547393,12.3672932834,24.9413748627,125.17988201,120.20699798,4.9528840297,0.02
 01/02  06:00:00,177.163746201,28.5154452064,3.47438626973,48.9800494926,12.3672932834,24.9413748627,192.282318538,187.309434508,4.9528840297,0.02
 01/02  07:00:00,236.689986226,29.4293503005,3.6201212942,51.0355110255,24.7345865669,70.7195625826,202.683814618,192.758046558,9.90576805939,0.02
 01/02  08:00:00,255.326031242,29.4855679856,3.37303658365,38.2775951999,37.1018798503,92.3937384068,187.576776338,177.651008279,9.90576805939,0.02
 01/02  09:00:00,250.042697238,29.5071159131,2.73786780234,34.4184606894,37.1018798503,104.434947198,183.316993111,173.391225052,9.90576805939,0.02
 01/02  10:00:00,256.676815363,29.5196460945,2.57237568655,31.8809046424,37.1018798503,116.476155989,189.814385748,171.277064973,9.90576805939,8.631552715
 01/02  11:00:00,254.306922657,29.5287984939,3.48325757172,29.644357077,37.1018798503,116.476155989,175.457971649,165.53220359,9.90576805939,0.02
 01/02  12:00:00,252.207491921,29.5364362757,4.62553827101,27.3804942568,37.1018798503,116.476155989,177.188260749,158.642011337,9.90576805939,8.64048135261
 01/02  13:00:00,239.370621684,29.5436695237,5.72160454247,24.9230015715,37.1018798503,104.434947198,161.597385048,151.671616988,9.90576805939,0.02
 01/02  14:00:00,247.949640793,29.5520470357,6.18094146103,22.515265235,37.1018798503,116.476155989,165.184912894,146.638514843,9.90576805939,8.64062999163
 01/02  15:00:00,246.715906476,29.5610245748,6.18592506982,21.4098764692,37.1018798503,116.476155989,163.75667188,145.212370677,9.90576805939,8.63853314318
 01/02  16:00:00,245.106206176,29.5695152554,6.35849725206,19.9842707877,37.1018798503,116.476155989,152.861059501,142.935291441,9.90576805939,0.02
 01/02  17:00:00,244.811768361,29.5767810928,6.30441324901,19.5142600092,37.1018798503,116.476155989,160.612836319,142.075703341,9.90576805939,8.63136491849
 01/02  18:00:00,258.093573979,29.5826508605,5.77536424376,19.6034457504,37.1018798503,116.476155989,153.530561597,143.604793537,9.90576805939,0.02
 01/02  19:00:00,159.63443568,28.0718000038,1.94906370542,1.38272799783,24.7345865669,47.5788473902,93.8127851183,88.8399010886,4.9528840297,0.02
 01/02  20:00:00,159.91070475,27.9259072287,1.4074975966,1.68308003343,24.7345865669,47.5788473902,94.955239043,89.9823550133,4.9528840297,0.02
 01/02  21:00:00,147.579586683,28.9471566547,1.33333152701,8.9768646872,12.3672932834,38.6892022431,107.578517058,104.58678664,2.97173041782,0.02
 01/02  22:00:00,121.955163543,23.1577253238,1.66553859841,9.58056248898,12.3672932834,27.0668015668,92.3257647861,89.3340343683,2.97173041782,0.02
 01/02  23:00:00,100.409560724,20.0275683122,1.49964636755,15.3731245705,4.12243109448,15.9888894789,81.2259471357,78.2342167179,2.97173041782,0.02
