Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,149.197328355,31.6195692374,0.0,0.0,43.513341876,52.539744,176.388876152,171.534616152,4.83426,0.02
 01/01  02:00:00,138.774030539,21.2560322445,0.0,0.0,43.513341876,52.539744,125.393656734,120.539396734,4.83426,0.02
 01/01  03:00:00,146.927665183,29.3688253333,0.0,0.0,43.513341876,52.539744,151.972399692,147.118139692,4.83426,0.02
 01/01  04:00:00,140.304041869,22.8290537028,0.0,0.0,43.513341876,52.539744,103.489179263,98.6349192635,4.83426,0.02
 01/01  05:00:00,146.438322364,28.4771682367,0.0,0.0,43.513341876,52.539744,147.37807546,133.930303609,4.83426,8.61351185052
 01/01  06:00:00,132.360506086,14.4916159881,0.0,0.0,43.513341876,52.539744,97.8554730028,93.0012130028,4.83426,0.02
 01/01  07:00:00,145.499073435,27.5421474778,0.0,0.0,43.513341876,52.539744,137.57705122,132.72279122,4.83426,0.02
 01/01  08:00:00,134.861002493,17.1240516336,0.0,0.0,43.513341876,52.539744,80.0424500193,75.1881900193,4.83426,0.02
 01/01  09:00:00,112.760271969,9.9221141225,0.0,0.0,43.513341876,52.539744,107.440331711,102.586071711,4.83426,0.02
 01/01  10:00:00,109.594821471,9.76446856922,0.0,0.0,43.513341876,52.539744,87.402250459,73.9464054596,4.83426,8.62158499935
 01/01  11:00:00,111.485456752,11.6420885665,0.0,0.0,43.513341876,52.539744,98.1107510231,93.2564910231,4.83426,0.02
 01/01  12:00:00,109.656457101,8.90448134721,0.0,0.0,43.513341876,52.539744,70.9012225159,66.0469625159,4.83426,0.02
 01/01  13:00:00,104.866062292,5.08816387643,0.0,0.0,43.513341876,52.539744,96.9894594298,83.5337257363,4.83426,8.62147369349
 01/01  14:00:00,105.495642798,5.68184784983,0.0,0.0,43.513341876,52.539744,67.387300803,62.533040803,4.83426,0.02
 01/01  15:00:00,108.172874577,8.31079737381,0.0,0.0,43.513341876,52.539744,86.1335524294,81.2792924294,4.83426,0.02
 01/01  16:00:00,107.103578777,7.29316459852,0.0,0.0,43.513341876,52.539744,69.571126903,64.716866903,4.83426,0.02
 01/01  17:00:00,107.961347873,8.31079737381,0.0,0.0,43.513341876,52.539744,105.708334177,92.2605480159,4.83426,8.61352616069
 01/01  18:00:00,130.266390652,15.7005672666,0.0,0.0,43.513341876,52.539744,84.3755639856,79.5213039856,4.83426,0.02
 01/01  19:00:00,129.146515332,11.5334308712,0.0,0.0,43.513341876,52.539744,129.742355744,124.888095744,4.83426,0.02
 01/01  20:00:00,134.969867722,16.9629199588,0.0,0.0,43.513341876,52.539744,104.066610442,99.2123504425,4.83426,0.02
 01/01  21:00:00,137.643984089,19.5918694828,0.0,0.0,43.513341876,52.539744,160.608830175,155.754570175,4.83426,0.02
 01/01  22:00:00,150.173028305,32.3437730331,0.0,0.0,43.513341876,52.539744,166.74418738,153.296349999,4.83426,8.61357738014
 01/01  23:00:00,152.066864953,34.4183355176,0.0,0.0,43.513341876,52.539744,237.950302611,233.096042611,4.83426,0.02
 01/01  24:00:00,150.028832814,31.4799208793,0.0,0.0,43.513341876,52.539744,166.910834201,162.056574201,4.83426,0.02
 01/02  01:00:00,159.697812078,41.9993753337,0.0,0.0,43.513341876,52.539744,247.605165208,242.750905208,4.83426,0.02
 01/02  02:00:00,153.132889121,35.5498427791,0.0,0.0,43.513341876,52.539744,177.7611928,164.305173041,4.83426,8.62175975841
 01/02  03:00:00,161.228966892,43.4821577162,0.0,0.0,43.513341876,52.539744,258.303715781,253.449455781,4.83426,0.02
 01/02  04:00:00,153.657947156,36.0441035732,0.0,0.0,43.513341876,52.539744,179.090477654,174.236217654,4.83426,0.02
 01/02  05:00:00,159.365177643,41.1443570679,0.0,0.0,43.513341876,52.539744,280.570831556,267.115019883,4.83426,8.62155167333
 01/02  06:00:00,160.120234943,42.0822347616,0.0,0.0,43.513341876,52.539744,188.773175062,183.918915062,4.83426,0.02
 01/02  07:00:00,197.068591972,72.9122148148,0.0,0.0,43.513341876,53.238744,3188.50855722,3183.65429722,4.83426,0.02
 01/02  08:00:00,374.31969103,72.9122148148,0.0,0.0,220.879908,53.238744,2726.07260801,2694.80402812,4.83426,26.4343198925
 01/02  09:00:00,450.263417876,72.9122148148,0.0,0.0,220.879908,145.652643033,2492.22982125,2420.45085464,36.25695,35.5220166117
 01/02  10:00:00,446.99547184,72.9122148148,0.0,0.0,220.879908,145.652643033,2462.52188811,2372.31386248,36.25695,53.9510756268
 01/02  11:00:00,452.8527886,72.9122148148,0.0,0.0,220.879908,151.653867033,2346.26361647,2252.89224358,48.3426,45.0287728874
 01/02  12:00:00,453.774515889,72.9122148148,0.0,0.0,220.879908,151.653867033,2189.36879694,2086.74417221,48.3426,54.2820247299
 01/02  13:00:00,452.643387266,72.9122148148,0.0,0.0,220.879908,151.653867033,2064.21812039,1952.34038576,48.3426,63.5351346328
 01/02  14:00:00,446.605559679,72.9122148148,0.0,0.0,220.879908,145.652643033,1970.00523066,1891.26696795,24.1713,54.5669627127
 01/02  15:00:00,446.57016662,72.9122148148,0.0,0.0,220.879908,145.652643033,1947.67392021,1869.52778926,24.1713,53.9748309504
 01/02  16:00:00,438.662962283,72.9122148148,0.0,0.0,220.879908,137.835547516,1829.40178273,1779.49517976,4.83426,45.0723429687
 01/02  17:00:00,433.706932959,72.9122148148,0.0,0.0,220.879908,133.019064,1763.41361897,1713.91048732,4.83426,44.6688716499
 01/02  18:00:00,368.977088326,72.9122148148,0.0,0.0,220.879908,53.238744,1933.3656887,1883.8679076,4.83426,44.6635210995
 01/02  19:00:00,371.989076751,72.9122148148,0.0,0.0,220.879908,53.238744,1986.45026332,1936.75218932,4.83426,44.8638139978
 01/02  20:00:00,372.385697545,72.9122148148,0.0,0.0,220.879908,53.238744,1966.76707929,1953.22982194,4.83426,8.70299734799
 01/02  21:00:00,372.354587147,72.9122148148,0.0,0.0,220.879908,53.238744,1984.86207611,1962.66649244,4.83426,17.3613236697
 01/02  22:00:00,119.197134215,1.62228983935,0.0,0.0,43.513341876,52.539744,19.539023668,6.013188389,4.83426,8.69157527903
 01/02  23:00:00,121.480070475,4.07053110114,0.0,0.0,43.513341876,52.539744,22.2004611241,8.71593890431,4.83426,8.65026221975
 01/02  24:00:00,123.669579313,5.08816387643,0.0,0.0,43.513341876,52.539744,25.2390179685,20.3847579685,4.83426,0.02
 01/03  01:00:00,123.517310753,6.00411119957,0.0,0.0,43.513341876,52.539744,37.25224074,23.796214113,4.83426,8.62176662703
 01/03  02:00:00,128.120934559,10.566640822,0.0,0.0,43.513341876,52.539744,47.8518071008,42.9975471008,4.83426,0.02
 01/03  03:00:00,126.431912058,8.90448134721,0.0,0.0,43.513341876,52.539744,46.7042297735,41.8499697735,4.83426,0.02
 01/03  04:00:00,136.518512021,18.9473427833,0.0,0.0,43.513341876,52.539744,73.4803197292,68.6260597292,4.83426,0.02
 01/03  05:00:00,133.323554419,13.6533603051,0.0,0.0,43.513341876,52.539744,76.1152139107,62.6591549434,4.83426,8.62179896732
 01/03  06:00:00,134.34954798,14.9715248911,0.0,0.0,43.513341876,52.539744,97.7707503104,92.9164903104,4.83426,0.02
 01/03  07:00:00,197.482101733,72.9122148148,0.0,0.0,43.513341876,53.238744,2866.88881957,2862.03455957,4.83426,0.02
 01/03  08:00:00,372.903568394,72.9122148148,0.0,0.0,220.879908,53.238744,2325.88439244,2289.68561812,4.83426,31.3645143251
 01/03  09:00:00,449.614217043,72.9122148148,0.0,0.0,220.879908,145.652643033,2077.33802727,2005.41081764,36.25695,35.6702596246
 01/03  10:00:00,446.619569424,72.9122148148,0.0,0.0,220.879908,145.652643033,2036.74302362,1951.71079842,36.25695,48.7752751993
 01/03  11:00:00,452.551468519,72.9122148148,0.0,0.0,220.879908,151.653867033,1964.9053635,1871.53815166,48.3426,45.024611841
 01/03  12:00:00,453.551520499,72.9122148148,0.0,0.0,220.879908,151.653867033,1908.89522025,1806.23983571,48.3426,54.3127845358
 01/03  13:00:00,452.499762445,72.9122148148,0.0,0.0,220.879908,151.653867033,1892.54694531,1780.69107765,48.3426,63.5132676592
 01/03  14:00:00,446.496110356,72.9122148148,0.0,0.0,220.879908,145.652643033,1841.00815458,1762.25366896,24.1713,54.5831856163
 01/03  15:00:00,446.469346842,72.9122148148,0.0,0.0,220.879908,145.652643033,1806.09128211,1727.93253139,24.1713,53.9874507264
 01/03  16:00:00,438.593056287,72.9122148148,0.0,0.0,220.879908,137.835547516,1724.63015153,1665.71776121,4.83426,54.0781303168
 01/03  17:00:00,433.644064714,72.9122148148,0.0,0.0,220.879908,133.019064,1710.37069034,1669.79392568,4.83426,35.7425046654
