Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,116.18458445,23.0546629174,0.0,19.6365726014,4.12243109448,15.9888894789,117.01429986,114.022569442,2.97173041782,0.02
 01/02  02:00:00,105.842780875,19.2122190978,0.0,17.9205905921,4.12243109448,15.9888894789,107.637088602,104.645358184,2.97173041782,0.02
 01/02  03:00:00,125.809881127,24.0152738723,0.0,24.6699747541,4.12243109448,15.9888894789,132.335967307,129.344236889,2.97173041782,0.02
 01/02  04:00:00,107.75650485,19.2122190978,0.0,20.4080680458,4.12243109448,15.9888894789,106.095968282,103.104237864,2.97173041782,0.02
 01/02  05:00:00,152.846769356,28.3773158293,0.0,23.6426179877,12.3672932834,24.9413748627,150.802077854,145.829193824,4.9528840297,0.02
 01/02  06:00:00,179.788538258,27.9425814154,0.0,51.7546549849,12.3672932834,24.9413748627,193.598205142,188.625321112,4.9528840297,0.02
 01/02  07:00:00,240.183576188,28.8651791923,0.34780868782,54.4590179934,24.7345865669,70.7195625826,208.573451391,198.647683332,9.90576805939,0.02
 01/02  08:00:00,258.735493769,28.9248351311,0.0,41.12717735,37.1018798503,92.3937384068,202.882809812,192.957041753,9.90576805939,0.02
 01/02  09:00:00,253.403511452,28.9473939427,0.0,36.904644557,37.1018798503,104.434947198,216.293930059,206.368162,9.90576805939,0.02
 01/02  10:00:00,256.013183727,28.9604542485,0.0,30.5847465964,37.1018798503,116.476155989,213.576062208,195.032904449,9.90576805939,8.63738969973
 01/02  11:00:00,249.862999162,28.9700333083,0.403469363572,25.6658558552,37.1018798503,116.476155989,187.199824851,168.650317263,9.90576805939,8.64373952831
 01/02  12:00:00,247.958084357,28.9798028647,2.74980979445,23.0362833939,37.1018798503,116.476155989,164.618390141,154.692622081,9.90576805939,0.02
 01/02  13:00:00,236.087405952,28.9889345799,3.88942283964,21.7472459356,37.1018798503,104.434947198,167.107091025,148.561760747,9.90576805939,8.63956221914
 01/02  14:00:00,245.207056142,28.9980569353,3.88610368289,20.5823650974,37.1018798503,116.476155989,157.544587582,147.618819522,9.90576805939,0.02
 01/02  15:00:00,244.095352729,29.0073861897,3.54567680177,19.9828386322,37.1018798503,116.476155989,166.602951001,148.05345866,9.90576805939,8.6437242817
 01/02  16:00:00,243.682603463,29.0161817858,3.01233084036,19.9935968289,37.1018798503,116.476155989,168.444144341,149.896758999,9.90576805939,8.64161728339
 01/02  17:00:00,252.481448758,29.0237285887,2.47087357052,19.8559457065,37.1018798503,116.476155989,161.370261041,151.444492982,9.90576805939,0.02
 01/02  18:00:00,257.948485942,29.0298982275,2.22553479659,19.6322564167,37.1018798503,116.476155989,170.310801586,151.781459723,9.90576805939,8.62357380399
 01/02  19:00:00,158.176990836,27.4952901944,0.0744155639235,1.43931980049,24.7345865669,47.5788473902,99.6263252847,94.653441255,4.9528840297,0.02
 01/02  20:00:00,159.591295,27.348285922,0.0,1.83130794653,24.7345865669,47.5788473902,104.11094688,99.1380628502,4.9528840297,0.02
 01/02  21:00:00,148.950675154,28.3773158293,0.0,9.37624554288,12.3672932834,38.6892022431,118.29815099,115.306420573,2.97173041782,0.02
 01/02  22:00:00,123.042191316,22.7018526634,0.0475146447176,9.94518718048,12.3672932834,27.0668015668,100.436663792,97.4449333738,2.97173041782,0.02
 01/02  23:00:00,101.367219591,19.6532319152,0.0368881248223,15.8809104755,4.12243109448,15.9888894789,88.1141004724,85.1223700546,2.97173041782,0.02
 01/02  24:00:00,112.387800469,23.5742610548,0.0772694557358,14.9979056515,4.12243109448,15.9888894789,110.366137848,107.37440743,2.97173041782,0.02
 01/03  01:00:00,105.091490491,19.6532319152,0.021095860701,19.6652115984,4.12243109448,15.9888894789,91.1606032126,88.1688727947,2.97173041782,0.02
 01/03  02:00:00,115.389148526,23.5742610548,0.0,17.81843324,4.12243109448,15.9888894789,117.486110444,114.494380027,2.97173041782,0.02
 01/03  03:00:00,108.800814884,19.6532319152,0.0,22.8863029912,4.12243109448,15.9888894789,98.1233422487,95.1316118309,2.97173041782,0.02
 01/03  04:00:00,118.873157276,23.5742610548,0.0,20.4193794684,4.12243109448,15.9888894789,126.219785854,123.228055436,2.97173041782,0.02
 01/03  05:00:00,150.647885465,28.3773158293,0.0,21.8892564186,12.3672932834,24.9413748627,153.357152273,148.384268243,4.9528840297,0.02
 01/03  06:00:00,179.961973307,27.9487496388,0.0,50.6688870559,12.3672932834,24.9413748627,209.42025582,204.44737179,4.9528840297,0.02
 01/03  07:00:00,240.249489618,28.8581875007,0.0,53.7939009091,24.7345865669,70.7195625826,233.783067551,223.857299492,9.90576805939,0.02
 01/03  08:00:00,256.52326272,28.9233500095,0.0,40.2961330969,37.1018798503,92.3937384068,214.481174019,195.966165699,9.90576805939,8.60924026038
 01/03  09:00:00,249.611837529,28.9464016966,0.508663090403,36.1163400083,37.1018798503,104.434947198,188.101158223,178.175390164,9.90576805939,0.02
 01/03  10:00:00,255.63593193,28.9595868066,1.77843859966,33.0282535154,37.1018798503,116.476155989,187.903460721,169.360308946,9.90576805939,8.63738371563
 01/03  11:00:00,252.471959577,28.9691988485,2.85023135265,30.0642990223,37.1018798503,116.476155989,172.183208994,162.257440935,9.90576805939,0.02
