Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,61.0652332584,5.31120937577,0.0,0.0,15.863942322,29.242365,264.740596729,261.514916729,3.20568,0.02
 01/01  02:00:00,60.1923398173,4.45220279023,0.0,0.0,15.863942322,29.242365,227.333778094,224.108098094,3.20568,0.02
 01/01  03:00:00,61.6852770738,5.56525348778,0.0,0.0,15.863942322,29.242365,320.443089656,314.353880757,3.20568,2.88352889993
 01/01  04:00:00,60.3408624044,4.45220279023,0.0,0.0,15.863942322,29.242365,234.889354731,231.663674731,3.20568,0.02
 01/01  05:00:00,62.0947972653,5.56525348778,0.0,0.0,15.863942322,29.242365,329.528234078,323.439031135,3.20568,2.88352294329
 01/01  06:00:00,60.690167734,4.45220279023,0.0,0.0,15.863942322,29.242365,246.768571534,243.542891534,3.20568,0.02
 01/01  07:00:00,62.2131306601,5.56525348778,0.0,0.0,15.863942322,29.242365,335.783368453,329.69420901,3.20568,2.88347944286
 01/01  08:00:00,60.5127487819,4.45220279023,0.0,0.0,15.863942322,29.242365,223.916247466,220.690567466,3.20568,0.02
 01/01  09:00:00,54.7601815098,5.56525348778,0.0,0.0,15.863942322,29.242365,307.466284355,301.375066094,3.20568,2.88553826154
 01/01  10:00:00,51.7640015157,4.45220279023,0.0,0.0,15.863942322,29.242365,197.691898167,191.60069995,3.20568,2.88551821682
 01/01  11:00:00,52.9199138942,5.56525348778,0.0,0.0,15.863942322,29.242365,232.947220674,226.856041342,3.20568,2.88549933146
 01/01  12:00:00,52.2539927279,4.45220279023,0.0,0.0,15.863942322,29.242365,140.67540405,137.44972405,3.20568,0.02
 01/01  13:00:00,52.664008933,5.56525348778,0.0,0.0,15.863942322,29.242365,177.88945812,171.798297668,3.20568,2.8854804523
 01/01  14:00:00,51.4298285927,4.45220279023,0.0,0.0,15.863942322,29.242365,123.175557613,117.084416029,3.20568,2.88546158386
 01/01  15:00:00,52.6053601589,5.56525348778,0.0,0.0,15.863942322,29.242365,153.72273632,150.49705632,3.20568,0.02
 01/01  16:00:00,51.3617937704,4.45220279023,0.0,0.0,15.863942322,29.242365,110.299390145,104.210176116,3.20568,2.88353402849
 01/01  17:00:00,58.2051906266,5.56525348778,0.0,0.0,15.863942322,29.242365,167.712194158,164.486514158,3.20568,0.02
 01/01  18:00:00,59.8807556658,4.45220279023,0.0,0.0,15.863942322,29.242365,135.524683613,129.435475369,3.20568,2.88352824385
 01/01  19:00:00,61.1249753458,5.56525348778,0.0,0.0,15.863942322,29.242365,196.925419234,193.699739234,3.20568,0.02
 01/01  20:00:00,60.1283293089,4.45220279023,0.0,0.0,15.863942322,29.242365,148.285032312,142.19586797,3.20568,2.88348434213
 01/01  21:00:00,61.3757000023,5.56525348778,0.0,0.0,15.863942322,29.242365,211.336552063,208.110872063,3.20568,0.02
 01/01  22:00:00,60.1262433547,4.45220279023,0.0,0.0,15.863942322,29.242365,181.381380384,175.292296592,3.20568,2.88340379195
 01/01  23:00:00,61.2841163996,5.56525348778,0.0,0.0,15.863942322,29.242365,246.03521296,242.80953296,3.20568,0.02
 01/01  24:00:00,60.7709380261,4.45220279023,0.0,0.0,15.863942322,29.242365,175.189618631,169.100428656,3.20568,2.88350997559
 01/02  01:00:00,61.3070389809,5.56525348778,0.0,0.0,15.863942322,29.242365,241.817806862,238.592126862,3.20568,0.02
 01/02  02:00:00,59.9989509252,4.45220279023,0.0,0.0,15.863942322,29.242365,171.09148107,165.000468417,3.20568,2.8853326529
 01/02  03:00:00,61.3055274041,5.56525348778,0.0,0.0,15.863942322,29.242365,239.403817643,233.312819942,3.20568,2.88531770092
 01/02  04:00:00,59.9990563563,4.45220279023,0.0,0.0,15.863942322,29.242365,169.157526027,163.066543394,3.20568,2.88530263278
 01/02  05:00:00,61.5126293422,5.56525348778,0.0,0.0,15.863942322,29.242365,233.251983419,230.026303419,3.20568,0.02
 01/02  06:00:00,60.187192962,4.45220279023,0.0,0.0,15.863942322,29.242365,164.292087342,158.200828935,3.20568,2.88557840747
 01/02  07:00:00,66.1438370478,6.67830418534,0.0,0.0,15.863942322,29.818365,760.407796751,754.316555679,3.20568,2.88556107214
 01/02  08:00:00,130.887651765,6.67830418534,0.0,0.0,80.527626,29.818365,650.580445002,644.484466056,3.20568,2.89029894626
 01/02  09:00:00,168.239324678,6.67830418534,0.0,0.0,80.527626,75.0917375,618.01284981,579.476799709,24.0426,14.4934501008
 01/02  10:00:00,166.185273647,6.67830418534,0.0,0.0,80.527626,75.0917375,558.841350899,511.404019511,24.0426,23.3947313885
 01/02  11:00:00,169.900553177,6.67830418534,0.0,0.0,80.527626,79.0911225,498.699088705,443.221086473,32.0568,23.4212022319
 01/02  12:00:00,170.564412796,6.67830418534,0.0,0.0,80.527626,79.0911225,427.777661399,369.286802409,32.0568,26.4340589895
 01/02  13:00:00,169.756947222,6.67830418534,0.0,0.0,80.527626,79.0911225,399.74963031,338.252180051,32.0568,29.4406502598
 01/02  14:00:00,165.762513588,6.67830418534,0.0,0.0,80.527626,75.0917375,391.859353795,343.402532262,16.0284,32.428421533
