Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,171.20334796,52.7031175363,0.0,0.0,43.513341876,52.539744,506.013281225,501.159021225,4.83426,0.02
 01/01  02:00:00,167.96666791,49.7767616246,0.0,0.0,43.513341876,52.539744,456.942504013,452.088244013,4.83426,0.02
 01/01  03:00:00,177.867492312,59.0914658204,0.0,0.0,43.513341876,52.539744,617.779637397,612.925377397,4.83426,0.02
 01/01  04:00:00,168.760761406,50.4785707796,0.0,0.0,43.513341876,52.539744,488.468519996,483.614259996,4.83426,0.02
 01/01  05:00:00,179.230075496,59.7932749754,0.0,0.0,43.513341876,52.539744,667.833760667,654.385360645,4.83426,8.61414002211
 01/01  06:00:00,169.349225951,50.4785707796,0.0,0.0,43.513341876,52.539744,516.411351452,511.557091452,4.83426,0.02
 01/01  07:00:00,179.463115623,59.8422074093,0.0,0.0,43.513341876,52.539744,679.973657045,675.119397045,4.83426,0.02
 01/01  08:00:00,167.646023656,49.1238849034,0.0,0.0,43.513341876,52.539744,423.477424639,418.623164639,4.83426,0.02
 01/01  09:00:00,164.43130338,60.3302560825,0.0,0.0,43.513341876,52.539744,582.449449978,568.992610516,4.83426,8.62257946197
 01/01  10:00:00,146.350255125,45.8762563788,0.0,0.0,43.513341876,52.539744,322.220489745,317.366229745,4.83426,0.02
 01/01  11:00:00,156.031439413,55.2398930084,0.0,0.0,43.513341876,52.539744,381.153754303,376.299494303,4.83426,0.02
 01/01  12:00:00,148.569771187,47.2798746888,0.0,0.0,43.513341876,52.539744,261.255053284,247.797296085,4.83426,8.62349719858
 01/01  13:00:00,149.89928766,49.401178383,0.0,0.0,43.513341876,52.539744,287.402139098,282.547879098,4.83426,0.02
 01/01  14:00:00,139.956127813,39.7426975222,0.0,0.0,43.513341876,52.539744,184.458001411,179.603741411,4.83426,0.02
 01/01  15:00:00,145.352620734,44.9660820676,0.0,0.0,43.513341876,52.539744,253.149570053,239.700179923,4.83426,8.61513013081
 01/01  16:00:00,140.11331093,40.0375417533,0.0,0.0,43.513341876,52.539744,167.103115509,162.248855509,4.83426,0.02
 01/01  17:00:00,159.886014278,47.7733186876,0.0,0.0,43.513341876,52.539744,294.559026736,289.704766736,4.83426,0.02
 01/01  18:00:00,161.846896058,43.9535524522,0.0,0.0,43.513341876,52.539744,239.848953691,234.994693691,4.83426,0.02
 01/01  19:00:00,169.57995278,51.3944851554,0.0,0.0,43.513341876,52.539744,363.540452778,350.092770978,4.83426,8.61342180038
 01/01  20:00:00,160.913361473,42.5499341422,0.0,0.0,43.513341876,52.539744,244.382869116,239.528609116,4.83426,0.02
 01/01  21:00:00,168.916981172,50.2715905073,0.0,0.0,43.513341876,52.539744,367.201493869,362.347233869,4.83426,0.02
 01/01  22:00:00,165.853445916,47.5605983508,0.0,0.0,43.513341876,52.539744,328.206287199,323.352027199,4.83426,0.02
 01/01  23:00:00,177.274142531,58.8893006145,0.0,0.0,43.513341876,52.539744,468.236217306,463.381957306,4.83426,0.02
 01/01  24:00:00,166.849669646,47.8413220128,0.0,0.0,43.513341876,52.539744,334.857598016,321.408208702,4.83426,8.61512931346
 01/02  01:00:00,177.023693124,58.6085769525,0.0,0.0,43.513341876,52.539744,459.695092283,454.840832283,4.83426,0.02
 01/02  02:00:00,165.575040992,47.5605983508,0.0,0.0,43.513341876,52.539744,315.783486923,310.929226923,4.83426,0.02
 01/02  03:00:00,177.007503022,58.6085769525,0.0,0.0,43.513341876,52.539744,458.916898245,445.458282992,4.83426,8.62435525334
 01/02  04:00:00,165.570267529,47.5605983508,0.0,0.0,43.513341876,52.539744,313.196109775,308.341849775,4.83426,0.02
 01/02  05:00:00,177.418418845,58.6085769525,0.0,0.0,43.513341876,52.539744,452.899010557,439.440507838,4.83426,8.62424271924
 01/02  06:00:00,167.068596646,48.6834929988,0.0,0.0,43.513341876,52.539744,314.286321472,309.432061472,4.83426,0.02
 01/02  07:00:00,199.099869366,73.6124287044,0.0,0.0,43.513341876,53.238744,3395.7556852,3390.9014252,4.83426,0.02
 01/02  08:00:00,376.463809948,73.6124287044,0.0,0.0,220.879908,53.238744,3093.1858886,3052.98860982,4.83426,35.3630187793
 01/02  09:00:00,452.835886539,73.6124287044,0.0,0.0,220.879908,145.652643033,2999.99115124,2928.04363071,36.25695,35.6905705313
 01/02  10:00:00,448.881780177,73.6124287044,0.0,0.0,220.879908,145.652643033,2825.0408831,2734.47669732,36.25695,54.3072357803
 01/02  11:00:00,454.28535008,73.6124287044,0.0,0.0,220.879908,151.653867033,2588.63823741,2476.82721607,48.3426,63.4684213431
 01/02  12:00:00,455.082556864,73.6124287044,0.0,0.0,220.879908,151.653867033,2304.64101448,2201.641861,48.3426,54.6565534818
 01/02  13:00:00,453.934597579,73.6124287044,0.0,0.0,220.879908,151.653867033,2182.35721395,2069.39062965,48.3426,64.6239842967
 01/02  14:00:00,447.903953135,73.6124287044,0.0,0.0,220.879908,145.652643033,2161.44554328,2064.52514499,24.1713,72.7490982818
 01/02  15:00:00,447.870500078,73.6124287044,0.0,0.0,220.879908,145.652643033,2146.76211094,2068.2684434,24.1713,54.3223675332
 01/02  16:00:00,440.014504477,73.6124287044,0.0,0.0,220.879908,137.835547516,2108.1520801,2048.85783907,4.83426,54.459981031
 01/02  17:00:00,447.064656946,73.6124287044,0.0,0.0,220.879908,133.019064,2083.15692017,2024.41912089,4.83426,53.9035392802
 01/02  18:00:00,373.390172658,73.6124287044,0.0,0.0,220.879908,53.238744,2216.93655074,2167.17759419,4.83426,44.924696556
 01/02  19:00:00,373.393524984,73.6124287044,0.0,0.0,220.879908,53.238744,2235.6997486,2176.6984788,4.83426,54.1670097995
 01/02  20:00:00,373.801127132,73.6124287044,0.0,0.0,220.879908,53.238744,2217.13686331,2203.58621426,4.83426,8.71638904693
 01/02  21:00:00,373.769836087,73.6124287044,0.0,0.0,220.879908,53.238744,2250.27426452,2228.05422999,4.83426,17.3857745359
 01/02  22:00:00,120.155568054,2.5620132315,0.0,0.0,43.513341876,52.539744,24.7512421599,11.2137450365,4.83426,8.70323712342
 01/02  23:00:00,121.521149947,4.08368595431,0.0,0.0,43.513341876,52.539744,29.0481225706,15.5571426957,4.83426,8.65671987495
 01/02  24:00:00,127.909320591,9.25938924964,0.0,0.0,43.513341876,52.539744,53.2865836141,39.8094752986,4.83426,8.6428483155
 01/03  01:00:00,128.317091151,10.7599455952,0.0,0.0,43.513341876,52.539744,47.1488056113,42.2945456113,4.83426,0.02
 01/03  02:00:00,136.363154517,18.703010815,0.0,0.0,43.513341876,52.539744,87.7137178545,82.8594578545,4.83426,0.02
 01/03  03:00:00,151.366423269,33.7646925791,0.0,0.0,43.513341876,52.539744,95.2393610532,81.780707829,4.83426,8.6243932242
 01/03  04:00:00,154.693361713,36.9509077026,0.0,0.0,43.513341876,52.539744,147.198600071,142.344340071,4.83426,0.02
 01/03  05:00:00,160.867196114,41.0919765822,0.0,0.0,43.513341876,52.539744,136.396454928,122.937832967,4.83426,8.62436196084
 01/03  06:00:00,168.055435075,48.4126567947,0.0,0.0,43.513341876,52.539744,213.610072843,208.755812843,4.83426,0.02
 01/03  07:00:00,199.606506957,73.6124287044,0.0,0.0,43.513341876,53.238744,3523.06405969,3518.20979969,4.83426,0.02
 01/03  08:00:00,375.674269789,73.6124287044,0.0,0.0,220.879908,53.238744,2969.41590223,2929.21492853,4.83426,35.3667136971
 01/03  09:00:00,451.285702531,73.6124287044,0.0,0.0,220.879908,145.652643033,2568.60949897,2496.6635929,36.25695,35.6889560722
 01/03  10:00:00,448.100578825,73.6124287044,0.0,0.0,220.879908,145.652643033,2441.29545336,2350.7220511,36.25695,54.3164522631
 01/03  11:00:00,453.999334251,73.6124287044,0.0,0.0,220.879908,151.653867033,2331.91367379,2220.10999092,48.3426,63.4610828672
 01/03  12:00:00,454.87084486,73.6124287044,0.0,0.0,220.879908,151.653867033,2123.19937858,2020.18904288,48.3426,54.6677356964
 01/03  13:00:00,453.769887186,73.6124287044,0.0,0.0,220.879908,151.653867033,1997.26802319,1875.73623889,48.3426,73.1891842972
 01/03  14:00:00,447.762657091,73.6124287044,0.0,0.0,220.879908,145.652643033,1879.85542025,1791.50422487,24.1713,64.1798953854
 01/03  15:00:00,447.702352174,73.6124287044,0.0,0.0,220.879908,145.652643033,1798.91589849,1720.41034227,24.1713,54.3342562215
 01/03  16:00:00,439.813232294,73.6124287044,0.0,0.0,220.879908,137.835547516,1704.05145003,1637.9517131,4.83426,61.2654769287
 01/03  17:00:00,446.810941876,73.6124287044,0.0,0.0,220.879908,133.019064,1633.64134798,1581.62178108,4.83426,47.1853068953
 01/03  18:00:00,373.081617646,73.6124287044,0.0,0.0,220.879908,53.238744,1765.28261813,1715.52006283,4.83426,44.9282952987
 01/03  19:00:00,373.092507257,73.6124287044,0.0,0.0,220.879908,53.238744,1788.94350197,1729.9300948,4.83426,54.1791471705
 01/03  20:00:00,373.06274218,73.6124287044,0.0,0.0,220.879908,53.238744,1756.75796753,1734.51208045,4.83426,17.4116270781
 01/03  21:00:00,373.047048145,73.6124287044,0.0,0.0,220.879908,53.238744,1713.21094952,1699.67417397,4.83426,8.70251554736
 01/03  22:00:00,118.845285053,1.5574943278,0.0,0.0,43.513341876,52.539744,24.8474305018,2.6273308942,4.83426,17.3858396076
 01/03  23:00:00,118.837969545,1.41590393436,0.0,0.0,43.513341876,52.539744,8.08135947671,3.22709947671,4.83426,0.02
 01/03  24:00:00,121.488387055,2.93559977715,0.0,0.0,43.513341876,52.539744,19.8059011577,6.32906394819,4.83426,8.64257720948
 01/04  01:00:00,121.574340479,4.08368595431,0.0,0.0,43.513341876,52.539744,11.074341096,6.220081096,4.83426,0.02
 01/04  02:00:00,122.611016857,5.10460744289,0.0,0.0,43.513341876,52.539744,25.2001164862,11.7414006543,4.83426,8.62445583189
 01/04  03:00:00,121.919705508,4.42991777154,0.0,0.0,43.513341876,52.539744,16.195588243,11.341328243,4.83426,0.02
 01/04  04:00:00,127.819105716,10.2980847013,0.0,0.0,43.513341876,52.539744,28.4793218719,23.6250618719,4.83426,0.02
 01/04  05:00:00,128.94059478,11.0083222989,0.0,0.0,43.513341876,52.539744,37.069784501,23.6110341357,4.83426,8.62449036522
 01/04  06:00:00,129.988221469,12.0292437875,0.0,0.0,43.513341876,52.539744,50.7595953586,45.9053353586,4.83426,0.02
 01/04  07:00:00,198.080181828,73.6124287044,0.0,0.0,43.513341876,53.238744,2608.4123242,2603.5580642,4.83426,0.02
 01/04  08:00:00,373.940966693,73.6124287044,0.0,0.0,220.879908,53.238744,2109.33959288,2069.13712421,4.83426,35.3682086733
 01/04  09:00:00,450.764787866,73.6124287044,0.0,0.0,220.879908,145.652643033,1857.53892099,1784.03171969,36.25695,37.2502513061
 01/04  10:00:00,447.75087945,73.6124287044,0.0,0.0,220.879908,145.652643033,1767.60208737,1669.5772459,36.25695,61.7678914736
 01/04  11:00:00,453.717864416,73.6124287044,0.0,0.0,220.879908,151.653867033,1675.18376942,1572.45469196,48.3426,54.3864774613
 01/04  12:00:00,454.554033464,73.6124287044,0.0,0.0,220.879908,151.653867033,1521.30045892,1409.16469677,48.3426,63.7931621435
 01/04  13:00:00,452.618972824,73.6124287044,0.0,0.0,220.879908,151.653867033,1372.45902057,1260.07378978,48.3426,64.0426307856
 01/04  14:00:00,445.783437325,73.6124287044,0.0,0.0,220.879908,145.652643033,1210.06509506,1121.70251549,24.1713,64.1912795721
 01/04  15:00:00,445.556017719,73.6124287044,0.0,0.0,220.879908,145.652643033,1159.44890716,1080.92480867,24.1713,54.3527984833
 01/04  16:00:00,437.843977582,73.6124287044,0.0,0.0,220.879908,137.835547516,1147.13759575,1078.7710198,4.83426,63.5323159487
 01/04  17:00:00,445.111733365,73.6124287044,0.0,0.0,220.879908,133.019064,1111.14212056,1061.36894961,4.83426,44.9389109495
 01/04  18:00:00,371.595806586,73.6124287044,0.0,0.0,220.879908,53.238744,1256.65315858,1206.89566537,4.83426,44.92323321
 01/04  19:00:00,371.422898349,73.6124287044,0.0,0.0,220.879908,53.238744,1245.64030083,1186.60789101,4.83426,54.1981498246
 01/04  20:00:00,371.700060561,73.6124287044,0.0,0.0,220.879908,53.238744,1197.17209569,1174.92448704,4.83426,17.4133486575
 01/04  21:00:00,371.674113284,73.6124287044,0.0,0.0,220.879908,53.238744,1203.12839543,1189.5909424,4.83426,8.7031930223
 01/04  22:00:00,118.673057921,1.06192795077,0.0,0.0,43.513341876,52.539744,22.864905178,0.643991845691,4.83426,17.3866533323
 01/04  23:00:00,118.838187495,1.41590393436,0.0,0.0,43.513341876,52.539744,14.7804427228,1.28944083506,4.83426,8.65674188776
 01/04  24:00:00,120.304114359,1.76987991796,0.0,0.0,43.513341876,52.539744,6.56379511905,1.70953511905,4.83426,0.02
 01/05  01:00:00,118.914281934,1.41590393436,0.0,0.0,43.513341876,52.539744,15.1959487827,1.73743126888,4.83426,8.62425751386
 01/05  02:00:00,119.25195993,1.76987991796,0.0,0.0,43.513341876,52.539744,7.14875149419,2.29449149419,4.83426,0.02
 01/05  03:00:00,120.896894064,3.41674044932,0.0,0.0,43.513341876,52.539744,9.24883157429,4.39457157429,4.83426,0.02
 01/05  04:00:00,121.919501495,4.4376619379,0.0,0.0,43.513341876,52.539744,21.2102738864,7.75151744789,4.83426,8.62449643852
 01/05  05:00:00,129.172515893,11.2424780323,0.0,0.0,43.513341876,52.539744,24.3500537986,19.4957937986,4.83426,0.02
 01/05  06:00:00,130.657706677,12.7472255514,0.0,0.0,43.513341876,52.539744,30.2506388837,25.3963788837,4.83426,0.02
 01/05  07:00:00,198.299250587,73.6124287044,0.0,0.0,43.513341876,53.238744,3049.69464449,3036.23586593,4.83426,8.62451855187
 01/05  08:00:00,374.273832517,73.6124287044,0.0,0.0,220.879908,53.238744,2661.32388283,2629.95937831,4.83426,26.5302445166
 01/05  09:00:00,450.936607904,73.6124287044,0.0,0.0,220.879908,145.652643033,2492.65506758,2411.78030465,36.25695,44.6178129337
 01/05  10:00:00,447.935319339,73.6124287044,0.0,0.0,220.879908,145.652643033,2480.21595218,2389.65330633,36.25695,54.3056958487
 01/05  11:00:00,453.829914384,73.6124287044,0.0,0.0,220.879908,151.653867033,2412.32336934,2309.57012943,48.3426,54.4106399053
 01/05  12:00:00,454.827396782,73.6124287044,0.0,0.0,220.879908,151.653867033,2332.02722795,2219.88892276,48.3426,63.7957051891
 01/05  13:00:00,453.719952713,73.6124287044,0.0,0.0,220.879908,151.653867033,2234.93970577,2122.54394222,48.3426,64.053163551
 01/05  14:00:00,447.723529214,73.6124287044,0.0,0.0,220.879908,145.652643033,2175.29109476,2077.74112716,24.1713,73.3786676054
 01/05  15:00:00,447.686930321,73.6124287044,0.0,0.0,220.879908,145.652643033,2100.31015842,2021.81010138,24.1713,54.328757035
 01/05  16:00:00,439.821385301,73.6124287044,0.0,0.0,220.879908,137.835547516,2029.37800999,1970.0721098,4.83426,54.4716401843
 01/05  17:00:00,446.84650583,73.6124287044,0.0,0.0,220.879908,133.019064,2015.57168189,1956.82303772,4.83426,53.914384171
 01/05  18:00:00,373.138843217,73.6124287044,0.0,0.0,220.879908,53.238744,2159.02482013,2109.25252291,4.83426,44.9380372223
 01/05  19:00:00,373.159331055,73.6124287044,0.0,0.0,220.879908,53.238744,2171.51630649,2112.50338234,4.83426,54.1786641441
 01/05  20:00:00,373.560293727,73.6124287044,0.0,0.0,220.879908,53.238744,2102.2912226,2088.74045501,4.83426,8.71650758568
 01/05  21:00:00,373.531763008,73.6124287044,0.0,0.0,220.879908,53.238744,2088.88732222,2066.66707237,4.83426,17.3859898493
 01/05  22:00:00,119.217510537,1.62828952452,0.0,0.0,43.513341876,52.539744,18.3512249611,4.81298673764,4.83426,8.70397822349
 01/05  23:00:00,120.565941148,3.14872860924,0.0,0.0,43.513341876,52.539744,19.4528210999,5.96149264935,4.83426,8.65706845054
 01/05  24:00:00,123.470229246,4.88434833803,0.0,0.0,43.513341876,52.539744,26.6680018442,13.190672368,4.83426,8.64306947615
 01/06  01:00:00,125.285456423,7.76626323145,0.0,0.0,43.513341876,52.539744,19.1877128291,14.3334528291,4.83426,0.02
