Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,97.8366215849,23.3137263539,0.0,0.0,3.49369000822,6.81298672936,107.487361568,105.716111568,1.75125,0.02
 01/01  02:00:00,99.3945623622,25.0648372727,0.0,0.0,3.49369000822,6.81298672936,193.371745264,191.600495264,1.75125,0.02
 01/01  03:00:00,91.7998646162,17.5571743435,0.0,0.0,3.49369000822,6.81298672936,117.272523622,114.356890708,1.75125,1.1643829138
 01/01  04:00:00,99.6444895346,25.5732069697,0.0,0.0,3.49369000822,6.81298672936,227.981150747,226.209900747,1.75125,0.02
 01/01  05:00:00,106.194681219,25.0648372727,0.0,0.0,3.49369000822,6.81298672936,212.605975573,210.834725573,1.75125,0.02
 01/01  06:00:00,98.2360822591,17.5571743435,0.0,0.0,3.49369000822,6.81298672936,166.058298165,163.142709437,1.75125,1.16433872803
 01/01  07:00:00,128.282890254,34.097609293,0.0,0.0,6.98738001645,14.1499734587,890.16558935,886.64308935,3.5025,0.02
 01/01  08:00:00,137.544258156,34.097609293,0.0,0.0,6.98738001645,14.1499734587,821.889780414,817.222893157,3.5025,1.16438725737
 01/01  09:00:00,163.08153223,34.097609293,0.0,0.0,6.98738001645,14.1499734587,710.105629186,706.583129186,3.5025,0.02
 01/01  10:00:00,131.998709575,34.097609293,0.0,0.0,6.98738001645,14.1499734587,668.429708784,663.762714578,3.5025,1.16449420595
 01/01  11:00:00,166.671205541,34.097609293,0.0,0.0,27.9495200658,27.7759469175,598.435868493,591.410868493,7.005,0.02
 01/01  12:00:00,198.261046409,34.097609293,0.0,0.0,27.9495200658,27.7759469175,551.271884736,543.101934447,7.005,1.16495028826
 01/01  13:00:00,205.462893677,34.097609293,0.0,0.0,41.9242800987,36.8599292233,495.242651727,484.737654665,9.34,1.16499706223
 01/01  14:00:00,202.439936535,34.097609293,0.0,0.0,41.9242800987,36.8599292233,468.940836566,458.435827289,9.34,1.16500927682
 01/01  15:00:00,198.67400025,34.097609293,0.0,0.0,41.9242800987,36.8599292233,455.166395045,444.661427939,9.34,1.16496710605
 01/01  16:00:00,195.257733449,34.097609293,0.0,0.0,41.9242800987,36.8599292233,451.946256742,441.441290813,9.34,1.1649659291
 01/01  17:00:00,205.438049296,34.097609293,0.0,0.0,41.9242800987,36.8599292233,466.040225938,455.535213703,9.34,1.16501223462
 01/01  18:00:00,180.368982011,34.097609293,0.0,0.0,27.9495200658,27.7759469175,548.009482325,539.839519156,7.005,1.16496316915
 01/01  19:00:00,187.04927852,34.097609293,0.0,0.0,13.9747600329,18.6919646116,572.40759795,566.572729043,4.67,1.16486890623
 01/01  20:00:00,166.932005616,34.097609293,0.0,0.0,13.9747600329,18.6919646116,579.632592083,573.797680383,4.67,1.16491170034
 01/01  21:00:00,158.034610323,34.097609293,0.0,0.0,13.9747600329,18.6919646116,585.642021608,579.807345967,4.67,1.16467564095
 01/01  22:00:00,144.056628651,34.097609293,0.0,0.0,13.9747600329,18.6919646116,540.511343616,535.821343616,4.67,0.02
 01/01  23:00:00,83.233703724,7.11204684475,0.0,0.0,3.49369000822,6.81298672936,30.0617378737,27.1460382149,1.75125,1.16444965881
 01/01  24:00:00,130.3771613,17.7631766442,0.0,0.0,3.49369000822,6.81298672936,57.1009806302,55.3297306302,1.75125,0.02
 01/02  01:00:00,105.424494685,22.1946643859,0.0,0.0,3.49369000822,9.08398230582,97.3865258439,95.0315258439,2.335,0.02
 01/02  02:00:00,97.8238297062,20.74276588,0.0,0.0,3.49369000822,9.08398230582,103.85079131,100.351471313,2.335,1.16431999687
 01/02  03:00:00,96.3962028345,19.35127893,0.0,0.0,3.49369000822,9.08398230582,95.0083959794,92.6533959794,2.335,0.02
 01/02  04:00:00,101.623106655,24.8789111798,0.0,0.0,3.49369000822,9.08398230582,136.388342096,134.033342096,2.335,0.02
 01/02  05:00:00,105.190398677,21.5616476043,0.0,0.0,3.49369000822,9.08398230582,120.788199963,117.288904849,2.335,1.16429511387
 01/02  06:00:00,103.918732152,20.7379204079,0.0,0.0,3.49369000822,9.08398230582,113.284954826,110.929954826,2.335,0.02
 01/02  07:00:00,142.817129076,34.097609293,0.0,0.0,13.9747600329,18.6919646116,618.549636003,613.859636003,4.67,0.02
 01/02  08:00:00,151.927857643,34.097609293,0.0,0.0,13.9747600329,18.6919646116,575.394702004,569.560135543,4.67,1.16456646098
 01/02  09:00:00,218.103917116,34.097609293,0.0,0.0,34.9369000822,32.3179380704,547.913711366,539.721211366,8.1725,0.02
 01/02  10:00:00,238.746224597,34.097609293,0.0,0.0,62.886420148,41.4019203762,488.381355156,476.708819082,10.5075,1.16503607374
 01/02  11:00:00,228.854655914,34.097609293,0.0,0.0,62.886420148,41.4019203762,446.486215683,433.66843498,10.5075,2.31028070288
 01/02  12:00:00,259.887190724,34.097609293,0.0,0.0,62.886420148,41.4019203762,403.957738807,392.284719162,10.5075,1.16551964552
 01/02  13:00:00,239.719541008,34.097609293,0.0,0.0,62.886420148,41.4019203762,388.713767913,375.894902072,10.5075,2.31136584063
 01/02  14:00:00,236.276876171,34.097609293,0.0,0.0,62.886420148,41.4019203762,381.734269264,370.061046206,10.5075,1.16572305769
 01/02  15:00:00,232.482558952,34.097609293,0.0,0.0,62.886420148,41.4019203762,381.218362879,369.545336021,10.5075,1.1655268579
 01/02  16:00:00,229.085795718,34.097609293,0.0,0.0,62.886420148,41.4019203762,382.610205453,369.792026401,10.5075,2.3106790518
 01/02  17:00:00,239.276905557,34.097609293,0.0,0.0,62.886420148,41.4019203762,387.322860343,375.650110576,10.5075,1.16524976741
 01/02  18:00:00,242.658217713,34.097609293,0.0,0.0,62.886420148,41.4019203762,393.47697106,381.804258437,10.5075,1.16521262243
 01/02  19:00:00,242.15176425,34.097609293,0.0,0.0,41.9242800987,36.8599292233,404.444034905,393.938747013,9.34,1.16528789111
 01/02  20:00:00,225.951281,34.097609293,0.0,0.0,41.9242800987,36.8599292233,416.892279894,406.387340354,9.34,1.16493954014
 01/02  21:00:00,200.913070685,34.097609293,0.0,0.0,34.9369000822,32.3179380704,426.665046663,417.327661596,8.1725,1.16488506674
 01/02  22:00:00,144.133245492,34.097609293,0.0,0.0,13.9747600329,18.6919646116,407.202209275,401.367475278,4.67,1.16473399705
 01/02  23:00:00,78.7267309699,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  24:00:00,130.500541676,15.5525221389,0.0,0.0,3.49369000822,9.08398230582,49.4856309795,45.986253316,2.335,1.16437766345
 01/03  01:00:00,105.767973178,22.1946643859,0.0,0.0,3.49369000822,9.08398230582,61.8838607734,59.5288607734,2.335,0.02
 01/03  02:00:00,92.3964891055,15.1063197454,0.0,0.0,3.49369000822,9.08398230582,53.0300548578,49.5307301591,2.335,1.16432469878
 01/03  03:00:00,99.3774596482,22.3805904788,0.0,0.0,3.49369000822,9.08398230582,89.4076004275,87.0526004275,2.335,0.02
 01/03  04:00:00,99.3868272199,22.1946643859,0.0,0.0,3.49369000822,9.08398230582,90.753288964,88.398288964,2.335,0.02
 01/03  05:00:00,115.87046154,16.2179913454,0.0,0.0,3.49369000822,9.08398230582,80.0974858789,77.7424858789,2.335,0.02
 01/03  06:00:00,122.779158003,23.4922620788,0.0,0.0,3.49369000822,9.08398230582,132.003893557,128.504592982,2.335,1.16430057488
