Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.2242066254,3.70073868037,0.0,0.0,4.58992532963,8.1892,71.8628064206,60.4335767678,3.33988,8.08934965276
 01/01  02:00:00,14.6960133133,0.0,0.0,0.0,1.52997510988,7.4902,3.93196955288,0.0,3.33988,0.592089552877
 01/01  03:00:00,14.7169915003,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.7251006832,0.0,0.0,0.0,1.52997510988,7.4902,3.93195824905,0.0,3.33988,0.592078249051
 01/01  05:00:00,14.8723648382,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  06:00:00,22.3350595663,3.70073868037,0.0,0.0,4.58992532963,8.1892,79.8212195715,70.8794354305,8.3497,0.592084141056
 01/01  07:00:00,38.2773733775,3.70073868037,0.00792740791889,0.0,9.17985065927,19.4245,96.6450257389,74.7537727293,16.6994,5.19185300956
 01/01  08:00:00,45.7357661338,3.70073868037,0.00988522034697,0.0,9.17985065927,26.9147,99.605956573,69.3650221088,25.0491,5.19183446419
 01/01  09:00:00,41.5066119095,3.70073868037,0.00275216652148,0.0,9.17985065927,26.9147,105.698317587,67.1080397226,33.3988,5.1914778648
 01/01  10:00:00,34.0204493105,3.70073868037,0.0,0.0,9.17985065927,19.4245,99.2203744892,68.9788902382,25.0491,5.19238425096
 01/01  11:00:00,41.5315242793,3.70073868037,0.00360002409137,0.0,9.17985065927,26.9147,120.795330211,61.594090662,41.7485,17.452739549
 01/01  12:00:00,42.3008182173,3.70073868037,0.0,0.0,9.17985065927,26.9147,115.028244239,56.4074713808,41.7485,16.8722728577
 01/01  13:00:00,41.6010919366,3.70073868037,0.0,0.0,9.17985065927,26.9147,102.423571628,47.3345338185,41.7485,13.3405378094
 01/01  14:00:00,34.0843825127,3.70073868037,0.0,0.0,9.17985065927,19.4245,90.3177897524,42.9970879815,33.3988,13.9219017708
 01/01  15:00:00,34.0885793657,3.70073868037,0.0,0.0,9.17985065927,19.4245,79.8871146786,44.425657863,25.0491,10.4123568156
 01/01  16:00:00,34.0752102266,3.70073868037,0.0,0.0,9.17985065927,19.4245,91.9947181596,48.7607635705,33.3988,9.8351545891
 01/01  17:00:00,43.6148098267,3.70073868037,0.00410063483804,0.0,9.17985065927,26.9147,110.919087908,50.4083021674,50.0982,10.4125857401
 01/01  18:00:00,45.7542475538,3.70073868037,0.00162514172609,0.0,9.17985065927,26.9147,107.810593588,43.791176137,50.0982,13.9212174511
 01/01  19:00:00,45.7514610384,3.70073868037,0.0,0.0,9.17985065927,26.9147,109.440940234,42.472163032,50.0982,16.8705772017
 01/01  20:00:00,38.3834636702,3.70073868037,0.0,0.0,9.17985065927,19.4245,95.9497277796,45.681674649,33.3988,16.8692531306
 01/01  21:00:00,38.3655499877,3.70073868037,0.0,0.0,9.17985065927,19.4245,91.3735055189,44.0540719895,33.3988,13.9206335294
 01/01  22:00:00,38.2964916943,3.70073868037,0.0,0.0,9.17985065927,19.4245,92.8037527151,50.8851988074,25.0491,16.8694539077
 01/01  23:00:00,38.1892224415,3.70073868037,0.0,0.0,9.17985065927,19.4245,83.0277226934,52.9898229606,16.6994,13.3384997328
 01/01  24:00:00,38.9912275722,3.70073868037,0.0,0.0,9.17985065927,19.4245,60.9895300498,45.711873929,8.3497,6.92795612084
 01/02  01:00:00,22.2587765927,3.70073868037,0.0,0.0,4.58992532963,8.1892,65.5756566257,54.7358059828,3.33988,7.49997064296
 01/02  02:00:00,14.7142041492,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.7448639602,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.7608089872,0.0,0.0,0.0,1.52997510988,7.4902,3.93195969205,0.0,3.33988,0.592079692053
 01/02  05:00:00,14.91551636,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.3920012812,3.70073868037,0.0,0.0,4.58992532963,8.1892,55.6922521823,46.7504666007,8.3497,0.592085581584
 01/02  07:00:00,38.364799261,3.70073868037,0.014736377207,0.0,9.17985065927,19.4245,62.4275121075,40.5362844622,16.6994,5.19182764533
 01/02  08:00:00,45.8252938421,3.70073868037,0.0177492233373,0.0,9.17985065927,26.9147,82.5119702071,37.0364865582,25.0491,20.4263836489
 01/02  09:00:00,41.5879071201,3.70073868037,0.00380449026007,0.0,9.17985065927,26.9147,90.0601336472,38.0183785511,33.3988,18.6429550961
 01/02  10:00:00,34.0952767896,3.70073868037,0.0,0.0,9.17985065927,19.4245,79.4664859862,39.3138789581,25.0491,15.1035070281
 01/02  11:00:00,41.5864104915,3.70073868037,0.00401770148366,0.0,9.17985065927,26.9147,97.8116508342,42.140307703,41.7485,13.9228431312
 01/02  12:00:00,42.3292941321,3.70073868037,0.0,0.0,9.17985065927,26.9147,90.8825981987,34.0301275044,41.7485,15.1039706943
 01/02  13:00:00,41.6502205389,3.70073868037,0.0,0.0,9.17985065927,26.9147,80.6413690393,24.9700239234,41.7485,13.9228451159
 01/02  14:00:00,34.1185602129,3.70073868037,0.0,0.0,9.17985065927,19.4245,75.0176881764,29.4533496396,33.3988,12.1655385367
 01/02  15:00:00,34.1107396161,3.70073868037,0.0,0.0,9.17985065927,19.4245,73.0598142353,38.1774003453,25.0491,9.83331388995
 01/02  16:00:00,34.0860853914,3.70073868037,0.0,0.0,9.17985065927,19.4245,90.0699440056,46.2580458985,33.3988,10.4130981071
 01/02  17:00:00,43.6064589709,3.70073868037,0.00474383016636,0.0,9.17985065927,26.9147,117.464120805,56.9533497432,50.0982,10.4125710613
 01/02  18:00:00,45.7114221388,3.70073868037,0.0,0.0,9.17985065927,26.9147,128.383145223,64.3627849679,50.0982,13.9221602548
