Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.66401817,5.389770971,1.57050749441,0.136998537526,12.925468867,10.100111941,28.2916080874,22.5186904602,0.0,5.77291762721
 01/01  02:00:00,37.4457892933,5.34520599017,1.24754088467,0.28758968817,12.925468867,10.100111941,26.2476954699,26.2276954699,0.0,0.02
 01/01  03:00:00,32.5408987575,5.29467601586,0.907782810439,0.39202318825,8.34152022915,10.0650221343,33.0356248761,27.2707318499,0.0,5.76489302621
 01/01  04:00:00,32.4751071135,5.27079514945,0.735975841697,0.521917638938,8.34152022915,10.0650221343,34.0656277097,28.3006542846,0.0,5.76497342509
 01/01  05:00:00,34.3590000645,5.26422020813,0.62118719904,0.920387908817,8.34152022915,11.6705166398,35.0806563065,29.3087002491,0.0,5.77195605745
 01/01  06:00:00,38.6681175189,5.26238502523,0.575149492056,1.11889841951,8.80141237637,15.3678112995,32.6917516786,26.9110810721,0.0,5.78067060653
 01/01  07:00:00,58.8565279454,5.29935569794,0.851049978816,1.01749289343,18.5082010057,25.6353820695,41.6519345206,30.0787265665,0.0,11.5732079541
 01/01  08:00:00,75.9969456582,5.44199179791,1.87545022434,0.535233975756,19.4926561212,41.1001056674,48.8438563203,31.3703109814,0.0,17.4735453389
 01/01  09:00:00,94.1529742887,5.66776984958,3.87943246477,0.239459715063,26.3286599382,57.9988325916,72.4137527274,24.6506111653,0.0,47.7631415621
 01/01  10:00:00,80.7038222078,5.63289041776,5.64665607599,0.332238084064,26.2443270014,42.8153538416,74.4619840302,20.868186766,18.025,35.5687972641
 01/01  11:00:00,56.219222035,5.50677786308,4.95606273753,0.539473273108,21.7447113004,23.4437158914,66.1659451458,18.6221974857,18.025,29.5187476601
 01/01  12:00:00,53.8838190591,5.51670743156,4.92855394151,0.624029186092,19.3449162599,23.4437158914,64.7864982966,17.3307698505,18.025,29.4307284461
 01/01  13:00:00,54.3315137206,5.60088438333,5.28506193969,0.489219276115,19.190480192,23.7425572507,62.3044889928,14.941219912,18.025,29.3382690808
 01/01  14:00:00,54.6754180732,5.66345118463,5.69161258014,0.337883564962,19.260583323,23.698576057,51.2824635832,9.77667699933,18.025,23.4807865839
 01/01  15:00:00,54.4801061545,5.64290250403,5.63250058119,0.222232936032,19.260583323,23.698576057,56.4064706879,9.04214704069,18.025,29.3393236472
 01/01  16:00:00,53.3254545201,5.52522549896,4.93470174333,0.173006345466,19.260583323,23.4086260847,53.4206470093,11.9172061371,18.025,23.4784408722
 01/01  17:00:00,60.1140415497,5.43647593559,3.58886808819,0.176839234061,19.260583323,27.8781056672,37.7303697467,13.9328411593,18.025,5.77252858737
 01/01  18:00:00,71.2682665353,5.50069005834,2.41697428852,0.0480936216374,18.1807569449,37.5792895564,24.4175131598,12.8758307487,0.0,11.5416824111
 01/01  19:00:00,86.2660378862,5.6470459836,3.42273357902,0.0,32.6059821062,37.0465235296,23.0468573158,17.2579277604,0.0,5.78892955543
 01/01  20:00:00,87.1416004355,5.73917272836,3.97473111311,0.0,36.8143715336,33.066984531,31.3182879988,19.7280913646,0.0,11.5901966342
 01/01  21:00:00,93.5584786807,5.88826137801,4.88301814518,0.0,36.43363367,38.8072253906,38.1401807777,20.7665498602,0.0,17.3736309175
 01/01  22:00:00,91.2112204643,5.89947878602,4.88125652626,0.0,36.0963922311,36.7877557581,32.5626874179,20.9734096309,0.0,11.5892777871
 01/01  23:00:00,67.8581503844,5.62646212555,3.11898835433,0.00163638273989,30.9507766546,20.6087787026,38.8333315658,21.3596191502,0.0,17.4737124156
 01/01  24:00:00,44.1196737664,5.44604713472,1.98429025749,0.0135992958499,17.4250845679,11.7056064465,30.6019324966,19.0280976897,0.0,11.5738348069
 01/02  01:00:00,36.3206827787,5.38929418298,1.58327701557,0.100678339906,11.6412384099,10.0650221343,25.7971482876,20.0241149941,0.0,5.77303329355
 01/02  02:00:00,34.4881434765,5.34389774871,1.24827141861,0.209418890224,10.0992000411,10.047477231,21.7615177067,21.7415177067,0.0,0.02
 01/02  03:00:00,32.4346880852,5.31335037309,1.04652899084,0.247810062112,8.25718729233,10.0299323277,26.9793063675,21.2143143752,0.0,5.76499199231
 01/02  04:00:00,32.3081156679,5.29330850575,0.916218716868,0.271589006223,8.25718729233,10.0299323277,26.8601363937,21.0955330178,0.0,5.76460337588
 01/02  05:00:00,33.8241945042,5.27953253038,0.830118510135,0.280757523987,8.25718729233,11.6354268332,26.5152652292,20.7431832452,0.0,5.772081984
 01/02  06:00:00,41.5716959118,5.3017290339,1.04482588208,0.211147037601,12.1011305571,15.3678112995,27.5424603081,15.9678423553,0.0,11.5746179528
 01/02  07:00:00,72.9857672038,5.57233586651,2.87025569169,0.0,19.7275818095,37.2640762949,31.6926036465,14.2178664604,0.0,17.4747371861
 01/02  08:00:00,93.0367449043,5.76352416503,4.12520448637,0.0,24.3117294858,51.2795993405,37.6948374165,14.270851788,0.0,23.4239856285
 01/02  09:00:00,73.0812622214,5.46809964876,3.27713006889,0.0,23.6694662846,40.6342015617,45.8771309032,10.304433541,0.0,35.5726973622
 01/02  10:00:00,70.6026240752,5.55325453826,5.70564137713,0.0155586260585,23.6694662846,35.6302164847,62.5262610114,9.08447227015,18.025,35.4167887412
 01/02  11:00:00,52.8145083272,5.50702505821,5.45009049493,0.126274850391,18.7433767983,22.9618409725,56.8621299235,9.4020540131,18.025,29.4350759104
 01/02  12:00:00,52.9339168981,5.53461637172,5.53562310509,0.135146314786,18.7433767983,22.9618409725,50.2809140007,8.77388772405,18.025,23.4820262766
 01/02  13:00:00,52.5270688562,5.48847018694,5.16672456731,0.0998941686372,18.5889407304,23.1597249699,55.2736262925,7.90463195863,18.025,29.3439943338
 01/02  14:00:00,52.1028292176,5.42969118591,4.58237841262,0.0722786221677,18.7433767983,23.2517909448,49.0471860869,7.54160647643,18.025,23.4805796105
 01/02  15:00:00,52.2228307016,5.45242491803,4.69266953309,0.0592542417863,18.7433767983,23.2517909448,55.4126951999,8.04289385028,18.025,29.3448013496
 01/02  16:00:00,52.0197020091,5.46881754734,4.76641217539,0.0559409250821,18.7433767983,22.9618409725,51.9915099824,10.4880326204,18.025,23.4784773621
 01/02  17:00:00,58.6909875486,5.38021886662,3.26093766205,0.101961105603,18.7433767983,27.431320555,39.456713705,15.6591137753,18.025,5.77259992969
 01/02  18:00:00,73.4576175057,5.4551836715,2.06002673185,0.0379480231198,17.6635504202,40.6971502883,32.6007355735,21.0429722142,0.0,11.5577633592
 01/02  19:00:00,80.4894712697,5.5212391207,2.52477802138,0.0333215898778,27.5259009287,37.3340067412,45.6826125255,28.2349486095,0.0,17.447663916
 01/02  20:00:00,83.2460582847,5.57247791437,2.85977133593,0.0788877996888,33.8341110165,33.3544677425,43.0866318701,31.4965889115,0.0,11.5900429586
 01/02  21:00:00,92.1567594987,5.68002428009,3.45025213796,0.137399462791,36.5179666069,38.8247702939,47.4644597696,35.8736032601,0.0,11.5908565095
 01/02  22:00:00,86.6575198027,5.68768641339,3.40007554317,0.194968484931,32.965339924,36.8579353714,56.6888647554,39.2161794556,0.0,17.4726852998
 01/02  23:00:00,61.6217030705,5.44644018586,1.84440887069,0.503776970543,25.6355707503,20.6438685092,54.7494635866,43.1433130883,0.0,11.6061504983
 01/02  24:00:00,41.5921951194,5.29844135108,0.784654872341,1.23573665326,15.0252895274,11.7056064465,56.3261300725,44.7841350087,0.0,11.5419950638
 01/03  01:00:00,37.9740828348,5.29391178498,0.432648590192,3.00008726049,11.6412384099,10.0650221343,55.2053101878,49.4323812543,0.0,5.77292893352
 01/03  02:00:00,37.5506443949,5.29297356763,0.172122934623,4.39898945785,10.0992000411,10.047477231,59.9866021414,54.2218177888,0.0,5.76478435267
 01/03  03:00:00,37.2976329532,5.32680068735,0.0468495774185,6.09698286856,8.25718729233,10.0299323277,56.1503396925,56.1303396925,0.0,0.02
 01/03  04:00:00,39.1952267777,5.3832752279,0.03183871083,7.95311262658,8.25718729233,10.0299323277,64.1413401632,58.3764606385,0.0,5.7648795247
 01/03  05:00:00,42.3583241269,5.43227950418,0.0251109524365,9.46714436806,8.25718729233,11.6354268332,65.9393095814,60.1671031625,0.0,5.7722064189
 01/03  06:00:00,49.9536894856,5.43212773677,0.0244501367063,9.48311326681,12.1011305571,15.3678112995,68.4407250671,56.8659792262,0.0,11.5747458409
 01/03  07:00:00,76.3331019802,5.39892959993,0.63342433897,5.75756678971,19.7275818095,37.2640762949,72.0109507816,54.5389854667,0.0,17.4719653149
 01/03  08:00:00,93.9621383196,5.49109618652,1.75746308409,3.56555018716,24.3117294858,51.2795993405,76.1674019414,52.741997683,0.0,23.4254042584
 01/03  09:00:00,77.7927760545,5.40295456211,0.304507105394,7.7492727368,23.6694662846,40.6342015617,86.4119994829,44.9142724377,0.0,41.4977270451
 01/03  10:00:00,74.2615756365,5.46018487155,2.51488828135,6.9583299379,23.6694662846,35.6302164847,90.801265168,43.2608279545,18.025,29.5154372134
 01/03  11:00:00,57.6078031161,5.49395025503,2.73141295017,7.65131757362,18.7433767983,22.9618409725,90.5334594751,43.0710787493,18.025,29.4373807257
 01/03  12:00:00,57.5522822839,5.50408761498,2.82920844124,7.4904517044,18.7433767983,22.9618409725,90.1219647449,42.7468090409,18.025,29.350155704
 01/03  13:00:00,57.8177678386,5.49024159427,2.36255232003,8.19299306546,18.5889407304,23.1597249699,84.6295618437,43.1247079686,18.025,23.4798538751
 01/03  14:00:00,57.738867233,5.49677817352,2.51989741035,7.70370472894,18.7433767983,23.2517909448,89.1962798485,41.8250426528,18.025,29.3462371957
 01/03  15:00:00,58.2353520343,5.4581370486,2.11019561351,8.64853765847,18.7433767983,23.2517909448,82.7680829739,41.26792282,18.025,23.4751601539
 01/03  16:00:00,58.3261173896,5.46524149953,2.06935257271,9.06298672059,18.7433767983,22.9618409725,90.5029122189,43.1305424631,18.025,29.3473697558
 01/03  17:00:00,66.6951768642,5.47359392275,0.99862787326,10.2750850762,18.7433767983,27.431320555,69.243777098,45.445888839,18.025,5.77288825909
 01/03  18:00:00,81.1818243833,5.47650950633,0.353200331875,9.44765463024,17.6635504202,40.6971502883,54.7206092242,48.9318236429,0.0,5.78878558131
 01/03  19:00:00,88.0976056407,5.4963315606,0.486792284874,9.7043435091,27.5259009287,37.3340067412,76.3588988695,58.9104378027,0.0,17.4484610668
 01/03  20:00:00,90.947064658,5.52143832177,0.61660615664,10.0740907849,33.8341110165,33.3544677425,75.5603542081,63.9692472527,0.0,11.5911069554
 01/03  21:00:00,98.4495442008,5.54163878507,1.03144607655,8.98737448899,36.5179666069,38.8247702939,79.1623438682,67.5732036925,0.0,11.5891401758
 01/03  22:00:00,93.4702907246,5.56154589803,1.11805934932,9.41588432463,32.965339924,36.8579353714,87.4620133846,69.9872921452,0.0,17.4747212394
 01/03  23:00:00,73.7451911975,5.56705463495,0.18904874195,14.1620050788,25.6355707503,20.6438685092,89.2356687421,71.8352964219,0.0,17.4003723202
 01/03  24:00:00,57.4294053204,5.65038701076,0.0282452014322,17.4774098081,15.0252895274,11.7056064465,75.8042885849,70.0230891082,0.0,5.78119947672
 01/04  01:00:00,55.1133185764,5.72786788108,0.0179115508184,20.1201013958,11.6412384099,10.0650221343,77.8621262832,72.0889786295,0.0,5.77314765366
 01/04  02:00:00,56.0425096964,5.7979365807,0.0090459022974,22.5489662893,10.0992000411,10.047477231,80.7726584532,75.0076997935,0.0,5.76495865979
 01/04  03:00:00,55.4808025486,5.83635627037,0.00186938843023,23.8155735403,8.25718729233,10.0299323277,80.8405748997,75.07551243,0.0,5.76506246966
 01/04  04:00:00,56.5065805754,5.86664314334,0.0,24.8129350333,8.25718729233,10.0299323277,81.3995365169,75.6348598292,0.0,5.76467668774
 01/04  05:00:00,58.7513516431,5.88593264177,0.0,25.4316275767,8.25718729233,11.6354268332,81.3392072934,75.5663956553,0.0,5.7728116381
 01/04  06:00:00,64.6615531401,5.83925727604,0.0,23.8082932875,12.1011305571,15.3678112995,81.4805931463,69.9074318815,0.0,11.5731612648
 01/04  07:00:00,88.783761745,5.66500663778,0.0206636305155,18.5549013606,19.7275818095,37.2640762949,86.1591828754,68.6845055762,0.0,17.4746772992
 01/04  08:00:00,104.867943848,5.59031594268,0.1392568092,15.9903315888,24.3117294858,51.2795993405,93.1106550244,69.6845729527,0.0,23.4260820718
 01/04  09:00:00,90.7213105701,5.72706877397,0.0416921892859,20.6165022623,23.6694662846,40.6342015617,94.6675633999,59.0898152839,0.0,35.577748116
 01/04  10:00:00,87.3684315415,5.74064904608,1.45135377781,20.8482485469,23.6694662846,35.6302164847,102.872362086,55.3262765957,18.025,29.5210854899
 01/04  11:00:00,71.8115519299,5.80470336312,1.69167497481,22.5840482904,18.7433767983,22.9618409725,100.517822814,53.0550197291,18.025,29.4378030845
 01/04  12:00:00,71.2442844983,5.79082737607,1.77823989089,21.9466802648,18.7433767983,22.9618409725,97.801548828,50.4227527166,18.025,29.3537961115
 01/04  13:00:00,69.7873913406,5.75463246541,1.68772730838,20.5730454906,18.5889407304,23.1597249699,93.3259409316,45.9508563086,18.025,29.350084623
 01/04  14:00:00,67.5073725959,5.68136659806,1.81014502788,17.997376401,18.7433767983,23.2517909448,82.3079110861,40.8090355011,18.025,23.473875585
 01/04  15:00:00,65.9915837353,5.63982699681,1.89520648005,16.4380608464,18.7433767983,23.2517909448,85.322072974,37.9455196549,18.025,29.3515533191
 01/04  16:00:00,64.8469332622,5.61856381644,1.93977503428,15.5600600179,18.7433767983,22.9618409725,79.6820496166,38.1820046671,18.025,23.4750449495
 01/04  17:00:00,71.0298429407,5.58424432122,1.14389688843,14.3538252219,18.7433767983,27.431320555,60.762088118,36.9642968221,18.025,5.77279129587
 01/04  18:00:00,82.5970399057,5.48415222069,0.0639557311434,11.1444621883,17.6635504202,40.6971502883,48.6592889451,37.1008325966,0.0,11.5584563485
 01/04  19:00:00,88.0004173596,5.44573282935,0.0454171962692,10.0991214645,27.5259009287,37.3340067412,62.6368511974,45.1870082664,0.0,17.449842931
 01/04  20:00:00,89.7104338979,5.42162025364,0.0539062318806,9.49997561145,33.8341110165,33.3544677425,61.4073051929,49.8189637591,0.0,11.5883414339
 01/04  21:00:00,95.9477972034,5.36756960263,0.147515848716,7.54361986045,36.5179666069,38.8247702939,65.1706607516,53.5814518988,0.0,11.5892088528
 01/04  22:00:00,90.3530931213,5.37907619249,0.323823787587,7.27538241528,32.965339924,36.8579353714,73.6626976777,56.1892628482,0.0,17.4734348295
 01/04  23:00:00,70.8750035868,5.47460104457,0.0446309376072,11.5286846464,25.6355707503,20.6438685092,70.9059782776,59.2983558568,0.0,11.6076224208
 01/04  24:00:00,55.0248656554,5.59076376513,0.0223081204779,15.1384249263,15.0252895274,11.7056064465,70.9414057821,59.3989020324,0.0,11.5425037497
 01/05  01:00:00,52.7470129351,5.67147422247,0.0117944132153,17.8163035277,11.6412384099,10.0650221343,68.765847565,62.9927791928,0.0,5.77306837221
 01/05  02:00:00,53.5690782456,5.74015032096,0.00254277150197,20.1398237505,10.0992000411,10.047477231,66.9117568303,66.8917568303,0.0,0.02
 01/05  03:00:00,53.1024362393,5.78302333761,0.0,21.4924087817,8.25718729233,10.0299323277,73.9099647066,68.1450162603,0.0,5.76494844626
 01/05  04:00:00,54.3590302971,5.81984836672,0.0,22.7121768759,8.25718729233,10.0299323277,75.6802803041,69.9152308158,0.0,5.76504948837
 01/05  05:00:00,56.9965796155,5.85049097521,0.0,23.7122949581,8.25718729233,11.6354268332,77.0486717263,71.2760691206,0.0,5.77260260566
 01/05  06:00:00,63.261634858,5.81275519081,0.0,22.4348716372,12.1011305571,15.3678112995,78.4813478921,66.9060446109,0.0,11.5753032812
 01/05  07:00:00,86.0799341306,5.59815349292,0.0152316544782,15.9233502644,19.7275818095,37.2640762949,79.6884739817,62.2160039188,0.0,17.4724700628
 01/05  08:00:00,100.546229136,5.47269596086,0.0474294068426,11.8780555318,24.3117294858,51.2795993405,81.1372901101,57.7095743392,0.0,23.4277157709
 01/05  09:00:00,86.0455118296,5.60769060163,0.0857689074557,16.0159968934,23.6694662846,40.6342015617,83.0183673985,47.4380667769,0.0,35.5803006216
 01/05  10:00:00,83.0419003221,5.62376956674,1.72507838407,16.3648681847,23.6694662846,35.6302164847,98.7587308712,45.3159722748,18.025,35.4177585963
 01/05  11:00:00,67.1684238039,5.68263575934,2.00466517292,17.7499931423,18.7433767983,22.9618409725,89.7160661514,42.2520478828,18.025,29.4390182686
 01/05  12:00:00,66.4106681676,5.66352490373,2.11009667205,16.9085068014,18.7433767983,22.9618409725,86.9696392475,39.5949100321,18.025,29.3497292155
