Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,102.009085885,23.3137209426,3.97721706791,10.5580867359,4.12243109448,15.9888894789,99.0428553228,96.051124905,2.97173041782,0.02
 01/02  02:00:00,89.3534362579,19.5004113805,4.17631514544,10.1738940793,4.12243109448,15.9888894789,85.0316908858,82.039960468,2.97173041782,0.02
 01/02  03:00:00,106.136019027,24.3755142256,4.7729162449,14.6157805863,4.12243109448,15.9888894789,107.197249062,104.205518644,2.97173041782,0.02
 01/02  04:00:00,93.7013926922,19.5004113805,3.17349241168,12.8458608831,4.12243109448,15.9888894789,86.9304989859,83.9387685681,2.97173041782,0.02
 01/02  05:00:00,134.428296863,28.8167535006,4.95327885966,14.4946752616,12.3672932834,24.9413748627,122.961651708,117.988767679,4.9528840297,0.02
 01/02  06:00:00,161.364671274,28.392834699,9.3090255824,40.0395168955,12.3672932834,24.9413748627,189.659161681,184.686277651,4.9528840297,0.02
 01/02  07:00:00,217.304976215,29.3158586649,10.020446238,39.5826753229,24.7345865669,70.7195625826,179.816112634,169.890344575,9.90576805939,0.02
 01/02  08:00:00,234.480472352,29.3789193015,10.3729846346,28.850254559,37.1018798503,92.3937384068,160.415642505,150.489874445,9.90576805939,0.02
 01/02  09:00:00,228.462869197,29.3971338886,11.2715268663,25.2466861327,37.1018798503,104.434947198,151.030926261,141.105158201,9.90576805939,0.02
 01/02  10:00:00,234.296831237,29.4131548526,12.023753242,20.3025224671,37.1018798503,116.476155989,150.739655242,132.198709053,9.90576805939,8.63517812961
 01/02  11:00:00,229.854487531,29.4499956459,12.5790938183,17.2067841644,37.1018798503,116.476155989,135.385851546,125.460083487,9.90576805939,0.02
 01/02  12:00:00,227.542413732,29.4772998091,13.4824450449,15.4831177119,37.1018798503,116.476155989,138.870711432,120.321763792,9.90576805939,8.64317958088
 01/02  13:00:00,213.83497125,29.5211983287,14.9025555423,12.9394685125,37.1018798503,104.434947198,130.571471815,112.028414446,9.90576805939,8.63728930881
 01/02  14:00:00,222.95927689,29.5333224708,15.5670377135,12.5248612847,37.1018798503,116.476155989,118.167253893,108.241485834,9.90576805939,0.02
 01/02  15:00:00,221.80716012,29.5649379604,15.5744255166,11.6864941732,37.1018798503,116.476155989,125.306011681,106.759045419,9.90576805939,8.64119820315
 01/02  16:00:00,221.634763278,29.5851049372,15.5745779868,11.4984722021,37.1018798503,116.476155989,115.674837477,105.749069417,9.90576805939,0.02
 01/02  17:00:00,228.784056516,29.6038442272,15.5739860453,11.3154556167,37.1018798503,116.476155989,123.343621812,104.804360468,9.90576805939,8.63349328474
 01/02  18:00:00,237.102324632,29.6205826115,15.8504471364,11.1352482416,37.1018798503,116.476155989,113.743518734,103.817750675,9.90576805939,0.02
 01/02  19:00:00,142.902279878,27.8044051702,12.5268758042,0.0231347028739,24.7345865669,47.5788473902,86.8877803205,81.9148962908,4.9528840297,0.02
 01/02  20:00:00,143.312451631,28.2382687403,11.9390010143,0.202109726037,24.7345865669,47.5788473902,100.698433556,87.1349262721,4.9528840297,8.61062325424
 01/02  21:00:00,126.830579144,27.0812992199,9.89288244988,0.355300978482,12.3672932834,38.6892022431,104.916064782,101.924334364,2.97173041782,0.02
