Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4552051331,3.99717849363,0.0,0.0,4.58992532963,8.1892,116.080354948,105.813992166,3.33988,6.92648278247
 01/01  02:00:00,14.6335811492,0.0,0.0,0.0,1.52997510988,7.4902,3.93193801332,0.0,3.33988,0.592058013323
 01/01  03:00:00,14.6514590335,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.6632635979,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8135234115,0.0,0.0,0.0,1.52997510988,7.4902,3.93194393907,0.0,3.33988,0.592063939073
 01/01  06:00:00,22.5901715577,3.99717849363,0.0126412156415,0.0,4.58992532963,8.1892,129.591438634,121.221738634,8.3497,0.02
 01/01  07:00:00,38.5464984103,3.99717849363,0.0109678522589,0.0,9.17985065927,19.4245,137.806211644,116.492973557,16.6994,4.61383808712
 01/01  08:00:00,42.8325017045,3.99717849363,0.00928030409155,0.0,9.17985065927,26.9147,133.676585039,104.014465326,25.0491,4.61301971356
 01/01  09:00:00,41.780835408,3.99717849363,0.0013139777852,0.0,9.17985065927,26.9147,138.506829094,100.495103863,33.3988,4.61292523086
 01/01  10:00:00,34.2932217157,3.99717849363,0.0,0.0,9.17985065927,19.4245,135.124255689,106.036008715,25.0491,4.03914697379
 01/01  11:00:00,41.7927499113,3.99717849363,0.0100837261935,0.0,9.17985065927,26.9147,158.565563606,102.309714206,41.7485,14.5073494003
 01/01  12:00:00,42.5603869213,3.99717849363,0.0,0.0,9.17985065927,26.9147,151.868314366,96.1902155859,41.7485,13.9295987801
 01/01  13:00:00,41.8380641987,3.99717849363,0.0,0.0,9.17985065927,26.9147,140.46909536,87.1380916387,41.7485,11.5825037209
 01/01  14:00:00,34.3160967418,3.99717849363,0.0,0.0,9.17985065927,19.4245,128.737641343,83.7590333489,33.3988,11.5798079939
 01/01  15:00:00,34.318193903,3.99717849363,0.0,0.0,9.17985065927,19.4245,118.396084861,84.6798471369,25.0491,8.6671377243
 01/01  16:00:00,34.3041360171,3.99717849363,0.0,0.0,9.17985065927,19.4245,128.005684481,85.9398729479,33.3988,8.6670115333
 01/01  17:00:00,42.7946977904,3.99717849363,0.00788432741844,0.0,9.17985065927,26.9147,145.300436314,86.5357729835,50.0982,8.66646333084
 01/01  18:00:00,45.975603567,3.99717849363,0.0,0.0,9.17985065927,26.9147,147.799712351,86.1231664053,50.0982,11.5783459452
 01/01  19:00:00,45.9796270819,3.99717849363,0.0,0.0,9.17985065927,26.9147,147.357343,83.3319743777,50.0982,13.9271686221
 01/01  20:00:00,38.6237086863,3.99717849363,0.0,0.0,9.17985065927,19.4245,132.711788124,84.8025887762,33.3988,14.510399348
 01/01  21:00:00,38.6054493054,3.99717849363,0.0,0.0,9.17985065927,19.4245,129.385648994,84.4104864639,33.3988,11.5763625304
 01/01  22:00:00,38.5357768773,3.99717849363,0.0,0.0,9.17985065927,19.4245,130.842050236,91.8673191613,25.0491,13.925631075
 01/01  23:00:00,38.4252942151,3.99717849363,0.0,0.0,9.17985065927,19.4245,123.624085103,95.3451471915,16.6994,11.5795379111
 01/01  24:00:00,39.2351603961,3.99717849363,0.0,0.0,9.17985065927,19.4245,108.409248395,94.2894548381,8.3497,5.77009355724
 01/02  01:00:00,22.4770655384,3.99717849363,0.0,0.0,4.58992532963,8.1892,110.378699387,101.270543444,3.33988,5.76827594359
 01/02  02:00:00,14.6358149136,0.0,0.0,0.0,1.52997510988,7.4902,3.93193925737,0.0,3.33988,0.592059257369
 01/02  03:00:00,14.6572388762,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6713098495,0.0,0.0,0.0,1.52997510988,7.4902,3.93194518114,0.0,3.33988,0.592065181139
 01/02  05:00:00,14.8236438139,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.5940729547,3.99717849363,0.00615998156658,0.0,4.58992532963,8.1892,106.450206642,98.0805066421,8.3497,0.02
 01/02  07:00:00,38.5579547476,3.99717849363,0.0125491218747,0.0,9.17985065927,19.4245,112.623843689,91.3101367334,16.6994,4.61430695564
 01/02  08:00:00,42.8587283333,3.99717849363,0.0168988190289,0.0,9.17985065927,26.9147,123.841114914,81.3389388357,25.0491,17.4530760779
 01/02  09:00:00,41.8016967734,3.99717849363,0.0,0.0,9.17985065927,26.9147,126.733093799,78.2268244235,33.3988,15.107469375
 01/02  10:00:00,34.3167084919,3.99717849363,0.0,0.0,9.17985065927,19.4245,115.344805125,76.9630763047,25.0491,13.3326288201
 01/02  11:00:00,41.8120686951,3.99717849363,0.00802451054556,0.0,9.17985065927,26.9147,129.943021208,76.9861990935,41.7485,11.2083221141
 01/02  12:00:00,42.5778194837,3.99717849363,0.0,0.0,9.17985065927,26.9147,122.635606064,67.7626634543,41.7485,13.1244426099
 01/02  13:00:00,41.8641278433,3.99717849363,0.0,0.0,9.17985065927,26.9147,111.904539148,58.5777881027,41.7485,11.5782510455
 01/02  14:00:00,34.3460229368,3.99717849363,0.0,0.0,9.17985065927,19.4245,102.398224585,59.1665947066,33.3988,9.83282987883
 01/02  15:00:00,34.3517032897,3.99717849363,0.0,0.0,9.17985065927,19.4245,96.314989753,62.5984421697,25.0491,8.66744758323
 01/02  16:00:00,34.3372028805,3.99717849363,0.0,0.0,9.17985065927,19.4245,108.895056492,66.829230266,33.3988,8.66702622558
 01/02  17:00:00,42.8282209927,3.99717849363,0.00613259928469,0.0,9.17985065927,26.9147,122.853267846,64.0873929277,50.0982,8.66767491842
 01/02  18:00:00,46.0144141235,3.99717849363,0.0,0.0,9.17985065927,26.9147,120.216839204,58.5385561683,50.0982,11.5800830352
 01/02  19:00:00,46.0233536006,3.99717849363,0.00189329388971,0.0,9.17985065927,26.9147,117.999964117,52.2121946829,50.0982,15.6895694345
 01/02  20:00:00,38.6686392414,3.99717849363,0.0,0.0,9.17985065927,19.4245,102.254623911,51.9828890682,33.3988,16.8729348424
 01/02  21:00:00,38.6538693148,3.99717849363,0.0,0.0,9.17985065927,19.4245,98.8936071677,50.9829768892,33.3988,14.5118302785
 01/02  22:00:00,38.5819518702,3.99717849363,0.0,0.0,9.17985065927,19.4245,98.1128342071,57.3751019455,25.0491,15.6886322617
 01/02  23:00:00,38.4713058493,3.99717849363,0.0,0.0,9.17985065927,19.4245,90.294552089,60.8430169502,16.6994,12.7521351388
 01/02  24:00:00,39.270872439,3.99717849363,0.0,0.0,9.17985065927,19.4245,78.2769279232,62.9990532113,8.3497,6.92817471187
 01/03  01:00:00,22.5247579546,3.99717849363,0.0,0.0,4.58992532963,8.1892,79.6044412771,69.9195481587,3.33988,6.34501311839
 01/03  02:00:00,14.692068858,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.7167441374,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  04:00:00,14.7307215757,0.0,0.0,0.0,1.52997510988,7.4902,3.93196256078,0.0,3.33988,0.592082560776
 01/03  05:00:00,15.3998515596,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  06:00:00,23.1679593113,3.99717849363,0.0,0.0,4.58992532963,8.1892,77.2895083488,68.3477199031,8.3497,0.592088445755
 01/03  07:00:00,38.853364409,3.99717849363,0.016376236907,0.0,9.17985065927,19.4245,83.8431020616,62.5310729925,16.6994,4.61262906906
 01/03  08:00:00,42.929407862,3.99717849363,0.0216469036191,0.0,9.17985065927,26.9147,94.4401102388,52.5194407997,25.0491,16.8715694391
 01/03  09:00:00,41.8785376103,3.99717849363,0.00237164007756,0.0,9.17985065927,26.9147,96.914238646,47.8253338436,33.3988,15.6901048024
 01/03  10:00:00,34.4042691031,3.99717849363,0.0,0.0,9.17985065927,19.4245,81.8628928608,44.0609833313,25.0491,12.7528095295
 01/03  11:00:00,41.9188009633,3.99717849363,0.0114683140232,0.0,9.17985065927,26.9147,93.575697576,40.2476120461,41.7485,11.5795855298
 01/03  12:00:00,42.6481770945,3.99717849363,0.0,0.0,9.17985065927,26.9147,83.8878166457,29.3859168345,41.7485,12.7533998112
 01/03  13:00:00,41.9830480003,3.99717849363,0.0,0.0,9.17985065927,26.9147,74.4693074051,21.140601642,41.7485,11.5802057631
 01/03  14:00:00,34.4727692162,3.99717849363,0.0,0.0,9.17985065927,19.4245,65.0999970154,21.2908267641,33.3988,10.4103702513
 01/03  15:00:00,34.4792749046,3.99717849363,0.0,0.0,9.17985065927,19.4245,59.6524835822,25.9365800969,25.0491,8.66680348528
 01/03  16:00:00,34.4713888745,3.99717849363,0.0,0.0,9.17985065927,19.4245,71.3524694052,29.2866291495,33.3988,8.6670402557
 01/03  17:00:00,42.9926518644,3.99717849363,0.021070847301,0.0,9.17985065927,26.9147,80.4840111532,21.7185937546,50.0982,8.66721739857
 01/03  18:00:00,46.1893195836,3.99717849363,0.00675916778575,0.0,9.17985065927,26.9147,72.3047951455,10.6301589636,50.0982,11.5764361818
 01/03  19:00:00,46.2352497009,3.99717849363,0.0163706413914,0.0,9.17985065927,26.9147,65.9399613972,0.153620760583,50.0982,15.6881406366
 01/03  20:00:00,38.7345792746,3.99717849363,0.0,0.0,9.17985065927,19.4245,50.3473789545,0.0772431801314,33.3988,16.8713357744
 01/03  21:00:00,38.7219251779,3.99717849363,0.0,0.0,9.17985065927,19.4245,47.9097798302,0.0,33.3988,14.5109798302
 01/03  22:00:00,38.6697014153,3.99717849363,0.0,0.0,9.17985065927,19.4245,45.6930903507,4.95566571846,25.0491,15.6883246322
 01/03  23:00:00,38.6686862672,3.99717849363,0.0,0.0,9.17985065927,19.4245,35.9363142561,6.48463978888,16.6994,12.7522744673
 01/03  24:00:00,39.436755891,3.99717849363,0.0,0.0,9.17985065927,19.4245,22.9360950902,7.6580338962,8.3497,6.92836119398
 01/04  01:00:00,22.725151839,3.99717849363,0.0,0.0,4.58992532963,8.1892,23.7755311508,14.0915928075,3.33988,6.34405834323
 01/04  02:00:00,14.9012323352,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  03:00:00,14.9298372038,0.0,0.0,0.0,1.52997510988,7.4902,3.93193376692,0.0,3.33988,0.592053766918
 01/04  04:00:00,14.9469872846,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  05:00:00,15.1145685918,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  06:00:00,22.8667885983,3.99717849363,0.0,0.0,4.58992532963,8.1892,23.7586570967,14.8168629326,8.3497,0.592094164154
 01/04  07:00:00,38.8361729012,3.99717849363,0.0280975603812,0.0,9.17985065927,19.4245,32.5614487357,11.2494854015,16.6994,4.61256333413
 01/04  08:00:00,43.1240081956,3.99717849363,0.0343380187306,0.0,9.17985065927,26.9147,44.6065780719,2.6843351881,25.0491,16.8731428838
 01/04  09:00:00,42.0515695118,3.99717849363,0.00731868444729,0.0,9.17985065927,26.9147,52.2979329717,3.2097484077,33.3988,15.689384564
