Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,218.192818437,34.9197787524,64.5883650427,0.0,43.513341876,52.539744,208.284945915,203.430685915,4.83426,0.02
 01/01  02:00:00,206.590809005,35.8966799279,52.2485578211,0.0,43.513341876,52.539744,174.81402374,169.95976374,4.83426,0.02
 01/01  03:00:00,223.430364576,41.0836427098,63.5653709812,0.0,43.513341876,52.539744,255.694059767,250.839799767,4.83426,0.02
 01/01  04:00:00,200.117222756,30.9673228184,50.6923102664,0.0,43.513341876,52.539744,179.973027686,175.118767686,4.83426,0.02
 01/01  05:00:00,222.111119169,40.9633902192,61.919483405,0.0,43.513341876,52.539744,262.695340116,257.841080116,4.83426,0.02
 01/01  06:00:00,208.541828281,39.7172629586,49.9549821345,0.0,43.513341876,52.539744,198.843422733,185.397861977,4.83426,8.61130075607
 01/01  07:00:00,226.694620223,46.5072606135,60.9398495156,0.0,43.513341876,52.539744,273.934431386,269.080171386,4.83426,0.02
 01/01  08:00:00,176.686537288,23.326156757,49.5651127777,0.0,43.513341876,52.539744,150.916816527,146.062556527,4.83426,0.02
 01/01  09:00:00,178.724515783,15.6460366316,61.9701568411,0.0,43.513341876,52.539744,174.928959649,170.074699649,4.83426,0.02
 01/01  10:00:00,165.521897405,14.304687796,50.3938321252,0.0,43.513341876,52.539744,127.772865836,114.318279183,4.83426,8.62032665335
 01/01  11:00:00,182.808342568,18.9031643129,62.8277148974,0.0,43.513341876,52.539744,167.842817783,162.988557783,4.83426,0.02
 01/01  12:00:00,169.737556647,16.6142003366,51.4028697622,0.0,43.513341876,52.539744,113.13310257,108.27884257,4.83426,0.02
 01/01  13:00:00,180.693108905,14.8637389928,64.8350494552,0.0,43.513341876,52.539744,153.577431985,140.122837515,4.83426,8.62033446936
