Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,46.9075894277,5.78912265938,0.0381444733144,10.5138989541,12.925468867,10.100111941,47.7432288692,47.7232288692,0.0,0.02
 01/01  02:00:00,48.6814123865,5.87103374228,0.0300949267355,12.2150663551,12.925468867,10.100111941,56.4258593569,50.6654577354,0.0,5.76040162153
 01/01  03:00:00,45.9018007068,5.95847970647,0.0200971432333,13.977042212,8.34152022915,10.0650221343,58.2986467173,52.5383509505,0.0,5.76029576686
 01/01  04:00:00,47.1134820797,6.01437447481,0.0136394065364,15.1392888028,8.34152022915,10.0650221343,54.2545392252,54.2345392252,0.0,0.02
 01/01  05:00:00,49.5607453524,6.05391647313,0.00812189982015,15.9458172537,8.34152022915,11.6705166398,60.8303488957,55.0634427205,0.0,5.76690617526
 01/01  06:00:00,54.651690454,6.09661362963,0.00311761790374,16.8406682481,8.80141237637,15.3678112995,61.11869789,55.3451715144,0.0,5.77352637559
 01/01  07:00:00,73.0168850394,6.01118929503,0.0110093894227,15.3066060746,18.5082010057,25.6353820695,66.3207597329,54.7688088458,0.0,11.551950887
 01/01  08:00:00,79.642515771,5.8007836944,0.0355023256709,11.3149061679,19.4926561212,41.1001056674,63.955273218,52.3362139419,0.0,11.6190592761
 01/01  09:00:00,96.312522521,5.56492832482,0.517488725431,5.86504411994,26.3286599382,57.9988325916,83.895857712,42.3951076415,0.0,41.5007500705
 01/01  10:00:00,85.158443588,5.66331425468,1.90695345218,8.49699628221,26.2443270014,42.8153538416,88.564224997,41.0680118672,18.025,29.4712131298
 01/01  11:00:00,65.3023225566,5.85994079213,2.07249246394,12.1536045411,21.7447113004,23.4437158914,88.9037944922,41.5024728891,18.025,29.3763216032
 01/01  12:00:00,62.9903189523,5.86916300719,2.13188234417,12.175211452,19.3449162599,23.4437158914,81.5402527537,40.0665989984,18.025,23.4486537553
 01/01  13:00:00,62.3352372595,5.84298496259,2.01071766642,11.5254932052,19.190480192,23.7425572507,79.5152264242,38.1035974008,18.025,23.3866290234
 01/01  14:00:00,61.4623223503,5.80110385937,2.07651984675,10.6025335036,19.260583323,23.698576057,75.3397208361,33.9331539989,18.025,23.3815668372
 01/01  15:00:00,60.7712390921,5.7681505034,2.13616007068,9.88476554481,19.260583323,23.698576057,67.7614776988,32.1855907995,18.025,17.5508868993
 01/01  16:00:00,60.1772536693,5.75419371168,2.16690544682,9.56394408969,19.260583323,23.4086260847,74.2684072466,32.8474428215,18.025,23.3959644251
 01/01  17:00:00,66.1277438733,5.7770889023,1.30953470461,10.0135776777,19.260583323,27.8781056672,57.9277939945,34.1361169348,18.025,5.76667705965
 01/01  18:00:00,77.408736703,5.68943954778,0.0626167283126,8.35456664691,18.1807569449,37.5792895564,41.3691044037,35.5962099886,0.0,5.77289441504
 01/01  19:00:00,88.5351867191,5.55359266638,0.0902976632443,5.69550773553,32.6059821062,37.0465235296,50.5428450881,39.8028780806,0.0,10.7399670076
 01/01  20:00:00,87.1861387734,5.48061114227,0.213437896684,4.06502489184,36.8143715336,33.066984531,47.6376809847,41.0445797309,0.0,6.59310125373
 01/01  21:00:00,91.0972674573,5.43476414086,0.60300915665,2.27292416556,36.43363367,38.8072253906,53.8647878119,42.2998733386,0.0,11.5649144734
 01/01  22:00:00,88.7628611015,5.44474470269,0.719327177989,2.16893269119,36.0963922311,36.7877557581,54.2321908102,42.6669897941,0.0,11.5652010162
 01/01  23:00:00,69.9382515883,5.52597881805,0.142082085172,5.16007270645,30.9507766546,20.6087787026,55.5190192756,43.8997560582,0.0,11.6192632174
 01/01  24:00:00,50.8979942424,5.68882288735,0.0471104102155,8.48687244155,17.4250845679,11.7056064465,56.3711947829,44.8181291335,0.0,11.5530656494
 01/02  01:00:00,44.9572663353,5.76189006,0.0387244627203,9.90953432234,11.6412384099,10.0650221343,45.4060611647,45.3860611647,0.0,0.02
 01/02  02:00:00,44.6437093075,5.82297287117,0.0309329572384,11.1034836156,10.0992000411,10.047477231,51.9594439828,46.1989736531,0.0,5.76047032973
 01/02  03:00:00,43.5202746702,5.86002905315,0.024210172364,11.8092705311,8.25718729233,10.0299323277,51.7333135202,45.9728155255,0.0,5.7604979947
 01/02  04:00:00,43.8436576027,5.87628940608,0.019549740963,12.1210558985,8.25718729233,10.0299323277,51.6592738006,45.8995353021,0.0,5.75973849853
 01/02  05:00:00,45.5601675419,5.88242349282,0.0157785603575,12.2284944228,8.25718729233,11.6354268332,45.537114634,45.517114634,0.0,0.02
 01/02  06:00:00,52.3988429619,5.84670117804,0.0162647150669,11.5224324157,12.1011305571,15.3678112995,54.8850125388,43.3324447852,0.0,11.5525677536
 01/02  07:00:00,76.7005218483,5.58838047986,0.0729574053654,6.49695237349,19.7275818095,37.2640762949,52.9979300485,41.3796994502,0.0,11.6182305983
 01/02  08:00:00,86.6557331164,5.46801701991,0.484143302762,3.20881125526,24.3117294858,51.2795993405,61.2197068082,37.894296995,0.0,23.3254098133
 01/02  09:00:00,77.0340604487,5.60372110023,0.351115208405,6.74404955818,23.6694662846,40.6342015617,59.3779131153,29.8986788532,0.0,29.4792342621
 01/02  10:00:00,74.3644600428,5.6285723758,2.25525288936,7.15308585374,23.6694662846,35.6302164847,75.6315105263,28.2347298786,18.025,29.3717806476
 01/02  11:00:00,58.8659173828,5.72624714353,2.45137186325,8.95764680118,18.7433767983,22.9618409725,69.1801527543,27.7022426196,18.025,23.4529101347
 01/02  12:00:00,58.6220758411,5.71650381928,2.50233855795,8.67500945225,18.7433767983,22.9618409725,68.250405262,26.8281526187,18.025,23.3972526434
 01/02  13:00:00,57.8210073717,5.6848239603,2.36328203715,8.00122952613,18.5889407304,23.1597249699,66.4946176424,25.0805426521,18.025,23.3890749903
 01/02  14:00:00,57.0315384079,5.63850213735,2.34257329068,7.03228708403,18.7433767983,23.2517909448,64.0791110329,22.6682272785,18.025,23.3858837543
 01/02  15:00:00,55.7015369706,5.57422272927,2.3845565801,5.7245811764,18.7433767983,23.2517909448,56.5660018142,20.9988678572,18.025,17.542133957
