Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,87.4862901711,12.1868407111,0.0,0.0,3.49369000822,6.81298672936,34.9089527016,33.1377027016,1.75125,0.02
 01/01  02:00:00,89.7222418377,14.4275478525,0.0,0.0,3.49369000822,6.81298672936,43.6160655977,41.8448155977,1.75125,0.02
 01/01  03:00:00,86.4983751195,11.3533798899,0.0,0.0,3.49369000822,6.81298672936,33.0010540734,30.0854587147,1.75125,1.16434535871
 01/01  04:00:00,91.7007759394,16.8129809303,0.0,0.0,3.49369000822,6.81298672936,45.1947034835,43.4234534835,1.75125,0.02
 01/01  05:00:00,98.0944172193,16.6682549939,0.0,0.0,3.49369000822,6.81298672936,63.3908999514,61.6196499514,1.75125,0.02
 01/01  06:00:00,92.449886537,11.3533798899,0.0,0.0,3.49369000822,6.81298672936,43.1782607745,40.2626846158,1.75125,1.16432615867
 01/01  07:00:00,122.034438348,27.324708979,0.0,0.0,6.98738001645,14.1499734587,589.555946292,586.033446292,3.5025,0.02
 01/01  08:00:00,120.945340718,27.324708979,0.0,0.0,6.98738001645,14.1499734587,540.44187647,536.91937647,3.5025,0.02
 01/01  09:00:00,153.058025569,27.324708979,0.0,0.0,6.98738001645,14.1499734587,469.933529809,465.266622474,3.5025,1.1644073349
 01/01  10:00:00,125.595608065,27.324708979,0.0,0.0,6.98738001645,14.1499734587,458.471882593,454.949382593,3.5025,0.02
 01/01  11:00:00,160.228143192,27.324708979,0.0,0.0,27.9495200658,27.7759469175,427.018575345,418.848776837,7.005,1.16479850858
 01/01  12:00:00,191.660268636,27.324708979,0.0,0.0,27.9495200658,27.7759469175,406.881099413,398.71128947,7.005,1.16480994222
 01/01  13:00:00,198.796416821,27.324708979,0.0,0.0,41.9242800987,36.8599292233,371.208962418,360.703984065,9.34,1.16497835278
 01/01  14:00:00,196.013482289,27.324708979,0.0,0.0,41.9242800987,36.8599292233,351.065344987,340.560474041,9.34,1.1648709461
 01/01  15:00:00,192.294764612,27.324708979,0.0,0.0,41.9242800987,36.8599292233,336.016275904,326.656275904,9.34,0.02
 01/01  16:00:00,188.896570729,27.324708979,0.0,0.0,41.9242800987,36.8599292233,330.478687128,319.973775867,9.34,1.16491126144
 01/01  17:00:00,192.286704519,27.324708979,0.0,0.0,41.9242800987,36.8599292233,334.982978457,324.478145944,9.34,1.16483251258
 01/01  18:00:00,174.01969236,27.324708979,0.0,0.0,27.9495200658,27.7759469175,390.368146229,382.198276658,7.005,1.16486957156
 01/01  19:00:00,180.493292148,27.324708979,0.0,0.0,13.9747600329,18.6919646116,410.974816977,405.140173914,4.67,1.16464306317
 01/01  20:00:00,160.485553021,27.324708979,0.0,0.0,13.9747600329,18.6919646116,419.908682021,415.218682021,4.67,0.02
