Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,931.447609384,96.1573593755,549.387324247,0.0,34.9616554283,113.312780494,577.310023141,562.924991357,5.66466996096,8.72036182312
 01/01  02:00:00,965.739421019,96.1573593755,589.814109176,0.0,34.9616554283,113.312780494,588.503493382,565.418159275,5.66466996096,17.4206641464
 01/01  03:00:00,970.075403888,96.1573593755,594.823183347,0.0,34.9616554283,113.312780494,598.863856437,575.779778522,5.66466996096,17.4194079543
 01/01  04:00:00,957.708608328,96.1573593755,583.020704793,0.0,34.9616554283,113.312780494,599.076739847,584.690898859,5.66466996096,8.72117102723
 01/01  05:00:00,958.783780985,96.1573593755,570.631055447,0.0,44.4937663224,113.312780494,602.022290096,578.938496336,5.66466996096,17.4191237991
 01/01  06:00:00,955.298557892,96.1573593755,561.744584809,0.0,44.4937663224,113.312780494,612.683161668,581.100551491,14.1616749024,17.4209352738
 01/01  07:00:00,1022.26002365,96.1573593755,556.234603998,0.0,54.0258772165,176.889270242,550.919513291,513.877246354,28.3233498048,8.71891713249
 01/01  08:00:00,1011.51690961,96.1573593755,553.57199856,0.0,54.0258772165,184.38654557,566.679729399,506.774072903,42.4850247072,17.420631789
 01/01  09:00:00,1090.75505823,96.1573593755,551.070696528,0.0,65.1572554096,220.04316451,556.425507666,482.279415945,56.6466996096,17.4993921111
 01/01  10:00:00,1083.17139883,96.1573593755,549.245123281,0.0,65.1572554096,212.545889182,541.063265145,472.213702761,42.4850247072,26.3645376763
 01/01  11:00:00,1091.87028494,96.1573593755,549.82296722,0.0,65.1572554096,220.04316451,544.520845761,447.230924795,70.808374512,26.4815464544
 01/01  12:00:00,1094.6897749,96.1573593755,556.653711088,0.0,65.1572554096,220.04316451,534.379995516,428.262692592,70.808374512,35.308928412
 01/01  13:00:00,1104.17656189,96.1573593755,569.08088705,0.0,65.1572554096,220.04316451,513.676468026,416.381861629,70.808374512,26.4862318853
 01/01  14:00:00,1107.68206395,96.1573593755,579.370141061,0.0,65.1572554096,212.545889182,486.092975062,402.965295794,56.6466996096,26.4809796587
 01/01  15:00:00,1114.10386172,96.1573593755,585.701738762,0.0,65.1572554096,212.545889182,467.204930777,389.411881969,42.4850247072,35.3080241015
 01/01  16:00:00,1118.83360535,96.1573593755,586.322057998,0.0,65.1572554096,212.545889182,475.804859879,392.67262544,56.6466996096,26.4855348295
 01/01  17:00:00,1102.52937022,96.1573593755,580.609753638,0.0,65.1572554096,220.04316451,515.252716063,403.802218916,84.9700494144,26.4804477327
 01/01  18:00:00,1060.46842065,96.1573593755,570.984227642,0.0,54.0258772165,184.38654557,551.092297755,439.761742997,84.9700494144,26.3605053443
 01/01  19:00:00,1026.92610415,96.1573593755,562.573189851,0.0,44.4937663224,163.454314868,585.998634873,483.607966202,84.9700494144,17.4206192562
 01/01  20:00:00,1020.29663562,96.1573593755,553.829628594,0.0,44.4937663224,155.95703954,568.052437884,493.986300193,56.6466996096,17.4194380821
 01/01  21:00:00,984.313045197,96.1573593755,545.519176289,0.0,44.4937663224,124.558693486,599.177774826,533.809878785,56.6466996096,8.72119643129
 01/01  22:00:00,978.057384048,96.1573593755,540.411410832,0.0,44.4937663224,124.558693486,601.979300249,542.075104282,42.4850247072,17.4191712604
 01/01  23:00:00,968.748256976,96.1573593755,536.200660713,0.0,34.9616554283,124.558693486,607.304437644,561.560100147,28.3233498048,17.420987692
 01/01  24:00:00,963.11022123,96.1573593755,527.758449403,0.0,34.9616554283,124.558693486,591.531129039,568.650513154,14.1616749024,8.71894098283
 01/02  01:00:00,932.823345568,96.1573593755,499.253725914,0.0,46.0930336215,113.312780494,594.573139489,571.487596663,5.66466996096,17.4208728648
 01/02  02:00:00,903.967949845,96.1573593755,467.808918961,0.0,46.0930336215,113.312780494,601.658629057,578.574077688,5.66466996096,17.4198814077
 01/02  03:00:00,874.751152653,96.1573593755,437.151310258,0.0,46.0930336215,113.312780494,611.040498891,587.957082452,5.66466996096,17.4187464787
 01/02  04:00:00,844.65352444,96.1573593755,406.856054496,0.0,46.0930336215,113.312780494,608.708963768,594.323493676,5.66466996096,8.72080013115
 01/02  05:00:00,916.401232144,96.1573593755,387.16128444,0.0,100.150657288,148.969399434,582.524080327,559.439251387,5.66466996096,17.4201589792
 01/02  06:00:00,975.972630692,96.1573593755,442.337948328,0.0,100.150657288,149.894399434,1147.62940009,1116.04739867,14.1616749024,17.4203265203
 01/02  07:00:00,1188.82854026,96.1573593755,429.204865034,0.0,176.471037341,302.612436532,750.040777034,712.999109175,28.3233498048,8.71831805445
 01/02  08:00:00,1292.68148834,96.1573593755,434.69755438,0.0,243.2593065,310.10971186,705.761588245,636.899298707,42.4850247072,26.3772648307
 01/02  09:00:00,1394.7946624,96.1573593755,501.08364029,0.0,243.2593065,310.10971186,692.368568822,600.371752876,56.6466996096,35.3501163367
 01/02  10:00:00,1446.47625194,96.1573593755,525.0774703,0.0,243.2593065,302.612436532,654.7872303,576.816495851,42.4850247072,35.4857097411
 01/02  11:00:00,1457.74151754,96.1573593755,544.916569894,0.0,243.2593065,310.10971186,651.109093702,544.590346846,70.808374512,35.7103723436
 01/02  12:00:00,1472.83188613,96.1573593755,572.735440072,0.0,243.2593065,310.10971186,630.002557072,514.457216289,70.808374512,44.7369662714
 01/02  13:00:00,1445.30594334,96.1950155949,586.616437268,0.0,243.2593065,310.10971186,598.727099591,492.327011739,70.808374512,35.5917133401
 01/02  14:00:00,1466.53894117,96.3049635513,573.01511463,0.0,243.2593065,302.612436532,573.662877527,472.285479586,56.6466996096,44.7306983315
 01/02  15:00:00,1462.74246245,96.4047887929,568.064157355,0.0,243.2593065,302.612436532,540.471905144,453.33994109,42.4850247072,44.6469393468
