Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,65.1143320739,15.2064854271,12.9975145772,0.0,4.12243109448,15.9888894789,70.7090848819,67.7173544641,2.97173041782,0.02
 01/02  02:00:00,85.8407194415,22.8362405421,15.6047533425,0.0995430319987,4.12243109448,15.9888894789,99.0917124521,96.0999820342,2.97173041782,0.02
 01/02  03:00:00,78.3790790537,18.6504954959,13.5340638426,0.57283506008,4.12243109448,15.9888894789,80.7910295248,77.799299107,2.97173041782,0.02
 01/02  04:00:00,85.1493156585,22.6242943964,13.5630598393,0.627821552782,4.12243109448,15.9888894789,102.381231692,99.3895012743,2.97173041782,0.02
 01/02  05:00:00,116.082395651,27.9404188863,18.2682963202,1.47176770936,12.3672932834,24.9413748627,114.940164592,109.967280563,4.9528840297,0.02
 01/02  06:00:00,145.785052848,28.5931275425,24.7958341913,23.2739269925,12.3672932834,24.9413748627,184.362372748,179.389488719,4.9528840297,0.02
 01/02  07:00:00,189.412128825,29.061065666,15.9716241903,18.6833060068,24.7345865669,70.7195625826,156.927257142,147.001489082,9.90576805939,0.02
 01/02  08:00:00,199.176661479,29.2429025346,16.610872182,13.8672342901,37.1018798503,92.3937384068,134.293847226,124.368079166,9.90576805939,0.02
 01/02  09:00:00,207.934600664,29.3080912522,19.3239347836,12.3220282755,37.1018798503,104.434947198,126.427513592,116.501745533,9.90576805939,0.02
 01/02  10:00:00,219.418197901,29.3452335555,22.7516931796,10.9198898856,37.1018798503,116.476155989,131.67137399,113.137969383,9.90576805939,8.62763654792
 01/02  11:00:00,220.567704433,29.3812311861,27.5643414547,9.33862423636,37.1018798503,116.476155989,119.971115517,110.045347457,9.90576805939,0.02
 01/02  12:00:00,227.820177763,29.4367877661,36.5924671994,7.50713614938,37.1018798503,116.476155989,125.401821117,106.86395418,9.90576805939,8.63209887708
 01/02  13:00:00,224.243756405,29.5006458582,46.6282422478,5.87293811456,37.1018798503,104.434947198,114.001014038,104.075245979,9.90576805939,0.02
 01/02  14:00:00,242.155028537,29.574108161,54.1410491917,4.15609077591,37.1018798503,116.476155989,110.861503449,100.93573539,9.90576805939,0.02
 01/02  15:00:00,243.462698131,29.6707803181,56.589015664,2.91938959558,37.1018798503,116.476155989,116.592359463,98.054264012,9.90576805939,8.63232739151
 01/02  16:00:00,241.026345537,29.7488395058,54.7199077557,2.27425270567,37.1018798503,116.476155989,106.412056314,96.4862882545,9.90576805939,0.02
 01/02  17:00:00,239.391559216,29.7998548231,51.0632610644,1.8965239311,37.1018798503,116.476155989,113.962905014,95.4307349922,9.90576805939,8.6264019622
 01/02  18:00:00,246.68899008,29.7681479012,46.5688450337,1.97541385277,37.1018798503,116.476155989,106.090285597,96.1645175378,9.90576805939,0.02
 01/02  19:00:00,151.705859163,27.6578240253,36.9372442614,0.0,24.7345865669,47.5788473902,78.5728335781,73.5999495484,4.9528840297,0.02
 01/02  20:00:00,154.027730715,28.0817163168,38.8352182926,0.0,24.7345865669,47.5788473902,84.0748780856,79.1019940559,4.9528840297,0.02
 01/02  21:00:00,126.173030128,26.8100394425,33.5091275118,0.0,12.3672932834,38.6892022431,97.3997198262,94.4079894084,2.97173041782,0.02
 01/02  22:00:00,93.0773550925,15.3442886882,23.8293521678,0.0,12.3672932834,27.0668015668,69.1099562009,57.5328152814,2.97173041782,8.60541050171
 01/02  23:00:00,78.3138012362,19.3498412441,24.243217182,0.0,4.12243109448,15.9888894789,85.3597580256,82.3680276078,2.97173041782,0.02
 01/02  24:00:00,69.3175910475,13.5852122114,21.1970992487,0.00158022634927,4.12243109448,15.9888894789,58.1139622418,55.122231824,2.97173041782,0.02
 01/03  01:00:00,79.9049279377,19.5617873898,25.6223978941,0.0,4.12243109448,15.9888894789,92.9104524428,89.918722025,2.97173041782,0.02
 01/03  02:00:00,62.1718275251,11.4022434433,16.2826456916,0.0,4.12243109448,15.9888894789,48.9635088626,45.9717784448,2.97173041782,0.02
 01/03  03:00:00,81.5024295532,19.6572014217,27.132573138,0.0152929023135,4.12243109448,15.9888894789,85.4819065875,82.4901761697,2.97173041782,0.02
 01/03  04:00:00,59.5260066224,10.9783511519,14.021628925,0.0390882796005,4.12243109448,15.9888894789,49.9541170814,46.9623866636,2.97173041782,0.02
 01/03  05:00:00,117.626516457,28.2936624625,37.1665452651,0.0611754037471,12.3672932834,24.9413748627,113.139571491,108.166687462,4.9528840297,0.02
 01/03  06:00:00,130.731167548,28.2067203654,38.0579140154,12.3613998821,12.3672932834,24.9413748627,179.730646313,174.757762283,4.9528840297,0.02
 01/03  07:00:00,188.452819721,29.1030573897,37.840481482,11.258666593,24.7345865669,70.7195625826,145.912822038,135.987053978,9.90576805939,0.02
 01/03  08:00:00,208.5209086,29.4028885347,41.8869255002,7.03317264521,37.1018798503,92.3937384068,126.787904707,116.862136648,9.90576805939,0.02
 01/03  09:00:00,223.518644501,29.4903100285,46.0311399926,5.75590071019,37.1018798503,104.434947198,121.081059492,111.155291433,9.90576805939,0.02
 01/03  10:00:00,238.060049288,29.5503295463,49.6793622576,4.54743083884,37.1018798503,116.476155989,126.316776286,107.783313853,9.90576805939,8.62769437406
 01/03  11:00:00,239.588739102,29.6351121574,52.4325023388,3.2376036,37.1018798503,116.476155989,113.868668937,103.942900877,9.90576805939,0.02
 01/03  12:00:00,241.735312035,29.7447970166,55.2812247857,2.42551026096,37.1018798503,116.476155989,119.584375873,101.044679202,9.90576805939,8.63392861123
 01/03  13:00:00,232.64166289,29.8541401526,58.8671805276,1.67840382518,37.1018798503,104.434947198,108.761752951,98.835984892,9.90576805939,0.02
 01/03  14:00:00,247.434951197,29.9693547447,62.068863,1.11294502973,37.1018798503,116.476155989,115.323218925,96.7835292984,9.90576805939,8.63392156678
 01/03  15:00:00,249.462790935,30.1330305205,64.4002801253,0.645972478102,37.1018798503,116.476155989,104.618855666,94.693087607,9.90576805939,0.02
 01/03  16:00:00,250.111478158,30.2133692675,65.2256407876,0.389103284638,37.1018798503,116.476155989,106.630391065,93.3392796599,9.90576805939,3.3853433453
 01/03  17:00:00,251.798573242,30.2693130014,64.5598794632,0.337481610079,37.1018798503,116.476155989,107.565766811,92.3989399061,9.90576805939,5.2610588452
 01/03  18:00:00,260.315666455,30.1873520536,61.322906762,0.428814863309,37.1018798503,116.476155989,103.125713845,93.1999457861,9.90576805939,0.02
 01/03  19:00:00,161.796253189,27.6578240253,47.0276335967,0.0,24.7345865669,47.5788473902,75.5055688964,70.5326848667,4.9528840297,0.02
 01/03  20:00:00,164.208537153,28.2936624625,48.8040737976,0.0,24.7345865669,47.5788473902,80.9378853836,75.9650013539,4.9528840297,0.02
 01/03  21:00:00,134.185966996,27.2339317339,41.098168658,0.0,12.3672932834,38.6892022431,103.317262586,91.7369371824,2.97173041782,8.60859498631
 01/03  22:00:00,90.1792003759,14.4965041053,21.77898949,0.0,12.3672932834,27.0668015668,59.157740858,56.1660104402,2.97173041782,0.02
