Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4957448539,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.5267397125,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.5017403763,0.0,0.0,0.0,15.863942322,29.242365,6.08836475382,0.0,3.20568,2.88268475382
 01/01  04:00:00,55.4794199481,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.681369339,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.6600069178,0.0,0.0,0.0,15.863942322,29.242365,6.08842402004,0.0,3.20568,2.88274402004
 01/01  07:00:00,55.6701370002,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,47.0282620485,0.0,0.0,0.0,15.863942322,29.242365,6.08833516161,0.0,3.20568,2.88265516161
 01/01  09:00:00,47.0257907366,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.0393758972,0.0,0.0,0.0,15.863942322,29.242365,6.08986282594,0.0,3.20568,2.88418282594
 01/01  11:00:00,47.0386869367,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,47.7453908283,0.0,0.0,0.0,15.863942322,29.242365,6.08978866023,0.0,3.20568,2.88410866023
 01/01  13:00:00,47.0730222038,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.1464788235,0.0,0.0,0.0,15.863942322,29.242365,6.08993853519,0.0,3.20568,2.88425853519
 01/01  15:00:00,47.176601724,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.1659823979,0.0,0.0,0.0,15.863942322,29.242365,6.08832899711,0.0,3.20568,2.88264899711
 01/01  17:00:00,48.4780815487,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.5970071042,0.0,0.0,0.0,15.863942322,29.242365,6.08838834969,0.0,3.20568,2.88270834969
 01/01  19:00:00,55.5811456981,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.7806534699,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.7541046143,0.0,0.0,0.0,15.863942322,29.242365,6.08844762379,0.0,3.20568,2.88276762379
 01/01  22:00:00,55.6284488092,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.4639485628,0.0,0.0,0.0,15.863942322,29.242365,6.0883587893,0.0,3.20568,2.8826787893
 01/01  24:00:00,56.1705241209,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.4443005323,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.4352977833,0.0,0.0,0.0,15.863942322,29.242365,6.08996052003,0.0,3.20568,2.88428052003
 01/02  03:00:00,55.4258786913,0.0,0.0,0.0,15.863942322,29.242365,6.08988943684,0.0,3.20568,2.88420943684
 01/02  04:00:00,55.4162161128,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  05:00:00,55.6244531182,0.0,0.0,0.0,15.863942322,29.242365,6.08981834398,0.0,3.20568,2.88413834398
 01/02  06:00:00,55.6073401854,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  07:00:00,64.7916356866,7.48936245597,0.00287919752646,0.0,15.863942322,29.818365,344.45619045,338.366217305,3.20568,2.88429314478
 01/02  08:00:00,120.808595333,7.48936245597,0.00116150412813,0.0,80.527626,29.818365,309.64488254,303.55144364,3.20568,2.88775890097
 01/02  09:00:00,165.969716705,7.48936245597,0.00808485217077,0.0,80.527626,75.0917375,220.917783638,188.196519467,24.0426,8.67866417094
 01/02  10:00:00,165.568253435,7.48936245597,0.0038341793218,0.0,80.527626,75.0917375,163.354975892,121.851543468,24.0426,17.4608324242
 01/02  11:00:00,169.365727907,7.48936245597,0.00552438091395,0.0,80.527626,79.0911225,127.56140849,75.1224019319,32.0568,20.3822065578
 01/02  12:00:00,172.327856852,7.48936245597,2.25539346749,0.0,80.527626,79.0911225,67.2869703998,14.8026601114,32.0568,20.4275102884
 01/02  13:00:00,180.262259796,7.49097549144,10.8125494224,0.0,80.527626,79.0911225,53.0392020678,0.514099433147,32.0568,20.4683026347
 01/02  14:00:00,182.159956402,7.52440359061,16.5975308863,0.0,80.527626,75.0917375,39.5277295597,0.0856080776711,16.0284,23.413721482
 01/02  15:00:00,185.137334807,7.84463916312,19.2377228224,0.0,80.527626,75.0917375,33.4932612871,0.0,16.0284,17.4648612871
