Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.651618552,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.720172143,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,117.670740492,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,117.625942298,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  05:00:00,118.030338904,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  06:00:00,117.988525694,0.0,0.0,0.0,43.513341876,52.539744,13.4457814629,0.0,4.83426,8.61152146291
 01/01  07:00:00,118.010316728,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  08:00:00,99.9487741253,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  09:00:00,99.9451379945,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  10:00:00,99.9724016232,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,99.97001463,0.0,0.0,0.0,43.513341876,52.539744,13.4525920472,0.0,4.83426,8.61833204722
 01/01  12:00:00,100.887382987,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  13:00:00,100.035859803,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.17453799,0.0,0.0,0.0,43.513341876,52.539744,13.4526411831,0.0,4.83426,8.61838118314
