Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,162.02747943,31.238755071,37.6653048677,0.0,34.4311606118,33.1021868926,219.400744307,61.1321742186,3.33212,154.936450088
 01/01  02:00:00,156.585349984,31.238755071,32.1977534215,0.0,34.4311606118,33.1021868926,172.478788214,46.566765155,3.33212,122.579903059
 01/01  03:00:00,133.672206321,31.238755071,26.7160549782,0.0,19.466279405,30.610668775,164.995822181,43.2089019171,3.33212,118.454800264
 01/01  04:00:00,130.431296501,31.238755071,23.4873422781,0.0,19.466279405,30.610668775,164.266985213,40.6815060284,3.33212,120.253359184
 01/01  05:00:00,139.091024201,31.238755071,25.5899248957,0.0,19.466279405,30.610668775,203.417416194,38.7442143635,3.33212,161.341081831
 01/01  06:00:00,154.811793458,31.238755071,29.1146903731,0.0,19.466279405,30.610668775,240.750003952,35.1759724393,8.3303,197.243731513
 01/01  07:00:00,235.973338533,31.238755071,38.7046632845,0.0,42.6918050922,54.3732441037,333.841262878,36.7937049811,16.6606,280.386957897
 01/01  08:00:00,320.156988746,36.5654540564,61.9105108237,0.182435480274,49.3960418185,88.5934452969,730.338636446,234.902955831,24.9909,470.444780616
 01/01  09:00:00,359.060645974,36.5357100112,85.900615688,0.047933899839,57.6566862989,112.030105488,981.372935804,281.604890041,33.3212,666.446845763
 01/01  10:00:00,284.781510368,36.6916483431,67.3520131688,0.366564611028,50.9524495726,81.1684271793,834.953361476,292.553662149,66.8089,475.590799327
 01/01  11:00:00,239.585971299,36.8396528958,67.2131877061,0.201566427883,42.6918050922,68.9656133826,731.099607463,283.070153977,83.4695,364.559953486
 01/01  12:00:00,251.942928417,36.9658674256,83.3197353279,0.0,38.286128036,68.9656133826,643.122965537,268.889318596,83.4695,290.764146941
 01/01  13:00:00,246.402720413,37.0489093549,78.5631104042,0.0,38.286128036,68.9656133826,554.630712645,264.477909789,83.4695,206.683302857
 01/01  14:00:00,202.057724042,37.0497906055,53.2239226019,0.0,31.5818913096,56.727595265,562.6037356,280.809070915,75.1392,206.655464685
 01/01  15:00:00,214.385350767,37.0282447866,65.5429262078,0.0,31.5818913096,56.727595265,561.435106503,288.719987258,66.8089,205.906219244
