Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,118.932337422,25.3437603543,1.33802814582,19.3654815101,4.12243109448,15.9888894789,104.556587945,101.564857527,2.97173041782,0.02
 01/02  02:00:00,105.022701401,21.1198002952,2.61076612027,16.7651048455,4.12243109448,15.9888894789,82.9341561895,79.9424257716,2.97173041782,0.02
 01/02  03:00:00,126.500951692,26.399750369,1.88566066553,23.2173013665,4.12243109448,15.9888894789,104.303482233,101.311751816,2.97173041782,0.02
 01/02  04:00:00,109.714265364,21.1198002952,0.0836822521985,19.4356423728,4.12243109448,15.9888894789,86.7908147334,83.7990843155,2.97173041782,0.02
 01/02  05:00:00,159.202217371,31.2096735779,0.0,22.1210890516,12.3672932834,24.9413748627,136.371914402,131.399030372,4.9528840297,0.02
 01/02  06:00:00,186.568729682,30.7452965233,0.455646381722,49.2086380638,12.3672932834,24.9413748627,184.949409157,179.976525127,4.9528840297,0.02
 01/02  07:00:00,247.479140696,31.7293307485,1.61409056956,51.8075825543,24.7345865669,70.7195625826,190.850664853,180.924896794,9.90576805939,0.02
 01/02  08:00:00,265.467930491,31.8163130091,2.07292228416,38.5819076935,37.1018798503,92.3937384068,172.557271366,162.631503306,9.90576805939,0.02
 01/02  09:00:00,255.257800833,31.8392837525,2.06717837154,32.862749216,37.1018798503,104.434947198,165.420400387,155.494632328,9.90576805939,0.02
 01/02  10:00:00,262.923130364,31.8532777415,0.506098475303,29.4725966603,37.1018798503,116.476155989,176.209978308,157.670894355,9.90576805939,8.63331589383
 01/02  11:00:00,257.764211423,31.8637234875,0.276856648534,25.0381583829,37.1018798503,116.476155989,164.79551219,154.86974413,9.90576805939,0.02
 01/02  12:00:00,257.136188748,31.8722881185,0.72841282713,24.0635999481,37.1018798503,116.476155989,167.642914116,149.094503514,9.90576805939,8.64264254229
 01/02  13:00:00,242.4154607,31.904642596,0.0,20.3052104221,37.1018798503,104.434947198,168.288677457,149.745950434,9.90576805939,8.63695896397
 01/02  14:00:00,253.440996998,31.8981905407,0.0,20.6115602763,37.1018798503,116.476155989,163.009087366,153.083319306,9.90576805939,0.02
