Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,58.6355709312,3.28021322949,0.0,0.0,15.863942322,29.242365,56.7331549912,53.5074749912,3.20568,0.02
 01/01  02:00:00,58.1459237619,2.79771315195,0.0,0.0,15.863942322,29.242365,47.6999733212,44.4742933212,3.20568,0.02
 01/01  03:00:00,59.22999441,3.86046362792,0.0,0.0,15.863942322,29.242365,78.2138521131,72.1248771387,3.20568,2.8832949744
 01/01  04:00:00,58.9998685584,3.63344371533,0.0,0.0,15.863942322,29.242365,69.8516011387,66.6259211387,3.20568,0.02
 01/01  05:00:00,59.8171963951,4.22669636946,0.0,0.0,15.863942322,29.242365,84.0688101099,77.9798653632,3.20568,2.88326474663
 01/01  06:00:00,58.771749693,3.21329934907,0.0,0.0,15.863942322,29.242365,58.6584610554,55.4327810554,3.20568,0.02
 01/01  07:00:00,59.8141236014,4.22669636946,0.0,0.0,15.863942322,29.242365,79.0217146076,72.9327118676,3.20568,2.88332274003
 01/01  08:00:00,58.7384554089,3.24094974905,0.0,0.0,15.863942322,29.242365,48.9584272171,45.7327472171,3.20568,0.02
 01/01  09:00:00,50.6388010214,3.70221049926,0.0,0.0,15.863942322,29.242365,70.2785311412,64.187641795,3.20568,2.88520934623
 01/01  10:00:00,49.8908640511,2.95387371036,0.0,0.0,15.863942322,29.242365,58.1948993527,52.1040332909,3.20568,2.8851860618
 01/01  11:00:00,48.2904743063,1.37704994889,0.0,0.0,15.863942322,29.242365,20.261176554,17.035496554,3.20568,0.02
 01/01  12:00:00,49.390480226,1.76253647303,0.0,0.0,15.863942322,29.242365,25.1788659343,19.0880233898,3.20568,2.88516254452
 01/01  13:00:00,48.0370500738,1.15145361538,0.0,0.0,15.863942322,29.242365,13.1793272318,7.08846292612,3.20568,2.88518430571
 01/01  14:00:00,47.7402744699,0.819363851803,0.0,0.0,15.863942322,29.242365,6.93921724339,3.71353724339,3.20568,0.02
 01/01  15:00:00,47.4630526671,0.530716316822,0.0,0.0,15.863942322,29.242365,7.5260148567,1.4370349666,3.20568,2.88329989009
 01/01  16:00:00,46.9197838775,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,49.6802957474,0.0,0.0,0.0,15.863942322,29.242365,6.08894925127,0.0,3.20568,2.88326925127
 01/01  18:00:00,55.3962427685,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  19:00:00,56.0595245525,0.66126621302,0.0,0.0,15.863942322,29.242365,8.62721646437,2.53829742994,3.20568,2.88323903443
 01/01  20:00:00,57.7902748421,2.17559679423,0.0,0.0,15.863942322,29.242365,26.1561372712,22.9304572712,3.20568,0.02
 01/01  21:00:00,58.0130533413,2.40970075189,0.0,0.0,15.863942322,29.242365,33.3405505827,27.25166176,3.20568,2.88320882272
 01/01  22:00:00,58.3956446349,2.89845235633,0.0,0.0,15.863942322,29.242365,48.3925801999,45.1669001999,3.20568,0.02
 01/01  23:00:00,58.6462062152,3.29124274832,0.0,0.0,15.863942322,29.242365,55.9569166183,52.7312366183,3.20568,0.02
 01/01  24:00:00,59.5705318071,3.47019911186,0.0,0.0,15.863942322,29.242365,71.172678531,65.0836871952,3.20568,2.88331133578
 01/02  01:00:00,58.6617816458,3.29124274832,0.0,0.0,15.863942322,29.242365,75.47636786,69.3855173489,3.20568,2.88517051115
 01/02  02:00:00,59.7608757454,4.37072234144,0.0,0.0,15.863942322,29.242365,97.1978373462,93.9721573462,3.20568,0.02
 01/02  03:00:00,59.70577543,4.28769203924,0.0,0.0,15.863942322,29.242365,114.657547604,108.566671487,3.20568,2.88519611696
 01/02  04:00:00,60.019524056,4.55278490015,0.0,0.0,15.863942322,29.242365,154.26500612,148.174140247,3.20568,2.88518587268
 01/02  05:00:00,60.2005480899,4.49776422237,0.0,0.0,15.863942322,29.242365,148.189640887,144.963960887,3.20568,0.02
 01/02  06:00:00,60.3521271506,4.62280896119,0.0,0.0,15.863942322,29.242365,167.934469718,161.843596484,3.20568,2.88519323459
 01/02  07:00:00,65.9253739351,6.72099462978,0.0,0.0,15.863942322,29.818365,717.47081577,711.380045703,3.20568,2.88509006683
 01/02  08:00:00,130.665842727,6.72099462978,0.0,0.0,80.527626,29.818365,545.609319232,539.513780024,3.20568,2.88985920772
 01/02  09:00:00,166.254716255,6.72099462978,0.0,0.0,80.527626,75.0917375,471.28912305,435.657353254,24.0426,11.5891697957
 01/02  10:00:00,165.886315529,6.72099462978,0.0,0.0,80.527626,75.0917375,470.950380197,423.548131016,24.0426,23.3596491813
 01/02  11:00:00,169.733851207,6.72099462978,0.0,0.0,80.527626,79.0911225,441.668674874,389.14943911,32.0568,20.4624357639
 01/02  12:00:00,170.485538059,6.72099462978,0.0,0.0,80.527626,79.0911225,416.699815946,358.259718093,32.0568,26.3832978536
 01/02  13:00:00,169.628377186,6.72099462978,0.0,0.0,80.527626,79.0911225,395.001281572,336.498452739,32.0568,26.4460288337
 01/02  14:00:00,165.666390968,6.72099462978,0.0,0.0,80.527626,75.0917375,402.809331224,357.359019919,16.0284,29.4219113054
 01/02  15:00:00,165.608435707,6.72099462978,0.0,0.0,80.527626,75.0917375,366.252850158,326.855904534,16.0284,23.368545624
 01/02  16:00:00,163.568838222,6.72099462978,0.0,0.0,80.527626,73.092045,339.553566382,312.949460156,3.20568,23.3984262255
 01/02  17:00:00,166.425323986,6.72099462978,0.0,0.0,80.527626,73.092045,368.099736309,362.004240388,3.20568,2.8898159209
 01/02  18:00:00,129.048022789,6.72099462978,0.0,0.0,80.527626,29.818365,434.737464386,428.64226719,3.20568,2.88951719568
 01/02  19:00:00,129.117389711,6.72099462978,0.0,0.0,80.527626,29.818365,456.31148572,444.451909873,3.20568,8.65389584734
