Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,151.587894379,34.0680949931,0.0,0.0,43.513341876,52.539744,127.494616916,122.640356916,4.83426,0.02
 01/01  02:00:00,136.628481136,19.1566567229,0.0,0.0,43.513341876,52.539744,96.2964739101,91.4422139101,4.83426,0.02
 01/01  03:00:00,148.452749799,30.8744295674,0.0,0.0,43.513341876,52.539744,156.505190595,151.650930595,4.83426,0.02
 01/01  04:00:00,152.309985539,34.7997463175,0.0,0.0,43.513341876,52.539744,119.021343812,114.167083812,4.83426,0.02
 01/01  05:00:00,151.3156754,33.2789818769,0.0,0.0,43.513341876,52.539744,173.282233215,159.835369667,4.83426,8.6126035481
 01/01  06:00:00,141.488717882,23.5917530383,0.0,0.0,43.513341876,52.539744,104.414106324,99.5598463238,4.83426,0.02
 01/01  07:00:00,148.281909527,30.2599162827,0.0,0.0,43.513341876,52.539744,150.0378976,145.1836376,4.83426,0.02
 01/01  08:00:00,132.936866034,15.1678290964,0.0,0.0,43.513341876,52.539744,88.3954164547,83.5411564547,4.83426,0.02
 01/01  09:00:00,116.132426805,16.2066107293,0.0,0.0,43.513341876,52.539744,139.282740998,125.825824717,4.83426,8.62265628133
 01/01  10:00:00,118.276575053,18.397894895,0.0,0.0,43.513341876,52.539744,95.6844854854,90.8302254854,4.83426,0.02
 01/01  11:00:00,112.022090064,12.1483005559,0.0,0.0,43.513341876,52.539744,93.4472826295,88.5930226295,4.83426,0.02
 01/01  12:00:00,111.329447168,10.5805168555,0.0,0.0,43.513341876,52.539744,61.7923572035,48.3353422915,4.83426,8.62275491192
 01/01  13:00:00,104.950439364,5.19390816458,0.0,0.0,43.513341876,52.539744,55.0205314416,50.1662714416,4.83426,0.02
 01/01  14:00:00,103.942635462,4.15512653166,0.0,0.0,43.513341876,52.539744,34.4992259748,29.6449659748,4.83426,0.02
 01/01  15:00:00,105.004470196,5.19390816458,0.0,0.0,43.513341876,52.539744,36.5957578228,31.7414978228,4.83426,0.02
 01/01  16:00:00,103.915395653,4.15512653166,0.0,0.0,43.513341876,52.539744,32.4929690457,19.0445353503,4.83426,8.61417369548
 01/01  17:00:00,110.748178936,5.19390816458,0.0,0.0,43.513341876,52.539744,33.6785469768,28.8242869768,4.83426,0.02
 01/01  18:00:00,121.654435717,4.15512653166,0.0,0.0,43.513341876,52.539744,32.2998570548,27.4455970548,4.83426,0.02
 01/01  19:00:00,133.45538031,15.9247390588,0.0,0.0,43.513341876,52.539744,53.9152528546,49.0609928546,4.83426,0.02
 01/01  20:00:00,125.898959167,7.94893567125,0.0,0.0,43.513341876,52.539744,49.8749196683,45.0206596683,4.83426,0.02
 01/01  21:00:00,133.891900407,15.9073684221,0.0,0.0,43.513341876,52.539744,96.8669413713,83.4184606297,4.83426,8.61422074155
