Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,715.439737195,96.0362425323,279.264552722,0.0,34.9616554283,113.312780494,703.753906328,689.368909157,5.66466996096,8.72032721087
 01/01  02:00:00,667.171413632,96.0362425323,232.893155588,0.0,34.9616554283,113.312780494,768.149127088,745.06382157,5.66466996096,17.4206355574
 01/01  03:00:00,659.287874742,96.0362425323,225.509189461,0.0,34.9616554283,113.312780494,767.353762834,744.269696176,5.66466996096,17.4193966968
 01/01  04:00:00,656.930105276,96.0362425323,223.256326218,0.0,34.9616554283,113.312780494,760.689397233,746.303560699,5.66466996096,8.72116657248
 01/01  05:00:00,664.114611011,96.0362425323,222.596825326,0.0,44.4937663224,113.312780494,760.509194307,737.425407964,5.66466996096,17.4191163823
 01/01  06:00:00,659.936825975,96.0362425323,222.27556046,0.0,44.4937663224,113.312780494,769.752302139,738.169699576,14.1616749024,17.4209276604
 01/01  07:00:00,731.9167682,96.0362425323,221.980516613,0.0,54.0258772165,176.889270242,710.982610078,673.940346573,28.3233498048,8.71891369991
 01/01  08:00:00,725.902444083,96.0362425323,221.898735155,0.0,54.0258772165,184.38654557,718.95423178,659.048582814,42.4850247072,17.4206242588
 01/01  09:00:00,837.498785959,96.0362425323,264.421503549,0.0,65.1572554096,220.04316451,603.04623742,528.900153049,56.6466996096,17.4993847608
 01/01  10:00:00,971.688336287,96.0362425323,387.934107231,0.0,65.1572554096,212.545889182,542.183248834,473.333698285,42.4850247072,26.3645258413
 01/01  11:00:00,1110.24498879,96.0362425323,508.235707836,0.0,65.1572554096,220.04316451,557.887408405,460.597496743,70.808374512,26.4815371495
 01/01  12:00:00,1128.09808086,96.0362425323,523.422856122,0.0,65.1572554096,220.04316451,557.718447241,451.60115948,70.808374512,35.3089132482
 01/01  13:00:00,1137.01860485,96.0362425323,532.508054274,0.0,65.1572554096,220.04316451,540.161976137,442.867381438,70.808374512,26.4862201871
 01/01  14:00:00,1135.65209046,96.0362425323,538.258410653,0.0,65.1572554096,212.545889182,517.657042005,434.529371662,56.6466996096,26.4809707329
 01/01  15:00:00,1141.14399262,96.0362425323,539.82410753,0.0,65.1572554096,212.545889182,498.037198134,420.244164319,42.4850247072,35.3080091081
 01/01  16:00:00,1140.9600644,96.0362425323,537.978590592,0.0,65.1572554096,212.545889182,498.263278226,415.131055368,56.6466996096,26.4855232481
 01/01  17:00:00,1109.22726164,96.0362425323,532.34505332,0.0,65.1572554096,220.04316451,538.994375854,427.543887547,84.9700494144,26.4804388922
 01/01  18:00:00,1069.45867171,96.0362425323,523.722553561,0.0,54.0258772165,184.38654557,582.852385777,471.521841572,84.9700494144,26.3604947902
 01/01  19:00:00,1026.84131938,96.0362425323,514.334750025,0.0,44.4937663224,163.454314868,620.72186908,518.331208026,84.9700494144,17.4206116401
 01/01  20:00:00,972.570651496,96.0362425323,470.115836077,0.0,44.4937663224,155.95703954,604.17867427,530.11254344,56.6466996096,17.4194312205
 01/01  21:00:00,885.016134348,96.0362425323,414.801913491,0.0,44.4937663224,124.558693486,636.857743603,571.489851366,56.6466996096,8.72119262733
 01/01  22:00:00,846.211293563,96.0362425323,381.688383317,0.0,44.4937663224,124.558693486,639.878173688,579.973984471,42.4850247072,17.41916451
 01/01  23:00:00,830.67198681,96.0362425323,374.544996745,0.0,34.9616554283,124.558693486,644.893047807,599.148717539,28.3233498048,17.420980464
 01/01  24:00:00,808.211426379,96.0362425323,353.656398226,0.0,34.9616554283,124.558693486,631.58976221,608.709149601,14.1616749024,8.71893770648
 01/02  01:00:00,782.051437156,96.0362425323,331.37904515,0.0,46.0930336215,113.312780494,643.357385484,620.271849865,5.66466996096,17.4208656581
 01/02  02:00:00,777.132896628,96.0362425323,326.850720428,0.0,46.0930336215,113.312780494,650.418279048,627.33373471,5.66466996096,17.4198743777
 01/02  03:00:00,763.825596613,96.0362425323,312.312875857,0.0,46.0930336215,113.312780494,669.069355781,645.98594603,5.66466996096,17.4187397896
 01/02  04:00:00,749.728614998,96.0362425323,297.907607354,0.0,46.0930336215,113.312780494,672.507924229,658.122457887,5.66466996096,8.72079638058
 01/02  05:00:00,824.51886112,96.0362425323,282.330634317,0.0,100.150657288,148.969399434,659.183142673,636.09832039,5.66466996096,17.4201523216
 01/02  06:00:00,848.373270472,96.0362425323,301.162946112,0.0,100.150657288,149.894399434,1213.16672239,1181.58472807,14.1616749024,17.4203194199
 01/02  07:00:00,1060.77643885,96.0362425323,291.015553009,0.0,176.471037341,302.612436532,799.689108893,762.647534856,28.3233498048,8.71822423221
 01/02  08:00:00,1205.1656899,96.0362425323,323.522999124,0.0,243.2593065,310.10971186,746.081005124,677.218651471,42.4850247072,26.3773289456
 01/02  09:00:00,1296.3333194,96.0362425323,376.103004188,0.0,243.2593065,310.10971186,733.558764992,641.561963354,56.6466996096,35.3501020277
 01/02  10:00:00,1381.57138416,96.0362425323,428.036583084,0.0,243.2593065,302.612436532,695.965028188,617.99430773,42.4850247072,35.4856957517
 01/02  11:00:00,1458.68428977,96.0362425323,501.67020145,0.0,243.2593065,310.10971186,692.709695728,586.190967312,70.808374512,35.7103539036
 01/02  12:00:00,1466.08446909,96.0362425323,521.789961456,0.0,243.2593065,310.10971186,666.192227085,550.646903134,70.808374512,44.7369494388
 01/02  13:00:00,1429.68826336,96.0653014209,539.493297619,0.0,243.2593065,310.10971186,631.618731234,525.218660455,70.808374512,35.591696267
 01/02  14:00:00,1465.37505243,96.1745437776,551.12540331,0.0,243.2593065,302.612436532,625.116291687,523.738850056,56.6466996096,44.7307420205
 01/02  15:00:00,1467.77361227,96.2769167102,557.066799211,0.0,243.2593065,302.612436532,602.09862843,514.966681131,42.4850247072,44.6469225918
 01/02  16:00:00,1461.36182318,96.3697180738,561.108542923,0.0,243.2593065,302.612436532,599.877814375,507.593346438,56.6466996096,35.6377683273
 01/02  17:00:00,1465.13774303,96.4497900918,566.868904175,0.0,243.2593065,310.10971186,616.501191785,496.089037364,84.9700494144,35.4421050069
 01/02  18:00:00,1484.16870983,96.5280284907,571.985597098,0.0,243.2593065,310.10971186,592.15147524,489.648183392,84.9700494144,17.5332424337
 01/02  19:00:00,1223.82428528,96.0362425323,577.88186947,0.0,166.938926447,199.110933808,540.199579744,437.754789859,84.9700494144,17.4747404703
 01/02  20:00:00,1230.50958425,96.0362425323,590.697390167,0.0,166.938926447,191.61365848,516.846282854,437.256355882,56.6466996096,22.9432273618
 01/02  21:00:00,1109.72299783,96.0362425323,601.388380088,0.0,100.150657288,124.558693486,552.171572165,474.801254125,56.6466996096,20.7236184304
 01/02  22:00:00,1049.45545364,96.0362425323,578.473321353,0.0,100.150657288,124.558693486,524.052099549,472.842980294,42.4850247072,8.72409454776
 01/02  23:00:00,977.635201583,96.0362425323,573.635689867,0.0,46.0930336215,124.558693486,530.127014403,484.384357082,28.3233498048,17.4193075161
 01/02  24:00:00,971.933455027,96.0362425323,566.402667015,0.0,46.0930336215,124.558693486,516.260475319,484.677637627,14.1616749024,17.4211627896
 01/03  01:00:00,949.569515513,96.0362425323,555.617017274,0.0,46.0930336215,113.312780494,496.698565813,482.314738687,5.66466996096,8.71915716537
 01/03  02:00:00,947.973523537,96.0362425323,553.775638521,0.0,46.0930336215,113.312780494,505.69768861,482.611751546,5.66466996096,17.4212671032
 01/03  03:00:00,940.568374623,96.0362425323,545.803318339,0.0,46.0930336215,113.312780494,504.416588208,481.331701656,5.66466996096,17.4202165915
 01/03  04:00:00,933.511624345,96.0362425323,538.18713233,0.0,46.0930336215,113.312780494,502.808232178,479.724466854,5.66466996096,17.419095363
 01/03  05:00:00,1023.142011,96.0362425323,533.801645436,0.0,100.150657288,148.969399434,468.766668609,454.381008626,5.66466996096,8.72099002289
 01/03  06:00:00,1016.13703892,96.0362425323,525.211722031,0.0,100.150657288,149.894399434,831.140512662,799.557920475,14.1616749024,17.4209172847
 01/03  07:00:00,1245.56548317,96.212204888,526.933203395,0.0,176.471037341,302.612436532,572.044158176,526.300038333,28.3233498048,17.4207700382
 01/03  08:00:00,1356.85838565,96.5017094636,527.424271308,0.0,243.2593065,310.10971186,548.177126101,479.313632166,42.4850247072,26.3784692269
 01/03  09:00:00,1400.89008637,96.6243358164,534.47467162,0.0,243.2593065,310.10971186,543.365481556,460.194672304,56.6466996096,26.5241096421
 01/03  10:00:00,1446.50303085,96.7180087179,547.601664696,0.0,243.2593065,302.612436532,529.826758726,451.845390056,42.4850247072,35.4963439631
 01/03  11:00:00,1471.13425799,96.7991350085,565.972167844,0.0,243.2593065,310.10971186,556.028246822,440.568022894,70.808374512,44.6518494159
 01/03  12:00:00,1483.6982073,96.9213901531,578.327515887,0.0,243.2593065,310.10971186,527.258925506,420.662840545,70.808374512,35.7877104489
 01/03  13:00:00,1444.60819401,97.2677702475,581.254386853,0.0,243.2593065,310.10971186,523.973204973,408.679793422,70.808374512,44.485037039
 01/03  14:00:00,1493.4123599,97.804694479,597.904506496,0.0,243.2593065,302.612436532,491.066528102,395.155037007,56.6466996096,39.2647914859
 01/03  15:00:00,1495.77126501,98.4691012321,600.956486216,0.0,243.2593065,302.612436532,455.729277533,372.074147407,42.4850247072,41.1701054185
 01/03  16:00:00,1498.73552074,98.8639105649,604.174214509,0.0,243.2593065,302.612436532,464.769832151,365.002553554,56.6466996096,43.1205789877
 01/03  17:00:00,1506.00043557,99.0815681819,605.199241277,0.0,243.2593065,310.10971186,488.049691416,375.052453079,84.9700494144,28.0271889221
 01/03  18:00:00,1508.14696183,99.3203576327,592.410779462,0.0,243.2593065,310.10971186,508.939346507,397.67742874,84.9700494144,26.2918683522
 01/03  19:00:00,1227.60723241,96.0362425323,581.36405062,0.0,166.938926447,199.110933808,495.879562972,393.436792422,84.9700494144,17.4727211352
 01/03  20:00:00,1217.88031431,96.0362425323,574.599158327,0.0,166.938926447,191.61365848,476.640957974,402.520688243,56.6466996096,17.473570121
 01/03  21:00:00,1084.20642361,96.0362425323,568.26602711,0.0,100.150657288,124.558693486,520.23920171,446.118047949,56.6466996096,17.4744541516
 01/03  22:00:00,1047.18996012,96.0362425323,561.399100622,0.0,100.150657288,124.558693486,513.107060419,453.195077461,42.4850247072,17.4269582503
 01/03  23:00:00,978.975930094,96.0362425323,554.802044548,0.0,46.0930336215,124.558693486,510.326139489,473.283699468,28.3233498048,8.71909021604
 01/03  24:00:00,973.077729367,96.0362425323,547.955712761,0.0,46.0930336215,124.558693486,512.823587989,481.240909011,14.1616749024,17.4210040749
 01/04  01:00:00,958.6151601,96.0362425323,540.421468469,0.0,46.0930336215,113.312780494,510.542693857,487.456252137,5.66466996096,17.4217717594
 01/04  02:00:00,916.69803971,96.0362425323,494.923916703,0.0,46.0930336215,113.312780494,516.534073268,493.450238827,5.66466996096,17.4191644793
 01/04  03:00:00,886.265991778,96.0362425323,459.129782686,0.0,46.0930336215,113.312780494,512.841944409,498.456237667,5.66466996096,8.72103678084
 01/04  04:00:00,879.961630498,96.0362425323,449.811417417,0.0,46.0930336215,113.312780494,526.255525725,503.171778467,5.66466996096,17.4190772974
 01/04  05:00:00,945.4740514,96.0362425323,427.064610726,0.0,100.150657288,148.969399434,510.063113344,486.977502012,5.66466996096,17.420941371
 01/04  06:00:00,970.037103468,96.1711932747,444.537606736,0.0,100.150657288,149.894399434,811.092036401,788.21174966,14.1616749024,8.7186118387
 01/04  07:00:00,1194.1556543,96.8439861648,432.845880467,0.0,176.471037341,302.612436532,616.201669358,570.45735974,28.3233498048,17.4209598127
 01/04  08:00:00,1293.36624724,97.408554012,415.977858239,0.0,243.2593065,310.10971186,593.289558051,524.426895104,42.4850247072,26.377638239
 01/04  09:00:00,1341.46715521,98.2072961773,424.291914306,0.0,243.2593065,310.10971186,559.711424529,476.548947516,56.6466996096,26.5157774038
