Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,144.513339305,30.8973316764,20.635054013,0.0,34.4311606118,33.1021868926,172.946473306,46.2871243695,3.33212,123.327228937
 01/01  02:00:00,146.308727927,30.8973316764,22.3955268549,0.0,34.4311606118,33.1021868926,136.6962882,39.1273321696,3.33212,94.2368360306
 01/01  03:00:00,129.666708557,30.8973316764,23.2326941806,0.0,19.466279405,30.610668775,132.376505774,34.8305556388,3.33212,94.2138301347
 01/01  04:00:00,130.051086753,30.8973316764,23.6307521104,0.0,19.466279405,30.610668775,129.826386467,32.2791997676,3.33212,94.2150666998
 01/01  05:00:00,138.769138337,30.8973316764,25.7811171101,0.0,19.466279405,30.610668775,157.370469088,30.8786244723,3.33212,123.159724616
 01/01  06:00:00,153.780329829,30.8973316764,28.5502670261,0.0,19.466279405,30.610668775,199.873803746,30.381887683,8.3303,161.161616063
 01/01  07:00:00,256.761958229,32.0829778883,58.0550811634,0.0,42.6918050922,54.3732441037,263.885273834,30.1913818252,16.6606,217.033292008
 01/01  08:00:00,274.921009415,35.6399165238,29.9696056948,0.0,49.3960418185,88.5934452969,600.514855567,205.659331054,24.9909,369.864624513
 01/01  09:00:00,374.925288818,35.6399165238,103.567329305,0.0,57.6566862989,112.030105488,789.655400704,227.050853065,33.3212,529.283347639
 01/01  10:00:00,359.59877691,35.9688469465,143.447286779,0.0,50.9524495726,81.1684271793,629.041473976,181.468087704,66.8089,380.764486271
 01/01  11:00:00,303.870917669,36.2782912967,132.478294606,0.0,42.6918050922,68.9656133826,499.118476293,124.312463354,83.4695,291.336512939
 01/01  12:00:00,287.737934088,36.3342328161,120.481118201,0.0,38.286128036,68.9656133826,393.721114676,83.7698892664,83.4695,226.481725409
 01/01  13:00:00,287.007522726,36.3740181574,120.606320226,0.0,38.286128036,68.9656133826,322.475144097,69.0989132038,83.4695,169.906730893
 01/01  14:00:00,267.002713862,36.406448197,119.533209466,0.0,31.5818913096,56.727595265,309.469042149,71.2381970531,75.1392,163.091645096
 01/01  15:00:00,267.274689219,36.4355921961,119.780939954,0.0,31.5818913096,56.727595265,317.485651271,81.2931004101,66.8089,169.383650861
