Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.3667311835,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,60.8328511232,1.57933169215,3.88758314044,0.0,15.863942322,29.242365,7.52082893416,4.29514893416,3.20568,0.02
 01/01  03:00:00,59.844389155,1.35683476361,3.12544155051,0.0,15.863942322,29.242365,10.8435940428,4.75522933731,3.20568,2.88268470551
 01/01  04:00:00,60.7987449501,1.69604345451,3.74040362635,0.0,15.863942322,29.242365,12.0886283141,8.86294831406,3.20568,0.02
 01/01  05:00:00,59.8186166502,1.35683476361,2.88939203336,0.0,15.863942322,29.242365,12.3756323407,9.14995234074,3.20568,0.02
 01/01  06:00:00,61.7374700742,2.65985087064,3.51742021845,0.0,15.863942322,29.242365,35.5171244098,29.4287004671,3.20568,2.88274394266
 01/01  07:00:00,61.2307436933,2.90581096811,2.75439755024,0.0,15.863942322,29.242365,42.0196994001,38.7940194001,3.20568,0.02
 01/01  08:00:00,55.7475552798,2.52216409691,3.43572011906,0.0,15.863942322,29.242365,33.4360468022,27.347612413,3.20568,2.88275438921
 01/01  09:00:00,51.1570468733,1.35683476361,2.86170602652,0.0,15.863942322,29.242365,10.554701569,7.32902156896,3.20568,0.02
 01/01  10:00:00,49.7665351035,0.848021727254,1.92995191477,0.0,15.863942322,29.242365,8.6704593755,2.58052039493,3.20568,2.88425898058
 01/01  11:00:00,47.0081118954,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,47.7085821802,0.0,0.0,0.0,15.863942322,29.242365,6.08978858203,0.0,3.20568,2.88410858203
 01/01  13:00:00,47.0142558475,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.0603029875,0.0,0.0,0.0,15.863942322,29.242365,6.08993845885,0.0,3.20568,2.88425845885
 01/01  15:00:00,47.077926417,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.0648637735,0.0,0.0,0.0,15.863942322,29.242365,6.08832892511,0.0,3.20568,2.88264892511
 01/01  17:00:00,46.9547414152,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
