Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.4788334272,5.43818307641,1.00308472544,0.471322022872,12.925468867,10.100111941,34.9419886546,34.9219886546,0.0,0.02
 01/01  02:00:00,37.5596387475,5.4168305745,0.742312198316,0.835410839088,12.925468867,10.100111941,44.9541397995,39.1960140795,0.0,5.75812572
 01/01  03:00:00,33.7464645857,5.43643644754,0.485565412711,1.87841627847,8.34152022915,10.0650221343,40.2365312705,40.2165312705,0.0,0.02
 01/01  04:00:00,34.6197197922,5.46755030746,0.320308534451,2.8858134823,8.34152022915,10.0650221343,46.8493412424,41.0909403147,0.0,5.75840092771
 01/01  05:00:00,36.8991528956,5.49244955082,0.211718056692,3.64227061427,8.34152022915,11.6705166398,47.4954664996,41.7312243878,0.0,5.76424211179
 01/01  06:00:00,41.723007483,5.52007043969,0.13312252881,4.35874422165,8.80141237637,15.3678112995,47.098262083,41.3282404359,0.0,5.77002164713
 01/01  07:00:00,61.5070586965,5.52482482284,0.37885030058,3.91561678045,18.5082010057,25.6353820695,46.1792963407,40.3988626137,0.0,5.78043372693
 01/01  08:00:00,72.0888866953,5.58650288332,1.44178356367,2.56980211165,19.4926561212,41.1001056674,49.732779873,38.1303386935,0.0,11.6024411794
 01/01  09:00:00,95.2818838785,5.81410337494,4.28567691215,0.81774327633,26.3286599382,57.9988325916,61.1323642182,25.6666271127,0.0,35.4657371054
 01/01  10:00:00,81.5905681994,5.76329089624,6.14477355746,0.591802126385,26.2443270014,42.8153538416,64.3893579843,16.9634702357,18.025,29.4008877486
 01/01  11:00:00,56.9477970609,5.6447309642,5.43011784325,0.657007404683,21.7447113004,23.4437158914,53.8232604642,12.3441284317,18.025,23.4541320325
 01/01  12:00:00,54.7179055291,5.68963229497,5.79271440882,0.42175372864,19.3449162599,23.4437158914,50.8689321853,9.4401327601,18.025,23.4037994253
 01/01  13:00:00,55.0738799273,5.75344011347,6.15863586858,0.205933525153,19.190480192,23.7425572507,49.0293768683,7.65278235413,18.025,23.3515945142
 01/01  14:00:00,55.3051989383,5.80291831656,6.4562553432,0.0640271964076,19.260583323,23.698576057,40.0373735236,4.49759079672,18.025,17.5147827269
 01/01  15:00:00,55.353283378,5.81268205124,6.55320632474,0.00540536920778,19.260583323,23.698576057,45.7000863058,4.3207280819,18.025,23.3543582239
 01/01  16:00:00,54.6996606321,5.77363492571,6.23397953684,0.0,19.260583323,23.4086260847,48.1616895876,6.79046135623,18.025,23.3462282314
 01/01  17:00:00,57.4868758787,5.66740903629,4.67610271121,0.0,19.260583323,27.8781056672,27.7801982684,9.73519826843,18.025,0.02
 01/01  18:00:00,71.8729926179,5.67054698299,2.90055198215,0.0,18.1807569449,37.5792895564,18.4668768221,12.6969390912,0.0,5.76993773089
 01/01  19:00:00,86.7233763786,5.78250551082,3.74534705534,0.0,32.6059821062,37.0465235296,23.5041998773,17.7285957915,0.0,5.77560408574
 01/01  20:00:00,87.4488481651,5.84422212769,4.17791223207,0.0,36.8143715336,33.066984531,32.2778228485,20.7240531612,0.0,11.5537696872
 01/01  21:00:00,93.5709482409,5.94607477594,4.83865765229,0.0,36.43363367,38.8072253906,33.7109846631,24.0449569408,0.0,9.66602772229
 01/01  22:00:00,91.0673202667,5.93582754654,4.70198896557,0.0,36.0963922311,36.7877557581,33.0453337897,25.3712764321,0.0,7.67405735759
 01/01  23:00:00,67.6246272669,5.67161189365,2.81912589379,0.0242999515917,30.9507766546,20.6087787026,38.1294019215,26.5280903374,0.0,11.6013115841
 01/01  24:00:00,43.7890310019,5.49258120566,1.49165303675,0.12991600283,17.4250845679,11.7056064465,40.2597423547,28.716166704,0.0,11.5435756507
 01/02  01:00:00,36.1228715349,5.443693508,1.07512200879,0.357116328421,11.6412384099,10.0650221343,29.9531861806,29.9331861806,0.0,0.02
 01/02  02:00:00,34.4468263702,5.41429950848,0.809677352626,0.536660856431,10.0992000411,10.047477231,36.3786539124,30.6203094553,0.0,5.75834445707
 01/02  03:00:00,32.8067995403,5.40733884938,0.590161709541,0.982666659961,8.25718729233,10.0299323277,38.4765380145,32.7181547574,0.0,5.75838325714
 01/02  04:00:00,33.434945697,5.42755986893,0.443064874133,1.7376929373,8.25718729233,10.0299323277,34.3301156044,34.3101156044,0.0,0.02
 01/02  05:00:00,35.5970315373,5.44409430018,0.307769836248,2.41187127221,8.25718729233,11.6354268332,41.9685811926,36.2045721614,0.0,5.76400903117
 01/02  06:00:00,43.4530960899,5.45512415033,0.292990497241,2.69184760853,12.1011305571,15.3678112995,42.0860572373,36.3041947642,0.0,5.78186247314
 01/02  07:00:00,72.7863485026,5.5459748944,1.7238114231,0.9748562406,19.7275818095,37.2640762949,52.5313044264,35.1406209701,0.0,17.3906834563
 01/02  08:00:00,86.8307503259,5.70752601688,3.10508405304,0.524087551287,24.3117294858,51.2795993405,47.4553122453,29.9900755271,0.0,17.4652367182
 01/02  09:00:00,72.5066350087,5.47964701621,1.69653543329,0.99575593641,23.6694662846,40.6342015617,45.9553378916,22.4269630973,0.0,23.5283747943
 01/02  10:00:00,69.4667162658,5.46595166537,3.64741738175,1.02614638203,23.6694662846,35.6302164847,67.0708743586,19.7381540965,18.025,29.3077202621
 01/02  11:00:00,52.00719891,5.42403505338,3.31064138709,1.54212647289,18.7433767983,22.9618409725,58.6795681514,17.2466661922,18.025,23.4079019592
 01/02  12:00:00,51.8752069988,5.43937717544,3.74181014707,0.965965220633,18.7433767983,22.9618409725,49.3396101947,13.7915556126,18.025,17.5230545822
 01/02  13:00:00,51.6786783767,5.44370531843,4.00651232728,0.456959882872,18.5889407304,23.1597249699,51.294060774,9.91562934566,18.025,23.3534314283
 01/02  14:00:00,51.3959774915,5.40760580588,3.63841922207,0.331943586713,18.7433767983,23.2517909448,44.3368613763,8.79491050203,18.025,17.5169508743
 01/02  15:00:00,51.2834069099,5.39658278068,3.62752243082,0.241299798268,18.7433767983,23.2517909448,49.8957930238,8.51421274443,18.025,23.3565802793
 01/02  16:00:00,50.936147315,5.39081594172,3.62530052381,0.191975476091,18.7433767983,22.9618409725,51.1051660856,9.73166919356,18.025,23.348496892
 01/02  17:00:00,54.6908414127,5.39636589818,2.96439410064,0.150703270291,18.7433767983,27.431320555,27.7481563711,9.70315637115,18.025,0.02
 01/02  18:00:00,73.6480246127,5.51519139352,2.21168066837,0.0174266935496,17.6635504202,40.6971502883,21.4233706996,9.89172745058,0.0,11.531643249
 01/02  19:00:00,81.113909727,5.60979751393,3.09533001876,0.0,27.5259009287,37.3340067412,23.3679374054,11.7772240098,0.0,11.5907133956
 01/02  20:00:00,84.6216288129,5.72274200458,4.16494737522,0.0,33.8341110165,33.3544677425,14.5647922943,8.77736984994,0.0,5.78742244435
 01/02  21:00:00,94.9458521836,5.95289366109,6.10485809419,0.0,36.5179666069,38.8247702939,17.3130347734,5.75882930248,0.0,11.5542054709
 01/02  22:00:00,91.2492751032,6.13548604886,7.74047117429,0.0,32.965339924,36.8579353714,13.5204218562,1.91880985513,0.0,11.601612001
 01/02  23:00:00,65.2869903564,5.84638813429,5.6146282207,0.0,25.6355707503,20.6438685092,12.2599687442,0.693306009569,0.0,11.5666627347
 01/02  24:00:00,43.8398992685,5.6373021707,3.92984935915,0.0,15.0252895274,11.7056064465,6.06188169758,0.291765088862,0.0,5.77011660872
 01/03  01:00:00,38.3960497862,5.60614804754,3.54295881526,0.0,11.6412384099,10.0650221343,0.0781911615062,0.0581911615062,0.0,0.02
 01/03  02:00:00,36.5493233416,5.58833021359,3.2748028048,0.0,10.0992000411,10.047477231,5.84901804208,0.0907284792784,0.0,5.75828956281
 01/03  03:00:00,34.6168733918,5.57976862817,3.21046997082,0.0,8.25718729233,10.0299323277,5.75821884251,0.0,0.0,5.75821884251
 01/03  04:00:00,34.657830401,5.58378685031,3.24741341711,0.0,8.25718729233,10.0299323277,0.02,0.0,0.0,0.02
 01/03  05:00:00,36.3806343749,5.59395340855,3.35338202304,0.0,8.25718729233,11.6354268332,5.76421358887,0.0,0.0,5.76421358887
 01/03  06:00:00,44.7450040949,5.65533553166,4.07652935985,0.0,12.1011305571,15.3678112995,5.78158355689,0.0,0.0,5.78158355689
 01/03  07:00:00,79.5494480066,6.22745311973,8.78028193021,0.0,19.7275818095,37.2640762949,17.3921091315,0.0,0.0,17.3921091315
 01/03  08:00:00,96.4504118422,6.63544135349,12.3209050713,0.0,24.3117294858,51.2795993405,17.4663725778,0.0,0.0,17.4663725778
 01/03  09:00:00,80.3119009457,6.0489578676,9.92823903084,0.0,23.6694662846,40.6342015617,29.4050125994,0.0,0.0,29.4050125994
 01/03  10:00:00,76.3173330242,5.97245579611,11.0176715476,0.0,23.6694662846,35.6302164847,41.473964538,0.0,18.025,23.448964538
 01/03  11:00:00,56.1700991616,5.69475188955,8.74494666728,0.0,18.7433767983,22.9618409725,41.5548463581,0.122659548798,18.025,23.4071868094
 01/03  12:00:00,56.802849117,5.80263064351,9.27216091096,0.0,18.7433767983,22.9618409725,35.7428958759,0.193497031893,18.025,17.524398844
 01/03  13:00:00,57.7256463278,5.91921433022,10.0349285848,0.0,18.5889407304,23.1597249699,41.6967393263,0.31641682406,18.025,23.3553225022
 01/03  14:00:00,58.1124497968,5.97585303135,10.1185862653,0.0,18.7433767983,23.2517909448,41.3745177743,0.0,18.025,23.3495177743
 01/03  15:00:00,57.8546201813,5.97695522503,9.85965859854,0.0,18.7433767983,23.2517909448,35.5482210738,0.0,18.025,17.5232210738
 01/03  16:00:00,56.8115497607,5.92368336842,9.15980978937,0.0,18.7433767983,22.9618409725,41.8478691333,0.470789258801,18.025,23.3520798745
 01/03  17:00:00,59.5599047563,5.85889992544,7.52162158744,0.0,18.7433767983,27.431320555,21.7041106498,1.95669182351,18.025,1.72241882625
 01/03  18:00:00,77.813692234,5.96412104998,5.94584081921,0.0,17.6635504202,40.6971502883,13.7792445822,3.95451065321,0.0,9.82473392902
 01/03  19:00:00,84.6934853242,6.04102718583,6.2436676005,0.0,27.5259009287,37.3340067412,20.9197083015,9.32918065432,0.0,11.5905276472
 01/03  20:00:00,87.613967384,6.11758092743,6.76244125083,0.0,33.8341110165,33.3544677425,16.5970946027,10.8109881698,0.0,5.78610643283
 01/03  21:00:00,96.8644610048,6.27925977309,7.69709438773,0.0,36.5179666069,38.8247702939,24.9820576349,13.426797726,0.0,11.5552599088
 01/03  22:00:00,91.3081617388,6.29510977503,7.63972614942,0.0,32.965339924,36.8579353714,26.4215317752,14.8193608946,0.0,11.6021708806
 01/03  23:00:00,64.2696049457,5.87738775838,4.56623672872,0.0,25.6355707503,20.6438685092,29.5153043125,17.9484480636,0.0,11.5668562488
 01/03  24:00:00,42.4278661187,5.61031162698,2.54480356124,0.0,15.0252895274,11.7056064465,26.0557720987,20.2855875464,0.0,5.7701845523
 01/04  01:00:00,36.6631251681,5.5360697618,1.88010852232,0.0,11.6412384099,10.0650221343,27.5740625708,21.8096863677,0.0,5.76437620308
 01/04  02:00:00,34.6531295676,5.48331335722,1.48362584565,0.0,10.0992000411,10.047477231,24.1767564574,24.1567564574,0.0,0.02
 01/04  03:00:00,32.4579136523,5.44132228512,1.18995423351,0.0,8.25718729233,10.0299323277,31.0546616575,25.2962692701,0.0,5.75839238738
 01/04  04:00:00,32.2527508262,5.41545484324,1.01066341001,0.0,8.25718729233,10.0299323277,25.7143883252,25.6943883252,0.0,0.02
 01/04  05:00:00,33.6502087149,5.38912714037,0.827780652255,0.0,8.25718729233,11.6354268332,32.9796236405,27.2152347866,0.0,5.76438885385
 01/04  06:00:00,41.281424868,5.39225949557,0.847885891124,0.0281339797308,12.1011305571,15.3678112995,38.7543144505,27.2117606467,0.0,11.5425538037
 01/04  07:00:00,72.4620861728,5.59402426449,2.3263439309,0.0,19.7275818095,37.2640762949,39.5416191752,27.9405520942,0.0,11.601067081
 01/04  08:00:00,87.0488709654,5.79313943252,3.76165437998,0.0,24.3117294858,51.2795993405,43.9307734222,26.4641012925,0.0,17.4666721298
 01/04  09:00:00,73.0679868123,5.61026800345,3.12300728602,0.0,23.6694662846,40.6342015617,48.9428857336,19.5343165364,0.0,29.4085691972
 01/04  10:00:00,70.3398835652,5.63931916866,5.3733547304,0.0,23.6694662846,35.6302164847,58.8318879034,17.3556067516,18.025,23.4512811518
 01/04  11:00:00,52.3106746677,5.57451580196,4.97534497044,0.0304083507841,18.7433767983,22.9618409725,57.6416230674,16.2084203996,18.025,23.4082026678
 01/04  12:00:00,52.6385146976,5.62675389779,5.25562713975,0.0280732014579,18.7433767983,22.9618409725,56.0416152537,14.6596924039,18.025,23.3569228499
 01/04  13:00:00,52.8754969316,5.68170308732,5.41833561996,0.00395105906206,18.5889407304,23.1597249699,47.7442515815,12.1959657166,18.025,17.523285865
 01/04  14:00:00,53.5567229587,5.73111424235,5.80759871279,0.0,18.7433767983,23.2517909448,50.612765209,9.23700875942,18.025,23.3507564496
 01/04  15:00:00,53.7428070075,5.7480666377,5.97672741306,0.0,18.7433767983,23.2517909448,43.4958763009,7.95101051012,18.025,17.5198657907
 01/04  16:00:00,53.1088123656,5.71546890729,5.66528685255,0.0,18.7433767983,22.9618409725,52.6832170172,11.3039949291,18.025,23.3542220881
 01/04  17:00:00,56.0793559458,5.63244669039,4.26752033369,0.0,18.7433767983,27.431320555,37.6503954194,13.8613175448,18.025,5.76407787465
 01/04  18:00:00,74.4607157693,5.67750950417,2.87947251017,0.0,17.6635504202,40.6971502883,23.0204044465,17.2443556144,0.0,5.77604883209
 01/04  19:00:00,81.3256940477,5.71226072203,3.20463591658,0.0,27.5259009287,37.3340067412,35.3681214342,23.7778511568,0.0,11.5902702774
 01/04  20:00:00,83.9346532656,5.74482067999,3.45588096308,0.0,33.8341110165,33.3544677425,32.8389268898,27.0519499529,0.0,5.78697693695
 01/04  21:00:00,92.9963969558,5.86933302231,4.23895261443,0.0,36.5179666069,38.8247702939,41.3576544882,29.8033323562,0.0,11.5543221321
 01/04  22:00:00,87.5550372827,5.88588748441,4.29578447111,2.97537294633e-05,32.965339924,36.8579353714,42.1463822443,30.5432710841,0.0,11.6031111602
 01/04  23:00:00,62.0087153753,5.63211214857,2.50999362908,0.040623734231,25.6355707503,20.6438685092,43.329869215,31.7634418034,0.0,11.5664274116
 01/04  24:00:00,41.2093289603,5.46314149362,1.24777840018,0.225654663863,15.0252895274,11.7056064465,39.9704539876,34.2003141862,0.0,5.77013980145
 01/05  01:00:00,36.1171686796,5.41951596387,0.792412293026,0.658289312774,11.6412384099,10.0650221343,43.1788860139,37.4145902984,0.0,5.76429571547
 01/05  02:00:00,35.1667057749,5.42729198443,0.536029216928,1.51719281108,10.0992000411,10.047477231,39.5540607442,39.5340607442,0.0,0.02
 01/05  03:00:00,34.2564999194,5.46031966561,0.341984023614,2.62755827028,8.25718729233,10.0299323277,46.2308279587,40.4725961966,0.0,5.75823176209
 01/05  04:00:00,34.7421432578,5.47586605696,0.225389888847,3.21425013696,8.25718729233,10.0299323277,45.6378026346,39.8796351256,0.0,5.75816750897
 01/05  05:00:00,36.8949230447,5.49636565585,0.132261157082,3.83299455335,8.25718729233,11.6354268332,40.3215621874,40.3015621874,0.0,0.02
