Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.3972551281,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.3775236232,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.3711693803,0.0,0.0,0.0,15.863942322,29.242365,6.08874274671,0.0,3.20568,2.88306274671
 01/01  04:00:00,55.3686585932,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.5748444357,0.0,0.0,0.0,15.863942322,29.242365,6.08879221567,0.0,3.20568,2.88311221567
 01/01  06:00:00,56.0098695944,0.451279440531,0.0,0.0,15.863942322,29.242365,3.32135813267,0.0956781326693,3.20568,0.02
 01/01  07:00:00,56.9948129717,1.42211432506,0.0,0.0,15.863942322,29.242365,6.44763884579,0.358797058145,3.20568,2.88316178765
 01/01  08:00:00,55.6407294581,0.137688308479,0.0,0.0,15.863942322,29.242365,3.25542625954,0.0297462595428,3.20568,0.02
 01/01  09:00:00,49.425342666,1.0665857438,0.0,0.0,15.863942322,29.242365,6.37270104481,0.282152560643,3.20568,2.88486848416
 01/01  10:00:00,46.9703308616,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.0060073281,0.0,0.0,0.0,15.863942322,29.242365,6.09055772116,0.0,3.20568,2.88487772116
 01/01  12:00:00,47.7272117665,0.0,0.0,0.0,15.863942322,29.242365,6.09056563291,0.0,3.20568,2.88488563291
 01/01  13:00:00,47.0743917964,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.1549228441,0.0,0.0,0.0,15.863942322,29.242365,6.09057475681,0.0,3.20568,2.88489475681
 01/01  15:00:00,47.1960176767,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.1781419748,0.0,0.0,0.0,15.863942322,29.242365,6.08875882599,0.0,3.20568,2.88307882599
 01/01  17:00:00,47.0629792398,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,52.7501135669,0.0,0.0,0.0,15.863942322,29.242365,6.08880921596,0.0,3.20568,2.88312921596
 01/01  19:00:00,55.5721248556,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.7443554368,0.0,0.0,0.0,15.863942322,29.242365,6.08885864896,0.0,3.20568,2.88317864896
 01/01  21:00:00,55.6992249869,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  22:00:00,55.5697952472,0.0,0.0,0.0,15.863942322,29.242365,6.08873948246,0.0,3.20568,2.88305948246
 01/01  23:00:00,55.4123003329,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  24:00:00,56.133964715,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.3980092872,0.0,0.0,0.0,15.863942322,29.242365,6.09042668792,0.0,3.20568,2.88474668792
 01/02  02:00:00,55.3885878987,0.0,0.0,0.0,15.863942322,29.242365,6.09044026117,0.0,3.20568,2.88476026117
 01/02  03:00:00,55.3715573468,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.3653691286,0.0,0.0,0.0,15.863942322,29.242365,6.09045363109,0.0,3.20568,2.88477363109
 01/02  05:00:00,55.5760634538,0.0,0.0,0.0,15.863942322,29.242365,6.09046687778,0.0,3.20568,2.88478687778
 01/02  06:00:00,55.846500553,0.286684427026,0.0,0.0,15.863942322,29.242365,3.30442036906,0.0787403690597,3.20568,0.02
 01/02  07:00:00,65.8827929684,7.75240422047,0.00451451588937,0.0,15.863942322,29.818365,443.757560306,437.666922581,3.20568,2.88495772538
 01/02  08:00:00,130.108554772,7.75240422047,0.000971713394767,0.0,80.527626,29.818365,372.44936782,366.35496724,3.20568,2.88872057955
 01/02  09:00:00,168.093073721,7.75240422047,0.00654449430486,0.0,80.527626,75.0917375,301.899347172,266.273322686,24.0426,11.5834244867
 01/02  10:00:00,166.502463967,7.75240422047,0.00357122601665,0.0,80.527626,75.0917375,247.628866262,203.163739459,24.0426,20.422526802
 01/02  11:00:00,169.94556271,7.75240422047,0.00454132380564,0.0,80.527626,79.0911225,200.557550894,145.139390639,32.0568,23.3613602549
 01/02  12:00:00,170.447418265,7.75240422047,0.0,0.0,80.527626,79.0911225,148.154309454,92.6709395994,32.0568,23.4265698551
 01/02  13:00:00,169.650229445,7.75756504817,0.0,0.0,80.527626,79.0911225,132.629806804,74.1592801735,32.0568,26.4137266308
 01/02  14:00:00,166.002303461,8.13057505615,0.0,0.0,80.527626,75.0917375,106.140873009,63.6670430471,16.0284,26.4454299622
 01/02  15:00:00,166.192014779,8.33648326054,0.0,0.0,80.527626,75.0917375,78.9336611229,42.4780963515,16.0284,20.4271647714
 01/02  16:00:00,164.162652254,8.32985789212,0.0,0.0,80.527626,73.092045,67.4920606333,40.9118985664,3.20568,23.3744820669
 01/02  17:00:00,163.477845848,7.75240422047,0.0,0.0,80.527626,73.092045,62.7072949067,56.6120938217,3.20568,2.889521085
 01/02  18:00:00,125.942379756,7.75240422047,0.0,0.0,80.527626,29.818365,93.7132424925,87.6181847757,3.20568,2.88937771678
 01/02  19:00:00,128.859864338,7.75240422047,0.0,0.0,80.527626,29.818365,135.080648973,123.223544637,3.20568,8.65142433651
 01/02  20:00:00,129.15746605,7.75240422047,0.0,0.0,80.527626,29.818365,167.750888491,155.878181175,3.20568,8.66702731629
 01/02  21:00:00,129.311766559,7.75240422047,0.0,0.0,80.527626,29.818365,202.275823868,193.290543129,3.20568,5.77960073886
 01/02  22:00:00,55.5080474094,0.0,0.0,0.0,15.863942322,29.242365,11.8660196483,0.0,3.20568,8.66033964833
 01/02  23:00:00,55.397287544,0.0,0.0,0.0,15.863942322,29.242365,6.09674665849,0.0,3.20568,2.89106665849
 01/02  24:00:00,56.173608565,0.0,0.0,0.0,15.863942322,29.242365,8.96218349363,0.0,3.20568,5.75650349363
 01/03  01:00:00,55.4147843205,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  02:00:00,55.4121954426,0.0,0.0,0.0,15.863942322,29.242365,6.09044335553,0.0,3.20568,2.88476335553
 01/03  03:00:00,55.4001763017,0.0,0.0,0.0,15.863942322,29.242365,6.09046051024,0.0,3.20568,2.88478051024
 01/03  04:00:00,55.3961463396,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  05:00:00,56.4486149394,0.0,0.0,0.0,15.863942322,29.242365,6.09047754547,0.0,3.20568,2.88479754547
 01/03  06:00:00,56.2726439946,0.0,0.0,0.0,15.863942322,29.242365,6.09049450413,0.0,3.20568,2.88481450413
 01/03  07:00:00,66.185851644,7.75240422047,0.00159239517321,0.0,15.863942322,29.818365,503.911366776,500.685686776,3.20568,0.02
 01/03  08:00:00,130.112936075,7.75240422047,0.000795682976989,0.0,80.527626,29.818365,396.235891867,390.140879987,3.20568,2.88933187971
