Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6610485362,2.28013976587,0.0,0.0,1.85583932782,5.577,36.7002579116,31.387546678,3.0011,2.31161123361
 01/01  02:00:00,9.50476752985,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.53066325521,0.0,0.0,0.0,0.618613109274,5.0,3.59315818651,0.0,3.0011,0.592058186507
 01/01  04:00:00,9.54413845138,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.69074310722,0.0,0.0,0.0,0.618613109274,5.0,3.59316411198,0.0,3.0011,0.592064111981
 01/01  06:00:00,13.7922338526,2.28013976587,0.0,0.0,1.85583932782,5.577,44.7990785319,40.2774285319,4.50165,0.02
 01/01  07:00:00,28.2637191808,2.28013976587,0.0,0.0,3.71167865564,18.077,48.6647031222,33.4219267743,13.50495,1.73782634792
 01/01  08:00:00,28.2212601524,2.28013976587,0.0,0.0,3.71167865564,18.077,52.0375934173,29.2920277479,21.0077,1.73786566949
 01/01  09:00:00,20.691003763,2.28013976587,0.0,0.0,3.71167865564,13.077,46.8486810457,30.6776059163,15.0055,1.16557512938
 01/01  10:00:00,20.7204878286,2.28013976587,0.0,0.0,3.71167865564,13.077,42.1172012549,25.3732790485,15.0055,1.73842220637
 01/01  11:00:00,25.7596350618,2.28013976587,0.0,0.0,3.71167865564,18.077,52.2889905193,14.0866507023,33.0121,5.19023981704
 01/01  12:00:00,26.9273997462,2.28013976587,0.0,0.0,3.71167865564,18.077,48.3782604137,3.24782297734,40.51485,4.61558743634
 01/01  13:00:00,26.1140202651,2.28013976587,0.00474279157601,0.0,3.71167865564,18.077,39.4769454485,0.0,36.0132,3.46374544846
 01/01  14:00:00,25.9524922891,2.28013976587,0.0,0.0,3.71167865564,18.077,35.5490150526,0.0,31.51155,4.03746505264
 01/01  15:00:00,20.9837389864,2.28013976587,0.0,0.0,3.71167865564,13.077,23.9271164459,0.0326484301353,21.0077,2.88676801575
 01/01  16:00:00,20.9546266214,2.28013976587,0.0,0.0,3.71167865564,13.077,22.3941344751,0.0,19.50715,2.88698447514
 01/01  17:00:00,20.8455350054,2.28013976587,0.0,0.0,3.71167865564,13.077,25.9691083636,0.0,22.50825,3.46085836358
 01/01  18:00:00,27.7017908732,2.28013976587,0.0,0.0,3.71167865564,18.077,29.4226333497,0.449663310593,25.50935,3.46362003913
 01/01  19:00:00,28.2898302811,2.28013976587,0.0,0.0,3.71167865564,18.077,32.0890127753,1.96416022385,25.50935,4.61550255144
 01/01  20:00:00,28.3839512782,2.28013976587,0.0,0.0,3.71167865564,18.077,41.1654961762,10.4668742652,25.50935,5.189271911
 01/01  21:00:00,23.3380695205,2.28013976587,0.0,0.0,3.71167865564,13.077,43.3997236841,17.428342116,22.50825,3.46313156819
 01/01  22:00:00,23.2543627764,2.28013976587,0.0,0.0,3.71167865564,13.077,46.5368100479,20.3404366248,21.0077,5.18867342311
 01/01  23:00:00,23.1492263799,2.28013976587,0.0,0.0,3.71167865564,13.077,42.4987266048,21.0293016138,18.0066,3.46282499107
 01/01  24:00:00,24.3308560191,2.28013976587,0.0,0.0,3.71167865564,13.077,29.4547246959,24.1419490402,3.0011,2.31167565565
 01/02  01:00:00,13.8553832249,2.28013976587,0.0,0.0,1.85583932782,5.577,36.1731541382,31.4338228012,3.0011,1.738231337
 01/02  02:00:00,9.51388930029,0.0,0.0,0.0,0.618613109274,5.0,3.59319366584,0.0,3.0011,0.592093665839
 01/02  03:00:00,9.52876409607,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.53959620324,0.0,0.0,0.0,0.618613109274,5.0,3.59314784209,0.0,3.0011,0.592047842093
 01/02  05:00:00,9.68960664292,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,13.791933135,2.28013976587,0.0,0.0,1.85583932782,5.577,45.381129609,40.2874258267,4.50165,0.592053782276
 01/02  07:00:00,28.2631235916,2.28013976587,0.0,0.0,3.71167865564,18.077,49.7083568556,34.4654235155,13.50495,1.73798334016
 01/02  08:00:00,28.2188453423,2.28013976587,0.0,0.0,3.71167865564,18.077,57.9524363249,31.7514869272,21.0077,5.19324939774
 01/02  09:00:00,20.6885434451,2.28013976587,0.0,0.0,3.71167865564,13.077,52.7091740365,32.5125467941,15.0055,5.19112724237
 01/02  10:00:00,20.7051397282,2.28013976587,0.0,0.0,3.71167865564,13.077,48.7302111427,29.110904593,15.0055,4.61380654974
 01/02  11:00:00,25.7324900062,2.28013976587,0.0,0.0,3.71167865564,18.077,57.9236047797,20.8740884619,33.0121,4.03741631776
 01/02  12:00:00,26.8942916901,2.28013976587,0.0,0.0,3.71167865564,18.077,57.5693113934,13.0151282287,40.51485,4.03933316476
 01/02  13:00:00,25.9998844947,2.28013976587,0.0,0.0,3.71167865564,18.077,47.4919410265,7.44100269091,36.0132,4.0377383356
 01/02  14:00:00,25.8247648707,2.28013976587,0.0,0.0,3.71167865564,18.077,37.7461922493,2.77231760553,31.51155,3.46232464381
 01/02  15:00:00,20.8518940115,2.28013976587,0.0,0.0,3.71167865564,13.077,26.9663989654,3.07195476035,21.0077,2.88674420508
 01/02  16:00:00,20.8417201,2.28013976587,0.0,0.0,3.71167865564,13.077,26.6478333262,4.25346723329,19.50715,2.88721609292
 01/02  17:00:00,20.7347492922,2.28013976587,0.0,0.0,3.71167865564,13.077,32.3964020755,7.0007023024,22.50825,2.8874497731
 01/02  18:00:00,27.6144764745,2.28013976587,0.0,0.0,3.71167865564,18.077,37.7588218344,8.21190699551,25.50935,4.0375648389
 01/02  19:00:00,28.2348109049,2.28013976587,0.0,0.0,3.71167865564,18.077,42.3206182186,11.6200904173,25.50935,5.19117780126
 01/02  20:00:00,28.362472886,2.28013976587,0.0,0.0,3.71167865564,18.077,46.0777289459,14.8001478466,25.50935,5.76823109932
 01/02  21:00:00,23.3291094889,2.28013976587,0.0,0.0,3.71167865564,13.077,46.6627596155,19.5410497143,22.50825,4.61345990115
 01/02  22:00:00,23.2501893814,2.28013976587,0.0,0.0,3.71167865564,13.077,47.9270195515,21.7279598456,21.0077,5.19135970589
 01/02  23:00:00,23.1427650457,2.28013976587,0.0,0.0,3.71167865564,13.077,45.1266894374,23.0824882204,18.0066,4.03760121703
 01/02  24:00:00,24.3260349642,2.28013976587,0.0,0.0,3.71167865564,13.077,33.0596800698,27.173379865,3.0011,2.88520020474
 01/03  01:00:00,13.8449543622,2.28013976587,0.0,0.0,1.85583932782,5.577,39.1175964795,34.3780358348,3.0011,1.73846064472
 01/03  02:00:00,9.50728549398,0.0,0.0,0.0,0.618613109274,5.0,3.59318228475,0.0,3.0011,0.592082284754
 01/03  03:00:00,9.52848856091,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.54448386249,0.0,0.0,0.0,0.618613109274,5.0,3.59318819203,0.0,3.0011,0.592088192033
 01/03  05:00:00,10.2051043259,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  06:00:00,14.3001916477,2.28013976587,0.0,0.0,1.85583932782,5.577,51.8495377967,46.7557937286,4.50165,0.592094068059
 01/03  07:00:00,28.4836861339,2.28013976587,0.0,0.0,3.71167865564,18.077,56.2706197459,41.60033391,13.50495,1.16533583589
 01/03  08:00:00,28.2081541794,2.28013976587,0.0,0.0,3.71167865564,18.077,64.2424332849,37.4660785786,21.0077,5.76865470629
 01/03  09:00:00,20.6764347392,2.28013976587,0.0,0.0,3.71167865564,13.077,60.5382453193,40.3410791443,15.0055,5.19166617504
 01/03  10:00:00,20.6846750131,2.28013976587,0.0,0.0,3.71167865564,13.077,61.7195999145,42.101283859,15.0055,4.61281605554
 01/03  11:00:00,25.6790715397,2.28013976587,0.0,0.0,3.71167865564,18.077,77.6622804606,41.1869486419,33.0121,3.46323181869
 01/03  12:00:00,26.8378040873,2.28013976587,0.0,0.0,3.71167865564,18.077,84.3371546304,39.208728675,40.51485,4.6135759554
 01/03  13:00:00,25.9026900291,2.28013976587,0.0,0.0,3.71167865564,18.077,77.0790597564,37.0291900123,36.0132,4.03666974407
 01/03  14:00:00,25.703315835,2.28013976587,0.0,0.0,3.71167865564,18.077,71.2434107746,36.2704777312,31.51155,3.46138304345
 01/03  15:00:00,20.6996225068,2.28013976587,0.0,0.0,3.71167865564,13.077,62.4472696208,38.5523291324,21.0077,2.88724048842
 01/03  16:00:00,20.6804355106,2.28013976587,0.0,0.0,3.71167865564,13.077,63.0027276905,40.6088976837,19.50715,2.8866800068
 01/03  17:00:00,20.5980724467,2.28013976587,0.0,0.0,3.71167865564,13.077,67.1705095571,41.7750883644,22.50825,2.88717119265
 01/03  18:00:00,27.5005139305,2.28013976587,0.0,0.0,3.71167865564,18.077,70.1698604051,40.6233474167,25.50935,4.03716298849
 01/03  19:00:00,28.1370903838,2.28013976587,0.0,0.0,3.71167865564,18.077,73.2084714344,42.5080278713,25.50935,5.19109356318
 01/03  20:00:00,28.1377083992,2.28013976587,0.0,0.0,3.71167865564,18.077,75.1829536301,43.9052804396,25.50935,5.76832319049
 01/03  21:00:00,23.129760534,2.28013976587,0.0,0.0,3.71167865564,13.077,72.4505924808,45.32885554,22.50825,4.61348694077
 01/03  22:00:00,23.0948431088,2.28013976587,0.0,0.0,3.71167865564,13.077,71.785858274,45.5867542252,21.0077,5.19140404886
 01/03  23:00:00,23.0944308182,2.28013976587,0.0,0.0,3.71167865564,13.077,69.0681704732,47.0238018644,18.0066,4.03776860876
 01/03  24:00:00,24.2985274409,2.28013976587,0.0,0.0,3.71167865564,13.077,56.0303476769,50.1439128882,3.0011,2.88533478864
 01/04  01:00:00,13.8227150956,2.28013976587,0.0,0.0,1.85583932782,5.577,62.7232339544,57.9840089266,3.0011,1.73812502772
 01/04  02:00:00,9.46441212559,0.0,0.0,0.0,0.618613109274,5.0,3.59318937788,0.0,3.0011,0.59208937788
 01/04  03:00:00,9.48466106753,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  04:00:00,9.49829942253,0.0,0.0,0.0,0.618613109274,5.0,3.59316575984,0.0,3.0011,0.592065759839
 01/04  05:00:00,9.64920247184,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/04  06:00:00,13.771995923,2.28013976587,0.0,0.0,1.85583932782,5.577,65.5500379268,60.4563162553,4.50165,0.592071671487
 01/04  07:00:00,28.2479795155,2.28013976587,0.0,0.0,3.71167865564,18.077,66.7637775072,52.0934264733,13.50495,1.16540103393
 01/04  08:00:00,28.1987274944,2.28013976587,0.0,0.0,3.71167865564,18.077,74.4826207604,47.7058581137,21.0077,5.76906264667
 01/04  09:00:00,20.6691957416,2.28013976587,0.0,0.0,3.71167865564,13.077,69.1224571844,48.9258720387,15.0055,5.19108514571
