Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,119.893939741,2.44806444498,0.0,0.0,43.513341876,52.539744,8.21490378297,3.36064378297,4.83426,0.02
 01/01  02:00:00,121.836675152,4.42083630699,0.0,0.0,43.513341876,52.539744,13.2791710873,8.4249110873,4.83426,0.02
 01/01  03:00:00,122.130636343,4.71862763307,0.0,0.0,43.513341876,52.539744,16.5153158845,11.6610558845,4.83426,0.02
 01/01  04:00:00,122.267455933,4.85277775016,0.0,0.0,43.513341876,52.539744,19.3121640377,14.4579040377,4.83426,0.02
 01/01  05:00:00,122.553908587,4.71862763307,0.0,0.0,43.513341876,52.539744,31.7682279099,18.3203938394,4.83426,8.61357407044
 01/01  06:00:00,122.665542924,4.85277775016,0.0,0.0,43.513341876,52.539744,30.4181702309,25.5639102309,4.83426,0.02
 01/01  07:00:00,122.559654857,4.71862763307,0.0,0.0,43.513341876,52.539744,32.3830872205,27.5288272205,4.83426,0.02
 01/01  08:00:00,122.56096264,4.85277775016,0.0,0.0,43.513341876,52.539744,30.8947172222,26.0404572222,4.83426,0.02
 01/01  09:00:00,107.487467335,4.71862763307,0.0,0.0,43.513341876,52.539744,30.3493426185,25.4950826185,4.83426,0.02
 01/01  10:00:00,104.718708038,4.85277775016,0.0,0.0,43.513341876,52.539744,34.7804229257,21.3254513502,4.83426,8.62071157549
 01/01  11:00:00,104.650768807,4.71862763307,0.0,0.0,43.513341876,52.539744,19.6426118463,14.7883518463,4.83426,0.02
 01/01  12:00:00,103.52650718,2.65872371757,0.0,0.0,43.513341876,52.539744,10.5842149385,5.72995493851,4.83426,0.02
 01/01  13:00:00,100.052873765,0.0,0.0,0.0,43.513341876,52.539744,13.4557161534,0.0,4.83426,8.62145615337
 01/01  14:00:00,100.209760565,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  15:00:00,100.281737003,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.231290855,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,99.9872932155,0.0,0.0,0.0,43.513341876,52.539744,13.4477696108,0.0,4.83426,8.61350961082
 01/01  18:00:00,111.868324343,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,117.764343754,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
