Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,80.1154545273,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,78.7052858604,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,77.6732942307,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91560681951,0.0,1.75125,1.16435681951
 01/01  04:00:00,76.8756038933,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,91.7955176109,8.81855779159,0.0,0.0,3.49369000822,6.81298672936,13.7116683715,11.9404183715,1.75125,0.02
 01/01  06:00:00,91.2748120288,8.81855779159,0.0,0.0,3.49369000822,6.81298672936,16.9565012697,14.0409688385,1.75125,1.1642824312
 01/01  07:00:00,126.350108183,30.9438388171,0.0,0.0,6.98738001645,14.1499734587,411.070949821,407.548449821,3.5025,0.02
 01/01  08:00:00,135.530834702,30.9438388171,0.0,0.0,6.98738001645,14.1499734587,375.160435603,371.637935603,3.5025,0.02
 01/01  09:00:00,157.529351788,30.9438388171,0.0,0.0,6.98738001645,14.1499734587,335.22049989,330.553615097,3.5025,1.16438479289
 01/01  10:00:00,131.509313693,30.9438388171,0.0,0.0,6.98738001645,14.1499734587,300.025295923,296.502795923,3.5025,0.02
 01/01  11:00:00,168.708847818,30.9438388171,0.0,0.0,27.9495200658,27.7759469175,233.8089522,225.63919423,7.005,1.1647579698
 01/01  12:00:00,202.231711122,30.9438388171,0.0,0.0,27.9495200658,27.7759469175,183.84173767,175.671932748,7.005,1.16480492124
 01/01  13:00:00,216.88585039,30.9438388171,0.20644823783,0.0,41.9242800987,36.8599292233,134.342612275,123.837606544,9.34,1.16500573165
 01/01  14:00:00,219.046543946,30.9438388171,0.798419199381,0.0,41.9242800987,36.8599292233,104.626950148,94.1220119242,9.34,1.16493822397
 01/01  15:00:00,216.946679582,30.9438388171,1.20211495841,0.0,41.9242800987,36.8599292233,86.5409069246,76.0358972563,9.34,1.16500966828
 01/01  16:00:00,211.732774639,30.9438388171,1.24423404097,0.0,41.9242800987,36.8599292233,89.6512545822,79.1463107153,9.34,1.16494386687
 01/01  17:00:00,211.160294311,30.9438388171,1.19286115227,0.0,41.9242800987,36.8599292233,99.2436868839,88.7387529095,9.34,1.16493397442
 01/01  18:00:00,188.100599923,30.9438388171,0.294935292831,0.0,27.9495200658,27.7759469175,138.574150885,131.549150885,7.005,0.02
 01/01  19:00:00,192.870267782,30.9438388171,0.0,0.0,13.9747600329,18.6919646116,174.840314513,169.005554449,4.67,1.1647600638
 01/01  20:00:00,171.728324954,30.9438388171,0.0,0.0,13.9747600329,18.6919646116,218.123462459,212.28874704,4.67,1.16471541927
 01/01  21:00:00,160.723261455,30.9438388171,0.0,0.0,13.9747600329,18.6919646116,248.999808042,243.165201509,4.67,1.16460653234
 01/01  22:00:00,144.694792951,30.9438388171,0.0,0.0,13.9747600329,18.6919646116,221.123086028,216.433086028,4.67,0.02
 01/01  23:00:00,81.9366168806,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91559941698,0.0,1.75125,1.16434941698
 01/01  24:00:00,117.188573039,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,88.7090057232,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,81.1656117962,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,79.844278322,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49929575496,0.0,2.335,1.16429575496
 01/02  04:00:00,78.952214852,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,93.7647569761,8.81855779159,0.0,0.0,3.49369000822,9.08398230582,14.6647463567,12.3097463567,2.335,0.02
 01/02  06:00:00,93.2927871712,8.81855779159,0.0,0.0,3.49369000822,9.08398230582,17.0713838175,13.5721077481,2.335,1.16427606945
 01/02  07:00:00,140.511174673,30.9438388171,0.0,0.0,13.9747600329,18.6919646116,380.636465524,375.946465524,4.67,0.02
