Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.3435630713,3.8627355867,0.0,0.0,4.58992532963,8.1892,99.7922998878,88.9462093795,3.33988,7.50621050826
 01/01  02:00:00,14.6644955178,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6872544116,0.0,0.0,0.0,1.52997510988,7.4902,3.93194499833,0.0,3.33988,0.592064998331
 01/01  04:00:00,14.699092689,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8505231808,0.0,0.0,0.0,1.52997510988,7.4902,3.93195091051,0.0,3.33988,0.592070910508
 01/01  06:00:00,22.478110413,3.8627355867,0.00453151481397,0.0,4.58992532963,8.1892,98.6159294091,90.2462294091,8.3497,0.02
 01/01  07:00:00,38.4413656557,3.8627355867,0.0142814804691,0.0,9.17985065927,19.4245,104.018500581,82.7038219191,16.6994,4.61527866179
 01/01  08:00:00,42.7295367637,3.8627355867,0.00751369067986,0.0,9.17985065927,26.9147,99.5144890983,69.2758431461,25.0491,5.18954595227
 01/01  09:00:00,41.6868478614,3.8627355867,0.0,0.0,9.17985065927,26.9147,102.776000233,64.7621935309,33.3988,4.61500670236
 01/01  10:00:00,34.2044650328,3.8627355867,0.0,0.0,9.17985065927,19.4245,99.3955326474,69.7309769099,25.0491,4.61545573748
 01/01  11:00:00,41.702247672,3.8627355867,0.00535267431751,0.0,9.17985065927,26.9147,124.523998326,67.6737708954,41.7485,15.1017274301
 01/01  12:00:00,42.4789787857,3.8627355867,0.0,0.0,9.17985065927,26.9147,113.465554235,56.6165110568,41.7485,15.1005431786
 01/01  13:00:00,41.8067971794,3.8627355867,0.0,0.0,9.17985065927,26.9147,92.8123172012,38.8967973468,41.7485,12.1670198544
 01/01  14:00:00,34.30476687,3.8627355867,0.0,0.0,9.17985065927,19.4245,78.0026640701,32.4392331378,33.3988,12.1646309323
 01/01  15:00:00,34.3149996198,3.8627355867,0.0,0.0,9.17985065927,19.4245,66.4671475822,32.168214692,25.0491,9.24983289017
 01/01  16:00:00,34.3071390335,3.8627355867,0.0,0.0,9.17985065927,19.4245,75.7028268948,33.0560246926,33.3988,9.24800220221
 01/01  17:00:00,43.8429551928,3.8627355867,0.00549690317055,0.0,9.17985065927,26.9147,96.325775052,36.9788453948,50.0982,9.24872965717
 01/01  18:00:00,45.9380823232,3.8627355867,0.0,0.0,9.17985065927,26.9147,108.916156489,46.6510582037,50.0982,12.1668982849
 01/01  19:00:00,45.9206666517,3.8627355867,0.0,0.0,9.17985065927,26.9147,115.290090049,50.0906097942,50.0982,15.1012802547
 01/01  20:00:00,38.5572056099,3.8627355867,0.0,0.0,9.17985065927,19.4245,99.7024928684,51.2022211476,33.3988,15.1014717208
 01/01  21:00:00,38.5136366384,3.8627355867,0.0,0.0,9.17985065927,19.4245,106.415102642,60.8495674133,33.3988,12.1667352284
 01/01  22:00:00,38.425341318,3.8627355867,0.0,0.0,9.17985065927,19.4245,115.021987959,74.8706023914,25.0491,15.1022855674
 01/01  23:00:00,38.3237656809,3.8627355867,0.0,0.0,9.17985065927,19.4245,99.4115140387,70.5449500164,16.6994,12.1671640223
 01/01  24:00:00,39.1310117695,3.8627355867,0.0,0.0,9.17985065927,19.4245,83.4926259991,68.7963723759,8.3497,6.34655362329
 01/02  01:00:00,22.3873408539,3.8627355867,0.0,0.0,4.58992532963,8.1892,82.4448762162,72.7586043742,3.33988,6.34639184204
 01/02  02:00:00,14.7091462971,0.0,0.0,0.0,1.52997510988,7.4902,3.93194509806,0.0,3.33988,0.592065098063
 01/02  03:00:00,14.7287216754,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.7367324967,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  05:00:00,14.8869901199,0.0,0.0,0.0,1.52997510988,7.4902,3.93195101254,0.0,3.33988,0.592071012539
 01/02  06:00:00,22.5138875503,3.8627355867,0.0,0.0,4.58992532963,8.1892,81.6993305564,73.3296305564,8.3497,0.02
 01/02  07:00:00,38.4864098339,3.8627355867,0.0162352044277,0.0,9.17985065927,19.4245,88.8431293168,66.9543282603,16.6994,5.18940105651
 01/02  08:00:00,42.7867547363,3.8627355867,0.0212751076346,0.0,9.17985065927,26.9147,101.655974642,58.5513527892,25.0491,18.0555218533
 01/02  09:00:00,41.7328166249,3.8627355867,0.00234795488478,0.0,9.17985065927,26.9147,104.729253195,55.0458686344,33.3988,16.2845845608
 01/02  10:00:00,34.2568862726,3.8627355867,0.0,0.0,9.17985065927,19.4245,90.4517499742,51.4785157138,25.0491,13.9241342604
 01/02  11:00:00,41.7614289732,3.8627355867,0.00524823341512,0.0,9.17985065927,26.9147,103.643357852,49.7292443926,41.7485,12.1656134598
 01/02  12:00:00,42.5156061678,3.8627355867,0.0,0.0,9.17985065927,26.9147,89.0273592612,33.357842932,41.7485,13.9210163292
 01/02  13:00:00,41.8758324661,3.8627355867,0.0,0.0,9.17985065927,26.9147,66.9203408974,13.0045891823,41.7485,12.1672517152
 01/02  14:00:00,34.3922791991,3.8627355867,0.0,0.0,9.17985065927,19.4245,49.33046482,5.51485429828,33.3988,10.4168105217
 01/02  15:00:00,34.4050119612,3.8627355867,0.0,0.0,9.17985065927,19.4245,42.8575572566,8.557993117,25.0491,9.25046413956
 01/02  16:00:00,34.3945559984,3.8627355867,0.0,0.0,9.17985065927,19.4245,55.957887108,13.3089984236,33.3988,9.25008868437
 01/02  17:00:00,43.9402536453,3.8627355867,0.015192945421,0.0,9.17985065927,26.9147,73.27695738,13.9304433775,50.0982,9.24831400252
 01/02  18:00:00,46.0280176007,3.8627355867,0.0,0.0,9.17985065927,26.9147,77.8236291636,15.5582732893,50.0982,12.1671558743
 01/02  19:00:00,46.0251853092,3.8627355867,0.0029167213798,0.0,9.17985065927,26.9147,79.2040067724,12.2386512918,50.0982,16.8671554807
 01/02  20:00:00,38.6844674482,3.8627355867,0.0,0.0,9.17985065927,19.4245,62.3213856285,10.8706926027,33.3988,18.0518930258
 01/02  21:00:00,38.6761189758,3.8627355867,0.0,0.0,9.17985065927,19.4245,57.7422158733,9.24223015343,33.3988,15.1011857198
 01/02  22:00:00,38.6192390466,3.8627355867,0.0,0.0,9.17985065927,19.4245,52.2344472623,10.3171121831,25.0491,16.8682350793
 01/02  23:00:00,38.5146285708,3.8627355867,0.0,0.0,9.17985065927,19.4245,41.1799237738,10.5610529721,16.6994,13.9194708017
 01/02  24:00:00,39.2581371409,3.8627355867,0.0,0.0,9.17985065927,19.4245,32.5867821298,16.7305938023,8.3497,7.50648832749
 01/03  01:00:00,22.535339635,3.8627355867,0.0,0.0,4.58992532963,8.1892,38.1754558086,28.4890102802,3.33988,6.34656552847
 01/03  02:00:00,14.8395699382,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.8576091461,0.0,0.0,0.0,1.52997510988,7.4902,3.93197364578,0.0,3.33988,0.592093645781
 01/03  04:00:00,14.8660035644,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.5585668987,0.0,0.0,0.0,1.52997510988,7.4902,3.93192779445,0.0,3.33988,0.592047794447
 01/03  06:00:00,23.1957453683,3.8627355867,0.0,0.0,4.58992532963,8.1892,40.3794437725,32.0097437725,8.3497,0.02
 01/03  07:00:00,38.8817570941,3.8627355867,0.0256971639068,0.0,9.17985065927,19.4245,48.8532532406,27.5386583851,16.6994,4.61519485552
 01/03  08:00:00,42.9371194812,3.8627355867,0.0329494343832,0.0,9.17985065927,26.9147,62.6862470964,19.0013809723,25.0491,18.6357661241
 01/03  09:00:00,41.8671706487,3.8627355867,0.00712297707145,0.0,9.17985065927,26.9147,67.7827652758,18.1008056414,33.3988,16.2831596344
 01/03  10:00:00,34.3932074276,3.8627355867,0.0,0.0,9.17985065927,19.4245,52.8425937194,13.8699331917,25.0491,13.9235605277
 01/03  11:00:00,41.9127049388,3.8627355867,0.019575610093,0.0,9.17985065927,26.9147,67.0367107263,13.1221993532,41.7485,12.1660113731
 01/03  12:00:00,42.6183498547,3.8627355867,0.0,0.0,9.17985065927,26.9147,59.2056268208,3.53652428845,41.7485,13.9206025323
 01/03  13:00:00,42.0039382979,3.8627355867,0.0230121697748,0.0,9.17985065927,26.9147,53.9153612079,0.0,41.7485,12.1668612079
 01/03  14:00:00,34.4624379691,3.8627355867,0.0,0.0,9.17985065927,19.4245,43.8597803992,0.0441303554619,33.3988,10.4168500438
 01/03  15:00:00,34.4566379988,3.8627355867,0.0,0.0,9.17985065927,19.4245,34.5108300629,0.210790775994,25.0491,9.25093928692
 01/03  16:00:00,34.4364355369,3.8627355867,0.0,0.0,9.17985065927,19.4245,46.6827619004,4.03317687029,33.3988,9.25078503015
 01/03  17:00:00,43.9801399062,3.8627355867,0.0178113868647,0.0,9.17985065927,26.9147,63.8467618992,4.49888159886,50.0982,9.24968030037
 01/03  18:00:00,46.0776842141,3.8627355867,0.0,0.0,9.17985065927,26.9147,65.7230702015,3.45859571263,50.0982,12.1662744889
 01/03  19:00:00,46.086873115,3.8627355867,0.00773373376021,0.0,9.17985065927,26.9147,66.9642014519,0.0,50.0982,16.8660014519
 01/03  20:00:00,38.5730326329,3.8627355867,0.0,0.0,9.17985065927,19.4245,52.4893429617,1.03857054026,33.3988,18.0519724214
 01/03  21:00:00,38.5563628608,3.8627355867,0.0,0.0,9.17985065927,19.4245,52.238845321,3.15811465907,33.3988,15.6819306619
 01/03  22:00:00,38.4983473813,3.8627355867,0.0,0.0,9.17985065927,19.4245,54.5245616234,13.1917055848,25.0491,16.2837560387
 01/03  23:00:00,38.474357274,3.8627355867,0.0,0.0,9.17985065927,19.4245,51.704452667,21.0808743775,16.6994,13.9241782895
 01/03  24:00:00,39.2261754187,3.8627355867,0.0,0.0,9.17985065927,19.4245,42.1311528501,26.2739654195,8.3497,7.50748743067
 01/04  01:00:00,22.511816395,3.8627355867,0.0,0.0,4.58992532963,8.1892,43.5622342695,33.8760930995,3.33988,6.34626116995
 01/04  02:00:00,14.8247251181,0.0,0.0,0.0,1.52997510988,7.4902,3.9319685057,0.0,3.33988,0.592088505699
 01/04  03:00:00,14.8509729988,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  04:00:00,14.8633657305,0.0,0.0,0.0,1.52997510988,7.4902,3.931974383,0.0,3.33988,0.592094383005
 01/04  05:00:00,15.0170172486,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  06:00:00,22.6359168487,3.8627355867,0.0,0.0,4.58992532963,8.1892,44.7670662624,35.8253177287,8.3497,0.592048533652
 01/04  07:00:00,38.6070802653,3.8627355867,0.0225833123708,0.0,9.17985065927,19.4245,52.7295961304,31.4167598222,16.6994,4.61343630823
 01/04  08:00:00,42.9292089736,3.8627355867,0.0256875651965,0.0,9.17985065927,26.9147,60.7012045734,17.5977014521,25.0491,18.0544031213
 01/04  09:00:00,41.8865801331,3.8627355867,0.0,0.0,9.17985065927,26.9147,61.1575178834,10.8909641568,33.3988,16.8677537266
 01/04  10:00:00,34.4097288714,3.8627355867,0.0,0.0,9.17985065927,19.4245,49.2889095739,10.3209483979,25.0491,13.9188611759
 01/04  11:00:00,41.9295751341,3.8627355867,0.017359819941,0.0,9.17985065927,26.9147,61.3464706551,7.43007140677,41.7485,12.1678992484
 01/04  12:00:00,42.6771469421,3.8627355867,0.026358001779,0.0,9.17985065927,26.9147,55.0894156464,0.0,41.7485,13.3409156464
 01/04  13:00:00,42.2966006378,3.8627355867,0.270783147294,0.0,9.17985065927,26.9147,54.4943389548,0.0,41.7485,12.7458389548
 01/04  14:00:00,34.4921779773,3.8627355867,0.0,0.0,9.17985065927,19.4245,43.8742761156,0.0581194787145,33.3988,10.4173566369
 01/04  15:00:00,34.4820848851,3.8627355867,0.0,0.0,9.17985065927,19.4245,34.3865563033,0.0882279305569,25.0491,9.24922837272
 01/04  16:00:00,34.4850503919,3.8627355867,0.0,0.0,9.17985065927,19.4245,42.6812885103,0.0331790527963,33.3988,9.24930945753
 01/04  17:00:00,44.0298276295,3.8627355867,0.0170210415633,0.0,9.17985065927,26.9147,59.7299783987,0.382224499252,50.0982,9.24955389942
 01/04  18:00:00,46.0842328971,3.8627355867,0.0,0.0,9.17985065927,26.9147,66.5504877273,4.28486652699,50.0982,12.1674212003
 01/04  19:00:00,46.0571188575,3.8627355867,0.0,0.0,9.17985065927,26.9147,72.3976506369,5.43049954591,50.0982,16.8689510909
 01/04  20:00:00,38.6880724381,3.8627355867,0.0,0.0,9.17985065927,19.4245,62.662129485,11.2118081082,33.3988,18.0515213769
 01/04  21:00:00,38.6490111409,3.8627355867,0.0,0.0,9.17985065927,19.4245,64.7324078779,15.6494956968,33.3988,15.6841121811
 01/04  22:00:00,38.5527430699,3.8627355867,0.0,0.0,9.17985065927,19.4245,67.9016276228,26.5668109461,25.0491,16.2857166767
 01/04  23:00:00,38.4374872851,3.8627355867,0.0,0.0,9.17985065927,19.4245,62.4600643813,31.8353713925,16.6994,13.9252929888
 01/04  24:00:00,39.1948390632,3.8627355867,0.0,0.0,9.17985065927,19.4245,54.6148110419,38.1808764065,8.3497,8.08423463548
 01/05  01:00:00,22.4647381414,3.8627355867,0.0,0.0,4.58992532963,8.1892,56.0970082256,46.9855457713,3.33988,5.77158245432
 01/05  02:00:00,14.7700699564,0.0,0.0,0.0,1.52997510988,7.4902,3.93197034251,0.0,3.33988,0.592090342512
 01/05  03:00:00,14.7835169616,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/05  04:00:00,14.7895468895,0.0,0.0,0.0,1.52997510988,7.4902,3.93193192206,0.0,3.33988,0.592051922056
 01/05  05:00:00,14.9250763104,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/05  06:00:00,22.5243939891,3.8627355867,0.0,0.0,4.58992532963,8.1892,75.0693277094,66.1275698536,8.3497,0.592057855727
 01/05  07:00:00,38.4601578901,3.8627355867,0.00751629869498,0.0,9.17985065927,19.4245,89.1233221758,67.8093757645,16.6994,4.61454641136
 01/05  08:00:00,42.7468682177,3.8627355867,0.0162070720163,0.0,9.17985065927,26.9147,107.949150849,64.8462548622,25.0491,18.0537959868
 01/05  09:00:00,41.6845136277,3.8627355867,0.00168916816686,0.0,9.17985065927,26.9147,114.163836381,63.8964848722,33.3988,16.8685515088
 01/05  10:00:00,34.1968603916,3.8627355867,0.0,0.0,9.17985065927,19.4245,103.325601448,64.3543551812,25.0491,13.9221462665
 01/05  11:00:00,41.6876414993,3.8627355867,0.00376709791972,0.0,9.17985065927,26.9147,120.492644319,66.576191206,41.7485,12.1679531126
 01/05  12:00:00,42.4539430924,3.8627355867,0.0,0.0,9.17985065927,26.9147,112.308193823,56.6385668468,41.7485,13.9211269765
 01/05  13:00:00,41.7465817898,3.8627355867,0.0,0.0,9.17985065927,26.9147,101.656365491,47.7410964202,41.7485,12.1667690709
 01/05  14:00:00,34.2272636657,3.8627355867,0.0,0.0,9.17985065927,19.4245,92.6558390491,48.2627846354,33.3988,10.9942544137
 01/05  15:00:00,34.2223204259,3.8627355867,0.0,0.0,9.17985065927,19.4245,89.9121767171,55.6164304071,25.0491,9.24664631005
 01/05  16:00:00,34.2046183665,3.8627355867,0.0,0.0,9.17985065927,19.4245,104.722250509,62.0764678688,33.3988,9.24698264005
 01/05  17:00:00,43.7438082405,3.8627355867,0.00367475146063,0.0,9.17985065927,26.9147,122.924828654,63.5809033634,50.0982,9.24572529047
 01/05  18:00:00,45.8602095639,3.8627355867,0.0,0.0,9.17985065927,26.9147,124.664839033,62.3993878622,50.0982,12.1672511708
 01/05  19:00:00,45.860441629,3.8627355867,0.0,0.0,9.17985065927,26.9147,126.110694948,59.1437181587,50.0982,16.8687767892
 01/05  20:00:00,38.5027246194,3.8627355867,0.0,0.0,9.17985065927,19.4245,114.911924644,63.4575416926,33.3988,18.0555829516
