Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,670.556563558,96.0430983552,253.294343242,0.0,34.9616554283,113.312780494,706.889103332,692.485371561,5.66466996096,8.73906180934
 01/01  02:00:00,641.732188705,96.0430983552,214.540988503,0.0,34.9616554283,113.312780494,794.24933587,771.120850889,5.66466996096,17.4638150207
 01/01  03:00:00,644.484369388,96.0430983552,215.089737941,0.0,34.9616554283,113.312780494,782.508867762,759.380555849,5.66466996096,17.4636419526
 01/01  04:00:00,651.963879672,96.0430983552,229.15792315,0.0,34.9616554283,113.312780494,744.920392803,721.79231928,5.66466996096,17.4634035626
 01/01  05:00:00,667.509968966,96.0430983552,244.560534381,0.0,44.4937663224,113.312780494,703.291091679,680.163272085,5.66466996096,17.463149634
 01/01  06:00:00,673.695117087,96.0430983552,252.216846888,0.0,44.4937663224,113.312780494,703.82785547,672.203288258,14.1616749024,17.4628923097
 01/01  07:00:00,752.393319604,96.0430983552,263.049595684,0.0,54.0258772165,176.889270242,639.645556359,593.85957201,28.3233498048,17.4626345443
 01/01  08:00:00,754.341253754,96.0430983552,270.646665358,0.0,54.0258772165,184.38654557,635.796080611,575.848678848,42.4850247072,17.4623770555
 01/01  09:00:00,839.183852451,96.0430983552,282.042350095,0.0,65.1572554096,220.04316451,604.978836763,522.008472969,56.6466996096,26.3236641839
 01/01  10:00:00,839.026856286,96.0430983552,290.069539169,0.0,65.1572554096,212.545889182,566.201418316,497.251556608,42.4850247072,26.4648370014
 01/01  11:00:00,848.048379584,96.0430983552,291.564822563,0.0,65.1572554096,220.04316451,589.030069766,482.743847923,70.808374512,35.4778473308
 01/01  12:00:00,870.460257102,96.0430983552,322.838141073,0.0,65.1572554096,220.04316451,571.918340094,465.63576882,70.808374512,35.4741967617
 01/01  13:00:00,908.401114654,96.0430983552,380.563389487,0.0,65.1572554096,220.04316451,560.664844861,454.386088452,70.808374512,35.4703818966
 01/01  14:00:00,941.093431633,96.0430983552,424.335698663,0.0,65.1572554096,212.545889182,536.392363467,444.279097127,56.6466996096,35.4665667308
 01/01  15:00:00,970.024625966,96.0430983552,453.107713255,0.0,65.1572554096,212.545889182,508.723121681,430.775335911,42.4850247072,35.4627610627
 01/01  16:00:00,984.300087312,96.0430983552,467.354307178,0.0,65.1572554096,212.545889182,512.082964472,428.822627182,56.6466996096,26.6136376802
 01/01  17:00:00,946.061169545,96.0430983552,446.918571727,0.0,65.1572554096,220.04316451,571.97674583,451.52311226,84.9700494144,35.4835841553
 01/01  18:00:00,861.50048059,96.0430983552,394.684785751,0.0,54.0258772165,184.38654557,608.698827223,488.450930649,84.9700494144,35.2778471594
 01/01  19:00:00,805.797978448,96.0430983552,355.111617389,0.0,44.4937663224,163.454314868,628.809401026,532.471212337,84.9700494144,11.3681392745
 01/01  20:00:00,788.816474156,96.0430983552,341.687665406,0.0,44.4937663224,155.95703954,612.180289671,540.702018502,56.6466996096,14.8315715596
 01/01  21:00:00,729.785731171,96.0430983552,295.170748162,0.0,44.4937663224,124.558693486,675.099241934,600.988711756,56.6466996096,17.4638305686
 01/01  22:00:00,698.241602158,96.0430983552,264.249530085,0.0,44.4937663224,124.558693486,697.347240933,637.398651617,42.4850247072,17.4635646089
 01/01  23:00:00,713.816902059,96.0430983552,291.314661176,0.0,34.9616554283,124.558693486,662.935584945,617.148931391,28.3233498048,17.4633037492
 01/01  24:00:00,721.275244366,96.0430983552,300.000572329,0.0,34.9616554283,124.558693486,644.362968749,612.738249331,14.1616749024,17.4630445155
 01/02  01:00:00,727.33949121,96.0430983552,314.085838745,0.0,46.0930336215,113.312780494,638.947545142,615.819824343,5.66466996096,17.4630508386
 01/02  02:00:00,736.794142399,96.0430983552,329.579852728,0.0,46.0930336215,113.312780494,643.280076271,620.152378999,5.66466996096,17.4630273112
 01/02  03:00:00,734.691464269,96.0430983552,321.501224286,0.0,46.0930336215,113.312780494,650.819278593,627.691744544,5.66466996096,17.462864088
 01/02  04:00:00,731.136029368,96.0430983552,314.398254718,0.0,46.0930336215,113.312780494,655.679763427,632.552426114,5.66466996096,17.4626673518
 01/02  05:00:00,818.26646606,96.0430983552,313.511728827,0.0,100.150657288,148.969399434,617.924988393,594.797730985,5.66466996096,17.462587447
 01/02  06:00:00,824.625064046,96.0430983552,323.887949621,0.0,100.150657288,149.894399434,1248.47358801,1216.84838884,14.1616749024,17.4635242627
 01/02  07:00:00,1055.64210621,96.0430983552,331.880892517,0.0,176.471037341,302.612436532,800.203047163,754.417660901,28.3233498048,17.4620364575
 01/02  08:00:00,1167.94649122,96.0430983552,333.054837482,0.0,243.2593065,310.10971186,744.748606954,666.95637426,42.4850247072,35.3072079873
 01/02  09:00:00,1210.12919756,96.0430983552,344.532130106,0.0,243.2593065,310.10971186,720.01974357,627.853712151,56.6466996096,35.5193318099
 01/02  10:00:00,1259.57093561,96.0430983552,364.531786894,0.0,243.2593065,302.612436532,674.807571012,596.624867419,42.4850247072,35.6976788863
 01/02  11:00:00,1280.91094722,96.0430983552,386.014091979,0.0,243.2593065,310.10971186,691.091673447,566.34461006,70.808374512,53.9386888751
 01/02  12:00:00,1325.38876229,96.0430983552,432.866600934,0.0,243.2593065,310.10971186,656.860620153,540.992724384,70.808374512,45.0595212565
 01/02  13:00:00,1401.78363229,96.0476739718,549.819582071,0.0,243.2593065,310.10971186,623.07885044,507.507913304,70.808374512,44.7625626237
 01/02  14:00:00,1483.23609555,96.1363576093,595.266164485,0.0,243.2593065,302.612436532,595.478398118,484.76259751,56.6466996096,54.0691009979
 01/02  15:00:00,1498.46696921,96.2433332197,608.760193381,0.0,243.2593065,302.612436532,559.800643402,472.364358629,42.4850247072,44.951260066
 01/02  16:00:00,1504.69454274,96.3410886954,614.36250772,0.0,243.2593065,302.612436532,570.237938836,468.748964388,56.6466996096,44.8422748378
 01/02  17:00:00,1517.29764784,96.4264963394,613.839930708,0.0,243.2593065,310.10971186,595.431978366,465.908356093,84.9700494144,44.5535728595
 01/02  18:00:00,1510.3660079,96.507008235,601.28798417,0.0,243.2593065,310.10971186,568.662858516,466.095956215,84.9700494144,17.5968528871
 01/02  19:00:00,1237.46169123,96.0430983552,595.242317435,0.0,166.938926447,199.110933808,532.730510352,421.486280872,84.9700494144,26.2741800654
 01/02  20:00:00,1240.52982762,96.0430983552,603.622407057,0.0,166.938926447,191.61365848,499.778577015,425.609276408,56.6466996096,17.5226009977
 01/02  21:00:00,1112.20308824,96.0430983552,608.129094831,0.0,100.150657288,124.558693486,550.633106935,467.712550884,56.6466996096,26.2738564418
 01/02  22:00:00,1079.48119089,96.0430983552,612.648850222,0.0,100.150657288,124.558693486,530.197162498,470.245034217,42.4850247072,17.4671035734
 01/02  23:00:00,1016.76058989,96.0430983552,617.388466943,0.0,46.0930336215,124.558693486,531.741876245,485.958372304,28.3233498048,17.460154136
 01/02  24:00:00,1015.10603171,96.0430983552,615.989799399,0.0,46.0930336215,124.558693486,522.645360659,491.023724308,14.1616749024,17.4599614488
