Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.9501647986,0.592306635656,0.0,0.0,15.863942322,29.242365,5.04581044383,1.82013044383,3.20568,0.02
 01/01  02:00:00,56.6671861135,1.31189935124,0.0,0.0,15.863942322,29.242365,8.28408996016,5.05840996016,3.20568,0.02
 01/01  03:00:00,56.9955320823,1.63987418905,0.0,0.0,15.863942322,29.242365,15.5003289047,9.41158575129,3.20568,2.88306315345
 01/01  04:00:00,56.6640668754,1.31189935124,0.0,0.0,15.863942322,29.242365,12.0740114334,8.84833143343,3.20568,0.02
 01/01  05:00:00,57.2073565774,1.63987418905,0.0,0.0,15.863942322,29.242365,18.2805754142,12.1917258517,3.20568,2.8831695625
 01/01  06:00:00,58.1009878682,2.55108031484,0.0,0.0,15.863942322,29.242365,31.7468430999,28.5211630999,3.20568,0.02
 01/01  07:00:00,57.2063060307,1.63987418905,0.0,0.0,15.863942322,29.242365,20.3904289942,14.3015867206,3.20568,2.88316227355
 01/01  08:00:00,52.3306398223,2.55108031484,0.0,0.0,15.863942322,29.242365,27.4502532766,24.2245732766,3.20568,0.02
 01/01  09:00:00,47.917519061,0.983924513428,0.0,0.0,15.863942322,29.242365,9.73541158823,3.64486391972,3.20568,2.88486766851
 01/01  10:00:00,46.9567345195,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,46.9461310521,0.0,0.0,0.0,15.863942322,29.242365,6.09055682724,0.0,3.20568,2.88487682724
 01/01  12:00:00,47.675979653,0.0,0.0,0.0,15.863942322,29.242365,6.09056596879,0.0,3.20568,2.88488596879
 01/01  13:00:00,46.9755995307,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.0364330549,0.0,0.0,0.0,15.863942322,29.242365,6.09057508749,0.0,3.20568,2.88489508749
 01/01  15:00:00,47.0634492001,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.0589721346,0.0,0.0,0.0,15.863942322,29.242365,6.08875914378,0.0,3.20568,2.88307914378
 01/01  17:00:00,51.2389628177,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.5001271489,0.0,0.0,0.0,15.863942322,29.242365,6.08880904584,0.0,3.20568,2.88312904584
 01/01  19:00:00,55.4796268015,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.6869889491,0.0,0.0,0.0,15.863942322,29.242365,6.08885888967,0.0,3.20568,2.88317888967
 01/01  21:00:00,55.6484207801,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  22:00:00,55.5206087526,0.0,0.0,0.0,15.863942322,29.242365,6.08873972482,0.0,3.20568,2.88305972482
