Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.536656904,5.33543439697,1.136956281,0.497718012323,12.925468867,10.100111941,35.3388342838,35.3188342838,0.0,0.02
 01/01  02:00:00,37.6947113722,5.30629223622,0.797991176836,1.02512085862,12.925468867,10.100111941,46.6774103519,40.915684409,0.0,5.76172594294
 01/01  03:00:00,33.7841785477,5.30546030401,0.541030124335,1.99141744579,8.34152022915,10.0650221343,47.0661394612,41.3044786867,0.0,5.76166077451
 01/01  04:00:00,34.1238412435,5.30813517616,0.445998194876,2.42343834159,8.34152022915,10.0650221343,45.6240242068,39.8624363345,0.0,5.76158787226
 01/01  05:00:00,35.9401728686,5.30968694714,0.388302171862,2.68917748932,8.34152022915,11.6705166398,43.9986824199,38.2305966929,0.0,5.76808572701
 01/01  06:00:00,40.3459350685,5.31021731393,0.311970225944,3.01231082416,8.80141237637,15.3678112995,42.7070352457,36.9313744885,0.0,5.77566075719
 01/01  07:00:00,60.0641178968,5.33432324114,0.678890426722,2.36262504778,18.5082010057,25.6353820695,40.3400545891,34.5520499085,0.0,5.78800468058
 01/01  08:00:00,70.9335161226,5.45434685692,1.98031757516,1.00717853848,19.4926561212,41.1001056674,49.0084468332,31.5733530983,0.0,17.4350937349
 01/01  09:00:00,94.974025639,5.70760759706,4.49829886925,0.402601317828,26.3286599382,57.9988325916,65.004466615,23.4043946574,0.0,41.6000719576
 01/01  10:00:00,81.0827221985,5.61655314031,5.8910790516,0.483598176308,26.2443270014,42.8153538416,68.7089071758,21.1521504327,18.025,29.5317567432
 01/01  11:00:00,56.1884117647,5.46720647847,4.75483173993,0.749861131174,21.7447113004,23.4437158914,68.7534465269,21.3038581665,18.025,29.4245883604
 01/01  12:00:00,53.9310000369,5.49369032045,5.03346106416,0.589616689652,19.3449162599,23.4437158914,64.8168839157,17.4444510467,18.025,29.347432869
 01/01  13:00:00,54.1702896469,5.53225859289,5.38515645514,0.296723073528,19.190480192,23.7425572507,53.6440692692,12.1962436371,18.025,23.422825632
 01/01  14:00:00,54.4017278191,5.5609594925,5.72961110584,0.128884002646,19.260583323,23.698576057,48.3713137978,6.93201916831,18.025,23.4142946295
 01/01  15:00:00,54.4385565664,5.5669748167,5.8458250092,0.0434833465231,19.260583323,23.698576057,46.9552295793,5.51425029794,18.025,23.4159792814
