Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,23.2469011003,4.71125162703,0.0,0.0,4.58992532963,8.1892,54.3968192456,44.1307270547,3.33988,6.9262121909
 01/01  02:00:00,14.7504338357,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7650206799,0.0,0.0,0.0,1.52997510988,7.4902,3.93194183721,0.0,3.33988,0.592061837206
 01/01  04:00:00,14.7809719131,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9317614745,0.0,0.0,0.0,1.52997510988,7.4902,3.93194775687,0.0,3.33988,0.59206775687
 01/01  06:00:00,23.3866743908,4.71125162703,0.0,0.0,4.58992532963,8.1892,51.4563657794,43.0866657794,8.3497,0.02
 01/01  07:00:00,39.3332760741,4.71125162703,0.0117228662089,0.0,9.17985065927,19.4245,65.4432464724,44.1310834495,16.6994,4.61276302292
 01/01  08:00:00,42.5611687589,4.71125162703,0.0121203875059,0.0,9.17985065927,26.9147,63.9180168762,34.8308224201,25.0491,4.0380944561
 01/01  09:00:00,42.5931420271,4.71125162703,0.000844528220858,0.0,9.17985065927,26.9147,61.7164746067,23.7036177106,33.3988,4.6140568961
 01/01  10:00:00,35.1463467059,4.71125162703,0.0,0.0,9.17985065927,19.4245,45.8213514054,16.158147892,25.0491,4.61410351337
 01/01  11:00:00,42.6766380086,4.71125162703,0.00497729026307,0.0,9.17985065927,26.9147,62.4187020863,6.74656203981,41.7485,13.9236400465
 01/01  12:00:00,43.4172001063,4.71125162703,0.0,0.0,9.17985065927,26.9147,56.3197255061,0.645970502786,41.7485,13.9252550033
 01/01  13:00:00,42.9504881821,4.71125162703,0.169835057741,0.0,9.17985065927,26.9147,52.7484921007,0.0,41.7485,10.9999921007
 01/01  14:00:00,35.256416098,4.71125162703,0.0,0.0,9.17985065927,19.4245,44.977470663,0.0,33.3988,11.578670663
 01/01  15:00:00,35.2339866696,4.71125162703,0.0,0.0,9.17985065927,19.4245,33.2295579104,0.0913779677804,25.0491,8.08907994262
 01/01  16:00:00,35.194147684,4.71125162703,0.0,0.0,9.17985065927,19.4245,47.0345603727,4.96944900465,33.3988,8.66631136809
 01/01  17:00:00,43.6482987218,4.71125162703,0.00353911219623,0.0,9.17985065927,26.9147,71.4585555552,12.6941392641,50.0982,8.66621629104
 01/01  18:00:00,46.8141475199,4.71125162703,0.0,0.0,9.17985065927,26.9147,79.2275984052,18.1304847358,50.0982,10.9989136693
 01/01  19:00:00,46.8066525768,4.71125162703,0.0,0.0,9.17985065927,26.9147,82.1376529282,18.1105253317,50.0982,13.9289275966
 01/01  20:00:00,39.4371432277,4.71125162703,0.0,0.0,9.17985065927,19.4245,69.221852945,21.314233636,33.3988,14.508819309
 01/01  21:00:00,39.4166087042,4.71125162703,0.0,0.0,9.17985065927,19.4245,66.1811183435,21.7832894219,33.3988,10.9990289216
 01/01  22:00:00,39.3502171129,4.71125162703,0.0,0.0,9.17985065927,19.4245,66.3696591014,27.3952204836,25.0491,13.9253386178
 01/01  23:00:00,39.2362262805,4.71125162703,0.0,0.0,9.17985065927,19.4245,60.2158548031,31.9404383895,16.6994,11.5760164136
 01/01  24:00:00,39.9930199913,4.71125162703,0.0,0.0,9.17985065927,19.4245,55.7627207779,41.9429947807,8.3497,5.47002599723
 01/02  01:00:00,23.2503341353,4.71125162703,0.0,0.0,4.58992532963,8.1892,59.4854242717,50.4664939165,3.33988,5.67905035517
 01/02  02:00:00,14.7083099634,0.0,0.0,0.0,1.52997510988,7.4902,3.74613955296,0.0,3.33988,0.40625955296
 01/02  03:00:00,14.743626689,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.7763178708,0.0,0.0,0.0,1.52997510988,7.4902,3.93195649251,0.0,3.33988,0.592076492511
 01/02  05:00:00,14.9360877055,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,23.3938241778,4.71125162703,0.0,0.0,4.58992532963,8.1892,49.7653931072,40.8236365821,8.3497,0.592056525046
 01/02  07:00:00,39.3591773009,4.71125162703,0.0162164791776,0.0,9.17985065927,19.4245,57.4954781209,36.7572401941,16.6994,4.03883792682
 01/02  08:00:00,42.6094450402,4.71125162703,0.016427917024,0.0,9.17985065927,26.9147,66.8591185895,24.9438431512,25.0491,16.8661754384
 01/02  09:00:00,42.6235350689,4.71125162703,0.00111235102366,0.0,9.17985065927,26.9147,69.6288629917,20.5438224804,33.3988,15.6862405113
 01/02  10:00:00,35.1329181568,4.71125162703,0.0,0.0,9.17985065927,19.4245,62.3913761459,24.5926975539,25.0491,12.749578592
 01/02  11:00:00,42.6274592684,4.71125162703,0.0126903062771,0.0,9.17985065927,26.9147,84.6031968202,31.8538257217,41.7485,11.0008710985
 01/02  12:00:00,43.356683796,4.71125162703,0.0,0.0,9.17985065927,26.9147,81.0346500806,26.5342887505,41.7485,12.7518613301
 01/02  13:00:00,42.6853042799,4.71125162703,0.0,0.0,9.17985065927,26.9147,70.3012417659,17.5539437874,41.7485,10.9987979785
 01/02  14:00:00,35.1712960262,4.71125162703,0.0,0.0,9.17985065927,19.4245,60.5810675435,17.3514340605,33.3988,9.830833483
 01/02  15:00:00,35.1679038222,4.71125162703,0.0,0.0,9.17985065927,19.4245,58.4232380867,24.7078719579,25.0491,8.66626612877
 01/02  16:00:00,35.1474025354,4.71125162703,0.0,0.0,9.17985065927,19.4245,72.6541600207,30.5892063325,33.3988,8.66615368824
 01/02  17:00:00,42.5778748018,4.71125162703,0.0135988368424,0.0,9.17985065927,26.9147,89.2272795832,30.4639206557,50.0982,8.66515892752
 01/02  18:00:00,46.811218124,4.71125162703,0.0022354132553,0.0,9.17985065927,26.9147,87.4546583129,26.3562910456,50.0982,11.0001672672
 01/02  19:00:00,46.8211938526,4.71125162703,0.00548413816332,0.0,9.17985065927,26.9147,85.4916562239,19.7086830699,50.0982,15.6847731539
 01/02  20:00:00,39.4604607458,4.71125162703,0.0,0.0,9.17985065927,19.4245,70.6684098679,20.9839599707,33.3988,16.2856498972
 01/02  21:00:00,39.4418259873,4.71125162703,0.0,0.0,9.17985065927,19.4245,68.8255161409,20.9188361009,33.3988,14.50788004
 01/02  22:00:00,39.3676827801,4.71125162703,0.0,0.0,9.17985065927,19.4245,67.5246227838,27.3711317153,25.0491,15.1043910685
 01/02  23:00:00,39.2564647681,4.71125162703,0.0,0.0,9.17985065927,19.4245,60.3652179774,30.9132424464,16.6994,12.752575531
 01/02  24:00:00,40.0324885718,4.71125162703,0.0,0.0,9.17985065927,19.4245,49.7219784594,34.4450430727,8.3497,6.92723538669
 01/03  01:00:00,23.2905185937,4.71125162703,0.0,0.0,4.58992532963,8.1892,53.1196250997,44.0108939426,3.33988,5.76885115712
 01/03  02:00:00,14.7342220191,0.0,0.0,0.0,1.52997510988,7.4902,3.93196230701,0.0,3.33988,0.592082307007
 01/03  03:00:00,14.7460054754,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  04:00:00,14.7519866281,0.0,0.0,0.0,1.52997510988,7.4902,3.93196820466,0.0,3.33988,0.592088204659
 01/03  05:00:00,15.40075244,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  06:00:00,23.8761116129,4.71125162703,0.0,0.0,4.58992532963,8.1892,65.4602673586,57.0905673586,8.3497,0.02
 01/03  07:00:00,39.5768721224,4.71125162703,0.0180952333237,0.0,9.17985065927,19.4245,69.0828333227,47.7694115232,16.6994,4.6140217995
