Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,770.234638891,100.382989236,333.331894549,0.0,34.9616554283,113.312780494,454.402654324,440.007689447,5.66466996096,8.73029491616
 01/01  02:00:00,791.797124849,100.382989236,345.723373112,0.0,34.9616554283,113.312780494,463.090260254,439.986765592,5.66466996096,17.4388247007
 01/01  03:00:00,791.536466984,100.382989236,347.645241793,0.0,34.9616554283,113.312780494,473.572144513,450.470929318,5.66466996096,17.4365452346
 01/01  04:00:00,799.035845392,100.382989236,346.944851992,0.0,34.9616554283,113.312780494,478.251082295,455.145816784,5.66466996096,17.4405955503
 01/01  05:00:00,813.488587245,100.382989236,345.781439276,0.0,44.4937663224,113.312780494,469.753239668,446.650387448,5.66466996096,17.438182259
 01/01  06:00:00,811.300352853,100.382989236,342.919078714,0.0,44.4937663224,113.312780494,475.057575613,451.820664222,14.1616749024,9.07523648804
 01/01  07:00:00,876.815920478,100.382989236,338.301905051,0.0,54.0258772165,176.889270242,437.561441879,392.144373872,28.3233498048,17.0937182023
 01/01  08:00:00,857.339635042,100.382989236,330.033630679,0.0,54.0258772165,184.38654557,444.323724417,384.400031518,42.4850247072,17.4386681912
 01/01  09:00:00,939.709190391,100.382989236,335.457581548,0.0,65.1572554096,220.04316451,407.841231232,324.912661712,56.6466996096,26.2818699101
 01/01  10:00:00,948.841242228,100.382989236,344.929572695,0.0,65.1572554096,212.545889182,362.292160641,293.398951682,42.4850247072,26.4081842514
 01/01  11:00:00,971.957150462,100.394450293,353.894445836,0.0,65.1572554096,220.04316451,382.626830992,285.269994624,70.808374512,26.5484618559
 01/01  12:00:00,980.575118426,100.463683376,359.727767666,0.0,65.1572554096,220.04316451,385.630105277,279.441387741,70.808374512,35.380343024
 01/01  13:00:00,971.581211951,100.51332567,350.581140584,0.0,65.1572554096,220.04316451,368.396182406,271.048426596,70.808374512,26.5393812978
 01/01  14:00:00,971.898190339,100.531594805,352.14262339,0.0,65.1572554096,212.545889182,355.556858253,263.525950143,56.6466996096,35.3842085007
 01/01  15:00:00,981.867214153,100.528657631,363.00164944,0.0,65.1572554096,212.545889182,312.749109298,243.728107589,42.4850247072,26.5359770011
 01/01  16:00:00,974.063362215,100.495282968,364.71306161,0.0,65.1572554096,212.545889182,325.207084456,233.171771851,56.6466996096,35.3886129945
 01/01  17:00:00,938.569274568,100.420406056,360.63400015,0.0,65.1572554096,220.04316451,365.044232043,244.690680121,84.9700494144,35.3835025077
 01/01  18:00:00,897.614674523,100.382989236,354.611425968,0.0,54.0258772165,184.38654557,401.274261601,289.895900569,84.9700494144,26.4083116179
 01/01  19:00:00,866.746718382,100.382989236,349.117152017,0.0,44.4937663224,163.454314868,430.860730001,337.160735195,84.9700494144,8.72994539141
 01/01  20:00:00,844.735853827,100.382989236,345.961304061,0.0,44.4937663224,155.95703954,425.530228917,351.443649131,56.6466996096,17.4398801762
 01/01  21:00:00,802.418849976,100.382989236,346.38900284,0.0,44.4937663224,124.558693486,466.29999863,392.215774701,56.6466996096,17.4375243192
 01/01  22:00:00,801.170233172,100.382989236,348.534105002,0.0,44.4937663224,124.558693486,459.996506824,400.073054364,42.4850247072,17.4384277534
 01/01  23:00:00,795.348574619,100.382989236,350.160244932,0.0,34.9616554283,124.558693486,466.556036431,420.793502999,28.3233498048,17.4391836268
 01/01  24:00:00,773.134053047,100.382989236,326.972756519,0.0,34.9616554283,124.558693486,468.119911862,436.521372935,14.1616749024,17.4368640254
