Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,192.368996749,31.4870229681,67.8011739822,0.0,34.4311606118,33.1021868926,170.789350569,34.4652748619,3.33212,132.991955707
 01/01  02:00:00,187.120992494,31.4870229681,62.5823730326,0.0,34.4311606118,33.1021868926,132.067312379,22.4297074721,3.33212,106.305484907
 01/01  03:00:00,162.487150274,31.4870229681,55.4268883542,0.0,19.466279405,30.610668775,126.490718279,21.7303243709,3.33212,101.428273908
 01/01  04:00:00,160.010787298,31.4870229681,52.9732233818,0.0,19.466279405,30.610668775,122.572910238,17.8191285823,3.33212,101.421661656
 01/01  05:00:00,168.094081082,31.4870229681,54.4896981487,0.0,19.466279405,30.610668775,156.716143387,15.546174065,3.33212,137.837849322
 01/01  06:00:00,180.484094876,31.4870229681,54.6082099217,0.0,19.466279405,30.610668775,195.673899955,16.7192905451,8.3303,170.62430941
 01/01  07:00:00,264.236758689,35.8410141742,62.5398192938,0.0,42.6918050922,54.3732441037,277.984117745,16.5777139384,16.6606,244.745803807
 01/01  08:00:00,332.833136607,37.2574317646,89.1650872359,0.0,49.3960418185,88.5934452969,548.316623353,119.396826123,24.9909,403.92889723
 01/01  09:00:00,362.361983118,37.2383431587,90.2145290603,0.0,57.6566862989,112.030105488,685.218923119,78.5652424871,33.3212,573.332480632
 01/01  10:00:00,305.346077935,38.0754702293,89.0529343503,0.0,50.9524495726,81.1684271793,502.35243937,21.512190477,66.8089,414.031348893
 01/01  11:00:00,259.860739768,38.5293327236,88.0760932173,0.0,42.6918050922,68.9656133826,408.070331671,9.14399574494,83.4695,315.456835926
 01/01  12:00:00,256.690869188,38.6772455967,88.238139009,0.0,38.286128036,68.9656133826,337.467675076,5.72739293356,83.4695,248.270782142
 01/01  13:00:00,256.205901317,38.8733856696,87.9823513639,0.0,38.286128036,68.9656133826,270.71013187,1.86770787203,83.4695,185.372923998
 01/01  14:00:00,238.177895448,38.6941773106,89.0201262942,0.0,31.5818913096,56.727595265,256.254402058,1.56407398632,75.1392,179.551128072
 01/01  15:00:00,238.821697509,38.6204391537,89.957244995,0.0,31.5818913096,56.727595265,249.807649622,3.99316966333,66.8089,179.005579959
