Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4553345021,4.0001184476,0.000845568038672,0.0,4.58992532963,8.1892,128.898919903,118.052660991,3.33988,7.50637891252
 01/01  02:00:00,14.6534759576,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6738211924,0.0,0.0,0.0,1.52997510988,7.4902,3.93197086202,0.0,3.33988,0.592090862016
 01/01  04:00:00,14.6829069101,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8310656494,0.0,0.0,0.0,1.52997510988,7.4902,3.93195092884,0.0,3.33988,0.59207092884
 01/01  06:00:00,22.6005802905,4.0001184476,0.0114936035885,0.0,4.58992532963,8.1892,117.817965706,109.448265706,8.3497,0.02
 01/01  07:00:00,38.5550717669,4.0001184476,0.011429055254,0.0,9.17985065927,19.4245,127.836402118,106.521723029,16.6994,4.61527908981
 01/01  08:00:00,43.8989695842,4.0001184476,0.00938740825833,0.0,9.17985065927,26.9147,128.919648776,98.681041938,25.0491,5.18950683847
 01/01  09:00:00,41.7853608734,4.0001184476,0.0,0.0,9.17985065927,26.9147,134.033992452,96.0211838352,33.3988,4.61400861707
 01/01  10:00:00,34.2992084077,4.0001184476,0.0,0.0,9.17985065927,19.4245,130.539650521,100.874781933,25.0491,4.61576858793
 01/01  11:00:00,41.797841208,4.0001184476,0.00465058435277,0.0,9.17985065927,26.9147,153.285161806,96.43476863,41.7485,15.1018931757
 01/01  12:00:00,42.5712251433,4.0001184476,0.0,0.0,9.17985065927,26.9147,143.577001713,86.7278343426,41.7485,15.1006673707
 01/01  13:00:00,41.8489859675,4.0001184476,0.0,0.0,9.17985065927,26.9147,129.839410033,75.9241892556,41.7485,12.1667207777
 01/01  14:00:00,34.323313654,4.0001184476,0.0,0.0,9.17985065927,19.4245,120.979979691,75.4165473879,33.3988,12.1646323032
 01/01  15:00:00,34.3236202371,4.0001184476,0.0,0.0,9.17985065927,19.4245,113.530231519,79.2312976453,25.0491,9.24983387376
 01/01  16:00:00,34.3112226152,4.0001184476,0.0,0.0,9.17985065927,19.4245,126.760573343,84.1134587062,33.3988,9.24831463629
 01/01  17:00:00,43.857919241,4.0001184476,0.00321796793991,0.0,9.17985065927,26.9147,148.782224103,89.4354866845,50.0982,9.24853741888
 01/01  18:00:00,45.9827376579,4.0001184476,0.0,0.0,9.17985065927,26.9147,158.558812749,96.2935670246,50.0982,12.1670457239
 01/01  19:00:00,45.9858592654,4.0001184476,0.0,0.0,9.17985065927,26.9147,170.962845182,105.76310548,50.0982,15.1015397027
 01/01  20:00:00,38.6240640422,4.0001184476,0.0,0.0,9.17985065927,19.4245,165.164210888,116.663861604,33.3988,15.1015492841
 01/01  21:00:00,38.6027079081,4.0001184476,0.0,0.0,9.17985065927,19.4245,167.033958979,121.468300595,33.3988,12.1668583845
 01/01  22:00:00,38.5319972677,4.0001184476,0.0,0.0,9.17985065927,19.4245,170.782878961,130.632168332,25.0491,15.1016106287
 01/01  23:00:00,38.4229609957,4.0001184476,0.0,0.0,9.17985065927,19.4245,168.339414173,139.473178978,16.6994,12.1668351946
 01/01  24:00:00,39.2330802234,4.0001184476,0.0,0.0,9.17985065927,19.4245,149.928970643,135.232535547,8.3497,6.34673509539
 01/02  01:00:00,22.4751840925,4.0001184476,0.0013048684843,0.0,4.58992532963,8.1892,143.397096793,133.710314989,3.33988,6.34690180459
 01/02  02:00:00,14.6302912167,0.0,0.0,0.0,1.52997510988,7.4902,3.93194550828,0.0,3.33988,0.592065508283
 01/02  03:00:00,14.6496555775,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
