Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,108.128338607,23.37384743,0.850185902089,14.5259645961,4.12243109448,15.9888894789,100.140007306,97.1482768887,2.97173041782,0.02
 01/02  02:00:00,99.3362902975,19.5509309203,0.0369528758644,14.1977187825,4.12243109448,15.9888894789,91.0673686194,88.0756382016,2.97173041782,0.02
 01/02  03:00:00,117.316396097,24.4386636504,0.0613421415872,19.779288387,4.12243109448,15.9888894789,114.619105659,111.627375241,2.97173041782,0.02
 01/02  04:00:00,101.176070772,19.5509309203,0.041170708807,16.5804221674,4.12243109448,15.9888894789,91.6068789796,88.6151485617,2.97173041782,0.02
 01/02  05:00:00,144.823115034,28.8900480084,0.0493375999629,19.0698114874,12.3672932834,24.9413748627,130.507733159,125.53484913,4.9528840297,0.02
 01/02  06:00:00,174.499237519,28.459908917,1.77133239733,47.0749710101,12.3672932834,24.9413748627,192.372981557,187.400097528,4.9528840297,0.02
 01/02  07:00:00,234.006341299,29.3728892218,1.39773016017,48.8082259933,24.7345865669,70.7195625826,209.061285638,199.135517578,9.90576805939,0.02
 01/02  08:00:00,248.968943073,29.4296794816,2.14860924825,36.0279520567,37.1018798503,92.3937384068,191.746336839,181.820568779,9.90576805939,0.02
 01/02  09:00:00,244.598109209,29.4507860753,2.97815584086,29.9471019463,37.1018798503,104.434947198,179.500427962,169.574659902,9.90576805939,0.02
 01/02  10:00:00,252.254778332,29.4657233276,3.56383308159,24.9354499416,37.1018798503,116.476155989,179.832395347,161.295074543,9.90576805939,8.63155274468
 01/02  11:00:00,250.034293299,29.4924938612,4.56586756351,22.1493872471,37.1018798503,116.476155989,163.439940349,153.51417229,9.90576805939,0.02
 01/02  12:00:00,248.442003598,29.4962694354,4.97918542443,21.0363698351,37.1018798503,116.476155989,169.381785349,150.835535937,9.90576805939,8.64048135269
 01/02  13:00:00,233.605178563,29.5693417973,5.56198620279,16.7520967341,37.1018798503,104.434947198,152.468429033,142.542660973,9.90576805939,0.02
 01/02  14:00:00,243.139077161,29.6397110144,6.56208877605,14.7206009014,37.1018798503,116.476155989,151.542700476,132.996302425,9.90576805939,8.64062999168
 01/02  15:00:00,243.414463324,29.6799890514,7.57029143715,13.134650577,37.1018798503,116.476155989,144.343647918,125.799346716,9.90576805939,8.63853314327
 01/02  16:00:00,243.068345561,29.6717518111,7.40702656959,11.8682404954,37.1018798503,116.476155989,134.625721502,124.699953443,9.90576805939,0.02
 01/02  17:00:00,247.196510982,29.6305167008,6.98625080896,11.6489007071,37.1018798503,116.476155989,148.168820699,129.631687721,9.90576805939,8.6313649186
 01/02  18:00:00,257.202040981,29.6227362292,6.39692780503,12.5113819863,37.1018798503,116.476155989,143.879788752,133.954020693,9.90576805939,0.02
 01/02  19:00:00,160.076071465,28.0173512643,1.50759997499,0.421964344022,24.7345865669,47.5788473902,88.8754362214,83.9025521917,4.9528840297,0.02
 01/02  20:00:00,159.223083947,27.871901807,0.882406551453,0.575190547304,24.7345865669,47.5788473902,91.3430279492,86.3701439195,4.9528840297,0.02
 01/02  21:00:00,143.366140691,28.5991490937,1.79826210413,3.72068388607,12.3672932834,38.6892022431,104.285603503,101.293873085,2.97173041782,0.02
 01/02  22:00:00,118.591927423,23.1120384067,2.1251762222,5.62274703315,12.3672932834,27.0668015668,89.5290446263,86.5373142085,2.97173041782,0.02
 01/02  23:00:00,95.8027845106,19.9872792924,1.762874156,10.969701372,4.12243109448,15.9888894789,79.1770715373,76.1853411195,2.97173041782,0.02
 01/02  24:00:00,106.724038359,24.0023152784,2.81466684412,10.7644888423,4.12243109448,15.9888894789,101.349819146,98.3580887284,2.97173041782,0.02
 01/03  01:00:00,99.1832330257,19.9872792924,2.74097940668,14.8209722206,4.12243109448,15.9888894789,91.0239798133,79.4521013828,2.97173041782,8.60014801271
 01/03  02:00:00,110.209168436,24.0023152784,4.38337669251,13.382735734,4.12243109448,15.9888894789,103.966159857,100.974429439,2.97173041782,0.02
 01/03  03:00:00,101.59645447,19.9872792924,3.30241380733,17.3940092789,4.12243109448,15.9888894789,84.3004051205,81.3086747027,2.97173041782,0.02
 01/03  04:00:00,111.153746682,24.0023152784,3.84445744404,15.4828507892,4.12243109448,15.9888894789,106.215869845,103.224139427,2.97173041782,0.02
 01/03  05:00:00,140.776893719,28.8900480084,4.14486312999,16.1020533565,12.3672932834,24.9413748627,120.048509238,115.075625209,4.9528840297,0.02
 01/03  06:00:00,172.148871774,28.4659966576,7.10233984833,43.4116690359,12.3672932834,24.9413748627,188.697497957,183.724613928,4.9528840297,0.02
 01/03  07:00:00,231.714508809,29.3659757704,6.37342439561,44.6836717935,24.7345865669,70.7195625826,190.786430574,180.860662515,9.90576805939,0.02
 01/03  08:00:00,246.330281942,29.4278396189,5.96330681535,32.6178224503,37.1018798503,92.3937384068,175.415803106,165.490035046,9.90576805939,0.02
 01/03  09:00:00,240.54397267,29.4495959304,6.54742166708,26.5015956792,37.1018798503,104.434947198,165.337257563,155.411489504,9.90576805939,0.02
 01/03  10:00:00,247.014143753,29.4815291449,7.5480220743,21.0704121649,37.1018798503,116.476155989,163.137743396,144.600474558,9.90576805939,8.63150077812
 01/03  11:00:00,244.408429271,29.5467050202,8.55130174409,17.7411561572,37.1018798503,116.476155989,144.286321883,134.360553824,9.90576805939,0.02
 01/03  12:00:00,243.352312443,29.6319847168,9.55577309157,15.3057183589,37.1018798503,116.476155989,142.967813564,124.42152714,9.90576805939,8.64051836388
 01/03  13:00:00,232.02476668,29.7710967059,10.5625828884,13.5722757612,37.1018798503,104.434947198,124.59471597,114.668947911,9.90576805939,0.02
 01/03  14:00:00,242.031227932,29.8808120727,11.5608757884,11.9870481957,37.1018798503,116.476155989,125.075960315,106.529477616,9.90576805939,8.64071463955
