Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,156.608149757,38.9536867346,0.0,0.0,43.513341876,52.539744,207.94875439,203.09449439,4.83426,0.02
 01/01  02:00:00,160.134302881,42.5461568456,0.0,0.0,43.513341876,52.539744,162.124640959,157.270380959,4.83426,0.02
 01/01  03:00:00,165.377249629,47.6388256627,0.0,0.0,43.513341876,52.539744,239.381704195,234.527444195,4.83426,0.02
 01/01  04:00:00,153.480740511,35.8935123725,0.0,0.0,43.513341876,52.539744,155.899014119,151.044754119,4.83426,0.02
 01/01  05:00:00,159.25570794,41.1064336802,0.0,0.0,43.513341876,52.539744,232.744949001,219.297187771,4.83426,8.61350123075
 01/01  06:00:00,154.484332431,36.5080256572,0.0,0.0,43.513341876,52.539744,150.725403842,145.871143842,4.83426,0.02
 01/01  07:00:00,162.080283239,43.9384951226,0.0,0.0,43.513341876,52.539744,221.419973411,216.565713411,4.83426,0.02
 01/01  08:00:00,141.335196551,29.4813728805,0.0,0.0,43.513341876,52.539744,123.129994579,118.275734579,4.83426,0.02
 01/01  09:00:00,130.49158317,30.5060106597,0.0,0.0,43.513341876,52.539744,157.338652468,152.484392468,4.83426,0.02
 01/01  10:00:00,111.393235273,11.4998474174,0.0,0.0,43.513341876,52.539744,94.280797141,80.8249645854,4.83426,8.62157255561
 01/01  11:00:00,109.960171264,10.0500273231,0.0,0.0,43.513341876,52.539744,104.469682588,99.6154225876,4.83426,0.02
 01/01  12:00:00,112.266547022,11.4998474174,0.0,0.0,43.513341876,52.539744,59.966304836,55.112044836,4.83426,0.02
 01/01  13:00:00,112.295592042,12.5213312938,0.0,0.0,43.513341876,52.539744,72.6124806105,59.1567579594,4.83426,8.62146265109
 01/01  14:00:00,103.884881979,4.08593550535,0.0,0.0,43.513341876,52.539744,38.0808449426,33.2265849426,4.83426,0.02
 01/01  15:00:00,104.926764593,5.10741938169,0.0,0.0,43.513341876,52.539744,38.5212407659,33.6669807659,4.83426,0.02
 01/01  16:00:00,103.855029558,4.08593550535,0.0,0.0,43.513341876,52.539744,26.224176621,21.369916621,4.83426,0.02
 01/01  17:00:00,110.671851645,5.10741938169,0.0,0.0,43.513341876,52.539744,46.9690952891,33.5213187798,4.83426,8.61351650933
 01/01  18:00:00,121.598466484,4.08593550535,0.0,0.0,43.513341876,52.539744,40.1163261131,35.2620661131,4.83426,0.02
 01/01  19:00:00,131.832210003,14.2675854985,0.0,0.0,43.513341876,52.539744,77.6117632456,72.7575032456,4.83426,0.02
 01/01  20:00:00,136.691828307,18.6993117829,0.0,0.0,43.513341876,52.539744,86.610663957,81.756403957,4.83426,0.02
 01/01  21:00:00,149.058421956,30.9904921351,0.0,0.0,43.513341876,52.539744,153.611665872,148.757405872,4.83426,0.02
 01/01  22:00:00,158.944933293,41.0734713921,0.0,0.0,43.513341876,52.539744,191.858621127,178.410793309,4.83426,8.61356781783
 01/01  23:00:00,166.085791677,48.3117018377,0.0,0.0,43.513341876,52.539744,314.252598394,309.398338394,4.83426,0.02
 01/01  24:00:00,166.656175444,48.0209600964,0.0,0.0,43.513341876,52.539744,221.861443414,217.007183414,4.83426,0.02
 01/02  01:00:00,164.719969641,46.8939629585,0.0,0.0,43.513341876,52.539744,280.844598157,275.990338157,4.83426,0.02
 01/02  02:00:00,163.166178286,45.5085677075,0.0,0.0,43.513341876,52.539744,206.162618576,192.706608521,4.83426,8.6217500544
 01/02  03:00:00,164.747375009,46.8939629585,0.0,0.0,43.513341876,52.539744,279.726035225,274.871775225,4.83426,0.02
 01/02  04:00:00,163.173992027,45.5085677075,0.0,0.0,43.513341876,52.539744,196.815387528,191.961127528,4.83426,0.02
 01/02  05:00:00,165.177086304,46.8939629585,0.0,0.0,43.513341876,52.539744,284.467519569,271.011717483,4.83426,8.6215420859
 01/02  06:00:00,167.796290549,49.7194226376,0.0,0.0,43.513341876,52.539744,240.38668383,235.53242383,4.83426,0.02
 01/02  07:00:00,197.104233965,72.861095755,0.0,0.0,43.513341876,53.238744,3347.92530835,3343.07104835,4.83426,0.02
 01/02  08:00:00,368.357946307,72.861095755,0.0,0.0,220.879908,53.238744,2840.69637788,2809.42779248,4.83426,26.4343254088
 01/02  09:00:00,447.078466249,72.861095755,0.0,0.0,220.879908,145.652643033,2446.98158979,2375.20242303,36.25695,35.5222167633
 01/02  10:00:00,446.750238082,72.861095755,0.0,0.0,220.879908,145.652643033,2317.41919954,2227.21119186,36.25695,53.9510576804
 01/02  11:00:00,452.60012739,72.861095755,0.0,0.0,220.879908,151.653867033,2170.58136469,2077.21005151,48.3426,45.0287131781
 01/02  12:00:00,453.593420351,72.861095755,0.0,0.0,220.879908,151.653867033,2084.78934962,1982.16479577,48.3426,54.2819538419
 01/02  13:00:00,452.447278545,72.861095755,0.0,0.0,220.879908,151.653867033,1966.94458218,1855.0667118,48.3426,63.5352703753
 01/02  14:00:00,446.424915467,72.861095755,0.0,0.0,220.879908,145.652643033,1837.3515372,1758.61335632,24.1713,54.5668808749
 01/02  15:00:00,446.374188241,72.861095755,0.0,0.0,220.879908,145.652643033,1738.21677234,1660.07070093,24.1713,53.9747714164
 01/02  16:00:00,438.498802486,72.861095755,0.0,0.0,220.879908,137.835547516,1645.66399559,1595.75709559,4.83426,45.0726400034
 01/02  17:00:00,439.506105129,72.861095755,0.0,0.0,220.879908,133.019064,1611.52570509,1562.02215649,4.83426,44.6692886037
 01/02  18:00:00,371.762941822,72.861095755,0.0,0.0,220.879908,53.238744,1794.73879018,1745.24106013,4.83426,44.6634700447
 01/02  19:00:00,371.817342765,72.861095755,0.0,0.0,220.879908,53.238744,1932.86347345,1883.16545621,4.83426,44.8637572412
 01/02  20:00:00,372.23269703,72.861095755,0.0,0.0,220.879908,53.238744,1937.26711203,1923.7298654,4.83426,8.70298663324
