Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,566.283778854,96.3146179411,117.331772448,0.0,34.9616554283,113.312780494,823.868359082,800.728561007,5.66466996096,17.4751281149
 01/01  02:00:00,591.020413148,96.3146179411,149.275085752,0.0,34.9616554283,113.312780494,775.49580836,752.354382775,5.66466996096,17.4767556244
 01/01  03:00:00,590.48617362,96.3146179411,142.682493021,0.0,34.9616554283,113.312780494,828.709967759,805.567021106,5.66466996096,17.4782766922
 01/01  04:00:00,588.930924513,96.3146179411,138.004379863,0.0,34.9616554283,113.312780494,861.714429395,838.569989091,5.66466996096,17.4797703427
 01/01  05:00:00,597.221454663,96.3146179411,138.385595404,0.0,44.4937663224,113.312780494,863.368462152,840.222537174,5.66466996096,17.4812550167
 01/01  06:00:00,589.896770383,96.3146179411,128.764302051,0.0,44.4937663224,113.312780494,906.31704226,874.680279913,14.1616749024,17.4750874447
 01/01  07:00:00,643.410974646,96.3146179411,111.134155812,0.0,54.0258772165,176.889270242,908.672201972,862.872383935,28.3233498048,17.4764682319
 01/01  08:00:00,628.724032486,96.3146179411,92.8548171533,0.0,54.0258772165,184.38654557,959.007061681,899.044104628,42.4850247072,17.4779323456
 01/01  09:00:00,698.072779501,96.3146179411,85.7770712555,0.0,65.1572554096,220.04316451,950.258823424,867.252816398,56.6466996096,26.3593074159
 01/01  10:00:00,691.316556407,96.3146179411,85.2750138416,0.0,65.1572554096,212.545889182,922.226053801,844.406747586,42.4850247072,35.3342815078
 01/01  11:00:00,706.898540731,96.3146179411,95.8649955441,0.0,65.1572554096,220.04316451,905.654761651,799.313459821,70.808374512,35.5329273184
 01/01  12:00:00,724.490339396,96.3146179411,112.977236355,0.0,65.1572554096,220.04316451,832.788203608,726.44472029,70.808374512,35.5351088061
 01/01  13:00:00,728.302309574,96.3146179411,119.552166225,0.0,65.1572554096,220.04316451,811.002952047,704.656572146,70.808374512,35.5380053891
 01/01  14:00:00,717.147316961,96.3146179411,119.570833677,0.0,65.1572554096,212.545889182,808.146741963,715.959114946,56.6466996096,35.5409274075
 01/01  15:00:00,726.591140861,96.3146179411,130.129979986,0.0,65.1572554096,212.545889182,768.24275372,690.213890721,42.4850247072,35.5438382916
