Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5258873979,2.18122469733,0.0,0.0,1.85583932782,5.577,66.0030039774,60.6891006935,3.0011,2.31280328398
 01/01  02:00:00,9.47620800561,0.0,0.0,0.0,0.618613109274,5.0,3.59318977554,0.0,3.0011,0.592089775537
 01/01  03:00:00,9.49757596918,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.5087533765,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.65827850506,0.0,0.0,0.0,0.618613109274,5.0,3.59316984168,0.0,3.0011,0.592069841683
 01/01  06:00:00,13.6755664447,2.18122469733,0.0,0.0,1.85583932782,5.577,67.6766918967,63.1550418967,4.50165,0.02
 01/01  07:00:00,28.1507066809,2.18122469733,0.0,0.0,3.71167865564,18.077,73.6334653496,58.3905015544,13.50495,1.73801379518
 01/01  08:00:00,26.8381645499,2.18122469733,0.0,0.0,3.71167865564,18.077,79.8794267439,57.1334543772,21.0077,1.73827236669
 01/01  09:00:00,20.5699365676,2.18122469733,0.0,0.0,3.71167865564,13.077,75.5129319245,58.7690732386,15.0055,1.73835868586
 01/01  10:00:00,20.5787970153,2.18122469733,0.0,0.0,3.71167865564,13.077,75.2399973089,58.4960533433,15.0055,1.73844396559
 01/01  11:00:00,25.5727309479,2.18122469733,0.0,0.0,3.71167865564,18.077,92.4260731433,54.222743272,33.0121,5.19122987128
 01/01  12:00:00,26.7334219064,2.18122469733,0.0,0.0,3.71167865564,18.077,93.7228508638,48.016969383,40.51485,5.1910314808
 01/01  13:00:00,25.7975663569,2.18122469733,0.0,0.0,3.71167865564,18.077,85.7251816146,45.6742125573,36.0132,4.03776905729
 01/01  14:00:00,25.5954064488,2.18122469733,0.0,0.0,3.71167865564,18.077,82.0262022159,46.4771215816,31.51155,4.0375306343
 01/01  15:00:00,20.598512977,2.18122469733,0.0,0.0,3.71167865564,13.077,71.9778210055,48.082486295,21.0077,2.88763471056
 01/01  16:00:00,20.5840924563,2.18122469733,0.0,0.0,3.71167865564,13.077,71.1325746266,48.1643182694,19.50715,3.46110635717
 01/01  17:00:00,21.7670949761,2.18122469733,0.0,0.0,3.71167865564,13.077,75.6917190356,50.2956243316,22.50825,2.887844704
 01/01  18:00:00,28.0346925519,2.18122469733,0.0,0.0,3.71167865564,18.077,81.862969612,52.3154068897,25.50935,4.03821272224
 01/01  19:00:00,28.0359860467,2.18122469733,0.0,0.0,3.71167865564,18.077,81.2997961096,50.6000806535,25.50935,5.19036545611
 01/01  20:00:00,28.1782074415,2.18122469733,0.0,0.0,3.71167865564,18.077,81.2723570272,51.1474625702,25.50935,4.61554445698
 01/01  21:00:00,23.1663548614,2.18122469733,0.0,0.0,3.71167865564,13.077,83.0034765949,55.8836193273,22.50825,4.61160726757
 01/01  22:00:00,23.1018574073,2.18122469733,0.0,0.0,3.71167865564,13.077,86.1455138412,60.5228969962,21.0077,4.61491684501
