Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,157.751713534,40.0568561152,0.0,0.0,43.513341876,52.539744,210.447427315,205.593167315,4.83426,0.02
 01/01  02:00:00,159.34056268,41.7145469073,0.0,0.0,43.513341876,52.539744,170.779059794,165.924799794,4.83426,0.02
 01/01  03:00:00,164.038321422,46.2286176443,0.0,0.0,43.513341876,52.539744,252.549651377,247.695391377,4.83426,0.02
 01/01  04:00:00,159.35149589,41.7145469073,0.0,0.0,43.513341876,52.539744,168.712565959,163.858305959,4.83426,0.02
 01/01  05:00:00,158.924989182,40.68474725,0.0,0.0,43.513341876,52.539744,256.664237276,243.215581783,4.83426,8.61439549291
 01/01  06:00:00,154.207477954,36.1706765131,0.0,0.0,43.513341876,52.539744,167.309555709,162.455295709,4.83426,0.02
 01/01  07:00:00,165.597232038,47.3373917231,0.0,0.0,43.513341876,52.539744,257.431456469,252.577196469,4.83426,0.02
 01/01  08:00:00,138.570324523,29.6382845305,0.0,0.0,43.513341876,52.539744,147.908966175,143.054706175,4.83426,0.02
 01/01  09:00:00,130.174505689,30.0901015947,0.0,0.0,43.513341876,52.539744,193.609871646,180.152582878,4.83426,8.62302876765
 01/01  10:00:00,128.354624596,28.4087916967,0.0,0.0,43.513341876,52.539744,110.013244596,105.158984596,4.83426,0.02
 01/01  11:00:00,125.047278858,25.0281736915,0.0,0.0,43.513341876,52.539744,160.82518701,155.97092701,4.83426,0.02
 01/01  12:00:00,112.214945357,11.4145579848,0.0,0.0,43.513341876,52.539744,90.5688274068,77.1115567969,4.83426,8.62301060986
 01/01  13:00:00,112.261671854,12.414719503,0.0,0.0,43.513341876,52.539744,101.922578648,97.0683186483,4.83426,0.02
 01/01  14:00:00,109.278910364,9.43751480826,0.0,0.0,43.513341876,52.539744,64.6941200821,59.8398600821,4.83426,0.02
 01/01  15:00:00,115.685559946,15.7958247959,0.0,0.0,43.513341876,52.539744,83.2401026385,78.3858426385,4.83426,0.02
 01/01  16:00:00,105.337816335,5.53751211495,0.0,0.0,43.513341876,52.539744,62.4294726177,48.9809129567,4.83426,8.61429966102
 01/01  17:00:00,125.655635702,17.0191584781,0.0,0.0,43.513341876,52.539744,94.1994491956,89.3451891956,4.83426,0.02
 01/01  18:00:00,132.547564554,14.9702325603,0.0,0.0,43.513341876,52.539744,86.2004177648,81.3461577648,4.83426,0.02
 01/01  19:00:00,150.46119447,32.7895922435,0.0,0.0,43.513341876,52.539744,146.656917046,141.802657046,4.83426,0.02
 01/01  20:00:00,134.807420273,16.7603881511,0.0,0.0,43.513341876,52.539744,122.929574923,109.481114918,4.83426,8.61420000488
 01/01  21:00:00,154.887745416,36.7306608969,0.0,0.0,43.513341876,52.539744,193.810411502,188.956151502,4.83426,0.02
 01/01  22:00:00,154.109268097,36.1706765131,0.0,0.0,43.513341876,52.539744,197.79145049,192.93719049,4.83426,0.02
 01/01  23:00:00,168.38961573,50.5434614691,0.0,0.0,43.513341876,52.539744,291.68947227,286.83521227,4.83426,0.02
 01/01  24:00:00,154.821361263,36.1706765131,0.0,0.0,43.513341876,52.539744,192.92491478,188.07065478,4.83426,0.02
 01/02  01:00:00,172.655308202,54.7543163992,0.0,0.0,43.513341876,52.539744,338.819174039,325.362117644,4.83426,8.62279639502
 01/02  02:00:00,160.049850033,42.3306233938,0.0,0.0,43.513341876,52.539744,231.115120092,226.260860092,4.83426,0.02
 01/02  03:00:00,171.006720994,53.055853858,0.0,0.0,43.513341876,52.539744,315.318035881,310.463775881,4.83426,0.02
 01/02  04:00:00,161.370130254,43.6406671498,0.0,0.0,43.513341876,52.539744,248.125681689,234.668339342,4.83426,8.62308234707
 01/02  05:00:00,173.716476246,55.301643154,0.0,0.0,43.513341876,52.539744,343.000187095,338.145927095,4.83426,0.02
 01/02  06:00:00,162.250081432,44.0802987815,0.0,0.0,43.513341876,52.539744,239.154737706,234.300477706,4.83426,0.02
 01/02  07:00:00,197.374947199,72.3411382365,0.0,0.0,43.513341876,53.238744,3348.17145252,3334.71414916,4.83426,8.62304335975
 01/02  08:00:00,365.796527768,72.3411382365,0.0,0.0,220.879908,53.238744,2942.21469289,2910.90088026,4.83426,26.4795526284
 01/02  09:00:00,447.472068766,72.3411382365,0.0,0.0,220.879908,145.652643033,2680.84173944,2608.97999412,36.25695,35.6047953182
 01/02  10:00:00,446.717360747,72.3411382365,0.0,0.0,220.879908,145.652643033,2462.15489847,2371.76726206,36.25695,54.1306864081
 01/02  11:00:00,452.462780072,72.3411382365,0.0,0.0,220.879908,151.653867033,2259.70474856,2157.15410339,48.3426,54.2080451657
 01/02  12:00:00,453.372126989,72.3411382365,0.0,0.0,220.879908,151.653867033,2080.68104132,1977.86519023,48.3426,54.4732510942
 01/02  13:00:00,452.326537939,72.3411382365,0.0,0.0,220.879908,151.653867033,2047.32031498,1935.19472393,48.3426,63.7829910463
 01/02  14:00:00,446.307598643,72.3411382365,0.0,0.0,220.879908,145.652643033,2018.41211051,1930.31904907,24.1713,63.9217614369
 01/02  15:00:00,446.251421281,72.3411382365,0.0,0.0,220.879908,145.652643033,1941.01986325,1862.69690543,24.1713,54.1516578133
 01/02  16:00:00,438.375809946,72.3411382365,0.0,0.0,220.879908,137.835547516,1860.54471704,1801.4464248,4.83426,54.2640322336
 01/02  17:00:00,442.430354659,72.3411382365,0.0,0.0,220.879908,133.019064,1874.97558296,1825.33928242,4.83426,44.8020405331
 01/02  18:00:00,371.722956299,72.3411382365,0.0,0.0,220.879908,53.238744,2045.78536629,1996.15751829,4.83426,44.7935880057
 01/02  19:00:00,371.742276507,72.3411382365,0.0,0.0,220.879908,53.238744,2063.65822016,2013.8227597,4.83426,45.0012004587
 01/02  20:00:00,372.150889271,72.3411382365,0.0,0.0,220.879908,53.238744,2047.12261541,2024.88802913,4.83426,17.4003262865
 01/02  21:00:00,372.145774412,72.3411382365,0.0,0.0,220.879908,53.238744,2092.94854899,2079.4173433,4.83426,8.69694569427
 01/02  22:00:00,119.181770237,1.60420792889,0.0,0.0,43.513341876,52.539744,28.2452508248,6.03610526954,4.83426,17.3748855553
 01/02  23:00:00,121.413134819,4.00064607272,0.0,0.0,43.513341876,52.539744,13.544371528,8.69011152802,4.83426,0.02
 01/02  24:00:00,123.594792691,5.00080759091,0.0,0.0,43.513341876,52.539744,34.5138821196,21.0391079164,4.83426,8.64051420322
 01/03  01:00:00,124.597084455,7.07437815717,0.0,0.0,43.513341876,52.539744,29.0307358566,24.1764758566,4.83426,0.02
 01/03  02:00:00,128.104675917,10.5335253429,0.0,0.0,43.513341876,52.539744,56.1304376224,42.673155124,4.83426,8.62302249835
 01/03  03:00:00,131.955984994,14.4218881063,0.0,0.0,43.513341876,52.539744,46.848372319,41.994112319,4.83426,0.02
 01/03  04:00:00,134.101194795,16.5187385324,0.0,0.0,43.513341876,52.539744,68.1185139886,63.2642539886,4.83426,0.02
 01/03  05:00:00,134.155186257,14.4759717661,0.0,0.0,43.513341876,52.539744,76.2575797665,62.8001996777,4.83426,8.62312008885
 01/03  06:00:00,147.797266898,28.4081133235,0.0,0.0,43.513341876,52.539744,94.6358475103,89.7815875103,4.83426,0.02
 01/03  07:00:00,197.651932373,72.3411382365,0.0,0.0,43.513341876,53.238744,2809.4477469,2804.5934869,4.83426,0.02
 01/03  08:00:00,363.769449324,72.3411382365,0.0,0.0,220.879908,53.238744,2235.86198612,2195.72846451,4.83426,35.2992616106
 01/03  09:00:00,446.349951381,72.3411382365,0.0,0.0,220.879908,145.652643033,1917.59050227,1845.72676749,36.25695,35.6067847798
 01/03  10:00:00,446.315679764,72.3411382365,0.0,0.0,220.879908,145.652643033,1795.74614991,1705.36720763,36.25695,54.1219922841
 01/03  11:00:00,452.25264012,72.3411382365,0.0,0.0,220.879908,151.653867033,1683.83877931,1581.29198894,48.3426,54.2041903686
 01/03  12:00:00,453.254568416,72.3411382365,0.0,0.0,220.879908,151.653867033,1586.92904381,1484.12189494,48.3426,54.4645488652
 01/03  13:00:00,452.192673053,72.3411382365,0.0,0.0,220.879908,151.653867033,1564.94146677,1452.80367925,48.3426,63.7951875209
 01/03  14:00:00,446.176157077,72.3411382365,0.0,0.0,220.879908,145.652643033,1480.39915361,1392.2977041,24.1713,63.9301495066
 01/03  15:00:00,446.147070962,72.3411382365,0.0,0.0,220.879908,145.652643033,1422.2349747,1343.91759184,24.1713,54.1460828634
 01/03  16:00:00,438.275725247,72.3411382365,0.0,0.0,220.879908,137.835547516,1344.80137489,1285.70684925,4.83426,54.2602656425
 01/03  17:00:00,442.231363835,72.3411382365,0.0,0.0,220.879908,133.019064,1321.46133994,1271.82739171,4.83426,44.799688226
 01/03  18:00:00,371.493007669,72.3411382365,0.0,0.0,220.879908,53.238744,1551.81095939,1502.17803313,4.83426,44.7986662599
 01/03  19:00:00,371.520252279,72.3411382365,0.0,0.0,220.879908,53.238744,1611.46870465,1561.62242303,4.83426,45.0120216122
 01/03  20:00:00,371.488991015,72.3411382365,0.0,0.0,220.879908,53.238744,1557.95355769,1535.71762827,4.83426,17.4016694232
 01/03  21:00:00,371.487669774,72.3411382365,0.0,0.0,220.879908,53.238744,1532.54273566,1519.01114013,4.83426,8.69733552686
 01/03  22:00:00,118.738572735,1.46471158725,0.0,0.0,43.513341876,52.539744,21.895872428,1.32508748941,4.83426,15.7365249386
 01/03  23:00:00,118.803083857,1.39496341643,0.0,0.0,43.513341876,52.539744,8.04161537515,1.55921388092,4.83426,1.64814149424
 01/03  24:00:00,120.276658231,1.74370427054,0.0,0.0,43.513341876,52.539744,16.1760739848,2.7014063905,4.83426,8.64040759425
 01/04  01:00:00,120.615779226,3.13156853447,0.0,0.0,43.513341876,52.539744,8.19133274713,3.33707274713,4.83426,0.02
 01/04  02:00:00,122.383426265,4.89044710721,0.0,0.0,43.513341876,52.539744,19.9376253471,6.48030230461,4.83426,8.62306304245
 01/04  03:00:00,121.480209255,4.00064607272,0.0,0.0,43.513341876,52.539744,10.9352168953,6.08095689532,4.83426,0.02
 01/04  04:00:00,122.498034325,5.00080759091,0.0,0.0,43.513341876,52.539744,16.5987980784,11.7445380784,4.83426,0.02
 01/04  05:00:00,126.137506263,8.22702768884,0.0,0.0,43.513341876,52.539744,26.2323279827,12.776682243,4.83426,8.62138573965
