Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,151.030116853,31.0947426264,26.9455935934,0.0,34.4311606118,33.1021868926,142.211522414,15.5541536543,3.33212,123.325248759
 01/01  02:00:00,164.391823095,31.0947426264,40.3336003485,0.0,34.4311606118,33.1021868926,126.695995787,29.1274134601,3.33212,94.2364623269
 01/01  03:00:00,153.339792529,31.0947426264,46.7932638467,0.0,19.466279405,30.610668775,115.610743955,18.0650184691,3.33212,94.2136054864
 01/01  04:00:00,157.987936405,31.0947426264,51.4567469125,0.0,19.466279405,30.610668775,101.625731728,4.07842116273,3.33212,94.2151905654
 01/01  05:00:00,185.067522361,33.5742702014,66.6642572502,0.0,19.466279405,30.610668775,126.5951995,0.0957138699702,3.33212,123.16736563
 01/01  06:00:00,169.824990584,31.9212518181,42.609283676,0.0,19.466279405,30.610668775,169.628382166,0.13077547323,8.3303,161.167306693
 01/01  07:00:00,316.98801939,35.2272885848,111.373612619,0.0,42.6918050922,54.3732441037,233.873981267,0.176624690214,16.6606,217.036756577
 01/01  08:00:00,392.532330483,36.3495986553,138.885037294,0.0,49.3960418185,88.5934452969,413.201051615,18.2955840596,24.9909,369.914567556
 01/01  09:00:00,410.978805904,36.1100512312,136.836854568,0.0,57.6566862989,112.030105488,572.516959434,10.0586333046,33.3212,529.137126129
 01/01  10:00:00,356.234671336,36.6466743678,137.600735001,0.0,50.9524495726,81.1684271793,453.212273262,5.51819092304,66.8089,380.885182339
 01/01  11:00:00,313.592859065,36.7748814091,139.794421037,0.0,42.6918050922,68.9656133826,387.691332178,12.8855956667,83.4695,291.336236511
 01/01  12:00:00,309.915408617,36.833663262,139.7505037,0.0,38.286128036,68.9656133826,323.280018731,13.3293246227,83.4695,226.481194108
 01/01  13:00:00,309.769451289,36.8837332115,140.153529462,0.0,38.286128036,68.9656133826,265.276590002,11.8992060912,83.4695,169.907883911
 01/01  14:00:00,292.243646679,36.8531405858,141.96612945,0.0,31.5818913096,56.727595265,254.989654749,16.7545514055,75.1392,163.095903343
 01/01  15:00:00,292.755005384,36.8797119291,142.586266431,0.0,31.5818913096,56.727595265,254.403599951,18.2085406362,66.8089,169.386159315
 01/01  16:00:00,291.887737305,36.9065987544,141.72148184,0.0,31.5818913096,56.727595265,254.753574562,17.0151790318,75.1392,162.59919553
 01/01  17:00:00,321.695705728,36.6015886507,142.652593296,0.0,31.5818913096,61.661095265,240.046687014,18.2839686088,91.7998,129.962918405
 01/01  18:00:00,360.699960628,36.079212349,143.319751568,0.0,31.5818913096,70.9729253606,230.391943934,25.521332557,49.9818,154.888811377
 01/01  19:00:00,426.451927575,36.1221142196,141.758191231,0.0,80.3315023541,83.7685254822,268.032409534,22.4532371656,49.9818,195.597372368
 01/01  20:00:00,428.791015247,36.0589429923,140.234506505,0.0,102.000620287,77.6748002752,297.979137352,17.0885652077,33.3212,247.569372144
 01/01  21:00:00,448.528486508,36.0537977765,139.463251891,0.0,108.704857014,91.4735406516,296.835245894,15.3261481127,33.3212,248.187897781
 01/01  22:00:00,420.157226,36.0807191499,139.178828924,0.0,95.2963835608,89.1510273009,296.981570495,18.303332786,24.9909,253.687337709
 01/01  23:00:00,367.330863986,36.0832516286,139.670260566,0.0,80.3315023541,63.3799339444,409.716958736,24.6645559184,16.6606,368.391802817
 01/01  24:00:00,304.227617154,36.0717883575,141.021117319,0.0,42.6918050922,48.4199368926,254.397776981,31.0479854358,8.3303,215.019491545
 01/02  01:00:00,142.700808874,31.0947426264,30.0205571203,0.0,25.5240853573,30.610668775,126.513587755,0.0,3.33212,123.181467755
 01/02  02:00:00,148.110056063,31.0947426264,42.8402329167,0.0,19.418418834,29.3649097162,97.4525324267,0.0,3.33212,94.1204124267
 01/02  03:00:00,175.275826093,33.5742702014,72.6400240381,0.0,12.7620426787,28.1191506574,97.5444281365,0.0839950605032,3.33212,94.128313076
 01/02  04:00:00,157.038266122,32.7477610098,56.1011144887,0.0,12.7620426787,28.1191506574,97.5708605025,0.122997332845,3.33212,94.1157431697
 01/02  05:00:00,143.954682829,31.9212518181,38.3461395447,0.0,12.7620426787,28.1191506574,126.53333368,0.0,3.33212,123.20121368
 01/02  06:00:00,209.743257019,33.5742702014,72.894601492,0.0,25.5240853573,30.610668775,223.968486302,0.159009404945,8.3303,215.479176897
 01/02  07:00:00,347.69244072,35.2272885848,109.39089312,0.0,51.0481707146,78.1489452969,387.251029153,0.411056424257,16.6606,370.179372729
 01/02  08:00:00,422.940661557,36.0957480669,132.429960697,0.0,64.3609230253,109.708623606,539.012101382,20.8557858484,24.9909,493.165415533
 01/02  09:00:00,370.766108615,36.0639712033,134.172844162,0.0,51.0481707146,80.7689615957,425.316437689,12.3504015352,33.3212,379.644836154
 01/02  10:00:00,343.362435819,36.63249024,134.516242347,0.0,51.0481707146,71.0224615957,361.413513444,7.35247170974,66.8089,287.252141734
 01/02  11:00:00,295.86408011,36.7194771677,135.712889254,0.0,32.1804615127,65.7244621605,328.042314825,18.6746133267,83.4695,225.898201498
 01/02  12:00:00,296.912521371,36.7705204632,136.114472586,0.0,32.1804615127,65.7244621605,273.80154985,20.1469996537,83.4695,170.185050197
 01/02  13:00:00,267.968574787,36.8064866451,109.327081438,0.0,32.1804615127,65.7244621605,318.917027302,65.515218633,83.4695,169.932308669
 01/02  14:00:00,214.202820978,36.8462932378,65.6169724725,0.0,32.1804615127,55.9779621605,474.591410078,235.68757902,75.1392,163.764631059
 01/02  15:00:00,208.729094627,36.8791522945,59.6321923891,0.0,32.1804615127,55.9779621605,570.752488463,335.360323321,66.8089,168.583265141
 01/02  16:00:00,204.72967853,36.908346985,55.125646872,0.0,32.1804615127,55.9779621605,563.424873884,325.623352415,75.1392,162.662321469
 01/02  17:00:00,233.178704183,36.6028264741,54.4558632524,0.0,32.1804615127,60.9114621605,435.471027912,213.664369239,91.7998,130.006858674
 01/02  18:00:00,270.470416255,36.0537977765,47.0681062681,0.0,32.1804615127,77.5397301883,432.482098606,194.372585283,49.9818,188.127713323
 01/02  19:00:00,353.667671474,36.0537977765,70.8827708384,0.0,77.122965704,86.2600435998,568.902011122,178.682065107,49.9818,340.238146015
 01/02  20:00:00,371.555215278,36.0537977765,81.168617493,0.0,102.647051061,80.1663183927,456.71653991,169.016254006,33.3212,254.379085904
 01/02  21:00:00,400.144261321,36.0537977765,84.4709674448,0.0,115.40909374,92.7192997104,455.50250605,166.957437396,33.3212,255.223868654
 01/02  22:00:00,389.361029684,36.0537977765,97.2931609622,0.0,102.647051061,94.1340635361,567.871201952,172.107767833,24.9909,370.772534119
 01/02  23:00:00,312.767753635,36.0537977765,87.2809810304,0.0,77.122965704,65.871452062,475.914744655,179.112688124,16.6606,280.141456531
 01/02  24:00:00,220.443457946,36.0537977765,63.1355937987,0.0,38.286128036,48.4199368926,354.968111441,192.370656006,8.3303,154.267155435
 01/03  01:00:00,131.410333354,31.0947426264,18.6529297051,0.0,25.5240853573,30.610668775,167.665111479,41.1269128673,3.33212,123.206078611
 01/03  02:00:00,128.780360814,31.0947426264,23.3665505518,0.0,19.418418834,29.3649097162,131.218495668,33.7425963753,3.33212,94.1437792925
 01/03  03:00:00,123.249559541,31.0947426264,25.7584273563,0.0,12.7620426787,28.1191506574,126.503205742,29.0314574896,3.33212,94.1396282528
 01/03  04:00:00,124.951433975,31.0947426264,27.4676286906,0.0,12.7620426787,28.1191506574,123.507146705,26.0400241439,3.33212,94.1350025609
 01/03  05:00:00,135.629754176,31.0947426264,30.9335042476,0.0,12.7620426787,28.1191506574,152.211500726,24.1925456498,3.33212,124.686835076
 01/03  06:00:00,172.66162533,31.0947426264,40.3196390944,0.0,25.5240853573,30.610668775,248.120403207,23.0954568962,8.3303,216.694646311
 01/03  07:00:00,323.47063116,33.8635484185,87.8247231321,0.0,51.0481707146,78.1489452969,412.602727131,22.3019419522,16.6606,373.640185179
 01/03  08:00:00,371.652872233,36.0537977765,82.3002407618,0.0,64.3609230253,109.708623606,664.691852,146.229095458,24.9909,493.471856542
 01/03  09:00:00,307.053586046,36.0537977765,72.0564047681,0.0,51.0481707146,80.7689615957,592.580205638,180.770048326,33.3212,378.488957311
 01/03  10:00:00,271.882432481,36.29004403,65.6167729195,0.0,51.0481707146,71.0224615957,541.305409869,183.310323141,66.8089,291.186186728
 01/03  11:00:00,211.783552302,36.4232433926,54.0783975742,0.0,32.1804615127,65.7244621605,505.058328357,195.596976716,83.4695,225.991851641
 01/03  12:00:00,202.13573679,36.4938421186,43.6602507341,0.0,32.1804615127,65.7244621605,454.400342274,200.689244269,83.4695,170.241598006
 01/03  13:00:00,196.374923864,36.5205621291,38.6259156046,0.0,32.1804615127,65.7244621605,457.339887332,203.871855671,83.4695,169.998531662
 01/03  14:00:00,186.825744207,36.6001834519,38.6566339652,0.0,32.1804615127,55.9779621605,442.886916512,204.804631118,75.1392,162.943085394
 01/03  15:00:00,186.944599217,36.6642146178,38.6576380726,0.0,32.1804615127,55.9779621605,437.941775179,201.620240424,66.8089,169.512634755
 01/03  16:00:00,186.17106078,36.6848258381,37.8820135807,0.0,32.1804615127,55.9779621605,437.478589804,199.648231811,75.1392,162.691157993
 01/03  17:00:00,214.738368151,36.4340974292,37.4613631002,0.0,32.1804615127,60.9114621605,408.007783891,186.179425698,91.7998,130.028558193
 01/03  18:00:00,266.397907754,36.0537977765,43.3131060031,0.0,32.1804615127,77.5397301883,419.114271254,180.938874294,49.9818,188.19359696
 01/03  19:00:00,341.125708508,36.0537977765,58.4580637966,0.0,77.122965704,86.2600435998,576.714089758,185.924300649,49.9818,340.807989109
 01/03  20:00:00,355.228679013,36.0537977765,65.4518592159,0.0,102.647051061,80.1663183927,473.883531329,186.301525085,33.3212,254.260806244
 01/03  21:00:00,386.118928397,36.0537977765,70.9645929438,0.0,115.40909374,92.7192997104,471.042448869,182.363771141,33.3212,255.357477728
 01/03  22:00:00,374.935327924,36.0537977765,83.2215146187,0.0,102.647051061,94.1340635361,576.993653044,180.82912474,24.9909,371.173628304
 01/03  23:00:00,299.922623258,36.0537977765,74.4868182915,0.0,77.122965704,65.871452062,482.848070228,185.832646008,16.6606,280.35482422
