Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,81.6447081654,22.6409249171,23.1948014471,0.850015609871,4.12243109448,15.9888894789,96.4153325389,93.423602121,2.97173041782,0.02
 01/02  02:00:00,80.2175114743,18.7198330222,26.1959291215,0.632604060282,4.12243109448,15.9888894789,81.3554518157,78.3637213979,2.97173041782,0.02
 01/02  03:00:00,94.626151278,23.9533078103,34.5852736478,1.30273147316,4.12243109448,15.9888894789,101.442236219,98.450505801,2.97173041782,0.02
 01/02  04:00:00,83.6929366988,19.3840528613,28.3959282547,1.24381039467,4.12243109448,15.9888894789,81.8866700429,78.894939625,2.97173041782,0.02
 01/02  05:00:00,122.649851508,28.5963649637,41.270570287,0.685037282978,12.3672932834,24.9413748627,113.935408174,108.962524144,4.9528840297,0.02
 01/02  06:00:00,152.952127618,29.7140570416,49.2837561968,21.8564354282,12.3672932834,24.9413748627,182.303802754,177.330918724,4.9528840297,0.02
 01/02  07:00:00,209.127484192,30.2231254135,53.5336867539,15.127312087,24.7345865669,70.7195625826,147.390214956,137.464446897,9.90576805939,0.02
 01/02  08:00:00,236.535085678,30.4518984374,56.9012980961,9.59456099669,37.1018798503,92.3937384068,127.733575105,117.807807046,9.90576805939,0.02
 01/02  09:00:00,237.916615877,30.5446396237,57.5896688598,7.54828313359,37.1018798503,104.434947198,121.381402972,111.455634913,9.90576805939,0.02
 01/02  10:00:00,248.936115261,30.6207689075,57.9253406729,6.11431937431,37.1018798503,116.476155989,126.662103493,108.12869813,9.90576805939,8.62763730366
 01/02  11:00:00,249.264945061,30.6821190742,59.4408557051,4.86571653192,37.1018798503,116.476155989,115.547016468,105.621248409,9.90576805939,0.02
 01/02  12:00:00,249.271338994,30.7394117243,60.5144211504,3.74097331487,37.1018798503,116.476155989,121.85991841,103.322021123,9.90576805939,8.63212922786
 01/02  13:00:00,223.219560944,30.7603357404,46.8437157805,3.38083306977,37.1018798503,104.434947198,112.346472622,102.420704562,9.90576805939,0.02
 01/02  14:00:00,222.558130622,30.7723692221,33.9764476638,3.53278709709,37.1018798503,116.476155989,112.007470713,102.081702654,9.90576805939,0.02
 01/02  15:00:00,218.722819452,30.7705871755,29.820632709,3.85534091162,37.1018798503,116.476155989,120.507920842,101.969824941,9.90576805939,8.6323278412
 01/02  16:00:00,216.976640581,30.7627040894,27.7380746472,4.19976992598,37.1018798503,116.476155989,111.726645025,101.800876966,9.90576805939,0.02
 01/02  17:00:00,216.144473159,30.7513651503,26.5449088045,4.57270050836,37.1018798503,116.476155989,120.242931424,101.710987796,9.90576805939,8.62617556847
 01/02  18:00:00,223.545398745,30.7323675485,23.881916243,5.26011879669,37.1018798503,116.476155989,111.737395718,101.811627658,9.90576805939,0.02
 01/02  19:00:00,136.032257382,28.5594638615,20.369256463,0.0,24.7345865669,47.5788473902,83.9981406303,79.0252566006,4.9528840297,0.02
 01/02  20:00:00,141.403464155,29.4819914158,23.4042341053,0.0,24.7345865669,47.5788473902,89.2527398592,84.2798558295,4.9528840297,0.02
 01/02  21:00:00,114.170929998,27.8583429203,16.1195045937,0.0729984617292,12.3672932834,38.6892022431,102.388072232,99.3963418141,2.97173041782,0.02
 01/02  22:00:00,95.6651714299,21.9041992177,14.6417721208,0.351440901888,12.3672932834,27.0668015668,94.5453595045,82.9682165592,2.97173041782,8.60541252755
 01/02  23:00:00,67.0439870655,18.2770197962,9.72077272312,0.0,4.12243109448,15.9888894789,78.6325578829,75.6408274651,2.97173041782,0.02
 01/02  24:00:00,85.7465754696,24.1747144233,16.7156864754,1.81909278232,4.12243109448,15.9888894789,100.752354129,97.7606237112,2.97173041782,0.02
 01/03  01:00:00,73.6785458456,18.9412396352,11.4028995605,1.30424789818,4.12243109448,15.9888894789,82.2304251269,79.2386947091,2.97173041782,0.02
 01/03  02:00:00,89.6550613754,24.5289650042,16.9370599417,4.22327788228,4.12243109448,15.9888894789,102.871110211,99.8793797934,2.97173041782,0.02
 01/03  03:00:00,82.0098781229,20.0482727004,14.624863118,5.64522626559,4.12243109448,15.9888894789,83.6740145617,80.6822841439,2.97173041782,0.02
 01/03  04:00:00,95.7189526688,25.0603408754,18.1526878082,8.38385107291,4.12243109448,15.9888894789,105.205828791,102.214098373,2.97173041782,0.02
 01/03  05:00:00,114.589739094,29.1867825984,18.4815457552,5.45598136308,12.3672932834,24.9413748627,118.416172092,113.443288062,4.9528840297,0.02
 01/03  06:00:00,150.557018384,29.6668343551,24.5481701138,35.3930975671,12.3672932834,24.9413748627,187.933881469,182.960997439,4.9528840297,0.02
 01/03  07:00:00,190.597003964,30.166834979,16.664990513,26.1784919839,24.7345865669,70.7195625826,157.129918356,147.204150296,9.90576805939,0.02
 01/03  08:00:00,210.469488861,30.2606829303,16.672844541,19.3875020913,37.1018798503,92.3937384068,135.8128983,125.887130241,9.90576805939,0.02
 01/03  09:00:00,208.905230893,30.3023715494,16.6731983744,17.3168618925,37.1018798503,104.434947198,129.119272629,119.193504569,9.90576805939,0.02
 01/03  10:00:00,218.960320449,30.3473274278,16.7661586398,15.7750325088,37.1018798503,116.476155989,134.322073342,115.788610262,9.90576805939,8.62769502084
 01/03  11:00:00,217.365205963,30.3830076339,17.975463976,14.5480472108,37.1018798503,116.476155989,123.317938204,113.392170145,9.90576805939,0.02
 01/03  12:00:00,216.991078631,30.4140596664,18.8233541315,13.4771387398,37.1018798503,116.476155989,129.819119796,111.279422607,9.90576805939,8.63392912963
 01/03  13:00:00,204.51802292,30.4404097593,18.9466236218,12.52194066,37.1018798503,104.434947198,119.580394838,109.654626779,9.90576805939,0.02
 01/03  14:00:00,216.594828364,30.4668455104,20.2251073721,11.6263409102,37.1018798503,116.476155989,126.497969261,107.958279114,9.90576805939,8.63392208736
 01/03  15:00:00,216.724614767,30.4913343678,21.3191139775,10.6379124275,37.1018798503,116.476155989,116.292299485,106.366531426,9.90576805939,0.02
 01/03  16:00:00,216.433238031,30.5055914913,21.3945502955,10.2569852123,37.1018798503,116.476155989,119.467270562,105.442472117,9.90576805939,4.11903038569
 01/03  17:00:00,216.321810948,30.5157305436,21.4095176162,10.0816381985,37.1018798503,116.476155989,119.179396629,104.745973745,9.90576805939,4.5276548237
 01/03  18:00:00,225.411620721,30.5230434968,21.1065074956,10.055266215,37.1018798503,116.476155989,114.356209443,104.430441384,9.90576805939,0.02
 01/03  19:00:00,138.258110109,28.7439693724,19.9789024126,0.00923570897974,24.7345865669,47.5788473902,86.4017204865,81.4288364568,4.9528840297,0.02
 01/03  20:00:00,142.636825933,29.1867825984,20.8702140867,0.189673740613,24.7345865669,47.5788473902,91.3451397435,86.3722557138,4.9528840297,0.02
 01/03  21:00:00,117.583026143,27.8583429203,15.4795232481,0.335239480175,12.3672932834,38.6892022431,112.641766481,101.06151193,2.97173041782,8.60852413373
 01/03  22:00:00,100.755592235,22.9656546162,15.2970822853,1.20490556441,12.3672932834,27.0668015668,89.1854733499,86.1937429321,2.97173041782,0.02
 01/03  23:00:00,69.2020912581,18.2770197962,9.61265170789,0.0,4.12243109448,15.9888894789,79.2632417213,76.2715113035,2.97173041782,0.02
 01/03  24:00:00,86.0779286115,23.9533078103,15.5929339071,2.83205717317,4.12243109448,15.9888894789,101.604875901,98.6131454832,2.97173041782,0.02
 01/04  01:00:00,85.683771995,20.4910859264,16.1183714592,7.48903777004,4.12243109448,15.9888894789,81.7744529288,78.782722511,2.97173041782,0.02
 01/04  02:00:00,92.2760129172,24.6175276494,16.7813675436,7.14842428544,4.12243109448,15.9888894789,103.286664679,100.294934262,2.97173041782,0.02
 01/04  03:00:00,88.0169510424,20.4910859264,15.6112135947,10.3064664555,4.12243109448,15.9888894789,83.7578463164,80.7661158985,2.97173041782,0.02
 01/04  04:00:00,95.2539424002,24.6175276494,16.3900317644,9.15579637669,4.12243109448,15.9888894789,105.308595425,102.316865007,2.97173041782,0.02
 01/04  05:00:00,123.908365403,29.6295958245,19.4465935425,10.1734120986,12.3672932834,24.9413748627,119.737063098,114.764179069,4.9528840297,0.02
 01/04  06:00:00,150.607383829,29.2064986725,22.8220192097,34.0944605903,12.3672932834,24.9413748627,190.275450644,185.302566614,4.9528840297,0.02
 01/04  07:00:00,199.27328174,30.1561131748,16.6588179985,31.2549016931,24.7345865669,70.7195625826,158.129983426,148.204215367,9.90576805939,0.02
 01/04  08:00:00,216.950132675,30.2283666856,16.6734005741,22.3377894017,37.1018798503,92.3937384068,137.175278843,127.249510784,9.90576805939,0.02
 01/04  09:00:00,215.058023862,30.2554589457,16.6766513682,19.8924678457,37.1018798503,104.434947198,130.85760201,120.93183395,9.90576805939,0.02
 01/04  10:00:00,222.764986439,30.2809608517,16.6701598389,18.2084970091,37.1018798503,116.476155989,135.982017712,117.448513088,9.90576805939,8.62773656434
 01/04  11:00:00,219.527277646,30.3027176343,16.6750288793,16.788964428,37.1018798503,116.476155989,124.721809362,114.796041302,9.90576805939,0.02
 01/04  12:00:00,218.560586089,30.3419980041,16.7203361489,15.512268163,37.1018798503,116.476155989,129.483375196,110.943590576,9.90576805939,8.63401656058
 01/04  13:00:00,207.116854198,30.3656080167,16.8942243859,14.6893357216,37.1018798503,104.434947198,122.051402767,112.125634707,9.90576805939,0.02
 01/04  14:00:00,217.120765145,30.3927402755,17.003393929,13.9141484178,37.1018798503,116.476155989,127.672023395,109.132243083,9.90576805939,8.63401225234
 01/04  15:00:00,216.692521863,30.4173500814,17.1112571862,13.1553565001,37.1018798503,116.476155989,117.686358382,107.760590322,9.90576805939,0.02
 01/04  16:00:00,217.647697432,30.4382732156,17.5944719547,12.5530574558,37.1018798503,116.476155989,125.079849877,106.543240043,9.90576805939,8.63084177545
 01/04  17:00:00,220.048959892,30.4529666687,17.5389571156,12.2663168315,37.1018798503,116.476155989,115.52421691,105.59844885,9.90576805939,0.02
 01/04  18:00:00,230.801180834,30.4630216086,17.2950325014,12.2431228504,37.1018798503,116.476155989,114.99718065,105.07141259,9.90576805939,0.02
 01/04  19:00:00,143.793455593,28.7439693724,17.6441571021,0.113264838772,24.7345865669,47.5788473902,87.2606023424,82.2877183127,4.9528840297,0.02
 01/04  20:00:00,145.655324509,29.0391781898,18.5748522464,0.380593580514,24.7345865669,47.5788473902,100.754402767,87.1929061191,4.9528840297,8.60861261856
 01/04  21:00:00,119.880657979,27.8583429203,13.8142438338,0.546269734846,12.3672932834,38.6892022431,104.960783379,101.969052961,2.97173041782,0.02
 01/04  22:00:00,105.065590682,23.2608634335,14.64109613,2.62612800095,12.3672932834,27.0668015668,90.4961520822,87.5044216644,2.97173041782,0.02
 01/04  23:00:00,79.8858650279,19.5168968291,12.4673988272,3.90855852759,4.12243109448,15.9888894789,80.2825348772,77.2908044594,2.97173041782,0.02
 01/04  24:00:00,99.6885913948,25.0603408754,17.5482721676,8.79410606333,4.12243109448,15.9888894789,102.426018974,99.4342885561,2.97173041782,0.02
 01/05  01:00:00,89.0750090354,20.0482727004,13.2546120486,8.39874697252,4.12243109448,15.9888894789,83.2132039174,80.2214734996,2.97173041782,0.02
 01/05  02:00:00,105.892632656,25.0603408754,15.6876349917,12.7551046185,4.12243109448,15.9888894789,105.429633607,102.437903189,2.97173041782,0.02
 01/05  03:00:00,92.6092996787,20.0482727004,12.0393671284,11.6555321593,4.12243109448,15.9888894789,86.4030208842,83.4112904664,2.97173041782,0.02
 01/05  04:00:00,109.555489063,25.0603408754,14.9508801367,16.2601581979,4.12243109448,15.9888894789,108.99780762,106.006077202,2.97173041782,0.02
 01/05  05:00:00,129.155761339,29.1867825984,14.5251554052,11.000632019,12.3672932834,24.9413748627,121.812408807,116.839524777,4.9528840297,0.02
 01/05  06:00:00,173.165960172,29.6471232503,20.6487589105,47.1780110232,12.3672932834,24.9413748627,190.973741927,186.000857897,4.9528840297,0.02
 01/05  07:00:00,214.864703045,30.1318047295,12.6998425306,38.1630695844,24.7345865669,70.7195625826,173.754983609,163.829215549,9.90576805939,0.02
 01/05  08:00:00,233.376798804,30.2045460251,11.3592784094,27.7053267348,37.1018798503,92.3937384068,157.04802778,147.122259721,9.90576805939,0.02
 01/05  09:00:00,233.671109789,30.2232552777,9.8835368705,25.4052177677,37.1018798503,104.434947198,164.824098437,146.293790044,9.90576805939,8.62454033377
