Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.6108037984,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.5962214118,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.6028304606,0.0,0.0,0.0,15.863942322,29.242365,6.0883648236,0.0,3.20568,2.8826848236
 01/01  04:00:00,55.6161147112,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.863370672,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.8471074965,0.0,0.0,0.0,15.863942322,29.242365,6.08842409626,0.0,3.20568,2.88274409626
 01/01  07:00:00,55.8551259351,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,52.9240196345,0.0,0.0,0.0,15.863942322,29.242365,6.08833524137,0.0,3.20568,2.88265524137
 01/01  09:00:00,47.2070621017,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.2295943521,0.0,0.0,0.0,15.863942322,29.242365,6.08986291233,0.0,3.20568,2.88418291233
 01/01  11:00:00,47.2346358146,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,47.9230041495,0.0,0.0,0.0,15.863942322,29.242365,6.08978875095,0.0,3.20568,2.88410875095
 01/01  13:00:00,47.259465221,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.2945485378,0.0,0.0,0.0,15.863942322,29.242365,6.08993862559,0.0,3.20568,2.88425862559
 01/01  15:00:00,47.3048548679,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.2923692013,0.0,0.0,0.0,15.863942322,29.242365,6.08832908691,0.0,3.20568,2.88264908691
 01/01  17:00:00,47.1894499286,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,52.9062711173,0.0,0.0,0.0,15.863942322,29.242365,6.08838843946,0.0,3.20568,2.88270843946
 01/01  19:00:00,55.7546735799,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.9862448077,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.9600306691,0.0,0.0,0.0,15.863942322,29.242365,6.08844771348,0.0,3.20568,2.88276771348
 01/01  22:00:00,55.82513563,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.6376757974,0.0,0.0,0.0,15.863942322,29.242365,6.08835887903,0.0,3.20568,2.88267887903
 01/01  24:00:00,56.3165995984,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.6372023236,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.6338227033,0.0,0.0,0.0,15.863942322,29.242365,6.08996060982,0.0,3.20568,2.88428060982
 01/02  03:00:00,55.6262023739,0.0,0.0,0.0,15.863942322,29.242365,6.08988952655,0.0,3.20568,2.88420952655
 01/02  04:00:00,55.6249731527,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  05:00:00,55.8660740661,0.0,0.0,0.0,15.863942322,29.242365,6.0898184336,0.0,3.20568,2.8841384336
 01/02  06:00:00,55.849683014,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  07:00:00,78.4805909334,7.6643660106,14.365897493,0.0,15.863942322,29.818365,27.7434897608,21.6535169509,3.20568,2.88429280987
 01/02  08:00:00,141.971234539,7.6643660106,15.8971280642,0.0,80.527626,29.818365,16.1188121774,10.0253732201,3.20568,2.88775895734
 01/02  09:00:00,181.560440903,7.66646560154,15.9098793736,0.0,80.527626,75.0917375,37.40793116,4.68693917524,24.0426,8.67839198477
 01/02  10:00:00,181.997010474,7.73273228353,16.2546736908,0.0,80.527626,75.0917375,47.5160601574,6.01262670978,24.0426,17.4608334476
 01/02  11:00:00,189.917283978,8.13351558346,19.7608279835,0.0,80.527626,79.0911225,55.430993143,2.99198555957,32.0568,20.3822075835
 01/02  12:00:00,193.902626191,8.53092342222,22.6252801655,0.0,80.527626,79.0911225,52.5022642545,0.0141775243627,32.0568,20.4312867301
 01/02  13:00:00,177.672163714,8.54817219724,7.15513850773,0.0,80.527626,79.0911225,56.2464435047,3.72178202839,32.0568,20.4678614763
 01/02  14:00:00,166.390072123,8.44768821308,0.0,0.0,80.527626,75.0917375,96.9224751103,57.4814119986,16.0284,23.4126631117
 01/02  15:00:00,166.366693384,8.35806916793,0.0,0.0,80.527626,75.0917375,130.581434411,97.088188114,16.0284,17.4648462967
 01/02  16:00:00,164.327532099,8.25795975971,0.0,0.0,80.527626,73.092045,149.248524866,125.653264896,3.20568,20.3895799705
 01/02  17:00:00,163.596251517,7.6643660106,0.0,0.0,80.527626,73.092045,117.940518757,111.846825214,3.20568,2.8880135433
 01/02  18:00:00,126.253456276,7.6643660106,0.0,0.0,80.527626,29.818365,154.80755091,148.714104746,3.20568,2.88776616354
 01/02  19:00:00,129.340506199,7.6643660106,0.0,0.0,80.527626,29.818365,162.353533716,153.379465855,3.20568,5.76838786154
 01/02  20:00:00,129.55303691,7.6643660106,0.0,0.0,80.527626,29.818365,159.262279881,150.278767472,3.20568,5.77783240915
 01/02  21:00:00,129.621364538,7.6643660106,0.0,0.0,80.527626,29.818365,172.769443811,160.912647932,3.20568,8.65111587897
 01/02  22:00:00,55.53521515,0.0,0.0,0.0,15.863942322,29.242365,8.98001553689,0.0,3.20568,5.77433553689
 01/02  23:00:00,55.4244963806,0.0,0.0,0.0,15.863942322,29.242365,6.09530940451,0.0,3.20568,2.88962940451
 01/02  24:00:00,56.1907525981,0.0,0.0,0.0,15.863942322,29.242365,6.09290997897,0.0,3.20568,2.88722997897
 01/03  01:00:00,55.4410686727,0.0,0.0,0.0,15.863942322,29.242365,6.08993240346,0.0,3.20568,2.88425240346
 01/03  02:00:00,55.4382024084,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  03:00:00,55.4326493809,0.0,0.0,0.0,15.863942322,29.242365,6.08986432606,0.0,3.20568,2.88418432606
 01/03  04:00:00,55.427620777,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  05:00:00,56.4853568425,0.0,0.0,0.0,15.863942322,29.242365,6.08979621343,0.0,3.20568,2.88411621343
 01/03  06:00:00,56.3142958567,0.0,0.0,0.0,15.863942322,29.242365,6.08995269867,0.0,3.20568,2.88427269867
 01/03  07:00:00,65.2951999792,7.6643660106,0.000951251968092,0.0,15.863942322,29.818365,348.677465746,345.451785746,3.20568,0.02
 01/03  08:00:00,126.706052657,7.6643660106,0.00121225650222,0.0,80.527626,29.818365,298.020554887,291.927092036,3.20568,2.887782851
 01/03  09:00:00,166.202915059,7.6643660106,0.00564742136186,0.0,80.527626,75.0917375,236.963400219,201.356777789,24.0426,11.5640224308
 01/03  10:00:00,166.224637332,7.6643660106,0.00326829213301,0.0,80.527626,75.0917375,219.62819705,178.135946537,24.0426,17.4496505125
 01/03  11:00:00,170.232953777,7.6643660106,0.00210817495111,0.0,80.527626,79.0911225,218.073833258,168.551626229,32.0568,17.4654070287
 01/03  12:00:00,170.980329993,7.6643660106,0.0,0.0,80.527626,79.0911225,197.249913992,144.763906818,32.0568,20.4292071743
 01/03  13:00:00,170.237678181,7.6643660106,0.0,0.0,80.527626,79.0911225,196.661991992,141.215697255,32.0568,23.3894947371
 01/03  14:00:00,166.245236031,7.6643660106,0.0,0.0,80.527626,75.0917375,188.278017199,148.835227692,16.0284,23.4143895077
 01/03  15:00:00,166.175999325,7.6643660106,0.0,0.0,80.527626,75.0917375,175.60272411,142.119877943,16.0284,17.4544461665
 01/03  16:00:00,164.151338509,7.6643660106,0.0,0.0,80.527626,73.092045,166.588724651,145.907384499,3.20568,17.475660152
 01/03  17:00:00,164.038612464,7.6643660106,0.0,0.0,80.527626,73.092045,152.833350134,146.739816794,3.20568,2.88785333942
 01/03  18:00:00,126.481763909,7.6643660106,0.0,0.0,80.527626,29.818365,164.48980825,158.396106448,3.20568,2.88802180256
