Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,112.070080352,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,109.836641594,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,109.150782049,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553262789,0.0,1.75125,1.16428262789
 01/01  04:00:00,109.590926776,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,117.154811917,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,116.956724157,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91549309323,0.0,1.75125,1.16424309323
 01/01  07:00:00,156.695424184,26.4423796414,0.0282813480943,0.0,6.98738001645,14.1499734587,115.970575889,112.448075889,3.5025,0.02
 01/01  08:00:00,168.124879109,26.4423796414,0.0,0.0,6.98738001645,14.1499734587,124.022386657,120.499886657,3.5025,0.02
 01/01  09:00:00,194.048035707,26.4423796414,0.0,0.0,6.98738001645,14.1499734587,115.534354226,110.867460849,3.5025,1.16439337616
 01/01  10:00:00,173.427832868,26.4423796414,0.0,0.0,6.98738001645,14.1499734587,106.761323172,103.238823172,3.5025,0.02
 01/01  11:00:00,206.613567476,26.4423796414,0.556688906062,0.0,27.9495200658,27.7759469175,87.5581214989,79.3883511341,7.005,1.16477036473
 01/01  12:00:00,234.49467117,26.4423796414,0.833575975427,0.0,27.9495200658,27.7759469175,72.7811600659,64.611430623,7.005,1.16472944295
 01/01  13:00:00,252.817936002,26.4423796414,2.23469563386,0.0,41.9242800987,36.8599292233,48.1472519097,38.7872519097,9.34,0.02
 01/01  14:00:00,249.652774935,26.4423796414,2.24690755945,0.0,41.9242800987,36.8599292233,53.4687291778,42.9638862159,9.34,1.16484296191
 01/01  15:00:00,242.682807091,26.4423796414,2.33177003286,0.0,41.9242800987,36.8599292233,52.5507956504,42.045972774,9.34,1.16482287647
 01/01  16:00:00,237.926419512,26.4423796414,2.38813991443,0.0,41.9242800987,36.8599292233,50.8489453177,40.3441033789,9.34,1.16484193877
 01/01  17:00:00,237.246605191,26.4423796414,2.39582496392,0.0,41.9242800987,36.8599292233,53.9736172362,43.468700947,9.34,1.16491628919
 01/01  18:00:00,217.441155701,26.4423796414,1.2006245156,0.0,27.9495200658,27.7759469175,61.9543427656,54.9293427656,7.005,0.02
 01/01  19:00:00,223.219979767,26.4423796414,0.506272168834,0.0,13.9747600329,18.6919646116,75.1074195506,69.2727488233,4.67,1.16467072731
 01/01  20:00:00,207.434978614,26.4423796414,0.334236541554,0.0,13.9747600329,18.6919646116,85.7262768762,79.8915843985,4.67,1.16469247767
 01/01  21:00:00,195.002645873,26.4423796414,0.261656312408,0.0,13.9747600329,18.6919646116,88.8882572981,84.1982572981,4.67,0.02
 01/01  22:00:00,174.523275255,26.4423796414,0.266186379073,0.0,13.9747600329,18.6919646116,47.5605630352,41.726066016,4.67,1.16449701918
 01/01  23:00:00,115.709591372,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,146.720565853,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91554300693,0.0,1.75125,1.16429300693
 01/02  01:00:00,124.442157647,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,115.104257739,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,113.699122559,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,112.953955275,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924271088,0.0,2.335,1.16424271088
 01/02  05:00:00,119.955529579,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,119.609384334,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,172.413916546,26.4423796414,0.055814296779,0.0,13.9747600329,18.6919646116,99.9262777224,94.0920150976,4.67,1.16426262482
 01/02  08:00:00,189.765530665,26.4423796414,0.0218300296695,0.0,13.9747600329,18.6919646116,102.943607873,98.2536078727,4.67,0.02
 01/02  09:00:00,254.921605945,26.4423796414,0.983904248632,0.0,34.9369000822,32.3179380704,88.2536541678,78.9165641124,8.1725,1.16459005545
