Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.8031255549,4.30931372166,0.0,0.0,4.58992532963,8.1892,75.4012355453,64.555311211,3.33988,7.50604433429
 01/01  02:00:00,14.6739615496,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6958152395,0.0,0.0,0.0,1.52997510988,7.4902,3.93195004686,0.0,3.33988,0.592070046865
 01/01  04:00:00,14.7110884103,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8653137757,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  06:00:00,22.9296950698,4.30931372166,0.0,0.0,4.58992532963,8.1892,77.801253407,68.8594602381,8.3497,0.592093168819
 01/01  07:00:00,38.8927858909,4.30931372166,0.0158719861322,0.0,9.17985065927,19.4245,87.9195153908,66.6061539128,16.6994,4.61396147796
 01/01  08:00:00,44.2438650685,4.30931372166,0.0141230952871,0.0,9.17985065927,26.9147,85.3955502638,55.7322866854,25.0491,4.61416357841
 01/01  09:00:00,42.1338468515,4.30931372166,0.00719667115964,0.0,9.17985065927,26.9147,92.9386056731,54.9252883763,33.3988,4.61451729677
 01/01  10:00:00,34.6398022583,4.30931372166,0.0,0.0,9.17985065927,19.4245,91.8967129852,62.2327339036,25.0491,4.61487908155
 01/01  11:00:00,42.149758034,4.30931372166,0.0192517163653,0.0,9.17985065927,26.9147,117.523713972,60.6780307931,41.7485,15.0971831793
 01/01  12:00:00,42.9063434248,4.30931372166,0.0,0.0,9.17985065927,26.9147,113.941546721,57.0941114481,41.7485,15.0989352728
 01/01  13:00:00,42.1903610244,4.30931372166,0.0,0.0,9.17985065927,26.9147,105.188333407,51.8551352775,41.7485,11.5846981291
 01/01  14:00:00,34.670196078,4.30931372166,0.0,0.0,9.17985065927,19.4245,97.2298266677,51.6690045221,33.3988,12.1620221456
 01/01  15:00:00,34.6729183387,4.30931372166,0.0,0.0,9.17985065927,19.4245,89.3865712484,55.0914809243,25.0491,9.24599032418
 01/01  16:00:00,34.658889115,4.30931372166,0.0,0.0,9.17985065927,19.4245,99.415822914,57.3480271642,33.3988,8.66899574975
 01/01  17:00:00,44.214669266,4.30931372166,0.0145921951099,0.0,9.17985065927,26.9147,114.260363395,54.9135381852,50.0982,9.24862521006
 01/01  18:00:00,46.3299675911,4.30931372166,0.00365554385471,0.0,9.17985065927,26.9147,116.246202128,53.9835627411,50.0982,12.1644393864
 01/01  19:00:00,46.3294131876,4.30931372166,0.0,0.0,9.17985065927,26.9147,114.971773471,50.3570270453,50.0982,14.5165464256
 01/01  20:00:00,38.9709223712,4.30931372166,0.0,0.0,9.17985065927,19.4245,99.2192274397,50.7226972132,33.3988,15.0977302265
 01/01  21:00:00,38.9534601815,4.30931372166,0.0,0.0,9.17985065927,19.4245,94.5942187843,49.0298983407,33.3988,12.1655204435
 01/01  22:00:00,38.8783825063,4.30931372166,0.0,0.0,9.17985065927,19.4245,98.3546255653,58.208229591,25.0491,15.0972959743
 01/01  23:00:00,38.7648978532,4.30931372166,0.0,0.0,9.17985065927,19.4245,90.1322930834,61.8494316134,16.6994,11.58346147
 01/01  24:00:00,39.5753163406,4.30931372166,0.0,0.0,9.17985065927,19.4245,74.8956549564,60.2003982173,8.3497,6.34555673906
 01/02  01:00:00,22.8126480788,4.30931372166,0.0,0.0,4.58992532963,8.1892,78.6564118267,69.5465819116,3.33988,5.76994991516
 01/02  02:00:00,14.6675312098,0.0,0.0,0.0,1.52997510988,7.4902,3.9319749641,0.0,3.33988,0.592094964096
 01/02  03:00:00,14.68898759,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6998072194,0.0,0.0,0.0,1.52997510988,7.4902,3.93192914772,0.0,3.33988,0.59204914772
 01/02  05:00:00,14.8495859209,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.9182130391,4.30931372166,0.0,0.0,4.58992532963,8.1892,85.6080903513,76.6663352655,8.3497,0.592055085822
