Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,700.934789862,97.5225607211,278.751474679,0.0,34.9616554283,113.312780494,595.284619295,580.880531055,5.66466996096,8.73941827888
 01/01  02:00:00,700.639866986,97.5225607211,275.324044641,0.0,34.9616554283,113.312780494,607.956179712,584.833021396,5.66466996096,17.4584883549
 01/01  03:00:00,697.997016981,97.5225607211,274.382044985,0.0,34.9616554283,113.312780494,609.237131918,586.114595502,5.66466996096,17.4578664543
 01/01  04:00:00,702.421783145,97.5225607211,278.275226447,0.0,34.9616554283,113.312780494,612.392758134,589.270902275,5.66466996096,17.4571858979
 01/01  05:00:00,715.881067684,97.5225607211,283.425023372,0.0,44.4937663224,113.312780494,603.536221221,580.41505936,5.66466996096,17.4564918997
 01/01  06:00:00,704.804072449,97.5225607211,275.461174117,0.0,44.4937663224,113.312780494,612.505126373,580.887655926,14.1616749024,17.4557955453
 01/01  07:00:00,753.81509901,97.5225607211,261.939646995,0.0,54.0258772165,176.889270242,563.15919052,517.380741174,28.3233498048,17.4550995411
 01/01  08:00:00,748.512207679,97.5225607211,258.067946052,0.0,54.0258772165,184.38654557,570.930289809,510.990860557,42.4850247072,17.4544045456
 01/01  09:00:00,818.732160814,97.5225607211,257.743930297,0.0,65.1572554096,220.04316451,567.319443554,484.359763269,56.6466996096,26.3129806759
 01/01  10:00:00,809.434318733,97.5225607211,257.49387166,0.0,65.1572554096,212.545889182,547.905439712,478.963086774,42.4850247072,26.4573282301
 01/01  11:00:00,816.934710432,97.5225607211,257.537178017,0.0,65.1572554096,220.04316451,578.325440416,472.069067595,70.808374512,35.4479983091
 01/01  12:00:00,824.612010465,97.5225607211,262.746791537,0.0,65.1572554096,220.04316451,561.246482875,463.350500316,70.808374512,27.0876080475
 01/01  13:00:00,827.671882971,97.5225607211,266.203080405,0.0,65.1572554096,220.04316451,563.384061914,457.610760238,70.808374512,34.9649271636
 01/01  14:00:00,824.060275802,97.5225607211,272.088625867,0.0,65.1572554096,212.545889182,546.281753563,454.175429621,56.6466996096,35.4596243323
 01/01  15:00:00,826.915498263,97.5225607211,275.947752498,0.0,65.1572554096,212.545889182,530.384047798,452.444857496,42.4850247072,35.4541655949
 01/01  16:00:00,827.063698295,97.5225607211,276.088082478,0.0,65.1572554096,212.545889182,544.62145141,452.526000137,56.6466996096,35.4487516626
 01/01  17:00:00,812.117127272,97.5225607211,276.32045722,0.0,65.1572554096,220.04316451,570.371784773,453.393109227,84.9700494144,32.008626131
 01/01  18:00:00,768.469522259,97.5225607211,270.608788728,0.0,54.0258772165,184.38654557,590.053310039,475.213479698,84.9700494144,29.8697809265
 01/01  19:00:00,736.282168929,97.5225607211,266.734248567,0.0,44.4937663224,163.454314868,612.908496286,510.483714802,84.9700494144,17.4547320701
 01/01  20:00:00,722.333817604,97.5225607211,261.139004274,0.0,44.4937663224,155.95703954,593.078228622,518.977491488,56.6466996096,17.4540375248
 01/01  21:00:00,692.90740287,97.5225607211,262.819188362,0.0,44.4937663224,124.558693486,625.30257556,551.202531656,56.6466996096,17.4533442949
 01/01  22:00:00,689.199137503,97.5225607211,255.533386304,0.0,44.4937663224,124.558693486,614.856211127,563.016967356,42.4850247072,9.35421906391
