Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,166.689755146,31.0942520941,42.5011542415,0.0,34.4311606118,33.1021868926,200.406399024,50.7412448976,3.33212,146.333034126
 01/01  02:00:00,181.295062011,31.0942520941,56.97148318,0.0,34.4311606118,33.1021868926,154.849218172,42.8354078886,3.33212,108.681690283
 01/01  03:00:00,149.579671125,31.0942520941,42.744418441,0.0,19.466279405,30.610668775,157.056281588,38.6361812688,3.33212,115.08798032
 01/01  04:00:00,141.623877011,31.0942520941,34.8040761161,0.0,19.466279405,30.610668775,148.405908878,36.3831881804,3.33212,108.690600697
 01/01  05:00:00,146.234473897,31.0942520941,32.8432568628,0.0,19.466279405,30.610668775,184.387973608,34.9767804394,3.33212,146.079073169
 01/01  06:00:00,158.361700025,31.0942520941,32.7183942319,0.0,19.466279405,30.610668775,230.477303626,35.0280494359,8.3303,187.11895419
 01/01  07:00:00,239.957891239,32.8428017061,41.0399951388,0.0,42.6918050922,54.3732441037,309.565748145,34.7029547402,16.6606,258.202193405
 01/01  08:00:00,313.237711361,36.3399009301,64.1547935656,0.0,49.3960418185,88.5934452969,667.975385648,204.347565817,24.9909,438.636919832
 01/01  09:00:00,361.73309509,36.3399009301,89.1007488877,0.0,57.6566862989,112.030105488,879.333855918,223.367355849,33.3212,622.645300069
 01/01  10:00:00,285.834487803,36.7063248177,69.0824997258,0.0,50.9524495726,81.1684271793,733.007477736,221.309317569,66.8089,444.889260166
 01/01  11:00:00,210.889297878,36.7931078874,39.2439349031,0.0,42.6918050922,68.9656133826,655.834336834,235.806197239,83.4695,336.558639596
 01/01  12:00:00,189.434516704,36.8666569938,21.5820168601,0.0,38.286128036,68.9656133826,598.338135055,246.65913172,83.4695,268.209503335
 01/01  13:00:00,187.743329454,36.9214436534,20.7027046033,0.0,38.286128036,68.9656133826,528.032443807,248.22242304,83.4695,196.340520767
 01/01  14:00:00,170.19718145,37.0133966003,22.0114360886,0.0,31.5818913096,56.727595265,524.16532315,254.497007939,75.1392,194.529115211
 01/01  15:00:00,171.645253953,37.097552514,23.379766809,0.0,31.5818913096,56.727595265,512.089123467,254.803771216,66.8089,190.476452251
 01/01  16:00:00,172.120118966,37.1356361577,23.8300499862,0.0,31.5818913096,56.727595265,523.176405973,256.377410956,75.1392,191.659795017
 01/01  17:00:00,209.299821145,36.7812486155,23.7344029158,0.0,31.5818913096,61.661095265,494.360526715,252.22604707,91.7998,150.334679645
 01/01  18:00:00,252.755532656,36.3399009301,31.5276718221,0.0,31.5818913096,70.9729253606,487.007417352,249.26823604,49.9818,187.757381312
 01/01  19:00:00,325.986782432,36.3399009301,43.0464934915,0.0,80.3315023541,83.7685254822,523.012758137,247.595798939,49.9818,225.435159197
 01/01  20:00:00,342.700331185,36.3399009301,55.835090848,0.0,102.000620287,77.6748002752,564.816428194,237.537326992,33.3212,293.957901203
 01/01  21:00:00,373.066537295,36.3399009301,65.6873617293,0.0,108.704857014,91.4735406516,556.055825846,229.902386716,33.3212,292.83223913
 01/01  22:00:00,347.488947068,36.3399009301,68.2678830897,0.0,95.2963835608,89.1510273009,552.270888867,228.903188444,24.9909,298.376800423
 01/01  23:00:00,294.230138162,36.3399009301,68.1711856433,0.0,80.3315023541,63.3799339444,688.207045552,240.32849488,16.6606,431.217950672
 01/01  24:00:00,209.851421052,36.3399009301,48.1403723871,0.0,42.6918050922,48.4199368926,509.791000103,246.08306186,8.3303,255.377638243
 01/02  01:00:00,166.426410934,31.0942520941,53.6344908172,0.0,25.5240853573,30.610668775,201.017256028,51.5655594923,3.33212,146.119576536
 01/02  02:00:00,154.852090946,31.0942520941,49.3502983278,0.0,19.418418834,29.3649097162,156.513717112,44.6424954449,3.33212,108.539101667
 01/02  03:00:00,135.316805984,31.0942520941,37.7381371181,0.0,12.7620426787,28.1191506574,157.35653162,41.7581986748,3.33212,112.266212945
 01/02  04:00:00,129.431016975,31.0942520941,31.868473626,0.0,12.7620426787,28.1191506574,154.765052504,40.2196641354,3.33212,111.213268368
 01/02  05:00:00,135.142418788,31.0942520941,30.9981887773,0.0,12.7620426787,28.1191506574,188.873674917,39.4096886064,3.33212,146.131866311
 01/02  06:00:00,171.020533472,31.0942520941,39.2225140486,0.0,25.5240853573,30.610668775,302.990703389,38.6754703138,8.3303,255.984933075
 01/02  07:00:00,299.745993459,32.8428017061,68.3217818317,0.0,51.0481707146,78.1489452969,488.724715337,35.9256566284,16.6606,436.138458709
 01/02  08:00:00,375.859115073,36.3399009301,90.3480279452,0.0,64.3609230253,109.708623606,806.221641806,202.942021652,24.9909,578.288720154
 01/02  09:00:00,301.382570612,36.3399009301,66.9407262303,0.0,51.0481707146,80.7689615957,702.36008587,221.817502034,33.3212,447.221383836
 01/02  10:00:00,251.21957029,36.7636421423,44.7057918582,0.0,51.0481707146,71.0224615957,631.27704712,223.79316347,66.8089,340.67498365
 01/02  11:00:00,180.964004351,36.8978062967,23.2052540972,0.0,32.1804615127,65.7244621605,581.00754101,236.753664484,83.4695,260.784376526
 01/02  12:00:00,183.392606055,37.0072304841,24.862010089,0.0,32.1804615127,65.7244621605,517.89347955,237.651888523,83.4695,196.772091026
 01/02  13:00:00,184.071299871,37.105442329,26.2122474158,0.0,32.1804615127,65.7244621605,512.934905918,233.056054888,83.4695,196.40935103
 01/02  14:00:00,174.385807281,37.2191564343,26.2051739657,0.0,32.1804615127,55.9779621605,500.777289564,229.564003942,75.1392,196.074085622
 01/02  15:00:00,174.928082461,37.2757097139,27.0997548393,0.0,32.1804615127,55.9779621605,465.610556521,209.623265662,66.8089,189.178390859
 01/02  16:00:00,175.823890867,37.3069882179,28.1563709275,0.0,32.1804615127,55.9779621605,482.04925462,211.600509033,75.1392,195.309545587
 01/02  17:00:00,214.501986519,36.9542465326,29.3478540098,0.0,32.1804615127,60.9114621605,457.879697861,219.520043693,91.7998,146.559854169
 01/02  18:00:00,268.848275007,36.3399009301,41.1864357817,0.0,32.1804615127,77.5397301883,458.517547666,183.812283455,49.9818,224.723464211
 01/02  19:00:00,341.236619971,36.3399009301,59.3348110005,0.0,77.122965704,86.2600435998,669.103302501,211.848610265,49.9818,407.272892236
 01/02  20:00:00,349.373739342,36.3399009301,59.9560472575,0.0,102.647051061,80.1663183927,515.457439125,186.850143358,33.3212,295.286095767
 01/02  21:00:00,382.420956919,36.3399009301,67.9673040909,0.0,115.40909374,92.7192997104,495.428668304,163.28382516,33.3212,298.823643144
 01/02  22:00:00,373.587113036,36.3399009301,82.6652418663,0.0,102.647051061,94.1340635361,639.544744419,177.486564548,24.9909,437.067279872
 01/02  23:00:00,313.474081763,36.3399009301,88.8137794709,0.0,77.122965704,65.871452062,536.648923624,189.304569506,16.6606,330.683754118
 01/02  24:00:00,220.913936388,36.3399009301,64.0881248306,0.0,38.286128036,48.4199368926,411.163101305,215.945326517,8.3303,186.887474788
 01/03  01:00:00,158.154220817,31.0942520941,45.3080097878,0.0,25.5240853573,30.610668775,198.510650357,49.0101283636,3.33212,146.168401994
 01/03  02:00:00,141.857363761,31.0942520941,36.3643490864,0.0,19.418418834,29.3649097162,152.68197465,40.7826600922,3.33212,108.567194558
 01/03  03:00:00,129.697130178,31.0942520941,32.1249052156,0.0,12.7620426787,28.1191506574,147.849905775,35.9628561173,3.33212,108.554929658
 01/03  04:00:00,127.760292811,31.0942520941,30.1994031684,0.0,12.7620426787,28.1191506574,151.497135033,33.1968438184,3.33212,114.968171214
 01/03  05:00:00,136.005325123,31.0942520941,31.1930121309,0.0,12.7620426787,28.1191506574,184.169661855,34.6544301494,3.33212,146.183111705
 01/03  06:00:00,171.770105987,31.0942520941,39.2761022641,0.0,25.5240853573,30.610668775,298.718135204,34.2528411891,8.3303,256.134994015
 01/03  07:00:00,300.414248674,33.7170765121,67.3950298857,0.0,51.0481707146,78.1489452969,485.975969103,31.5327454833,16.6606,437.78262362
 01/03  08:00:00,376.143408819,36.3399009301,89.7162413404,0.0,64.3609230253,109.708623606,796.379811002,192.201070919,24.9909,579.187840083
 01/03  09:00:00,301.204957266,36.3399009301,66.0157439689,0.0,51.0481707146,80.7689615957,698.954948687,217.310952353,33.3212,448.322796334
 01/03  10:00:00,262.736324573,36.9958316161,56.4801564853,0.0,51.0481707146,71.0224615957,569.91769414,162.079210251,66.8089,341.02958389
 01/03  11:00:00,204.198222718,37.101682338,47.5311590537,0.0,32.1804615127,65.7244621605,457.675802767,110.897922879,83.4695,263.308379888
 01/03  12:00:00,203.011710284,37.163758788,45.9163787624,0.0,32.1804615127,65.7244621605,376.250945258,94.4552249776,83.4695,198.32622028
 01/03  13:00:00,208.359527662,37.21030645,52.0170892296,0.0,32.1804615127,65.7244621605,362.404280763,87.0864848185,83.4695,191.848295944
 01/03  14:00:00,198.869331384,37.2506886215,52.2394296233,0.0,32.1804615127,55.9779621605,362.453396458,91.1692332548,75.1392,196.144963204
 01/03  15:00:00,173.821355878,37.2872187099,27.2702492699,0.0,32.1804615127,55.9779621605,390.384403712,127.757414948,66.8089,195.818088764
 01/03  16:00:00,176.049842631,37.3087835035,28.6236042572,0.0,32.1804615127,55.9779621605,566.167480933,302.215796131,75.1392,188.812484802
 01/03  17:00:00,213.966800142,36.7875052061,28.530887403,0.0,32.1804615127,60.9114621605,517.032042426,271.96300882,91.7998,153.269233606
 01/03  18:00:00,268.190606966,36.3399009301,39.7296299405,0.0,32.1804615127,77.5397301883,496.461825792,223.421304326,49.9818,223.058721466
 01/03  19:00:00,340.986154307,36.3399009301,58.5001221903,0.0,77.122965704,86.2600435998,672.640432998,221.923062343,49.9818,400.735570655
 01/03  20:00:00,349.921389094,36.3399009301,60.2843523846,0.0,102.647051061,80.1663183927,562.620363354,225.781521778,33.3212,303.517641575
