Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6705099238,2.2999419828,0.0,0.0,1.85583932782,5.577,36.4449073635,31.1323242071,3.0011,2.31148315638
 01/01  02:00:00,9.49743199301,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.52241218759,0.0,0.0,0.0,0.618613109274,5.0,3.59318014539,0.0,3.0011,0.592080145392
 01/01  04:00:00,9.53893024353,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.69360670645,0.0,0.0,0.0,0.618613109274,5.0,3.59318603596,0.0,3.0011,0.59208603596
 01/01  06:00:00,13.8177106287,2.2999419828,0.0,0.0,1.85583932782,5.577,38.8895016306,34.3678516306,4.50165,0.02
 01/01  07:00:00,28.2871740699,2.2999419828,0.0,0.0,3.71167865564,18.077,44.6668244255,29.4238698091,13.50495,1.73800461646
 01/01  08:00:00,26.9788218137,2.2999419828,0.0,0.0,3.71167865564,18.077,49.1663176444,26.4206346571,21.0077,1.73798298738
 01/01  09:00:00,20.7123657673,2.2999419828,0.0,0.0,3.71167865564,13.077,44.0575331174,27.8867938147,15.0055,1.16523930273
 01/01  10:00:00,20.7222295784,2.2999419828,0.0,0.0,3.71167865564,13.077,44.6005269795,27.8569690827,15.0055,1.73805789682
 01/01  11:00:00,25.7182454092,2.2999419828,0.0,0.0,3.71167865564,18.077,62.9821589799,25.3556012959,33.0121,4.614457684
 01/01  12:00:00,26.878793791,2.2999419828,0.0,0.0,3.71167865564,18.077,67.8200710554,22.6903356793,40.51485,4.61488537605
