Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,38.0275900582,5.76358256852,0.225945519467,1.47154920445,12.925468867,10.100111941,26.3266505483,26.3066505483,0.0,0.02
 01/01  02:00:00,38.9072668167,5.79823174904,0.167912312835,2.37584030901,12.925468867,10.100111941,32.8005824078,27.0390901194,0.0,5.76149228841
 01/01  03:00:00,35.13966676,5.83282150885,0.120205601244,3.24039283876,8.34152022915,10.0650221343,33.0919175881,27.330431727,0.0,5.76148586104
 01/01  04:00:00,35.5356565869,5.8491015162,0.0980892295672,3.64222016677,8.34152022915,10.0650221343,32.9632455287,27.2023220135,0.0,5.76092351526
 01/01  05:00:00,37.314299499,5.8557734841,0.0823298514361,3.82322069281,8.34152022915,11.6705166398,26.9187786344,26.8987786344,0.0,0.02
 01/01  06:00:00,41.804683541,5.86869745214,0.0668997043953,4.15768805448,8.80141237637,15.3678112995,38.6672987392,27.1385909447,0.0,11.5287077944
 01/01  07:00:00,60.8551593456,5.8320465486,0.128984493318,3.20590131429,18.5082010057,25.6353820695,33.3843857317,27.5959098047,0.0,5.78847592706
 01/01  08:00:00,72.2434837585,5.83920452628,0.931962974704,1.09673193791,19.4926561212,41.1001056674,43.7956563768,26.3657598873,0.0,17.4298964894
 01/01  09:00:00,94.1221456964,6.11451898819,3.09677399522,0.54545551929,26.3286599382,57.9988325916,56.3087308888,20.6720615535,0.0,35.6366693353
 01/01  10:00:00,77.3505125597,5.912394379,1.5184075497,0.828298005883,26.2443270014,42.8153538416,73.6404396863,20.1980825782,18.025,35.4173571081
 01/01  11:00:00,53.0649936093,5.77175222038,0.155584524372,1.92120469243,21.7447113004,23.4437158914,68.8609094302,21.4243668772,18.025,29.4115425529
 01/01  12:00:00,51.4698632645,5.80807105297,0.131027599459,2.71657727322,19.3449162599,23.4437158914,62.8231296919,21.327729451,18.025,23.4704002409
 01/01  13:00:00,51.7989067851,5.81727376991,0.135995825093,2.88951570913,19.190480192,23.7425572507,63.050420951,21.6109540348,18.025,23.4144669162
 01/01  14:00:00,51.7014836035,5.81347408937,0.134554903731,2.77121000502,19.260583323,23.698576057,60.1857657876,18.7459757241,18.025,23.4147900636
 01/01  15:00:00,51.6114855668,5.81069073934,0.138315141797,2.68023489175,19.260583323,23.698576057,59.6755080659,18.2352136421,18.025,23.4152944238
 01/01  16:00:00,51.3592791074,5.81303377,0.137782566204,2.7161678756,19.260583323,23.4086260847,60.8569055908,19.4160987865,18.025,23.4158068042
 01/01  17:00:00,59.6687611718,5.81742081916,0.135039277029,2.80467198543,19.260583323,27.8781056672,43.0948122745,19.3016697653,18.025,5.76814250918
 01/01  18:00:00,70.994181205,5.78352571199,0.310019965269,1.59841382193,18.1807569449,37.5792895564,26.0308947126,20.2557194276,0.0,5.77517528506
 01/01  19:00:00,85.0270647207,5.86410935413,1.22699462395,0.740042732934,32.6059821062,37.0465235296,35.0346100038,23.4905620721,0.0,11.5440479317
 01/01  20:00:00,86.0044685718,5.97554607712,2.11842441688,0.483262250119,36.8143715336,33.066984531,30.2660637663,24.4715710769,0.0,5.79449268948
 01/01  21:00:00,92.1893844956,6.10614791902,3.04790376217,0.2485940643,36.43363367,38.8072253906,36.7750421686,25.2032305852,0.0,11.5718115834
 01/01  22:00:00,89.700945079,6.10251131344,2.91455509673,0.253849927586,36.0963922311,36.7877557581,37.8461861422,26.2741863046,0.0,11.5719998376
 01/01  23:00:00,67.0131137288,5.89984576894,1.4019291229,0.600961140912,30.9507766546,20.6087787026,44.6733507493,27.2420256885,0.0,17.4313250607
 01/01  24:00:00,43.8454408486,5.76004668588,0.329760622825,1.08029970464,17.4250845679,11.7056064465,33.1076973108,27.3186714165,0.0,5.78902589426
 01/02  01:00:00,37.1697465138,5.77973924534,0.194382658717,1.94842095136,11.6412384099,10.0650221343,34.2481005749,28.4797171868,0.0,5.76838338819
 01/02  02:00:00,37.2920573894,5.8494368017,0.127689986993,3.62854475207,10.0992000411,10.047477231,37.764151321,32.0025686018,0.0,5.76158271911
 01/02  03:00:00,36.4120017611,5.89088533899,0.0947427193231,4.59954606777,8.25718729233,10.0299323277,38.7164409463,32.9549925912,0.0,5.76144835506
 01/02  04:00:00,36.8433097743,5.90850244947,0.0743865165545,5.03359561348,8.25718729233,10.0299323277,32.4100004443,32.3900004443,0.0,0.02
 01/02  05:00:00,38.8801750705,5.92557483436,0.056508958502,5.46453393997,8.25718729233,11.6354268332,38.3287663051,32.56032211,0.0,5.76844419504
 01/02  06:00:00,46.3926530321,5.9222672816,0.0647658283893,5.39202619103,12.1011305571,15.3678112995,42.669842542,31.1113258315,0.0,11.5585167105
 01/02  07:00:00,73.1007572715,5.86981187366,0.965970484912,1.72248626364,19.7275818095,37.2640762949,46.5836993463,29.1514914829,0.0,17.4322078634
 01/02  08:00:00,89.3126817298,6.10276286395,2.89015456449,0.940664744947,24.3117294858,51.2795993405,43.5195099632,26.0025212634,0.0,17.5169886998
 01/02  09:00:00,72.6230326396,5.82685297875,0.603319349136,1.85745374879,23.6694662846,40.6342015617,55.2198500697,19.7993087001,0.0,35.4205413695
 01/02  10:00:00,68.2545102263,5.83942498123,0.403257726542,2.68411340131,23.6694662846,35.6302164847,60.033049355,18.4782311785,18.025,23.5298181764
 01/02  11:00:00,51.8387702648,5.86985935539,0.0973393039239,4.14079434901,18.7433767983,22.9618409725,66.0196916545,18.6538328524,18.025,29.3408588021
 01/02  12:00:00,51.2208639698,5.84397374557,0.11350174638,3.53508277479,18.7433767983,22.9618409725,59.5748716688,18.1316926821,18.025,23.4181789867
 01/02  13:00:00,50.8362241195,5.82410246642,0.156810345643,3.08355928694,18.5889407304,23.1597249699,58.0562833128,16.6192973673,18.025,23.4119859455
 01/02  14:00:00,50.570058563,5.80333245705,0.113065567793,2.63540494173,18.7433767983,23.2517909448,56.9756258891,15.5379758333,18.025,23.4126500559
 01/02  15:00:00,50.0605426221,5.78052619979,0.120272847922,2.14148800022,18.7433767983,23.2517909448,56.0286115645,14.5927669441,18.025,23.4108446204
 01/02  16:00:00,49.4415279776,5.76759407392,0.136939282601,1.8086888215,18.7433767983,22.9618409725,56.9146556344,15.4781590801,18.025,23.4114965543
 01/02  17:00:00,57.2928197461,5.75414559272,0.168818270598,1.42221095575,18.7433767983,27.431320555,38.6522522531,14.8589759922,18.025,5.76827626084
 01/02  18:00:00,73.0226365398,5.78807842398,0.708123294071,0.622317632483,17.6635504202,40.6971502883,20.4539645167,14.6721826505,0.0,5.78178186616
 01/02  19:00:00,80.2735300228,5.88280391202,1.56762891185,0.413591852281,27.5259009287,37.3340067412,35.4412362305,18.0312248854,0.0,17.4100113451
 01/02  20:00:00,83.2177758175,5.9726917997,2.29560382843,0.215016404458,33.8341110165,33.3544677425,29.8883327116,18.3191020693,0.0,11.5692306422
 01/02  21:00:00,92.4880700977,6.12998588382,3.39601156083,0.0734491284439,36.5179666069,38.8247702939,24.7510439187,18.9550218875,0.0,5.79602203115
 01/02  22:00:00,87.1221717641,6.16331707249,3.50791113891,0.0768396040496,32.965339924,36.8579353714,36.9005730832,19.4691690347,0.0,17.4314040486
 01/02  23:00:00,61.631780124,5.92071565541,1.73886490571,0.145637455842,25.6355707503,20.6438685092,32.2774249059,20.6925056913,0.0,11.5849192145
 01/02  24:00:00,41.1187626317,5.76297670444,0.489150959199,0.593560887103,15.0252895274,11.7056064465,28.0571518404,22.2818339884,0.0,5.77531785199
 01/03  01:00:00,36.09576807,5.74250361796,0.28520091919,0.820856683638,11.6412384099,10.0650221343,28.8352028671,23.0666548134,0.0,5.76854805372
 01/03  02:00:00,34.5852067421,5.73686520182,0.20861439216,0.953339047613,10.0992000411,10.047477231,29.1680325567,23.4067155322,0.0,5.76131702449
 01/03  03:00:00,33.0319246347,5.74505623316,0.151525793655,1.30851439576,8.25718729233,10.0299323277,23.7128579126,23.6928579126,0.0,0.02
 01/03  04:00:00,33.5237902305,5.765351795,0.12624167341,1.80536849064,8.25718729233,10.0299323277,29.6962784191,23.9346771109,0.0,5.7616013082
 01/03  05:00:00,35.73952036,5.79066172155,0.104788551267,2.41051001327,8.25718729233,11.6354268332,31.5485861469,25.7803580119,0.0,5.76822813503
 01/03  06:00:00,43.483376253,5.79833735124,0.107562365937,2.56387870586,12.1011305571,15.3678112995,38.115414656,26.5575714387,0.0,11.5578432173
 01/03  07:00:00,72.7518009257,5.91371814036,1.54966562108,0.745921682078,19.7275818095,37.2640762949,38.1844448452,26.5562175377,0.0,11.6282273075
 01/03  08:00:00,89.01056457,6.12032772129,3.12266751187,0.388454489385,24.3117294858,51.2795993405,48.7432132387,25.3919640946,0.0,23.3512491442
