Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,699.385068712,97.5796910157,277.937682082,0.0,34.9616554283,113.312780494,656.788385938,642.384919481,5.66466996096,8.73879649538
 01/01  02:00:00,717.107250177,97.5796910157,301.323824296,0.0,34.9616554283,113.312780494,657.958718801,634.830133916,5.66466996096,17.4639149246
 01/01  03:00:00,727.173219574,97.5796910157,312.307989642,0.0,34.9616554283,113.312780494,661.010805713,637.882445003,5.66466996096,17.4636907491
 01/01  04:00:00,737.669086026,97.5796910157,323.887896058,0.0,34.9616554283,113.312780494,662.328750756,639.200640939,5.66466996096,17.4634398559
 01/01  05:00:00,759.804880216,97.5796910157,347.412747071,0.0,44.4937663224,113.312780494,650.807895452,627.680042653,5.66466996096,17.4631828388
 01/01  06:00:00,771.115568342,97.5796910157,368.498225928,0.0,44.4937663224,113.312780494,658.667164888,627.042565269,14.1616749024,17.4629247165
 01/01  07:00:00,846.723030357,97.5796910157,375.801388697,0.0,54.0258772165,176.889270242,603.101212224,557.31519571,28.3233498048,17.4626667097
 01/01  08:00:00,852.146124958,97.5796910157,377.712389389,0.0,54.0258772165,184.38654557,608.453207747,548.505773926,42.4850247072,17.4624091146
 01/01  09:00:00,920.815989232,97.5796910157,378.715408504,0.0,65.1572554096,220.04316451,604.968972506,521.998561178,56.6466996096,26.3237117185
 01/01  10:00:00,913.779749628,97.5796910157,379.20385166,0.0,65.1572554096,212.545889182,586.309501558,517.359591907,42.4850247072,26.4648849433
 01/01  11:00:00,921.48172389,97.5796910157,379.462509255,0.0,65.1572554096,220.04316451,615.413256303,509.126967952,70.808374512,35.4779138396
 01/01  12:00:00,922.673235199,97.5796910157,379.506888647,0.0,65.1572554096,220.04316451,610.676196744,504.393563087,70.808374512,35.4742591448
 01/01  13:00:00,921.602758209,97.5796910157,379.599410858,0.0,65.1572554096,220.04316451,607.063287941,500.784469543,70.808374512,35.4704438863
 01/01  14:00:00,913.990242533,97.5796910157,379.521780775,0.0,65.1572554096,212.545889182,590.45202308,498.338694926,56.6466996096,35.4666285441
