Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.2890592486,3.80874622117,0.00114065331645,0.0,4.58992532963,8.1892,104.792435566,93.94527747,3.33988,7.50727809571
 01/01  02:00:00,14.6643811093,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6875310172,0.0,0.0,0.0,1.52997510988,7.4902,3.93194422212,0.0,3.33988,0.592064222118
 01/01  04:00:00,14.6962490703,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8438402832,0.0,0.0,0.0,1.52997510988,7.4902,3.93195013799,0.0,3.33988,0.592070137987
 01/01  06:00:00,22.4117413592,3.80874622117,0.00525015492924,0.0,4.58992532963,8.1892,110.138296703,101.768596703,8.3497,0.02
 01/01  07:00:00,38.3715100572,3.80874622117,0.0123207332968,0.0,9.17985065927,19.4245,115.464739663,94.1500674903,16.6994,4.61527217321
 01/01  08:00:00,42.6608006556,3.80874622117,0.00659341936638,0.0,9.17985065927,26.9147,110.86572113,80.6265909285,25.0491,5.19003020107
 01/01  09:00:00,41.6169070577,3.80874622117,0.0,0.0,9.17985065927,26.9147,108.791625927,70.7773498883,33.3988,4.61547603919
 01/01  10:00:00,34.1454149319,3.80874622117,0.0,0.0,9.17985065927,19.4245,97.1283078864,67.4638183639,25.0491,4.61538952251
 01/01  11:00:00,41.658873085,3.80874622117,0.00401017269588,0.0,9.17985065927,26.9147,116.45099031,59.6003172291,41.7485,15.102173081
 01/01  12:00:00,42.4350769209,3.80874622117,0.0,0.0,9.17985065927,26.9147,101.116178179,44.2658037831,41.7485,15.1018743963
 01/01  13:00:00,41.7568423518,3.80874622117,0.0,0.0,9.17985065927,26.9147,84.3235027657,30.4077948777,41.7485,12.1672078879
 01/01  14:00:00,34.2355832022,3.80874622117,0.0,0.0,9.17985065927,19.4245,75.5652725676,30.001899139,33.3988,12.1645734286
 01/01  15:00:00,34.2326863231,3.80874622117,0.0,0.0,9.17985065927,19.4245,71.2209281247,36.92300002,25.0491,9.2488281047
 01/01  16:00:00,34.2096516942,3.80874622117,0.0,0.0,9.17985065927,19.4245,89.1924145778,46.5443876797,33.3988,9.24922689814
 01/01  17:00:00,44.8160460371,3.80874622117,0.00511642953015,0.0,9.17985065927,26.9147,104.970583198,45.6235410384,50.0982,9.24884215946
 01/01  18:00:00,45.8720236942,3.80874622117,0.0,0.0,9.17985065927,26.9147,109.865673077,47.6011254573,50.0982,12.1663476201
 01/01  19:00:00,45.8638697405,3.80874622117,0.0,0.0,9.17985065927,26.9147,114.543283973,49.3439125051,50.0982,15.1011714678
 01/01  20:00:00,38.5009007842,3.80874622117,0.0,0.0,9.17985065927,19.4245,98.8748679589,50.3746716731,33.3988,15.1013962859
 01/01  21:00:00,38.4826581152,3.80874622117,0.0,0.0,9.17985065927,19.4245,94.9564110326,49.3918542892,33.3988,12.1657567434
