Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,668.652869835,96.3974317128,232.327079755,0.0,34.9616554283,113.312780494,761.960015941,747.556549484,5.66466996096,8.73879649538
 01/01  02:00:00,637.937308922,96.3974317128,187.002243223,0.0,34.9616554283,113.312780494,853.293799468,830.165214583,5.66466996096,17.4639149246
 01/01  03:00:00,651.05154248,96.3974317128,199.338169511,0.0,34.9616554283,113.312780494,800.572122249,777.443761538,5.66466996096,17.4636907491
 01/01  04:00:00,655.561672976,96.3974317128,203.381594592,0.0,34.9616554283,113.312780494,784.755232648,761.627122831,5.66466996096,17.4634398559
 01/01  05:00:00,661.831728483,96.3974317128,201.816876737,0.0,44.4937663224,113.312780494,776.799571007,753.671718208,5.66466996096,17.4631828388
 01/01  06:00:00,658.171445926,96.3974317128,200.897128348,0.0,44.4937663224,113.312780494,786.913786409,755.28918679,14.1616749024,17.4629247165
 01/01  07:00:00,729.920203062,96.3974317128,209.633236708,0.0,54.0258772165,176.889270242,713.194183212,667.408166697,28.3233498048,17.4626667097
 01/01  08:00:00,723.641909902,96.3974317128,215.342535285,0.0,54.0258772165,184.38654557,700.700286491,640.752852669,42.4850247072,17.4624091146
 01/01  09:00:00,821.253076992,96.3974317128,245.245118351,0.0,65.1572554096,220.04316451,621.91384415,538.943432822,56.6466996096,26.3237117185
 01/01  10:00:00,852.704275537,96.3974317128,286.823739717,0.0,65.1572554096,212.545889182,549.166884019,480.216974369,42.4850247072,26.4648849433
 01/01  11:00:00,892.542540986,96.3974317128,315.390718519,0.0,65.1572554096,220.04316451,568.859669792,462.57338144,70.808374512,35.4779138396
 01/01  12:00:00,958.145447913,96.3974317128,370.092230461,0.0,65.1572554096,220.04316451,555.658868211,449.376234554,70.808374512,35.4742591448
 01/01  13:00:00,1005.44836614,96.3974317128,418.834031141,0.0,65.1572554096,220.04316451,547.035444388,440.75662599,70.808374512,35.4704438863
 01/01  14:00:00,1005.61418167,96.3974317128,435.254090269,0.0,65.1572554096,212.545889182,526.233388099,434.120059946,56.6466996096,35.4666285441
 01/01  15:00:00,989.414983026,96.3974317128,428.761074038,0.0,65.1572554096,212.545889182,505.401826658,427.45397924,42.4850247072,35.4628227108
 01/01  16:00:00,950.431853416,96.3974317128,399.144937403,0.0,65.1572554096,212.545889182,519.024309966,435.763955736,56.6466996096,26.6136546196
 01/01  17:00:00,921.661190723,96.3974317128,392.765695286,0.0,65.1572554096,220.04316451,575.194030456,454.740330059,84.9700494144,35.4836509818
 01/01  18:00:00,858.598090617,96.3974317128,376.349356628,0.0,54.0258772165,184.38654557,604.316689446,484.068740178,84.9700494144,35.2778998535
 01/01  19:00:00,809.431627758,96.3974317128,348.974097774,0.0,44.4937663224,163.454314868,625.823532188,528.264161299,84.9700494144,12.5893214752
 01/01  20:00:00,794.757605452,96.3974317128,337.848279063,0.0,44.4937663224,155.95703954,607.371398698,537.114707305,56.6466996096,13.6099917837
 01/01  21:00:00,754.204361024,96.3974317128,334.874813149,0.0,44.4937663224,124.558693486,649.628029294,575.517464247,56.6466996096,17.4638654368
 01/01  22:00:00,755.652945353,96.3974317128,334.212434876,0.0,44.4937663224,124.558693486,643.129041525,583.180418364,42.4850247072,17.4635984536
 01/01  23:00:00,751.302209403,96.3974317128,333.864731751,0.0,34.9616554283,124.558693486,646.169073542,600.382386443,28.3233498048,17.4633372949
 01/01  24:00:00,740.907261093,96.3974317128,322.545468714,0.0,34.9616554283,124.558693486,639.426969972,607.802217131,14.1616749024,17.4630779388
 01/02  01:00:00,730.898370207,96.3974317128,314.033297681,0.0,46.0930336215,113.312780494,637.735910679,614.608156526,5.66466996096,17.463084192
 01/02  02:00:00,729.603587935,96.3974317128,312.710311278,0.0,46.0930336215,113.312780494,642.348991076,619.221260499,5.66466996096,17.4630606157
 01/02  03:00:00,733.218589248,96.3974317128,322.329199331,0.0,46.0930336215,113.312780494,645.74020287,622.612635573,5.66466996096,17.4628973367
 01/02  04:00:00,733.128606414,96.3974317128,319.831223574,0.0,46.0930336215,113.312780494,650.673829328,627.546458829,5.66466996096,17.4627005384
 01/02  05:00:00,828.632260371,96.3974317128,323.664790743,0.0,100.150657288,148.969399434,612.106577912,588.979288089,5.66466996096,17.4626198621
 01/02  06:00:00,838.072270932,96.3974317128,331.150493981,0.0,100.150657288,149.894399434,1238.05657277,1206.431341,14.1616749024,17.463556867
 01/02  07:00:00,1058.84767319,96.3974317128,331.462757699,0.0,176.471037341,302.612436532,796.291470494,750.506050998,28.3233498048,17.4620696916
 01/02  08:00:00,1166.77350472,96.3974317128,331.898055663,0.0,243.2593065,310.10971186,739.130984341,661.338689157,42.4850247072,35.3072704764
 01/02  09:00:00,1208.33184848,96.3974317128,342.847680902,0.0,243.2593065,310.10971186,711.691854516,619.525759852,56.6466996096,35.5193950545
 01/02  10:00:00,1268.18033769,96.3974317128,373.616627594,0.0,243.2593065,302.612436532,673.515777332,595.332994211,42.4850247072,35.6977584133
