Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,121.874503846,4.45091509663,0.0,0.0,43.513341876,52.539744,50.7236020046,45.8693420046,4.83426,0.02
 01/01  02:00:00,132.07192723,14.6502049044,0.0,0.0,43.513341876,52.539744,60.1126685409,55.2584085409,4.83426,0.02
 01/01  03:00:00,132.489684193,15.0338381258,0.0,0.0,43.513341876,52.539744,86.7492798661,81.8950198661,4.83426,0.02
 01/01  04:00:00,130.185994501,12.7522364082,0.0,0.0,43.513341876,52.539744,74.429566434,69.575306434,4.83426,0.02
 01/01  05:00:00,148.387231046,30.4743196094,0.0,0.0,43.513341876,52.539744,120.529825419,107.082079359,4.83426,8.61348605981
 01/01  06:00:00,148.473865846,30.6174060976,0.0,0.0,43.513341876,52.539744,92.8455287288,87.9912687288,4.83426,0.02
 01/01  07:00:00,137.401994835,19.4584452523,0.0,0.0,43.513341876,52.539744,133.234323629,128.380063629,4.83426,0.02
 01/01  08:00:00,134.319190335,31.5151128193,0.0,0.0,43.513341876,52.539744,77.2793795708,72.4251195708,4.83426,0.02
 01/01  09:00:00,111.809735833,11.9615313506,0.0,0.0,43.513341876,52.539744,78.9302119902,74.0759519902,4.83426,0.02
 01/01  10:00:00,103.90216525,4.03350418613,0.0,0.0,43.513341876,52.539744,53.1775020275,39.7233517617,4.83426,8.6198902658
 01/01  11:00:00,104.914449707,5.04188023267,0.0,0.0,43.513341876,52.539744,46.2187035209,41.3644435209,4.83426,0.02
 01/01  12:00:00,104.840083989,4.03350418613,0.0,0.0,43.513341876,52.539744,25.9267105004,21.0724505004,4.83426,0.02
 01/01  13:00:00,103.521348795,3.62854432655,0.0,0.0,43.513341876,52.539744,25.5644613275,12.1087533412,4.83426,8.62144798634
 01/01  14:00:00,101.982755631,2.01675209307,0.0,0.0,43.513341876,52.539744,9.05496687601,4.20070687601,4.83426,0.02
 01/01  15:00:00,99.9691465184,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,99.9069555543,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,114.642221189,0.0,0.0,0.0,43.513341876,52.539744,13.447762442,0.0,4.83426,8.61350244199
 01/01  18:00:00,118.307550859,0.694216902141,0.0,0.0,43.513341876,52.539744,5.66754768525,0.813287685249,4.83426,0.02
 01/01  19:00:00,119.838854867,2.2549132409,0.0,0.0,43.513341876,52.539744,8.69871744013,3.84445744013,4.83426,0.02
 01/01  20:00:00,122.041080034,4.03350418613,0.0,0.0,43.513341876,52.539744,13.435306562,8.58104656195,4.83426,0.02
 01/01  21:00:00,121.003204952,3.0251281396,0.0,0.0,43.513341876,52.539744,13.2575368941,8.4032768941,4.83426,0.02
 01/01  22:00:00,122.696924522,4.92617741564,0.0,0.0,43.513341876,52.539744,35.145656946,21.6978418712,4.83426,8.61355507473
 01/01  23:00:00,121.493273938,4.03350418613,0.0,0.0,43.513341876,52.539744,25.4843564245,20.6300964245,4.83426,0.02
 01/01  24:00:00,123.464250703,5.04188023267,0.0,0.0,43.513341876,52.539744,36.3139706225,31.4597106225,4.83426,0.02
 01/02  01:00:00,121.478227809,4.03350418613,0.0,0.0,43.513341876,52.539744,31.837755337,26.983495337,4.83426,0.02
 01/02  02:00:00,122.500721571,5.04188023267,0.0,0.0,43.513341876,52.539744,51.6494052527,38.1937102926,4.83426,8.62143496004
