Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,142.173035861,31.0760398836,14.3684557824,3.59452683815,34.4311606118,33.1021868926,277.336974638,113.535813239,3.33212,160.469041399
 01/01  02:00:00,138.773381427,31.0760398836,10.8968108348,3.62006722443,34.4311606118,33.1021868926,214.260934053,93.1240376775,3.33212,117.804776376
 01/01  03:00:00,119.611159112,31.0760398836,9.13267229323,3.69708903145,19.466279405,30.610668775,209.777455631,83.6448365384,3.33212,122.800499092
 01/01  04:00:00,118.213890683,31.0760398836,7.75422502551,3.6860721064,19.466279405,30.610668775,205.830387687,79.6937365607,3.33212,122.804531126
 01/01  05:00:00,124.588589533,31.0760398836,7.59729272988,3.64660091055,19.466279405,30.610668775,243.830924203,78.7413736559,3.33212,161.757430547
 01/01  06:00:00,136.892819633,31.0760398836,7.68778790726,3.61709791516,19.466279405,30.610668775,285.538014028,79.3165056947,8.3303,197.891208333
 01/01  07:00:00,211.93556939,31.0760398836,11.2893904433,3.45705341491,42.6918050922,54.3732441037,386.147979744,79.8308003862,16.6606,289.656579357
 01/01  08:00:00,284.4292425,36.0512498952,25.2421491786,1.10313157556,49.3960418185,88.5934452969,1019.24409475,518.843832608,24.9909,475.40936214
 01/01  09:00:00,329.912065019,36.0512498952,55.5435041978,1.14468999005,57.6566862989,112.030105488,1296.68720027,590.598580563,33.3212,672.767419705
 01/01  10:00:00,266.494750371,36.0512498952,49.0338325829,0.474853822507,50.9524495726,81.1684271793,1107.20224218,553.955573172,66.8089,486.437769004
 01/01  11:00:00,216.986609179,36.0197190724,45.1737080351,0.0,42.6918050922,68.9656133826,975.302500523,523.084898221,83.4695,368.748102302
 01/01  12:00:00,220.125182001,36.0216897488,52.0727552557,0.0,38.286128036,68.9656133826,881.988043737,506.306945886,83.4695,292.211597851
 01/01  13:00:00,221.991824493,36.003953661,54.8450079011,0.0,38.286128036,68.9656133826,787.9245351,490.521493544,83.4695,213.933541556
 01/01  14:00:00,205.200972551,36.0118363667,57.0184126722,0.0,31.5818913096,56.727595265,765.346558034,482.293422839,75.1392,207.913935195
 01/01  15:00:00,204.423517933,36.0197190724,56.2669314933,0.0,31.5818913096,56.727595265,747.256753332,473.081447819,66.8089,207.366405513
 01/01  16:00:00,196.411113881,36.0197190724,48.2933068173,0.0,31.5818913096,56.727595265,759.458041417,471.431068932,75.1392,212.887772484
 01/01  17:00:00,212.43993375,36.022346641,32.2702358811,0.0,31.5818913096,61.661095265,739.967459489,485.922513499,91.7998,162.24514599
 01/01  18:00:00,247.170586176,36.0197190724,25.2367377923,0.0,31.5818913096,70.9729253606,796.957936148,541.273844671,49.9818,205.702291477
 01/01  19:00:00,311.631958069,36.0276017781,27.9508400224,0.0,80.3315023541,83.7685254822,861.842311754,565.758750835,49.9818,246.101760919
 01/01  20:00:00,327.593226467,36.0315431309,39.963573247,0.0,102.000620287,77.6748002752,918.465774183,563.781475109,33.3212,321.363099074
 01/01  21:00:00,356.135652984,36.0197190724,47.9613204364,0.0,108.704857014,91.4735406516,921.292804008,568.008320165,33.3212,319.963283843
 01/01  22:00:00,328.361383197,36.0512498952,48.0803443822,0.224212300826,95.2963835608,89.1510273009,915.38685712,569.079650161,24.9909,321.316306958
 01/01  23:00:00,273.819392469,36.0512498952,46.3246317905,0.5977343868,80.3315023541,63.3799339444,1068.60426426,574.998031567,16.6606,476.945632697
 01/01  24:00:00,187.05751415,36.0512498952,23.4712744876,1.01597464198,42.6918050922,48.4199368926,867.973468413,586.508514309,8.3303,273.134654104
 01/02  01:00:00,130.16955539,31.0760398836,13.8095620421,3.58388856304,25.5240853573,30.610668775,277.681989492,114.679566721,3.33212,159.670302771
 01/02  02:00:00,118.891333764,31.0760398836,9.78554414229,3.64702414499,19.418418834,29.3649097162,222.459381389,96.4992939727,3.33212,122.627967416
 01/02  03:00:00,109.281539386,31.0760398836,7.89925413371,3.82926074852,12.7620426787,28.1191506574,215.094379968,89.1131068208,3.33212,122.649153147
 01/02  04:00:00,108.251042833,31.0760398836,6.73408782078,3.9741871148,12.7620426787,28.1191506574,205.731952513,86.2334558069,3.33212,116.166376706
 01/02  05:00:00,115.27771504,31.0760398836,7.05799718231,4.10288289985,12.7620426787,28.1191506574,250.06713795,84.8787903061,3.33212,161.856227644
 01/02  06:00:00,146.597868538,31.0760398836,10.7290821122,4.1468693386,25.5240853573,30.610668775,371.892846295,84.3421349337,8.3303,279.220411361
 01/02  07:00:00,262.285600386,31.0760398836,28.6487096194,4.06936429458,51.0481707146,78.1489452969,576.777414898,81.3945593599,16.6606,478.722255538
 01/02  08:00:00,349.130083978,36.0512498952,52.5449294979,2.07881131727,64.3609230253,109.708623606,1202.08226925,543.64422436,24.9909,633.447144885
 01/02  09:00:00,270.342089463,36.0512498952,33.4275524568,1.82524916344,51.0481707146,80.7689615957,1113.81487374,593.036694086,33.3212,487.456979649
 01/02  10:00:00,243.511485859,36.0512498952,36.097239391,0.733162197994,51.0481707146,71.0224615957,954.755550365,519.685236694,66.8089,368.26141367
 01/02  11:00:00,199.395038776,36.0433671895,41.5643718037,0.00767695888666,32.1804615127,65.7244621605,834.335206216,464.814227648,83.4695,286.051478568
 01/02  12:00:00,209.165075583,36.0155781605,50.7582759138,0.0,32.1804615127,65.7244621605,722.594112778,426.46549678,83.4695,212.659115998
 01/02  13:00:00,218.998362745,36.1244106644,61.2990492425,0.0,32.1804615127,65.7244621605,681.33777439,383.247464691,83.4695,214.6208097
 01/02  14:00:00,213.947845087,36.2403110136,65.7800942941,0.094173823595,32.1804615127,55.9779621605,637.271908121,355.08996729,75.1392,207.042740831
