Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,169.779768843,51.7371971508,0.0,0.0,43.513341876,52.539744,369.808488324,364.954228324,4.83426,0.02
 01/01  02:00:00,165.459636541,47.5351012459,0.0,0.0,43.513341876,52.539744,314.249951108,309.395691108,4.83426,0.02
 01/01  03:00:00,176.714557009,58.4363437404,0.0,0.0,43.513341876,52.539744,443.082608277,438.228348277,4.83426,0.02
 01/01  04:00:00,164.628554067,46.6929302599,0.0,0.0,43.513341876,52.539744,301.143114982,296.288854982,4.83426,0.02
 01/01  05:00:00,177.161223906,58.4363437404,0.0,0.0,43.513341876,52.539744,453.371766004,439.923110518,4.83426,8.614395486
 01/01  06:00:00,164.766359993,46.4122065979,0.0,0.0,43.513341876,52.539744,305.67910513,300.82484513,4.83426,0.02
 01/01  07:00:00,176.097760154,57.3134490924,0.0,0.0,43.513341876,52.539744,458.967710769,454.113450769,4.83426,0.02
 01/01  08:00:00,163.732407429,45.584156181,0.0,0.0,43.513341876,52.539744,272.525924645,267.671664645,4.83426,0.02
 01/01  09:00:00,153.110162933,52.5976291149,0.0,0.0,43.513341876,52.539744,388.796338829,375.339050078,4.83426,8.62302875023
 01/01  10:00:00,139.361858374,39.1557530933,0.0,0.0,43.513341876,52.539744,201.005685989,196.151425989,4.83426,0.02
 01/01  11:00:00,143.914824084,43.597555319,0.0,0.0,43.513341876,52.539744,249.896357377,245.042097377,4.83426,0.02
 01/01  12:00:00,137.287623864,36.3033587231,0.0,0.0,43.513341876,52.539744,154.85195619,141.394885403,4.83426,8.6228107875
 01/01  13:00:00,133.414172994,33.296751917,0.0,0.0,43.513341876,52.539744,191.561560138,186.707300138,4.83426,0.02
 01/01  14:00:00,134.697583633,34.7162431918,0.0,0.0,43.513341876,52.539744,114.971578182,110.117318182,4.83426,0.02
 01/01  15:00:00,138.439385081,38.3463615171,0.0,0.0,43.513341876,52.539744,151.37372814,146.51946814,4.83426,0.02
 01/01  16:00:00,127.710772349,27.8107154438,0.0,0.0,43.513341876,52.539744,102.109353719,88.6607940574,4.83426,8.61429966138
 01/01  17:00:00,138.424382505,35.6027138818,0.0,0.0,43.513341876,52.539744,152.449268847,147.595008847,4.83426,0.02
 01/01  18:00:00,157.847474059,40.1605382773,0.0,0.0,43.513341876,52.539744,172.389070972,167.534810972,4.83426,0.02
 01/01  19:00:00,162.017513764,44.1284126367,0.0,0.0,43.513341876,52.539744,263.33016611,258.47590611,4.83426,0.02
 01/01  20:00:00,156.89352324,38.6927278231,0.0,0.0,43.513341876,52.539744,204.302249757,190.853600809,4.83426,8.61438894803
 01/01  21:00:00,166.587662956,48.1484122304,0.0,0.0,43.513341876,52.539744,313.330598779,308.476338779,4.83426,0.02
 01/01  22:00:00,165.154942538,46.9877744911,0.0,0.0,43.513341876,52.539744,329.784776277,324.930516277,4.83426,0.02
 01/01  23:00:00,176.937856286,58.7170674024,0.0,0.0,43.513341876,52.539744,447.28622185,442.43196185,4.83426,0.02
 01/01  24:00:00,165.611142487,46.6929302599,0.0,0.0,43.513341876,52.539744,325.356670462,320.502410462,4.83426,0.02
 01/02  01:00:00,175.636204947,57.3134490924,0.0,0.0,43.513341876,52.539744,458.374987641,444.917664325,4.83426,8.62306331629
 01/02  02:00:00,166.383772963,48.3772722319,0.0,0.0,43.513341876,52.539744,361.637542332,356.783282332,4.83426,0.02
 01/02  03:00:00,176.342366425,57.8748964164,0.0,0.0,43.513341876,52.539744,489.469039848,484.614779848,4.83426,0.02
 01/02  04:00:00,165.901437133,47.8158249079,0.0,0.0,43.513341876,52.539744,382.080995271,368.623653007,4.83426,8.62308226443
 01/02  05:00:00,176.836549823,57.8748964164,0.0,0.0,43.513341876,52.539744,496.077726484,491.223466484,4.83426,0.02
 01/02  06:00:00,166.347221692,47.8158249079,0.0,0.0,43.513341876,52.539744,383.206559423,378.352299423,4.83426,0.02
 01/02  07:00:00,198.201961131,72.7722820539,0.0,0.0,43.513341876,53.238744,3800.31493254,3786.85762929,4.83426,8.62304325086
 01/02  08:00:00,375.490162473,72.7722820539,0.0,0.0,220.879908,53.238744,3438.50539665,3407.19158435,4.83426,26.4795522927
 01/02  09:00:00,449.182406497,72.7722820539,0.0,0.0,220.879908,145.652643033,3162.47983616,3090.6182091,36.25695,35.6046770644
 01/02  10:00:00,447.948558702,72.7722820539,0.0,0.0,220.879908,145.652643033,2810.21061731,2719.82298491,36.25695,54.1306824004
 01/02  11:00:00,453.20787615,72.7722820539,0.0,0.0,220.879908,151.653867033,2486.55637956,2384.00573307,48.3426,54.2080464949
 01/02  12:00:00,453.922160464,72.7722820539,0.0,0.0,220.879908,151.653867033,2172.55167632,2069.73582348,48.3426,54.4732528375
 01/02  13:00:00,452.707858941,72.7722820539,0.0,0.0,220.879908,151.653867033,1902.76739117,1790.64179861,48.3426,63.7829925562
 01/02  14:00:00,446.654244428,72.7722820539,0.0,0.0,220.879908,145.652643033,1727.71361323,1639.62055011,24.1713,63.9217631141
 01/02  15:00:00,446.590889919,72.7722820539,0.0,0.0,220.879908,145.652643033,1622.15589834,1543.83293902,24.1713,54.1516593255
 01/02  16:00:00,438.697794776,72.7722820539,0.0,0.0,220.879908,137.835547516,1503.69200091,1444.59280302,4.83426,54.2649378905
 01/02  17:00:00,436.701867083,72.7722820539,0.0,0.0,220.879908,133.019064,1466.62261374,1416.98605199,4.83426,44.8023017481
 01/02  18:00:00,371.969060249,72.7722820539,0.0,0.0,220.879908,53.238744,1700.09538248,1650.46104075,4.83426,44.8000817287
 01/02  19:00:00,372.0417967,72.7722820539,0.0,0.0,220.879908,53.238744,1875.19792478,1825.36247588,4.83426,45.0011888978
 01/02  20:00:00,372.501356374,72.7722820539,0.0,0.0,220.879908,53.238744,2000.77686957,1978.54229441,4.83426,17.4003151581
 01/02  21:00:00,372.52183956,72.7722820539,0.0,0.0,220.879908,53.238744,2096.72703143,2083.19583134,4.83426,8.69694009548
 01/02  22:00:00,119.205183868,1.64092757611,0.0,0.0,43.513341876,52.539744,28.4786102443,6.26947592869,4.83426,17.3748743156
 01/02  23:00:00,122.152144544,4.73442129503,0.0,0.0,43.513341876,52.539744,16.3748844466,11.5206244466,4.83426,0.02
 01/02  24:00:00,125.584232865,6.96902398106,0.0,0.0,43.513341876,52.539744,41.7989245999,28.3241559839,4.83426,8.64050861606
 01/03  01:00:00,131.6412802,14.0847004545,0.0,0.0,43.513341876,52.539744,42.8794384331,38.0251784331,4.83426,0.02
 01/03  02:00:00,137.080456003,19.4617055932,0.0,0.0,43.513341876,52.539744,85.2999114572,71.8425143365,4.83426,8.62313712065
 01/03  03:00:00,151.42204091,33.779127455,0.0,0.0,43.513341876,52.539744,95.8967950773,91.0425350773,4.83426,0.02
 01/03  04:00:00,153.597570975,35.9164790881,0.0,0.0,43.513341876,52.539744,129.353869585,124.499609585,4.83426,0.02
