Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,61.8460652132,6.18406190434,0.0,25.0953579562,12.925468867,10.100111941,77.5025775115,71.7319348259,0.0,5.77064268555
 01/01  02:00:00,62.3414211459,6.20678444321,0.0,25.5692553124,12.925468867,10.100111941,69.7633347345,69.7433347345,0.0,0.02
 01/01  03:00:00,59.2811830384,6.26510783191,0.0,27.0697291441,8.34152022915,10.0650221343,75.9613096566,70.1980144196,0.0,5.76329523703
 01/01  04:00:00,60.2886417246,6.30117056642,0.0,28.0411239312,8.34152022915,10.0650221343,77.5188698783,71.7557821511,0.0,5.76308772726
 01/01  05:00:00,62.7345911647,6.33115596622,0.0,28.8503249496,8.34152022915,11.6705166398,79.3097977577,73.539102345,0.0,5.77069541266
 01/01  06:00:00,68.0685000062,6.37210284536,0.0,29.9848321106,8.80141237637,15.3678112995,80.6377939856,74.8592334314,0.0,5.77856055425
 01/01  07:00:00,86.39335428,6.29798851906,0.0,28.406901454,18.5082010057,25.6353820695,88.0687734565,76.5015892803,0.0,11.5671841762
 01/01  08:00:00,99.0554540797,6.14650877514,0.0,24.7649599561,19.4926561212,41.1001056674,94.3836411705,76.9275836183,0.0,17.4560575521
 01/01  09:00:00,109.942176776,5.9480752873,0.0132726860224,19.6148958568,26.3286599382,57.9988325916,109.361369967,67.6671100758,0.0,41.6942598915
 01/01  10:00:00,96.9952310119,5.99773693057,1.15121073589,20.7545045366,26.2443270014,42.8153538416,117.993200083,64.4684366961,18.025,35.4997633872
 01/01  11:00:00,75.8457095212,6.10364242872,1.43146817442,23.0938800511,21.7447113004,23.4437158914,109.521203394,62.024749474,18.025,29.4714539203
 01/01  12:00:00,72.3272668507,6.07272155882,1.50690916317,21.9332499453,19.3449162599,23.4437158914,107.074923769,59.660840916,18.025,29.3890828528
 01/01  13:00:00,70.5827297874,6.02293848188,1.42690865757,20.1766285281,19.190480192,23.7425572507,98.8524048654,57.3839031727,18.025,23.4435016927
 01/01  14:00:00,68.6474748705,5.96432432603,1.54228835072,18.1584867176,19.260583323,23.698576057,94.0884284931,52.6168568284,18.025,23.4465716646
 01/01  15:00:00,67.4267673249,5.92606685644,1.59019721608,16.9281241396,19.260583323,23.698576057,92.1770703397,50.6995648805,18.025,23.4525054592
 01/01  16:00:00,66.9181572104,5.92149501762,1.58402091377,16.7202146988,19.260583323,23.4086260847,99.0228270857,51.6952764138,18.025,29.3025506719
 01/01  17:00:00,73.8160659211,5.97360927713,0.669576671743,18.1451180038,19.260583323,27.8781056672,77.60596595,53.8102356165,18.025,5.77073033351
 01/01  18:00:00,86.6515298845,5.93323371022,0.0,17.4159082741,18.1807569449,37.5792895564,65.3039975546,59.5256138767,0.0,5.77838367793
 01/01  19:00:00,98.2318811137,5.84292862797,0.0215087635551,15.1713270765,32.6059821062,37.0465235296,71.8563553069,66.0704405104,0.0,5.7859147965
 01/01  20:00:00,97.3912548898,5.8100390694,0.160242466131,13.9934675403,36.8143715336,33.066984531,79.5574822845,67.9753674714,0.0,11.5821148131
 01/01  21:00:00,102.188174232,5.8105508421,0.436541159616,13.1540751225,36.43363367,38.8072253906,82.1039741286,70.5223675081,0.0,11.5816066205
 01/01  22:00:00,100.642356767,5.83241569844,0.426333838417,13.9533103817,36.0963922311,36.7877557581,83.3372823244,71.7546905991,0.0,11.5825917253
 01/01  23:00:00,83.4737034239,5.93284704617,0.009766526442,18.4203108799,30.9507766546,20.6087787026,90.1776295081,72.7240045953,0.0,17.4536249127
 01/01  24:00:00,66.7389837526,6.13449296538,0.0,23.9289184475,17.4250845679,11.7056064465,85.7880258408,74.2217239907,0.0,11.5663018502
 01/02  01:00:00,62.4496957841,6.24141349335,0.0,26.9609439037,11.6412384099,10.0650221343,82.0500531239,76.2791396064,0.0,5.7709135175
 01/02  02:00:00,63.6297743972,6.33497247563,0.0,29.608315695,10.0992000411,10.047477231,84.7084002009,78.9449166226,0.0,5.76348357828
 01/02  03:00:00,64.5863029999,6.43095925772,0.0,32.328416864,8.25718729233,10.0299323277,82.1007731022,82.0807731022,0.0,0.02
 01/02  04:00:00,65.8028575194,6.47568515194,0.0,33.5002447112,8.25718729233,10.0299323277,88.0654542524,82.3021590973,0.0,5.76329515504
 01/02  05:00:00,68.5265076909,6.51550231255,0.0,34.5773133524,8.25718729233,11.6354268332,88.4334722521,82.6625415835,0.0,5.77093066854
 01/02  06:00:00,76.2263430364,6.51451047762,0.0,34.6980028935,12.1011305571,15.3678112995,93.7591888744,82.1918109494,0.0,11.567377925
 01/02  07:00:00,98.8662965791,6.24246050438,0.0,28.0809422188,19.7275818095,37.2640762949,99.6075359679,82.1510314012,0.0,17.4565045667
 01/02  08:00:00,113.210415704,6.08619036547,0.0,23.9765855436,24.3117294858,51.2795993405,102.501937942,79.1104885747,0.0,23.391449367
 01/02  09:00:00,98.5420478533,6.24905840468,0.0288230673679,27.928391939,23.6694662846,40.6342015617,100.928159279,65.4250960898,0.0,35.5030631896
 01/02  10:00:00,91.3156491429,6.14542497345,1.34244719314,24.4997948268,23.6694662846,35.6302164847,104.113737577,56.6232761604,18.025,29.4654614167
 01/02  11:00:00,72.8452806243,6.12988392555,1.70347363325,23.2809464378,18.7433767983,22.9618409725,97.809040611,50.3904357686,18.025,29.3936048424
 01/02  12:00:00,69.0301759805,6.01081976883,1.86521708193,19.4257010684,18.7433767983,22.9618409725,85.9266374727,44.4462814254,18.025,23.4553560474
 01/02  13:00:00,64.4887725377,5.8758152661,1.89934964287,14.9417223887,18.5889407304,23.1597249699,77.8199389223,36.343907924,18.025,23.4510309983
 01/02  14:00:00,61.6367822912,5.7833071093,2.07383041456,11.7612533642,18.7433767983,23.2517909448,74.8977919724,31.7618056446,18.025,25.1109863279
 01/02  15:00:00,59.5101172997,5.72922132205,2.24008948876,9.52241967078,18.7433767983,23.2517909448,75.0584242161,29.387294274,18.025,27.6461299421
 01/02  16:00:00,57.7072188593,5.68511088719,2.26229360337,8.03137785185,18.7433767983,22.9618409725,71.4496769572,29.9779256229,18.025,23.4467513343
 01/02  17:00:00,62.9201500744,5.66516650072,1.2489431925,7.94226212151,18.7433767983,27.431320555,56.2296049976,32.4338295372,18.025,5.7707754604
 01/02  18:00:00,78.4007730878,5.62409887807,0.209971792132,6.66238128051,17.6635504202,40.6971502883,48.5804355504,37.0282885061,0.0,11.5521470443
 01/02  19:00:00,84.5724733942,5.61705861667,0.296476701948,6.24906597432,27.5259009287,37.3340067412,57.3238962561,45.6956170129,0.0,11.6282792432
 01/02  20:00:00,87.1733749974,5.63141987084,0.428172844458,6.37904609978,33.8341110165,33.3544677425,62.0440497983,50.4612477248,0.0,11.5828020735
 01/02  21:00:00,95.0820627931,5.66030046598,0.882427674191,5.65044340044,36.5179666069,38.8247702939,66.4191292514,54.8390112945,0.0,11.5801179569
 01/02  22:00:00,89.9392663986,5.6759255298,0.952531054496,5.93630078058,32.965339924,36.8579353714,74.0728199411,56.6179069146,0.0,17.4549130265
 01/02  23:00:00,70.4965268813,5.7263571904,0.114180951147,10.8291237605,25.6355707503,20.6438685092,70.7808492514,59.1825752121,0.0,11.5982740393
 01/02  24:00:00,55.7908965913,5.88122273728,0.000833876452268,15.635595513,15.0252895274,11.7056064465,71.6687844786,61.6238572141,0.0,10.0449272646
 01/03  01:00:00,53.7137917447,5.98158480759,0.0,18.4848648696,11.6412384099,10.0650221343,70.8536930507,63.5936300862,0.0,7.26006296459
 01/03  02:00:00,54.8943282941,6.07237965112,0.0,21.1354612242,10.0992000411,10.047477231,66.479156855,66.459156855,0.0,0.02
 01/03  03:00:00,54.3377368776,6.11859678208,0.0,22.3922088351,8.25718729233,10.0299323277,71.7663321046,66.0028872356,0.0,5.76344486899
 01/03  04:00:00,56.1772829836,6.17845005613,0.0,24.171901511,8.25718729233,10.0299323277,74.4008567324,68.6376021875,0.0,5.76325454489
 01/03  05:00:00,59.3492435278,6.22963396685,0.0,25.68591378,8.25718729233,11.6354268332,76.9219022289,71.150985099,0.0,5.77091712991
 01/03  06:00:00,66.5921199878,6.21593633571,0.0,25.3623496891,12.1011305571,15.3678112995,81.0494449279,69.4826227236,0.0,11.5668222044
 01/03  07:00:00,89.1488807426,5.96205009841,0.0,18.6439295634,19.7275818095,37.2640762949,76.9364883163,65.2928663512,0.0,11.6436219651
 01/03  08:00:00,103.3955891,5.8152164262,0.043090362688,14.3896279225,24.3117294858,51.2795993405,83.8060204445,60.4129991996,0.0,23.3930212449
 01/03  09:00:00,87.670009541,5.93121944689,0.0870698378373,17.315936531,23.6694662846,40.6342015617,82.4337259922,46.925044473,0.0,35.5086815192
 01/03  10:00:00,82.170225616,5.87050148776,1.84739877499,15.1243357846,23.6694662846,35.6302164847,86.59305949,39.0980666706,18.025,29.4699928193
 01/03  11:00:00,64.0980590029,5.85835749583,2.18061464275,14.3281055303,18.7433767983,22.9618409725,80.872759837,33.4519523892,18.025,29.3958074478
 01/03  12:00:00,61.2104976782,5.76649907879,2.36637002238,11.3491864013,18.7433767983,22.9618409725,75.5419178386,28.2028425287,18.025,29.3140753099
 01/03  13:00:00,58.2517893904,5.69387780035,2.53371628815,8.25230655603,18.5889407304,23.1597249699,63.5497712149,22.0759388617,18.025,23.4488323532
 01/03  14:00:00,56.7244135248,5.66067817396,2.81347231185,6.23187225214,18.7433767983,23.2517909448,58.997218162,17.5216095118,18.025,23.4506086502
 01/03  15:00:00,55.6617855263,5.63336146396,2.89727619695,5.11275331648,18.7433767983,23.2517909448,57.1442725145,15.6642135473,18.025,23.4550589672
 01/03  16:00:00,54.4508976818,5.59919570371,2.89965723157,4.22360415968,18.7433767983,22.9618409725,63.8100730348,16.4790350182,18.025,29.3060380166
 01/03  17:00:00,59.5395534781,5.56235458351,1.76958474924,4.14383586676,18.7433767983,27.431320555,44.319546277,20.5244902188,18.025,5.77005605826
 01/03  18:00:00,75.4089931762,5.56192110128,0.488673423457,3.45407791434,17.6635504202,40.6971502883,33.1328853825,27.3471204026,0.0,5.78576497986
 01/03  19:00:00,81.7601326775,5.57965799805,0.681188465256,3.08940409436,27.5259009287,37.3340067412,53.0729310897,35.6408745944,0.0,17.4320564953
 01/03  20:00:00,83.9875977749,5.59524378625,0.893249960459,2.76436307812,33.8341110165,33.3544677425,49.2468328504,37.6643572719,0.0,11.5824755785
 01/03  21:00:00,91.862295535,5.63248309557,1.35768883839,1.98322390112,36.5179666069,38.8247702939,51.041946549,39.4598323315,0.0,11.5821142175
 01/03  22:00:00,86.5286707906,5.64541978514,1.43215380714,2.07657660297,32.965339924,36.8579353714,58.773237038,41.3161687342,0.0,17.4570683038
 01/03  23:00:00,64.3252089681,5.58716776533,0.471916111173,4.43925337913,25.6355707503,20.6438685092,56.8043983778,45.2060641114,0.0,11.5983342664
 01/03  24:00:00,47.55315957,5.63816235657,0.0355714533482,7.6061790104,15.0252895274,11.7056064465,50.8057095196,45.027106656,0.0,5.77860286354
 01/04  01:00:00,44.3129085116,5.69945948684,0.0200538163508,9.34605005649,11.6412384099,10.0650221343,51.1067215141,45.3357037718,0.0,5.77101774226
 01/04  02:00:00,44.0902283397,5.74447617636,0.0129377815226,10.6463227314,10.0992000411,10.047477231,52.5107352831,46.7475273738,0.0,5.7632079093
 01/04  03:00:00,43.0569197503,5.7729559881,0.00637380405411,11.4506560069,8.25718729233,10.0299323277,52.4012721476,46.6377844951,0.0,5.76348765247
 01/04  04:00:00,43.8275469373,5.79810731903,0.0011280066852,12.2013790121,8.25718729233,10.0299323277,53.2728972569,47.5100399031,0.0,5.76285735381
 01/04  05:00:00,45.7827089408,5.81012787158,0.0,12.5388823281,8.25718729233,11.6354268332,53.3357747492,47.5655539974,0.0,5.77022075178
 01/04  06:00:00,52.2700291734,5.77584363472,0.0,11.4803466112,12.1011305571,15.3678112995,49.1121576722,43.3180215086,0.0,5.79413616359
