Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,104.335355048,23.3180003434,3.83904104148,13.3128240743,4.12243109448,15.9888894789,97.6489672699,94.6572368521,2.97173041782,0.02
 01/02  02:00:00,94.4561779797,19.5073809172,3.39913833269,12.9536524821,4.12243109448,15.9888894789,83.834707613,80.8429771952,2.97173041782,0.02
 01/02  03:00:00,111.077868788,24.3842261466,4.31221279489,18.176571846,4.12243109448,15.9888894789,105.296025361,102.304294943,2.97173041782,0.02
 01/02  04:00:00,96.3093262687,19.5073809172,3.35772926848,15.2317435894,4.12243109448,15.9888894789,85.554000728,82.5622703102,2.97173041782,0.02
 01/02  05:00:00,139.955200705,28.8067875893,4.84671688295,17.2140661894,12.3672932834,24.9413748627,120.33390004,115.36101601,4.9528840297,0.02
 01/02  06:00:00,169.651461975,28.3598321679,7.94451487724,44.0397519538,12.3672932834,24.9413748627,184.473941019,179.501056989,4.9528840297,0.02
 01/02  07:00:00,229.953875684,29.3179349868,7.91544693186,45.6158276495,24.7345865669,70.7195625826,177.075692486,167.149924427,9.90576805939,0.02
 01/02  08:00:00,245.158762971,29.3847782599,7.3864957782,33.5865283809,37.1018798503,92.3937384068,160.634773176,150.709005117,9.90576805939,0.02
 01/02  09:00:00,242.324421225,29.4054920037,7.49242914339,28.8611874294,37.1018798503,104.434947198,153.752521609,143.826753549,9.90576805939,0.02
 01/02  10:00:00,248.761755702,29.4168655027,8.01210846364,23.7323605629,37.1018798503,116.476155989,154.564394787,136.032141165,9.90576805939,8.62648556267
 01/02  11:00:00,244.593208191,29.4517896218,8.55633190763,19.0951777147,37.1018798503,116.476155989,137.781531983,127.855763923,9.90576805939,0.02
 01/02  12:00:00,242.444154128,29.5067981327,9.14038878086,15.7969180954,37.1018798503,116.476155989,138.658777721,120.120547542,9.90576805939,8.63246211902
 01/02  13:00:00,228.760302584,29.5395913979,9.99821771302,13.4302169414,37.1018798503,104.434947198,123.601758008,113.675989948,9.90576805939,0.02
 01/02  14:00:00,238.169572449,29.5607182419,10.7185336264,11.7656377679,37.1018798503,116.476155989,118.528234462,108.602466403,9.90576805939,0.02
 01/02  15:00:00,236.633008015,29.5864612417,11.5391223205,10.4172072593,37.1018798503,116.476155989,122.315700126,103.778940617,9.90576805939,8.63099144944
 01/02  16:00:00,236.225005992,29.5990776916,11.988976095,9.65176667641,37.1018798503,116.476155989,111.587599484,101.661831425,9.90576805939,0.02
 01/02  17:00:00,237.475258805,29.6041320202,11.9956811803,9.88919551515,37.1018798503,116.476155989,121.265277694,102.734927621,9.90576805939,8.62458201341
