Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5065060752,2.15507145272,0.0,0.0,1.85583932782,5.577,47.5717272582,42.8314636124,3.0011,1.73916364582
 01/01  02:00:00,9.5018982873,0.0,0.0,0.0,0.618613109274,5.0,3.59317129592,0.0,3.0011,0.592071295924
 01/01  03:00:00,9.52259768843,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.53449599577,0.0,0.0,0.0,0.618613109274,5.0,3.59315132959,0.0,3.0011,0.592051329593
 01/01  05:00:00,9.68041981991,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.6630382677,2.15507145272,0.0,0.0,1.85583932782,5.577,47.1695739672,42.6479239672,4.50165,0.02
 01/01  07:00:00,28.1385469064,2.15507145272,0.0,0.0,3.71167865564,18.077,52.4226659043,37.1800377505,13.50495,1.73767815372
 01/01  08:00:00,27.4603844689,2.15507145272,0.0,0.0,3.71167865564,18.077,56.3046529905,34.1318539614,21.0077,1.16509902903
 01/01  09:00:00,20.5603559325,2.15507145272,0.0,0.0,3.71167865564,13.077,53.0696024645,36.3264820014,15.0055,1.73762046313
 01/01  10:00:00,20.5700658853,2.15507145272,0.0,0.0,3.71167865564,13.077,53.6303452365,37.459551272,15.0055,1.16529396445
 01/01  11:00:00,25.5658047835,2.15507145272,0.0,0.0,3.71167865564,18.077,71.9498761461,34.9007106741,33.0121,4.03706547199
 01/01  12:00:00,26.7214384267,2.15507145272,0.0,0.0,3.71167865564,18.077,76.6935710461,32.141677885,40.51485,4.03704316108
 01/01  13:00:00,25.7852563909,2.15507145272,0.0,0.0,3.71167865564,18.077,70.6370594908,31.7359476884,36.0132,2.88791180239
 01/01  14:00:00,25.584467889,2.15507145272,0.0,0.0,3.71167865564,18.077,67.6953336387,32.722449252,31.51155,3.46133438662
 01/01  15:00:00,20.5850144572,2.15507145272,0.0,0.0,3.71167865564,13.077,58.650545114,35.3306520451,21.0077,2.31219306892
 01/01  16:00:00,20.5697671428,2.15507145272,0.0,0.0,3.71167865564,13.077,59.7982563988,37.9783319721,19.50715,2.31277442675
 01/01  17:00:00,20.4879073765,2.15507145272,0.0,0.0,3.71167865564,13.077,65.2725065629,39.8781496587,22.50825,2.88610690417
 01/01  18:00:00,26.7538450262,2.15507145272,0.0,0.0,3.71167865564,18.077,67.5497581539,39.1526151229,25.50935,2.88779303096
