Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,148.033770074,30.5094629648,0.0,0.0,43.513341876,52.539744,188.461530397,183.607270397,4.83426,0.02
 01/01  02:00:00,151.133464607,33.6661860371,0.0,0.0,43.513341876,52.539744,128.262609536,123.408349536,4.83426,0.02
 01/01  03:00:00,145.391863968,27.8757986718,0.0,0.0,43.513341876,52.539744,170.575799625,165.721539625,4.83426,0.02
 01/01  04:00:00,139.981900571,22.5270888892,0.0,0.0,43.513341876,52.539744,119.961619888,115.107359888,4.83426,0.02
 01/01  05:00:00,153.099810043,35.1737470334,0.0,0.0,43.513341876,52.539744,166.055469134,161.201209134,4.83426,0.02
 01/01  06:00:00,145.538637399,27.6969509799,0.0,0.0,43.513341876,52.539744,131.284609353,117.839064225,4.83426,8.61128512711
 01/01  07:00:00,150.680969475,32.7537994221,0.0,0.0,43.513341876,52.539744,174.050391602,169.196131602,4.83426,0.02
 01/01  08:00:00,127.447496859,15.7028355662,0.0,0.0,43.513341876,52.539744,107.437369129,102.583109129,4.83426,0.02
 01/01  09:00:00,117.530811215,17.6973424329,0.0,0.0,43.513341876,52.539744,140.863064541,136.008804541,4.83426,0.02
 01/01  10:00:00,110.684931153,10.8731651917,0.0,0.0,43.513341876,52.539744,97.4202691627,92.5660091627,4.83426,0.02
 01/01  11:00:00,111.243447295,11.431841036,0.0,0.0,43.513341876,52.539744,123.488914627,110.036848081,4.83426,8.61780654622
 01/01  12:00:00,111.592569676,10.8731651917,0.0,0.0,43.513341876,52.539744,79.0749955321,74.2207355321,4.83426,0.02
 01/01  13:00:00,109.708087992,9.97253433354,0.0,0.0,43.513341876,52.539744,89.9859164663,85.1316564663,4.83426,0.02
