Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,71.1275484549,13.6724629507,22.9241737745,0.0,4.12243109448,15.9888894789,58.4398100953,55.4480796775,2.97173041782,0.02
 01/02  02:00:00,79.2672828138,18.8661340855,25.7079663582,0.0,4.12243109448,15.9888894789,85.7121964581,82.7204660403,2.97173041782,0.02
 01/02  03:00:00,69.2500957824,12.9054804406,21.8366911233,0.000194151871498,4.12243109448,15.9888894789,55.5120317897,52.5203013719,2.97173041782,0.02
 01/02  04:00:00,88.3241355379,20.1801823579,33.3885731738,0.0621977506506,4.12243109448,15.9888894789,87.9044536421,84.9127232243,2.97173041782,0.02
 01/02  05:00:00,124.179858849,28.2656683946,43.7953641157,0.0196627838743,12.3672932834,24.9413748627,112.426740351,107.453856321,4.9528840297,0.02
 01/02  06:00:00,145.351317696,29.27020642,50.8084152419,13.1735325164,12.3672932834,24.9413748627,182.404182624,177.431298595,4.9528840297,0.02
 01/02  07:00:00,201.921309535,29.7716832763,53.1792279466,8.72575382136,24.7345865669,70.7195625826,148.897400568,138.971632508,9.90576805939,0.02
 01/02  08:00:00,225.340338859,30.1180725151,55.2921336319,5.03989692503,37.1018798503,92.3937384068,129.710303322,119.784535262,9.90576805939,0.02
 01/02  09:00:00,233.532132628,30.22175518,57.2712108295,3.80402247157,37.1018798503,104.434947198,123.522839895,113.597071836,9.90576805939,0.02
 01/02  10:00:00,249.584421664,30.3061372268,62.2231210107,2.77836525123,37.1018798503,116.476155989,127.827934176,109.298202144,9.90576805939,8.62396397231
 01/02  11:00:00,256.703399379,30.4458889243,70.1442705298,1.83592180984,37.1018798503,116.476155989,115.096325401,105.170557341,9.90576805939,0.02
 01/02  12:00:00,259.893864212,30.5913584131,73.9532387243,1.07170654244,37.1018798503,116.476155989,111.706820594,101.781052534,9.90576805939,0.02
 01/02  13:00:00,247.869195003,30.6854118785,74.2419542175,0.706016567579,37.1018798503,104.434947198,118.59828564,100.067119427,9.90576805939,8.62539815432
 01/02  14:00:00,262.224435712,30.874521878,76.6745957189,0.397795348957,37.1018798503,116.476155989,107.411445024,97.4856769641,9.90576805939,0.02
 01/02  15:00:00,264.24777509,31.0896610787,78.6617020159,0.219014286277,37.1018798503,116.476155989,113.561727382,95.0280026262,9.90576805939,8.62795669598
 01/02  16:00:00,262.634273705,31.1817645116,77.0089652507,0.166426727204,37.1018798503,116.476155989,103.648146535,93.7223784752,9.90576805939,0.02
 01/02  17:00:00,259.577102712,31.1449095943,73.9247726555,0.230811614581,37.1018798503,116.476155989,103.53953765,93.6137695908,9.90576805939,0.02
 01/02  18:00:00,262.868126581,30.9594091596,67.8128899628,0.423616160493,37.1018798503,116.476155989,105.019619259,95.0938511997,9.90576805939,0.02
 01/02  19:00:00,164.929190789,28.2656683946,49.5587419974,0.0,24.7345865669,47.5788473902,85.546956551,71.9864780861,4.9528840297,8.60759443513
 01/02  20:00:00,165.876040057,28.9226925308,49.8485827723,0.0,24.7345865669,47.5788473902,83.0276192907,78.054735261,4.9528840297,0.02
 01/02  21:00:00,133.722975289,27.3896362129,40.4855149807,0.0,12.3672932834,38.6892022431,97.1958163238,94.204085906,2.97173041782,0.02
 01/02  22:00:00,93.4566587399,15.2502295801,24.3059385029,0.0,12.3672932834,27.0668015668,57.8140580698,54.822327652,2.97173041782,0.02
 01/02  23:00:00,83.3796495525,20.0565321501,28.6067539663,0.0,4.12243109448,15.9888894789,86.4669082345,83.4751778166,2.97173041782,0.02
 01/02  24:00:00,69.7260932479,13.4534549053,21.7417271313,0.0,4.12243109448,15.9888894789,55.5456001951,52.5538697773,2.97173041782,0.02
 01/03  01:00:00,89.0313539425,20.7281568227,33.5868336174,0.0,4.12243109448,15.9888894789,90.8702608357,87.8785304179,2.97173041782,0.02
 01/03  02:00:00,65.5471740511,12.5774227236,18.4388400424,0.0,4.12243109448,15.9888894789,59.5589951113,56.5672646934,2.97173041782,0.02
 01/03  03:00:00,87.8552064407,20.0341769943,33.127847422,0.0,4.12243109448,15.9888894789,89.3835849979,86.3918545801,2.97173041782,0.02
 01/03  04:00:00,67.874955628,12.0946963213,21.2532276327,0.0424833905273,4.12243109448,15.9888894789,50.6407205053,47.6489900875,2.97173041782,0.02
 01/03  05:00:00,124.724686622,28.2656683946,44.3502927502,0.00956204295743,12.3672932834,24.9413748627,112.098266727,107.125382697,4.9528840297,0.02
 01/03  06:00:00,145.057993669,29.2735041826,50.9557148561,12.7296111595,12.3672932834,24.9413748627,181.931883836,176.958999806,4.9528840297,0.02
 01/03  07:00:00,201.731942525,29.7799218982,53.3623466676,8.34502944476,24.7345865669,70.7195625826,148.596983132,138.671215072,9.90576805939,0.02
 01/03  08:00:00,225.045983204,30.1343733086,55.4848854177,4.53648069484,37.1018798503,92.3937384068,129.262495722,119.336727663,9.90576805939,0.02
 01/03  09:00:00,233.806628984,30.254894207,58.4734378614,2.84312232376,37.1018798503,104.434947198,130.769148189,112.242156297,9.90576805939,8.62122383245
 01/03  10:00:00,251.012093678,30.4012946619,64.6311251811,1.70294989566,37.1018798503,116.476155989,116.949447518,107.023679459,9.90576805939,0.02
 01/03  11:00:00,260.201044559,30.7860658513,74.5468849947,0.590718587968,37.1018798503,116.476155989,110.964207214,101.038439154,9.90576805939,0.02
 01/03  12:00:00,265.020939846,30.9018148394,79.5692892563,0.272286332762,37.1018798503,116.476155989,113.238888338,94.7037205974,9.90576805939,8.6293996815
 01/03  13:00:00,253.548083421,30.9708275104,80.1927169023,0.148754018143,37.1018798503,104.434947198,99.9574374689,90.0316694095,9.90576805939,0.02
 01/03  14:00:00,268.733179454,31.1617758514,83.2130521632,0.0807568694258,37.1018798503,116.476155989,100.719411406,82.1842830624,9.90576805939,8.62936028444
 01/03  15:00:00,270.840983772,31.3870342011,85.1537477593,0.0228868622974,37.1018798503,116.476155989,86.9182044219,76.9924363625,9.90576805939,0.02
 01/03  16:00:00,268.338323422,31.5093130508,82.5498185871,0.00201353847354,37.1018798503,116.476155989,93.1667044898,83.2409364304,9.90576805939,0.02
 01/03  17:00:00,264.835238782,31.4001870751,79.0956342181,0.0628016671812,37.1018798503,116.476155989,110.137466973,91.6088061361,9.90576805939,8.62289277789
 01/03  18:00:00,270.662521897,31.181734433,75.6562294832,0.152395161217,37.1018798503,116.476155989,104.108580951,94.1828128918,9.90576805939,0.02
 01/03  19:00:00,172.274875768,28.5065772445,56.6635282895,0.0,24.7345865669,47.5788473902,75.6230893332,70.6502053035,4.9528840297,0.02
 01/03  20:00:00,172.664495327,28.9226925308,56.6370278404,0.0,24.7345865669,47.5788473902,81.41747237,76.4445883403,4.9528840297,0.02
 01/03  21:00:00,146.750800626,28.2656683946,52.6372906814,0.0,12.3672932834,38.6892022431,95.2261206247,92.2343902068,2.97173041782,0.02
 01/03  22:00:00,98.2214342768,15.0750231438,29.245909482,0.0,12.3672932834,27.0668015668,62.0179217698,59.026191352,2.97173041782,0.02
 01/03  23:00:00,90.2244019154,20.2025375137,35.3054998367,0.0,4.12243109448,15.9888894789,85.1787659332,82.1870355154,2.97173041782,0.02
 01/03  24:00:00,70.4999523311,12.9278355963,23.0412043899,0.0,4.12243109448,15.9888894789,58.130234758,55.1385043402,2.97173041782,0.02
 01/04  01:00:00,94.8299153031,20.6405536045,39.4729970597,0.0,4.12243109448,15.9888894789,93.0496289774,90.0578985596,2.97173041782,0.02
 01/04  02:00:00,73.5748122303,13.1906452508,25.8532545808,0.0,4.12243109448,15.9888894789,68.2071393974,56.6336235789,2.97173041782,8.60178540069
 01/04  03:00:00,88.7944616774,19.3041501763,34.7971284914,0.0,4.12243109448,15.9888894789,87.0947474851,84.1030170673,2.97173041782,0.02
 01/04  04:00:00,71.6354448104,12.7302740042,24.3974401384,0.0,4.12243109448,15.9888894789,53.0852535197,50.0935231019,2.97173041782,0.02
 01/04  05:00:00,133.857901908,28.7474860945,53.011251648,0.0,12.3672932834,24.9413748627,111.184428929,106.2115449,4.9528840297,0.02
 01/04  06:00:00,142.781270256,28.8433323647,55.0819911611,6.75678264265,12.3672932834,24.9413748627,180.579147092,175.606263063,4.9528840297,0.02
 01/04  07:00:00,206.72860789,29.972590319,62.1878554054,4.32351714263,24.7345865669,70.7195625826,147.023479999,137.097711939,9.90576805939,0.02
 01/04  08:00:00,232.092961789,30.2734748877,64.3771410103,2.55210503285,37.1018798503,92.3937384068,127.972064622,118.046296562,9.90576805939,0.02
 01/04  09:00:00,239.742974732,30.3544453994,65.0188902694,2.13449502462,37.1018798503,104.434947198,122.07572718,112.149959121,9.90576805939,0.02
 01/04  10:00:00,254.414363592,30.430649004,67.9498765261,1.75704324662,37.1018798503,116.476155989,118.763208003,108.837439943,9.90576805939,0.02
