Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,673.139635133,97.8392293049,229.774239619,0.0,34.9616554283,113.312780494,775.037638285,760.657532562,5.66466996096,8.71543576249
 01/01  02:00:00,632.406644174,97.8392293049,186.158867913,0.0,34.9616554283,113.312780494,888.864203888,865.789204932,5.66466996096,17.4103289953
 01/01  03:00:00,632.874472913,97.8392293049,187.690046584,0.0,34.9616554283,113.312780494,844.067932986,829.688491945,5.66466996096,8.71477107985
 01/01  04:00:00,631.821930691,97.8392293049,187.348123469,0.0,34.9616554283,113.312780494,841.962662643,818.88643845,5.66466996096,17.4115542325
 01/01  05:00:00,634.788872148,97.8392293049,182.539242997,0.0,44.4937663224,113.312780494,838.507954985,815.430982812,5.66466996096,17.4123022116
 01/01  06:00:00,650.711618351,97.8392293049,199.550012524,0.0,44.4937663224,113.312780494,782.552806286,759.676838689,14.1616749024,8.71429269521
 01/01  07:00:00,732.24655434,97.8392293049,210.786083398,0.0,54.0258772165,176.889270242,716.56606451,670.832217379,28.3233498048,17.4104973265
 01/01  08:00:00,738.293819587,97.8392293049,211.826081825,0.0,54.0258772165,184.38654557,728.106184361,668.209925619,42.4850247072,17.4112340354
 01/01  09:00:00,811.400144454,97.8392293049,217.520242971,0.0,65.1572554096,220.04316451,703.674592177,629.540043573,56.6466996096,17.4878489945
 01/01  10:00:00,815.474073039,97.8392293049,227.827531799,0.0,65.1572554096,212.545889182,670.748422589,608.769859698,42.4850247072,19.4935381832
 01/01  11:00:00,841.066964418,97.8392293049,244.25788299,0.0,65.1572554096,220.04316451,674.046843901,569.90350382,70.808374512,33.3349655697
 01/01  12:00:00,864.163591713,97.8392293049,264.565612123,0.0,65.1572554096,220.04316451,635.856207539,538.591599587,70.808374512,26.4562334399
 01/01  13:00:00,881.640476116,97.8392293049,280.596738355,0.0,65.1572554096,220.04316451,619.184098474,521.921614039,70.808374512,26.4541099222
 01/01  14:00:00,875.024451407,97.8392293049,285.991056209,0.0,65.1572554096,212.545889182,602.352526886,519.253146219,56.6466996096,26.4526810572
 01/01  15:00:00,864.967829025,97.8392293049,280.326705882,0.0,65.1572554096,212.545889182,602.572305143,524.820892819,42.4850247072,35.2663876162
 01/01  16:00:00,856.654661134,97.8392293049,276.031403727,0.0,65.1572554096,212.545889182,611.638022361,528.534590091,56.6466996096,26.45673266
 01/01  17:00:00,824.564332293,97.8392293049,275.023190087,0.0,65.1572554096,220.04316451,641.251974287,529.826145183,84.9700494144,26.4557796899
 01/01  18:00:00,784.721741758,97.8392293049,275.235519371,0.0,54.0258772165,184.38654557,663.577383721,552.270883438,84.9700494144,26.3364508689
 01/01  19:00:00,781.395362167,97.8392293049,282.403210412,0.0,44.4937663224,163.454314868,678.643893141,584.957325475,84.9700494144,8.71651825122
 01/01  20:00:00,772.998781596,97.8392293049,280.260096247,0.0,44.4937663224,155.95703954,668.322743743,594.263919003,56.6466996096,17.4121251308
 01/01  21:00:00,736.630935483,97.8392293049,276.086726057,0.0,44.4937663224,124.558693486,708.611464296,634.554826475,56.6466996096,17.4099382116
 01/01  22:00:00,738.330749231,97.8392293049,276.22737122,0.0,44.4937663224,124.558693486,691.259175477,640.058202414,42.4850247072,8.71594835578
 01/01  23:00:00,729.953194679,97.8392293049,276.24195026,0.0,34.9616554283,124.558693486,702.875382025,657.140983196,28.3233498048,17.4110490243
 01/01  24:00:00,729.830384097,97.8392293049,276.146440626,0.0,34.9616554283,124.558693486,686.139113599,663.262376059,14.1616749024,8.71506263818
 01/02  01:00:00,740.697866731,97.8392293049,282.899497469,0.0,46.0930336215,113.312780494,684.427984773,661.350962716,5.66466996096,17.4123520964
 01/02  02:00:00,747.601550617,97.8392293049,287.554032156,0.0,46.0930336215,113.312780494,683.132146248,660.057079919,5.66466996096,17.4103963684
 01/02  03:00:00,739.715978239,97.8392293049,281.421789743,0.0,46.0930336215,113.312780494,683.572665006,669.193206681,5.66466996096,8.71478836441
 01/02  04:00:00,734.725879004,97.8392293049,277.164455487,0.0,46.0930336215,113.312780494,698.22699598,675.150742709,5.66466996096,17.41158331
 01/02  05:00:00,815.999194534,97.8392293049,270.514676845,0.0,100.150657288,148.969399434,667.218144796,644.14108357,5.66466996096,17.4123912652
 01/02  06:00:00,796.773683301,97.8392293049,254.020474945,0.0,100.150657288,149.894399434,1244.13743007,1221.26137859,14.1616749024,8.71437656983
 01/02  07:00:00,1016.52952747,97.8392293049,251.238297827,0.0,176.471037341,302.612436532,841.93884437,796.204844212,28.3233498048,17.4106503531
 01/02  08:00:00,1145.10562904,97.8392293049,259.778064005,0.0,243.2593065,310.10971186,776.876440944,708.036693201,42.4850247072,26.3547230356
 01/02  09:00:00,1179.08939905,97.8392293049,263.41834162,0.0,243.2593065,310.10971186,752.045369295,668.906982698,56.6466996096,26.4916869878
 01/02  10:00:00,1217.34530514,97.8392293049,269.985589053,0.0,243.2593065,302.612436532,719.521425097,641.585127858,42.4850247072,35.451272531
 01/02  11:00:00,1239.36978093,97.8392293049,281.185893768,0.0,243.2593065,310.10971186,713.075177579,606.601882156,70.808374512,35.6649209108
 01/02  12:00:00,1253.04667661,97.8392293049,291.581617739,0.0,243.2593065,310.10971186,693.609105813,578.13957124,70.808374512,44.6611600619
 01/02  13:00:00,1233.86504406,97.9022914242,313.900013945,0.0,243.2593065,310.10971186,657.317952305,550.969564104,70.808374512,35.5400136895
 01/02  14:00:00,1297.30886459,98.0292214593,339.289248634,0.0,243.2593065,302.612436532,632.113783293,530.797936361,56.6466996096,44.6691473226
 01/02  15:00:00,1315.19802713,98.1447831635,354.548113685,0.0,243.2593065,302.612436532,593.958224799,515.813486841,42.4850247072,35.6597132505
 01/02  16:00:00,1322.48586158,98.2470351003,359.957090022,0.0,243.2593065,302.612436532,594.534410091,502.285951922,56.6466996096,35.6017585592
 01/02  17:00:00,1329.53507726,98.3387090066,360.689794333,0.0,243.2593065,310.10971186,610.06397989,489.686778511,84.9700494144,35.4071519639
 01/02  18:00:00,1326.13809297,98.4291867342,355.329288392,0.0,243.2593065,310.10971186,586.093934117,483.602025508,84.9700494144,17.5218591943
 01/02  19:00:00,1032.45654209,97.8392293049,331.381765545,0.0,166.938926447,199.110933808,537.674892264,435.240535261,84.9700494144,17.4643075879
 01/02  20:00:00,1000.21195891,97.8392293049,317.176499162,0.0,166.938926447,191.61365848,512.678891437,438.568532655,56.6466996096,17.4636591726
 01/02  21:00:00,865.79671889,97.8392293049,316.03504068,0.0,100.150657288,124.558693486,553.99218715,479.881974302,56.6466996096,17.4635132387
 01/02  22:00:00,823.303798856,97.8392293049,315.191891264,0.0,100.150657288,124.558693486,543.392533129,483.489670077,42.4850247072,17.4178383455
 01/02  23:00:00,762.594042147,97.8392293049,321.381249968,0.0,46.0930336215,124.558693486,546.162460433,500.428736098,28.3233498048,17.4103745304
 01/02  24:00:00,768.012826355,97.8392293049,326.017960945,0.0,46.0930336215,124.558693486,527.445600896,504.569162273,14.1616749024,8.71476372085
 01/03  01:00:00,772.172945273,97.8392293049,332.788759382,0.0,46.0930336215,113.312780494,532.333294225,509.25678086,5.66466996096,17.411843404
 01/03  02:00:00,776.851198572,97.8392293049,331.585194188,0.0,46.0930336215,113.312780494,537.223030999,514.145652443,5.66466996096,17.4127085951
 01/03  03:00:00,773.978387488,97.8392293049,328.383966159,0.0,46.0930336215,113.312780494,535.569639082,521.190415813,5.66466996096,8.71455330719
 01/03  04:00:00,763.295179485,97.8392293049,316.81630282,0.0,46.0930336215,113.312780494,554.31270867,531.236962836,5.66466996096,17.4110758732
 01/03  05:00:00,813.899606821,97.8392293049,278.793634419,0.0,100.150657288,148.969399434,547.716936836,524.64034028,5.66466996096,17.4119265958
 01/03  06:00:00,799.067450643,97.8392293049,263.383934015,0.0,100.150657288,149.894399434,927.578838321,904.700135784,14.1616749024,8.7170276344
 01/03  07:00:00,1007.82138934,98.0792059382,247.639363838,0.0,176.471037341,302.612436532,666.823258447,621.088444788,28.3233498048,17.411463854
 01/03  08:00:00,1106.15572449,98.4084995655,229.033609751,0.0,243.2593065,310.10971186,650.768519496,581.928875973,42.4850247072,26.3546188162
 01/03  09:00:00,1143.65767477,98.5481540947,240.603257937,0.0,243.2593065,310.10971186,625.193227313,542.054614594,56.6466996096,26.4919131094
 01/03  10:00:00,1240.39010396,98.6543543064,303.606068067,0.0,243.2593065,302.612436532,583.530168043,505.593003077,42.4850247072,35.4521402582
 01/03  11:00:00,1314.43121785,98.7453392998,367.119262733,0.0,243.2593065,310.10971186,580.294955941,473.820451969,70.808374512,35.6661294597
 01/03  12:00:00,1364.32871958,98.8501036594,420.463223951,0.0,243.2593065,310.10971186,564.374014015,448.895402676,70.808374512,44.6702368272
 01/03  13:00:00,1344.2668149,99.0779171384,446.44174088,0.0,243.2593065,310.10971186,531.358241515,425.008362901,70.808374512,35.5415041015
 01/03  14:00:00,1395.31322612,99.4796969848,460.761617856,0.0,243.2593065,302.612436532,508.240565714,406.922018876,56.6466996096,44.6718472277
 01/03  15:00:00,1408.84525766,100.097927549,465.586645881,0.0,243.2593065,302.612436532,458.961185492,380.814269204,42.4850247072,35.6618915806
 01/03  16:00:00,1403.93678649,100.627040505,453.599266265,0.0,243.2593065,302.612436532,443.371824239,351.121054868,56.6466996096,35.6040697615
 01/03  17:00:00,1420.1174925,101.023588875,462.12454153,0.0,243.2593065,310.10971186,461.911241845,341.531913426,84.9700494144,35.4092790054
 01/03  18:00:00,1434.65828223,101.253278545,472.700353451,0.0,243.2593065,310.10971186,463.226775076,360.734091703,84.9700494144,17.5226339581
 01/03  19:00:00,1124.06536237,97.8392293049,420.166356841,0.0,166.938926447,199.110933808,478.265991284,375.830859221,84.9700494144,17.465082649
 01/03  20:00:00,1091.97505398,97.8392293049,403.863558878,0.0,166.938926447,191.61365848,461.013020555,386.901880037,56.6466996096,17.4644409082
 01/03  21:00:00,904.95553653,97.8392293049,349.234807203,0.0,100.150657288,124.558693486,506.635426482,432.524398439,56.6466996096,17.464328433
 01/03  22:00:00,826.494625997,97.8392293049,310.275344759,0.0,100.150657288,124.558693486,501.271764243,441.36812744,42.4850247072,17.4186120954
 01/03  23:00:00,745.218280428,97.8392293049,300.84549513,0.0,46.0930336215,124.558693486,505.48366528,459.749132105,28.3233498048,17.4111833701
 01/03  24:00:00,723.987996632,97.8392293049,283.604413611,0.0,46.0930336215,124.558693486,490.765268236,467.888415457,14.1616749024,8.7151778767
 01/04  01:00:00,691.871079956,97.8392293049,257.693846547,0.0,46.0930336215,113.312780494,516.864336181,493.786943659,5.66466996096,17.4127225615
 01/04  02:00:00,678.321296102,97.8392293049,239.724574251,0.0,46.0930336215,113.312780494,542.380212522,519.301903177,5.66466996096,17.4136393844
 01/04  03:00:00,668.139731382,97.8392293049,228.431804374,0.0,46.0930336215,113.312780494,557.573617,543.193946294,5.66466996096,8.71500074493
