Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,152.347662737,31.2305857762,28.3212674577,0.0,34.4311606118,33.1021868926,174.742061052,55.2612015102,3.33212,116.148739542
 01/01  02:00:00,142.428326989,31.2305857762,18.365341487,0.0,34.4311606118,33.1021868926,150.051005356,52.888253032,3.33212,93.8306323237
 01/01  03:00:00,121.072987952,31.2305857762,14.4869060367,0.0,19.466279405,30.610668775,142.309472295,51.4103168253,3.33212,87.5670354693
 01/01  04:00:00,119.087463561,31.2305857762,12.5114823277,0.0,19.466279405,30.610668775,147.722353737,50.5625109716,3.33212,93.827722765
 01/01  05:00:00,126.32938442,31.2378390006,13.1682718909,0.00868038545511,19.466279405,30.610668775,169.686411159,50.3690479503,3.33212,115.985243209
 01/01  06:00:00,141.54365719,31.2523454494,16.0598951452,0.0731173388545,19.466279405,30.610668775,211.48215555,49.8757016522,8.3303,153.276153898
 01/01  07:00:00,223.70102014,31.2396523067,26.7476436052,0.0120631525108,42.6918050922,54.3732441037,272.26961525,48.1959312684,16.6606,207.413083981
 01/01  08:00:00,301.522273802,36.0818416206,50.8056110507,0.0942867071583,49.3960418185,88.5934452969,628.087749329,248.903091378,24.9909,354.193757951
 01/01  09:00:00,350.462549746,36.067897918,79.253738831,0.0,57.6566862989,112.030105488,814.354482022,275.013057899,33.3212,506.020224123
 01/01  10:00:00,275.395362984,36.0721289656,60.3546279337,0.0,50.9524495726,81.1684271793,692.472006388,262.561335764,66.8089,363.101770625
 01/01  11:00:00,210.961753185,36.0996432429,40.9457146754,0.0,42.6918050922,68.9656133826,621.253215661,258.714832237,83.4695,279.068883424
 01/01  12:00:00,201.567354984,36.1797389874,35.2124264325,0.0012405062184,38.286128036,68.9656133826,555.215018948,255.008221683,83.4695,216.737297265
